QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
1,11:48.0,,Shooting foul by S. Hill (drawn by S. Adams),0,0
1,11:48.0,,S. Adams makes free throw 1 of 2,0,1
1,11:48.0,,S. Adams makes free throw 2 of 2,0,2
1,11:33.0,S. Hill makes 2-pt layup from 1 ft (assist by J. Holiday),,2,2
1,11:16.0,,Turnover by S. Adams (lost ball; steal by J. Holiday),2,2
1,10:58.0,J. Holiday makes 2-pt jump shot from 7 ft (assist by S. Hill),,4,2
1,10:38.0,,J. Grant misses 3-pt jump shot from 26 ft,4,2
1,10:36.0,Defensive rebound by Team,,4,2
1,10:27.0,J. Holiday misses 3-pt jump shot from 22 ft,,4,2
1,10:26.0,Offensive rebound by J. Okafor,,4,2
1,10:26.0,J. Okafor makes 2-pt layup from 1 ft,,6,2
1,10:09.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),6,4
1,9:58.0,D. Miller misses 3-pt jump shot from 26 ft,,6,4
1,9:56.0,,Defensive rebound by R. Westbrook,6,4
1,9:47.0,,J. Grant misses 3-pt jump shot from 26 ft,6,4
1,9:45.0,Defensive rebound by Team,,6,4
1,9:36.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,4
1,9:34.0,Offensive rebound by J. Okafor,,6,4
1,9:34.0,J. Okafor makes 2-pt layup from 1 ft,,8,4
1,9:33.0,,Oklahoma City full timeout,8,4
1,9:24.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),8,7
1,9:06.0,D. Miller misses 2-pt jump shot from 16 ft,,8,7
1,9:04.0,,Defensive rebound by R. Westbrook,8,7
1,8:57.0,,T. Ferguson makes 2-pt jump shot from 7 ft (assist by R. Westbrook),8,9
1,8:46.0,J. Holiday makes 2-pt layup at rim (assist by E. Payton),,10,9
1,8:36.0,,R. Westbrook makes 2-pt layup from 1 ft,10,11
1,8:19.0,J. Holiday misses 2-pt layup from 2 ft,,10,11
1,8:18.0,,Defensive rebound by S. Adams,10,11
1,8:15.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),10,14
1,8:01.0,Turnover by E. Payton (bad pass; steal by S. Adams),,10,14
1,7:56.0,,T. Ferguson makes 2-pt dunk from 1 ft (assist by R. Westbrook),10,16
1,7:52.0,New Orleans full timeout,,10,16
1,7:40.0,S. Hill makes 2-pt jump shot from 14 ft (assist by D. Miller),,12,16
1,7:26.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),12,18
1,7:15.0,Shooting foul by P. George (drawn by E. Payton),,12,18
1,7:15.0,E. Payton makes free throw 1 of 2,,13,18
1,7:15.0,E. Payton makes free throw 2 of 2,,14,18
1,6:57.0,,P. George makes 3-pt jump shot from 28 ft (assist by R. Westbrook),14,21
1,6:50.0,E. Payton misses 2-pt layup from 3 ft,,14,21
1,6:50.0,,Defensive rebound by P. George,14,21
1,6:44.0,,P. George misses 3-pt jump shot from 26 ft,14,21
1,6:44.0,,Offensive rebound by S. Adams,14,21
1,6:37.0,,Turnover by S. Adams (bad pass; steal by E. Payton),14,21
1,6:32.0,J. Okafor makes 2-pt dunk at rim (assist by E. Payton),,16,21
1,6:13.0,,J. Grant misses 2-pt jump shot from 9 ft,16,21
1,6:11.0,Defensive rebound by J. Holiday,,16,21
1,6:06.0,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),,19,21
1,5:52.0,,T. Ferguson misses 3-pt jump shot from 26 ft,19,21
1,5:49.0,Defensive rebound by J. Okafor,,19,21
1,5:38.0,S. Hill misses 3-pt jump shot from 26 ft,,19,21
1,5:36.0,,Defensive rebound by R. Westbrook,19,21
1,5:36.0,,Personal foul by S. Hill (drawn by P. George),19,21
1,5:36.0,F. Jackson enters the game for E. Payton,,19,21
1,5:36.0,,D. Schröder enters the game for P. George,19,21
1,5:24.0,,T. Ferguson misses 3-pt jump shot from 27 ft,19,21
1,5:21.0,Defensive rebound by J. Holiday,,19,21
1,5:13.0,Turnover by J. Holiday (bad pass; steal by J. Grant),,19,21
1,4:57.0,,S. Adams makes 2-pt layup from 1 ft (assist by D. Schröder),19,23
1,4:44.0,F. Jackson misses 3-pt jump shot from 26 ft,,19,23
1,4:41.0,,Defensive rebound by J. Grant,19,23
1,4:21.0,,J. Grant misses 2-pt layup at rim,19,23
1,4:16.0,Defensive rebound by S. Hill,,19,23
1,4:13.0,Personal foul by T. Ferguson (drawn by S. Hill),,19,23
1,4:04.0,Personal foul by J. Grant (drawn by J. Okafor),,19,23
1,3:57.0,Turnover by J. Holiday (bad pass; steal by T. Ferguson),,19,23
1,3:52.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by T. Ferguson),19,25
1,3:42.0,F. Jackson makes 2-pt jump shot from 6 ft (assist by J. Holiday),,21,25
1,3:27.0,,R. Westbrook misses 2-pt jump shot from 18 ft,21,25
1,3:24.0,Defensive rebound by J. Holiday,,21,25
1,3:22.0,Offensive foul by F. Jackson (drawn by D. Schröder),,21,25
1,3:22.0,Turnover by F. Jackson (offensive foul),,21,25
1,3:07.0,,S. Adams misses 2-pt layup from 1 ft,21,25
1,3:01.0,Defensive rebound by J. Okafor,,21,25
1,3:01.0,Turnover by J. Okafor (lost ball; steal by R. Westbrook),,21,25
1,3:00.0,,Turnover by S. Adams (traveling),21,25
1,3:00.0,C. Diallo enters the game for S. Hill,,21,25
1,3:00.0,K. Williams enters the game for J. Okafor,,21,25
1,3:00.0,,N. Noel enters the game for S. Adams,21,25
1,2:46.0,Turnover by F. Jackson (traveling),,21,25
1,2:46.0,,P. George enters the game for R. Westbrook,21,25
1,2:36.0,,Turnover by P. George (lost ball; steal by J. Holiday),21,25
1,2:30.0,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),,24,25
1,2:14.0,,T. Ferguson misses 3-pt jump shot from 28 ft,24,25
1,2:11.0,Defensive rebound by K. Williams,,24,25
1,2:04.0,D. Miller misses 3-pt jump shot from 24 ft,,24,25
1,1:58.0,,Defensive rebound by J. Grant,24,25
1,1:48.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),24,28
1,1:38.0,C. Diallo makes 2-pt jump shot from 15 ft (assist by F. Jackson),,26,28
1,1:20.0,,D. Schröder misses 3-pt jump shot from 25 ft,26,28
1,1:17.0,Defensive rebound by D. Miller,,26,28
1,1:06.0,F. Jackson misses 3-pt jump shot from 23 ft,,26,28
1,1:02.0,,Defensive rebound by D. Schröder,26,28
1,0:57.0,,Turnover by D. Schröder (bad pass),26,28
1,0:57.0,,A. Nader enters the game for T. Ferguson,26,28
1,0:32.0,J. Holiday misses 2-pt jump shot from 18 ft,,26,28
1,0:30.0,,Defensive rebound by A. Nader,26,28
1,0:25.0,,D. Schröder misses 2-pt layup from 8 ft (block by D. Miller),26,28
1,0:23.0,Defensive rebound by D. Miller,,26,28
1,0:05.0,C. Diallo makes 2-pt jump shot from 6 ft (assist by J. Holiday),,28,28
1,0:01.0,,Turnover by D. Schröder (bad pass),28,28
2,11:43.0,C. Diallo misses 2-pt jump shot from 15 ft,,28,28
2,11:39.0,Offensive rebound by K. Williams,,28,28
2,11:38.0,K. Williams misses 2-pt layup at rim (block by N. Noel),,28,28
2,11:35.0,Offensive rebound by S. Hill,,28,28
2,11:33.0,F. Jackson misses 3-pt jump shot from 23 ft,,28,28
2,11:30.0,,Defensive rebound by P. George,28,28
2,11:19.0,,P. Patterson misses 3-pt jump shot from 24 ft,28,28
2,11:19.0,Defensive rebound by S. Hill,,28,28
2,11:11.0,Shooting foul by N. Noel (drawn by C. Diallo),,28,28
2,11:11.0,C. Diallo makes free throw 1 of 2,,29,28
2,11:11.0,C. Diallo misses free throw 2 of 2,,29,28
2,11:09.0,,Defensive rebound by N. Noel,29,28
2,10:54.0,,A. Nader makes 2-pt dunk from 1 ft (assist by P. George),29,30
2,10:44.0,K. Williams misses 2-pt jump shot from 22 ft,,29,30
2,10:44.0,,Defensive rebound by P. George,29,30
2,10:37.0,,P. George misses 2-pt layup from 3 ft (block by S. Hill),29,30
2,10:37.0,Defensive rebound by E. Payton,,29,30
2,10:31.0,F. Jackson makes 2-pt layup from 1 ft (assist by K. Williams),,31,30
2,10:18.0,,N. Noel misses 2-pt jump shot from 14 ft,31,30
2,10:15.0,,Offensive rebound by P. Patterson,31,30
2,10:14.0,,P. Patterson makes 2-pt layup from 1 ft,31,32
2,9:56.0,K. Williams misses 3-pt jump shot from 24 ft,,31,32
2,9:54.0,,Defensive rebound by A. Nader,31,32
2,9:42.0,,A. Nader misses 3-pt jump shot from 25 ft,31,32
2,9:38.0,Defensive rebound by S. Hill,,31,32
2,9:35.0,Turnover by C. Diallo (out of bounds lost ball),,31,32
2,9:26.0,,Personal foul by F. Jackson (drawn by A. Nader),31,32
2,9:26.0,I. Clark enters the game for F. Jackson,,31,32
2,9:26.0,,R. Westbrook enters the game for P. George,31,32
2,9:15.0,,N. Noel makes 2-pt layup from 1 ft (assist by D. Schröder),31,34
2,9:00.0,E. Payton misses 2-pt layup from 3 ft,,31,34
2,8:57.0,Offensive rebound by E. Payton,,31,34
2,8:56.0,E. Payton makes 2-pt layup from 1 ft,,33,34
2,8:45.0,,R. Westbrook misses 3-pt jump shot from 25 ft,33,34
2,8:45.0,,Offensive rebound by P. Patterson,33,34
2,8:42.0,,Personal foul by E. Payton (drawn by D. Schröder),33,34
2,8:42.0,J. Okafor enters the game for C. Diallo,,33,34
2,8:42.0,,S. Adams enters the game for N. Noel,33,34
2,8:38.0,,R. Westbrook misses 2-pt dunk from 1 ft,33,34
2,8:37.0,,Offensive rebound by S. Adams,33,34
2,8:37.0,,S. Adams makes 2-pt layup from 1 ft,33,36
2,8:21.0,E. Payton makes 3-pt jump shot from 26 ft (assist by I. Clark),,36,36
2,8:07.0,,Offensive foul by R. Westbrook (drawn by K. Williams),36,36
2,8:07.0,,Turnover by R. Westbrook (offensive foul),36,36
2,7:52.0,,Violation by Team (kicked ball),36,36
2,7:52.0,D. Miller enters the game for S. Hill,,36,36
2,7:40.0,E. Payton misses 2-pt jump shot from 16 ft,,36,36
2,7:39.0,Offensive rebound by Team,,36,36
2,7:39.0,,Loose ball foul by S. Adams (drawn by J. Okafor),36,36
2,7:34.0,I. Clark makes 3-pt jump shot from 26 ft (assist by E. Payton),,39,36
2,7:17.0,,A. Nader misses 3-pt jump shot from 25 ft,39,36
2,7:15.0,,Offensive rebound by S. Adams,39,36
2,7:13.0,,S. Adams makes 2-pt layup from 1 ft,39,38
2,7:04.0,Turnover by D. Miller (bad pass; steal by R. Westbrook),,39,38
2,6:59.0,,R. Westbrook makes 2-pt dunk from 2 ft (assist by D. Schröder),39,40
2,6:55.0,New Orleans full timeout,,39,40
2,6:55.0,,P. George enters the game for A. Nader,39,40
2,6:48.0,I. Clark misses 3-pt jump shot from 22 ft,,39,40
2,6:45.0,,Defensive rebound by R. Westbrook,39,40
2,6:35.0,,Personal foul by K. Williams (drawn by S. Adams),39,40
2,6:35.0,J. Holiday enters the game for K. Williams,,39,40
2,6:35.0,,J. Grant enters the game for P. Patterson,39,40
2,6:28.0,,R. Westbrook makes 2-pt layup at rim,39,42
2,6:10.0,E. Payton misses 3-pt jump shot from 23 ft,,39,42
2,6:05.0,Offensive rebound by J. Okafor,,39,42
2,6:05.0,Shooting foul by P. George (drawn by E. Payton),,39,42
2,6:05.0,E. Payton makes free throw 1 of 2,,40,42
2,6:05.0,,T. Ferguson enters the game for D. Schröder,40,42
2,6:05.0,E. Payton makes free throw 2 of 2,,41,42
2,5:58.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),41,44
2,5:41.0,J. Okafor makes 2-pt layup from 1 ft (assist by E. Payton),,43,44
2,5:26.0,,P. George misses 3-pt jump shot from 25 ft,43,44
2,5:23.0,Defensive rebound by J. Okafor,,43,44
2,5:07.0,D. Miller makes 2-pt layup from 1 ft,,45,44
2,5:00.0,,Shooting foul by D. Miller (drawn by R. Westbrook),45,44
2,5:00.0,,R. Westbrook makes free throw 1 of 2,45,45
2,5:00.0,,R. Westbrook makes free throw 2 of 2,45,46
2,4:48.0,E. Payton misses 3-pt jump shot from 25 ft,,45,46
2,4:44.0,,Defensive rebound by R. Westbrook,45,46
2,4:43.0,,Shooting foul by D. Miller (drawn by R. Westbrook),45,46
2,4:43.0,,R. Westbrook makes free throw 1 of 2,45,47
2,4:43.0,,R. Westbrook misses free throw 2 of 2,45,47
2,4:38.0,,Offensive rebound by S. Adams,45,47
2,4:38.0,,S. Adams misses 2-pt layup at rim,45,47
2,4:38.0,,Offensive rebound by R. Westbrook,45,47
2,4:35.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by P. George),45,50
2,4:27.0,Turnover by J. Holiday (out of bounds lost ball),,45,50
2,4:27.0,S. Hill enters the game for E. Payton,,45,50
2,4:13.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),45,53
2,3:55.0,J. Okafor misses 2-pt jump shot from 6 ft,,45,53
2,3:53.0,,Defensive rebound by S. Adams,45,53
2,3:48.0,,J. Grant makes 2-pt layup from 1 ft (assist by P. George),45,55
2,3:43.0,New Orleans full timeout,,45,55
2,3:36.0,I. Clark misses 2-pt jump shot from 18 ft,,45,55
2,3:33.0,,Defensive rebound by R. Westbrook,45,55
2,3:21.0,,R. Westbrook misses 2-pt jump shot from 14 ft,45,55
2,3:18.0,Defensive rebound by J. Okafor,,45,55
2,3:14.0,I. Clark misses 3-pt jump shot from 23 ft,,45,55
2,3:11.0,,Defensive rebound by R. Westbrook,45,55
2,3:06.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),45,57
2,2:53.0,,Violation by Team (kicked ball),45,57
2,2:53.0,F. Jackson enters the game for I. Clark,,45,57
2,2:49.0,J. Holiday misses 3-pt jump shot from 26 ft,,45,57
2,2:47.0,,Defensive rebound by P. George,45,57
2,2:39.0,,J. Grant misses 2-pt jump shot from 1 ft,45,57
2,2:36.0,,Offensive rebound by S. Adams,45,57
2,2:27.0,,S. Adams makes 2-pt hook shot from 5 ft,45,59
2,2:10.0,J. Holiday misses 2-pt layup from 2 ft,,45,59
2,2:08.0,Offensive rebound by J. Okafor,,45,59
2,2:07.0,J. Okafor makes 2-pt layup from 1 ft,,47,59
2,1:58.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),47,61
2,1:48.0,S. Hill makes 2-pt layup at rim (assist by J. Holiday),,49,61
2,1:39.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),49,63
2,1:32.0,Personal foul by R. Westbrook (drawn by D. Miller),,49,63
2,1:32.0,C. Diallo enters the game for J. Okafor,,49,63
2,1:28.0,Turnover by J. Holiday (lost ball; steal by P. George),,49,63
2,1:24.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),49,65
2,1:06.0,F. Jackson makes 2-pt layup from 1 ft (assist by S. Hill),,51,65
2,0:46.0,,T. Ferguson misses 3-pt jump shot from 22 ft,51,65
2,0:43.0,Defensive rebound by J. Holiday,,51,65
2,0:37.0,D. Miller makes 2-pt jump shot from 16 ft (assist by J. Holiday),,53,65
2,0:26.0,,T. Ferguson misses 2-pt jump shot from 18 ft,53,65
2,0:24.0,Defensive rebound by D. Miller,,53,65
2,0:00.0,J. Holiday misses 2-pt layup from 2 ft,,53,65
2,0:00.0,,Defensive rebound by R. Westbrook,53,65
3,11:48.0,D. Miller misses 3-pt jump shot from 24 ft,,53,65
3,11:44.0,,Defensive rebound by R. Westbrook,53,65
3,11:37.0,,T. Ferguson makes 2-pt jump shot from 23 ft (assist by R. Westbrook),53,67
3,11:20.0,E. Payton misses 3-pt jump shot from 26 ft,,53,67
3,11:17.0,,Defensive rebound by T. Ferguson,53,67
3,11:05.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by P. George),53,70
3,10:49.0,S. Hill misses 3-pt jump shot from 25 ft,,53,70
3,10:47.0,,Defensive rebound by R. Westbrook,53,70
3,10:39.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),53,73
3,10:38.0,New Orleans full timeout,,53,73
3,10:22.0,J. Holiday misses 2-pt jump shot from 12 ft,,53,73
3,10:19.0,,Defensive rebound by R. Westbrook,53,73
3,10:09.0,,P. George misses 3-pt jump shot from 23 ft,53,73
3,10:06.0,Defensive rebound by D. Miller,,53,73
3,9:58.0,D. Miller misses 3-pt jump shot from 26 ft,,53,73
3,9:55.0,Offensive rebound by Team,,53,73
3,9:43.0,E. Payton makes 2-pt jump shot from 6 ft (assist by J. Holiday),,55,73
3,9:32.0,,J. Grant makes 2-pt jump shot from 21 ft (assist by R. Westbrook),55,75
3,9:15.0,D. Miller misses 2-pt jump shot from 16 ft,,55,75
3,9:12.0,,Defensive rebound by S. Adams,55,75
3,9:04.0,,P. George makes 2-pt layup from 2 ft,55,77
3,8:47.0,J. Holiday makes 2-pt layup from 3 ft,,57,77
3,8:47.0,Shooting foul by T. Ferguson (drawn by J. Holiday),,57,77
3,8:47.0,J. Holiday makes free throw 1 of 1,,58,77
3,8:28.0,,J. Grant misses 2-pt jump shot from 6 ft,58,77
3,8:27.0,Defensive rebound by Team,,58,77
3,8:27.0,,Loose ball foul by S. Adams (drawn by J. Okafor),58,77
3,8:13.0,D. Miller makes 3-pt jump shot from 26 ft (assist by S. Hill),,61,77
3,7:59.0,,R. Westbrook misses 2-pt jump shot from 16 ft,61,77
3,7:57.0,Defensive rebound by J. Holiday,,61,77
3,7:53.0,J. Holiday makes 3-pt jump shot from 26 ft,,64,77
3,7:52.0,,Oklahoma City full timeout,64,77
3,7:43.0,,Personal foul by S. Hill (drawn by J. Grant),64,77
3,7:36.0,,T. Ferguson misses 3-pt jump shot from 24 ft (block by J. Holiday),64,77
3,7:31.0,,Offensive rebound by P. George,64,77
3,7:29.0,,P. George makes 3-pt jump shot from 24 ft,64,80
3,7:02.0,S. Hill misses 2-pt jump shot from 8 ft,,64,80
3,6:58.0,,Defensive rebound by S. Adams,64,80
3,6:50.0,,R. Westbrook misses 2-pt jump shot from 17 ft,64,80
3,6:48.0,Defensive rebound by D. Miller,,64,80
3,6:40.0,J. Okafor misses 2-pt jump shot from 8 ft,,64,80
3,6:37.0,,Defensive rebound by S. Adams,64,80
3,6:31.0,,Personal foul by J. Holiday (drawn by P. George),64,80
3,6:31.0,F. Jackson enters the game for E. Payton,,64,80
3,6:28.0,,P. George misses 2-pt jump shot from 18 ft,64,80
3,6:26.0,Defensive rebound by D. Miller,,64,80
3,6:13.0,J. Okafor makes 2-pt dunk at rim (assist by J. Holiday),,66,80
3,5:58.0,,J. Grant misses 2-pt layup from 2 ft,66,80
3,5:57.0,,Offensive rebound by S. Adams,66,80
3,5:56.0,,S. Adams makes 2-pt layup from 1 ft,66,82
3,5:45.0,D. Miller makes 2-pt layup from 1 ft (assist by J. Holiday),,68,82
3,5:25.0,,Shooting foul by J. Holiday (drawn by P. George),68,82
3,5:25.0,,P. George misses free throw 1 of 2,68,82
3,5:25.0,,Offensive rebound by Team,68,82
3,5:25.0,,P. George makes free throw 2 of 2,68,83
3,5:17.0,J. Okafor makes 2-pt layup from 1 ft (assist by J. Holiday),,70,83
3,5:17.0,Shooting foul by R. Westbrook (drawn by J. Okafor),,70,83
3,5:17.0,,D. Schröder enters the game for P. George,70,83
3,5:17.0,J. Okafor misses free throw 1 of 1,,70,83
3,5:15.0,,Defensive rebound by R. Westbrook,70,83
3,5:06.0,,R. Westbrook makes 2-pt layup from 1 ft,70,85
3,5:06.0,K. Williams enters the game for S. Hill,,70,85
3,4:47.0,D. Miller misses 2-pt jump shot from 21 ft,,70,85
