QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
1,11:48.0,,Shooting foul by J. Teague (drawn by N. Bjelica),0,0
1,11:48.0,,N. Bjelica makes free throw 1 of 2,0,1
1,11:48.0,,N. Bjelica makes free throw 2 of 2,0,2
1,11:30.0,Shooting foul by N. Bjelica (drawn by J. Teague),,0,2
1,11:30.0,J. Teague makes free throw 1 of 2,,1,2
1,11:30.0,J. Teague makes free throw 2 of 2,,2,2
1,11:18.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),2,4
1,11:01.0,A. Wiggins misses 3-pt jump shot from 25 ft,,2,4
1,10:58.0,,Defensive rebound by W. Cauley-Stein,2,4
1,10:54.0,,I. Shumpert makes 2-pt jump shot from 18 ft,2,6
1,10:32.0,Turnover by K. Towns (3 sec),,2,6
1,10:25.0,,D. Fox makes 2-pt jump shot from 14 ft,2,8
1,10:16.0,A. Wiggins misses 3-pt jump shot from 23 ft,,2,8
1,10:16.0,Offensive rebound by K. Towns,,2,8
1,10:12.0,K. Towns makes 2-pt layup from 1 ft,,4,8
1,10:04.0,,B. Hield misses 2-pt jump shot from 14 ft,4,8
1,10:00.0,Defensive rebound by K. Towns,,4,8
1,9:54.0,T. Gibson misses 2-pt layup from 2 ft,,4,8
1,9:51.0,,Defensive rebound by N. Bjelica,4,8
1,9:48.0,,Shooting foul by R. Covington (drawn by D. Fox),4,8
1,9:48.0,,D. Fox misses free throw 1 of 2,4,8
1,9:48.0,,Offensive rebound by Team,4,8
1,9:48.0,,D. Fox makes free throw 2 of 2,4,9
1,9:34.0,Turnover by J. Teague (out of bounds lost ball),,4,9
1,9:26.0,,D. Fox makes 2-pt layup from 2 ft,4,11
1,9:11.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,6,11
1,8:50.0,,Turnover by N. Bjelica (bad pass; steal by T. Gibson),6,11
1,8:46.0,R. Covington makes 2-pt layup from 2 ft (assist by J. Teague),,8,11
1,8:39.0,,I. Shumpert misses 3-pt jump shot from 23 ft,8,11
1,8:37.0,Defensive rebound by T. Gibson,,8,11
1,8:21.0,K. Towns makes 2-pt jump shot from 11 ft (assist by J. Teague),,10,11
1,8:01.0,,W. Cauley-Stein misses 2-pt layup from 2 ft (block by K. Towns),10,11
1,7:58.0,,Offensive rebound by D. Fox,10,11
1,7:56.0,,N. Bjelica misses 3-pt jump shot from 24 ft,10,11
1,7:52.0,,Offensive rebound by B. Hield,10,11
1,7:51.0,,Turnover by B. Hield (bad pass; steal by A. Wiggins),10,11
1,7:43.0,A. Wiggins makes 2-pt jump shot from 9 ft,,12,11
1,7:25.0,,Shooting foul by T. Gibson (drawn by N. Bjelica),12,11
1,7:25.0,,N. Bjelica makes free throw 1 of 2,12,12
1,7:25.0,,N. Bjelica misses free throw 2 of 2,12,12
1,7:20.0,Defensive rebound by R. Covington,,12,12
1,7:00.0,J. Teague misses 2-pt layup from 2 ft,,12,12
1,6:58.0,,Defensive rebound by N. Bjelica,12,12
1,6:50.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),12,15
1,6:37.0,Turnover by A. Wiggins (lost ball; steal by D. Fox),,12,15
1,6:23.0,,I. Shumpert misses 3-pt jump shot from 25 ft,12,15
1,6:21.0,,Offensive rebound by Team,12,15
1,6:21.0,Loose ball foul by A. Wiggins (drawn by N. Bjelica),,12,15
1,6:21.0,,Sacramento full timeout,12,15
1,6:11.0,,D. Fox makes 2-pt jump shot from 20 ft,12,17
1,5:47.0,K. Towns misses 2-pt hook shot from 8 ft,,12,17
1,5:47.0,Offensive rebound by Team,,12,17
1,5:47.0,,M. Bagley enters the game for N. Bjelica,12,17
1,5:47.0,,B. Bogdanović enters the game for B. Hield,12,17
1,5:34.0,Turnover by A. Wiggins (out of bounds lost ball),,12,17
1,5:26.0,,Turnover by D. Fox (out of bounds lost ball),12,17
1,5:26.0,D. Rose enters the game for R. Covington,,12,17
1,5:26.0,D. Šarić enters the game for T. Gibson,,12,17
1,5:12.0,K. Towns misses 2-pt jump shot from 23 ft,,12,17
1,5:09.0,,Defensive rebound by M. Bagley,12,17
1,5:04.0,,D. Fox makes 2-pt jump shot from 2 ft,12,19
1,4:46.0,J. Teague misses 2-pt jump shot from 8 ft (block by W. Cauley-Stein),,12,19
1,4:43.0,Offensive rebound by J. Teague,,12,19
1,4:40.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,14,19
