QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
1,8:25.0,,A. Horford misses 2-pt jump shot from 17 ft,4,8
1,8:24.0,Defensive rebound by R. Westbrook,,4,8
1,8:17.0,R. Westbrook misses 2-pt layup from 2 ft,,4,8
1,8:15.0,,Defensive rebound by M. Smart,4,8
1,8:08.0,,J. Tatum misses 3-pt jump shot from 23 ft,4,8
1,8:05.0,Defensive rebound by T. Ferguson,,4,8
1,7:58.0,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),,6,8
1,7:46.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Tatum),6,11
1,7:36.0,S. Adams misses 2-pt hook shot from 8 ft,,6,11
1,7:34.0,,Defensive rebound by J. Tatum,6,11
1,7:28.0,,J. Tatum misses 3-pt jump shot from 25 ft,6,11
1,7:26.0,Defensive rebound by S. Adams,,6,11
1,7:22.0,Shooting foul by J. Tatum (drawn by J. Grant),,6,11
1,7:22.0,J. Grant misses free throw 1 of 2,,6,11
1,7:22.0,Offensive rebound by Team,,6,11
1,7:22.0,J. Grant makes free throw 2 of 2,,7,11
1,7:08.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),7,14
1,6:52.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,9,14
1,6:33.0,,J. Tatum misses 2-pt layup from 2 ft,9,14
1,6:30.0,Defensive rebound by J. Grant,,9,14
1,6:25.0,Turnover by P. George (bad pass; steal by M. Smart),,9,14
1,6:19.0,,K. Irving makes 2-pt layup from 1 ft,9,16
1,6:04.0,Shooting foul by J. Tatum (drawn by P. George),,9,16
1,6:04.0,,Boston full timeout,9,16
1,6:04.0,P. George misses free throw 1 of 2,,9,16
1,6:04.0,Offensive rebound by Team,,9,16
1,6:04.0,P. George makes free throw 2 of 2,,10,16
1,5:51.0,,K. Irving misses 3-pt jump shot from 25 ft,10,16
1,5:49.0,Defensive rebound by P. George,,10,16
1,5:40.0,P. George misses 3-pt jump shot from 28 ft,,10,16
1,5:38.0,,Defensive rebound by M. Smart,10,16
1,5:30.0,,A. Horford misses 3-pt jump shot from 25 ft,10,16
1,5:27.0,Defensive rebound by P. George,,10,16
1,5:17.0,P. George makes 2-pt layup from 2 ft,,12,16
1,5:01.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by M. Smart),12,18
1,4:46.0,R. Westbrook misses 2-pt jump shot from 19 ft,,12,18
1,4:44.0,,Defensive rebound by M. Morris,12,18
1,4:27.0,,M. Morris makes 2-pt layup from 2 ft,12,20
1,4:17.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,15,20
1,4:05.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),15,22
1,3:48.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,17,22
1,3:35.0,,K. Irving makes 2-pt layup from 1 ft,17,24
1,3:28.0,Oklahoma City full timeout,,17,24
1,3:28.0,D. Schröder enters the game for P. George,,17,24
1,3:28.0,,G. Hayward enters the game for M. Morris,17,24
1,3:19.0,T. Ferguson makes 3-pt jump shot from 28 ft (assist by R. Westbrook),,20,24
1,3:19.0,,J. Brown enters the game for M. Smart,20,24
1,3:19.0,,T. Rozier enters the game for J. Tatum,20,24
1,2:50.0,,K. Irving misses 3-pt jump shot from 26 ft,20,24
1,2:48.0,Defensive rebound by R. Westbrook,,20,24
1,2:42.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,23,24
1,2:31.0,,J. Brown makes 2-pt jump shot from 12 ft,23,26
1,2:20.0,Shooting foul by K. Irving (drawn by R. Westbrook),,23,26
1,2:20.0,R. Westbrook makes free throw 1 of 2,,24,26
1,2:20.0,N. Noel enters the game for S. Adams,,24,26
1,2:20.0,,D. Theis enters the game for A. Horford,24,26
1,2:20.0,R. Westbrook misses free throw 2 of 2,,24,26
1,2:19.0,,Defensive rebound by Team,24,26
1,2:19.0,P. George enters the game for R. Westbrook,,24,26
1,2:07.0,,Turnover by G. Hayward (lost ball; steal by D. Schröder),24,26
1,1:59.0,D. Schröder makes 2-pt layup from 1 ft,,26,26
1,1:47.0,,G. Hayward misses 2-pt layup from 1 ft,26,26
1,1:46.0,,Offensive rebound by G. Hayward,26,26
1,1:45.0,,G. Hayward misses 2-pt layup from 1 ft (block by N. Noel),26,26
1,1:44.0,,Offensive rebound by G. Hayward,26,26
1,1:42.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by T. Rozier),26,29
1,1:16.0,D. Schröder misses 3-pt jump shot from 26 ft,,26,29
1,1:14.0,,Defensive rebound by K. Irving,26,29
1,1:10.0,,Personal foul by D. Schröder (drawn by G. Hayward),26,29
1,1:10.0,P. Patterson enters the game for J. Grant,,26,29
1,1:04.0,,D. Theis misses 2-pt layup from 6 ft (block by N. Noel),26,29
1,1:02.0,Defensive rebound by P. Patterson,,26,29
1,0:47.0,P. George misses 2-pt jump shot from 15 ft,,26,29
1,0:44.0,,Defensive rebound by T. Rozier,26,29
1,0:39.0,,T. Rozier misses 3-pt jump shot from 26 ft,26,29
1,0:35.0,Defensive rebound by D. Schröder,,26,29
1,0:29.0,D. Schröder misses 2-pt layup from 2 ft,,26,29
1,0:27.0,,Defensive rebound by D. Theis,26,29
1,0:22.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),26,31
1,0:02.0,P. George makes 3-pt jump shot from 27 ft,,29,31
2,11:47.0,,Turnover by T. Rozier (lost ball; steal by H. Diallo),29,31
2,11:33.0,P. George misses 3-pt jump shot from 26 ft,,29,31
2,11:31.0,,Defensive rebound by T. Rozier,29,31
2,11:19.0,,Turnover by M. Morris (out of bounds lost ball),29,31
2,11:07.0,Turnover by D. Schröder (bad pass; steal by D. Theis),,29,31
2,10:58.0,,J. Brown misses 2-pt layup from 1 ft,29,31
2,10:56.0,,Offensive rebound by D. Theis,29,31
2,10:55.0,,D. Theis makes 2-pt layup at rim,29,33
2,10:39.0,P. George makes 2-pt dunk from 1 ft,,31,33
2,10:19.0,,T. Rozier makes 2-pt jump shot from 9 ft,31,35
2,10:05.0,P. George makes 2-pt jump shot from 15 ft,,33,35
2,9:50.0,,T. Rozier misses 3-pt jump shot from 25 ft,33,35
2,9:48.0,Defensive rebound by D. Schröder,,33,35
2,9:35.0,Shooting foul by D. Theis (drawn by D. Schröder),,33,35
2,9:35.0,D. Schröder makes free throw 1 of 2,,34,35
2,9:35.0,D. Schröder makes free throw 2 of 2,,35,35
2,9:21.0,,J. Brown makes 2-pt layup from 1 ft (assist by G. Hayward),35,37
2,9:08.0,D. Schröder misses 2-pt jump shot from 10 ft,,35,37
2,9:06.0,Offensive rebound by D. Schröder,,35,37
2,9:00.0,P. George misses 2-pt layup from 1 ft,,35,37
2,8:59.0,,Defensive rebound by Team,35,37
2,8:42.0,,M. Morris misses 3-pt jump shot from 25 ft,35,37
2,8:40.0,,Offensive rebound by Team,35,37
2,8:40.0,R. Westbrook enters the game for P. George,,35,37
2,8:29.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by J. Brown),35,39
2,8:16.0,D. Schröder misses 3-pt jump shot from 26 ft,,35,39
2,8:14.0,Offensive rebound by H. Diallo,,35,39
2,8:14.0,H. Diallo makes 2-pt layup at rim,,37,39
2,8:04.0,,Shooting foul by R. Westbrook (drawn by J. Brown),37,39
2,8:04.0,,J. Brown makes free throw 1 of 2,37,40
2,8:04.0,S. Adams enters the game for N. Noel,,37,40
2,8:04.0,,J. Brown makes free throw 2 of 2,37,41
2,7:52.0,D. Schröder misses 2-pt layup from 5 ft,,37,41
2,7:50.0,,Defensive rebound by T. Rozier,37,41
2,7:43.0,,Personal foul by P. Patterson (drawn by D. Theis),37,41
2,7:36.0,,Turnover by G. Hayward (bad pass; steal by R. Westbrook),37,41
2,7:28.0,R. Westbrook makes 2-pt layup from 1 ft,,39,41
2,7:10.0,,M. Morris misses 3-pt jump shot from 25 ft,39,41
2,7:08.0,Defensive rebound by D. Schröder,,39,41
2,7:04.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. Patterson),,41,41
2,7:03.0,,Boston full timeout,41,41
2,7:03.0,J. Grant enters the game for P. Patterson,,41,41
2,7:03.0,,K. Irving enters the game for G. Hayward,41,41
2,6:45.0,,Turnover by T. Rozier (bad pass; steal by S. Adams),41,41
2,6:41.0,Shooting foul by M. Morris (drawn by R. Westbrook),,41,41
2,6:41.0,R. Westbrook makes free throw 1 of 2,,42,41
2,6:41.0,,J. Tatum enters the game for T. Rozier,42,41
2,6:41.0,R. Westbrook misses free throw 2 of 2,,42,41
2,6:39.0,Offensive rebound by S. Adams,,42,41
2,6:31.0,R. Westbrook misses 2-pt layup from 7 ft (block by D. Theis),,42,41
2,6:31.0,,Defensive rebound by Team,42,41
2,6:26.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),42,43
2,6:09.0,Offensive foul by H. Diallo (drawn by D. Theis),,42,43
2,6:09.0,Turnover by H. Diallo (offensive foul),,42,43
2,6:09.0,,Technical foul by B. Donovan,42,43
