QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
4,2:06.0,Shooting foul by M. Smart (drawn by P. George),,119,123
4,2:06.0,Oklahoma City full timeout,,119,123
4,2:06.0,P. George makes free throw 1 of 2,,120,123
4,2:06.0,P. George misses free throw 2 of 2,,120,123
4,2:06.0,,Defensive rebound by J. Tatum,120,123
4,1:50.0,,K. Irving makes 2-pt jump shot from 12 ft,120,125
4,1:41.0,Shooting foul by A. Horford (drawn by S. Adams),,120,125
4,1:41.0,S. Adams misses free throw 1 of 2,,120,125
4,1:41.0,Offensive rebound by Team,,120,125
4,1:41.0,S. Adams makes free throw 2 of 2,,121,125
4,1:27.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),121,127
4,1:15.0,D. Schröder misses 2-pt layup from 2 ft (block by J. Tatum),,121,127
4,1:12.0,Offensive rebound by R. Westbrook,,121,127
4,1:10.0,Shooting foul by A. Horford (drawn by J. Grant),,121,127
4,1:10.0,J. Grant makes free throw 1 of 2,,122,127
4,1:10.0,T. Ferguson enters the game for D. Schröder,,122,127
4,1:10.0,J. Grant makes free throw 2 of 2,,123,127
4,0:51.0,,Turnover by K. Irving (bad pass; steal by R. Westbrook),123,127
4,0:47.0,P. George misses 3-pt jump shot from 26 ft,,123,127
4,0:45.0,Offensive rebound by Team,,123,127
4,0:45.0,,Loose ball foul by K. Irving (drawn by R. Westbrook),123,127
4,0:45.0,R. Westbrook makes free throw 1 of 2,,124,127
4,0:45.0,R. Westbrook makes free throw 2 of 2,,125,127
4,0:23.0,,K. Irving makes 2-pt layup from 1 ft,125,129
4,0:23.0,Oklahoma City full timeout,,125,129
4,0:23.0,D. Schröder enters the game for T. Ferguson,,125,129
4,0:18.0,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,128,129
4,0:16.0,,Personal take foul by R. Westbrook (drawn by J. Tatum),128,129
4,0:16.0,,J. Tatum makes free throw 1 of 2,128,130
4,0:16.0,,J. Brown enters the game for M. Morris,128,130
4,0:16.0,,J. Tatum misses free throw 2 of 2,128,130
4,0:16.0,Defensive rebound by R. Westbrook,,128,130
4,0:08.0,Turnover by R. Westbrook (lost ball; steal by A. Horford),,128,130
4,0:07.0,,Personal take foul by S. Adams (drawn by J. Tatum),128,130
4,0:07.0,,J. Tatum makes free throw 1 of 2,128,131
4,0:07.0,,J. Tatum makes free throw 2 of 2,128,132
4,0:07.0,Oklahoma City full timeout,,128,132
4,0:07.0,T. Ferguson enters the game for D. Schröder,,128,132
4,0:05.0,Shooting foul by K. Irving (drawn by R. Westbrook),,128,132
4,0:05.0,R. Westbrook makes free throw 1 of 2,,129,132
4,0:05.0,,D. Theis enters the game for J. Tatum,129,132
4,0:05.0,R. Westbrook misses free throw 2 of 2,,129,132
4,0:05.0,,Defensive rebound by Team,129,132
4,0:05.0,,Boston full timeout,129,132
4,0:05.0,,M. Morris enters the game for J. Brown,129,132
4,0:05.0,,J. Tatum enters the game for D. Theis,129,132
4,0:02.0,,Personal take foul by S. Adams (drawn by M. Smart),129,132
4,0:02.0,,M. Smart makes free throw 1 of 2,129,133
4,0:02.0,,M. Smart makes free throw 2 of 2,129,134
4,0:00.0,P. George misses 3-pt jump shot from 29 ft (block by J. Tatum),,129,134
4,0:00.0,Offensive rebound by Team,,129,134
