QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
1,11:45.0,,K. Towns misses 2-pt jump shot from 16 ft,0,0
1,11:39.0,Defensive rebound by N. Batum,,0,0
1,11:32.0,N. Batum misses 2-pt layup from 1 ft,,0,0
1,11:30.0,Offensive rebound by M. Kidd-Gilchrist,,0,0
1,11:26.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by R. Covington),,0,0
1,11:19.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),0,3
1,10:58.0,M. Kidd-Gilchrist makes 3-pt jump shot from 24 ft (assist by N. Batum),,3,3
1,10:41.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),3,6
1,10:29.0,C. Zeller misses 2-pt jump shot from 11 ft (block by K. Towns),,3,6
1,10:28.0,,Defensive rebound by Team,3,6
1,10:09.0,,K. Towns makes 3-pt jump shot from 23 ft (assist by A. Wiggins),3,9
1,9:49.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,5,9
1,9:35.0,,K. Towns misses 2-pt jump shot from 13 ft,5,9
1,9:34.0,,Offensive rebound by K. Towns,5,9
1,9:33.0,,Personal foul by C. Zeller (drawn by K. Towns),5,9
1,9:29.0,,A. Wiggins makes 2-pt jump shot from 21 ft,5,11
1,9:06.0,J. Lamb misses 2-pt layup from 2 ft,,5,11
1,9:03.0,Offensive rebound by N. Batum,,5,11
1,9:01.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by N. Batum),,8,11
1,8:52.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Teague),8,13
1,8:37.0,K. Walker makes 2-pt layup at rim,,10,13
1,8:18.0,,Shooting foul by K. Walker (drawn by K. Towns),10,13
1,8:18.0,,K. Towns misses free throw 1 of 2,10,13
1,8:18.0,,Offensive rebound by Team,10,13
1,8:18.0,,K. Towns makes free throw 2 of 2,10,14
1,8:01.0,K. Walker makes 2-pt jump shot from 5 ft,,12,14
1,7:45.0,,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),12,16
1,7:25.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by K. Towns),,12,16
1,7:22.0,Offensive rebound by J. Lamb,,12,16
1,7:20.0,N. Batum makes 3-pt jump shot from 23 ft (assist by J. Lamb),,15,16
1,7:14.0,,Turnover by A. Wiggins (lost ball; steal by J. Lamb),15,16
1,7:07.0,N. Batum misses 3-pt jump shot from 24 ft,,15,16
1,7:05.0,Offensive rebound by C. Zeller,,15,16
1,7:02.0,N. Batum makes 2-pt layup from 1 ft (assist by C. Zeller),,17,16
1,6:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),17,18
1,6:34.0,Personal foul by J. Teague (drawn by N. Batum),,17,18
1,6:34.0,,Minnesota full timeout,17,18
1,6:28.0,M. Kidd-Gilchrist misses 2-pt layup from 5 ft (block by T. Gibson),,17,18
1,6:24.0,,Defensive rebound by K. Towns,17,18
1,6:13.0,,Turnover by R. Covington (bad pass; steal by C. Zeller),17,18
1,6:10.0,J. Lamb makes 2-pt layup from 1 ft (assist by C. Zeller),,19,18
1,6:10.0,Shooting foul by R. Covington (drawn by J. Lamb),,19,18
1,6:10.0,J. Lamb makes free throw 1 of 1,,20,18
1,6:00.0,,A. Wiggins misses 2-pt jump shot from 21 ft,20,18
1,5:59.0,Defensive rebound by K. Walker,,20,18
1,5:52.0,K. Walker makes 3-pt jump shot from 25 ft,,23,18
1,5:32.0,,J. Teague misses 3-pt jump shot from 25 ft,23,18
1,5:28.0,,Offensive rebound by K. Towns,23,18
1,5:26.0,,R. Covington misses 3-pt jump shot from 28 ft,23,18
1,5:26.0,,Offensive rebound by T. Gibson,23,18
1,5:18.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Teague),23,21
1,5:00.0,K. Walker misses 2-pt layup from 2 ft (block by K. Towns),,23,21
1,4:58.0,,Defensive rebound by R. Covington,23,21
1,4:42.0,,Offensive foul by K. Towns (drawn by N. Batum),23,21
1,4:42.0,,Turnover by K. Towns (offensive foul),23,21
1,4:42.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,23,21
1,4:42.0,,D. Rose enters the game for R. Covington,23,21
1,4:35.0,Shooting foul by J. Teague (drawn by K. Walker),,23,21
1,4:35.0,K. Walker misses free throw 1 of 3,,23,21
1,4:35.0,Offensive rebound by Team,,23,21
1,4:35.0,K. Walker makes free throw 2 of 3,,24,21
1,4:35.0,M. Bridges enters the game for N. Batum,,24,21
1,4:35.0,K. Walker makes free throw 3 of 3,,25,21
1,4:26.0,,D. Rose misses 2-pt jump shot from 15 ft,25,21
1,4:23.0,Defensive rebound by J. Lamb,,25,21
1,4:17.0,J. Lamb misses 2-pt layup from 2 ft,,25,21
1,4:15.0,,Defensive rebound by T. Gibson,25,21
1,4:04.0,,Turnover by J. Teague (bad pass; steal by K. Walker),25,21
1,4:00.0,K. Walker makes 2-pt layup from 2 ft,,27,21
1,3:52.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by J. Teague),27,24
1,3:25.0,F. Kaminsky makes 2-pt jump shot from 6 ft (assist by K. Walker),,29,24
1,3:03.0,,J. Teague misses 2-pt jump shot from 17 ft,29,24
1,3:01.0,Defensive rebound by K. Walker,,29,24
1,2:57.0,K. Walker misses 2-pt jump shot from 10 ft,,29,24
1,2:55.0,,Defensive rebound by T. Gibson,29,24
1,2:43.0,,A. Wiggins misses 3-pt jump shot from 24 ft,29,24
1,2:42.0,Defensive rebound by J. Lamb,,29,24
1,2:36.0,Charlotte full timeout,,29,24
1,2:36.0,B. Biyombo enters the game for K. Walker,,29,24
1,2:36.0,T. Parker enters the game for C. Zeller,,29,24
1,2:36.0,,G. Dieng enters the game for T. Gibson,29,24
1,2:36.0,,T. Jones enters the game for J. Teague,29,24
1,2:36.0,,D. Šarić enters the game for K. Towns,29,24
1,2:21.0,Turnover by B. Biyombo (3 sec),,29,24
1,2:00.0,,Turnover by A. Wiggins (step out of bounds),29,24
1,1:49.0,T. Parker misses 2-pt jump shot from 21 ft,,29,24
1,1:44.0,,Defensive rebound by G. Dieng,29,24
1,1:41.0,,Shooting foul by M. Bridges (drawn by D. Rose),29,24
1,1:41.0,,D. Rose misses free throw 1 of 2,29,24
1,1:41.0,,Offensive rebound by Team,29,24
1,1:41.0,,D. Rose misses free throw 2 of 2,29,24
1,1:38.0,Defensive rebound by B. Biyombo,,29,24
1,1:30.0,Shooting foul by D. Šarić (drawn by B. Biyombo),,29,24
1,1:30.0,B. Biyombo misses free throw 1 of 2,,29,24
1,1:30.0,Offensive rebound by Team,,29,24
1,1:30.0,B. Biyombo makes free throw 2 of 2,,30,24
1,1:16.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Rose),30,27
1,0:51.0,M. Bridges misses 3-pt jump shot from 25 ft,,30,27
1,0:49.0,,Defensive rebound by D. Šarić,30,27
1,0:44.0,,D. Rose makes 2-pt layup from 2 ft,30,29
1,0:34.0,Shooting foul by G. Dieng (drawn by J. Lamb),,30,29
1,0:34.0,J. Lamb misses free throw 1 of 2,,30,29
1,0:34.0,Offensive rebound by Team,,30,29
1,0:34.0,J. Lamb makes free throw 2 of 2,,31,29
1,0:28.0,,A. Wiggins makes 2-pt layup from 1 ft,31,31
1,0:08.0,T. Parker misses 2-pt layup from 4 ft,,31,31
1,0:06.0,,Defensive rebound by D. Šarić,31,31
2,11:50.0,M. Bridges makes 2-pt dunk from 1 ft (assist by T. Parker),,33,31
2,11:36.0,,G. Dieng misses 2-pt jump shot from 19 ft,33,31
2,11:33.0,Defensive rebound by M. Bridges,,33,31
2,11:26.0,F. Kaminsky makes 3-pt jump shot from 23 ft (assist by M. Bridges),,36,31
2,11:05.0,,D. Rose misses 2-pt jump shot from 7 ft,36,31
2,11:03.0,,Offensive rebound by G. Dieng,36,31
2,10:58.0,,G. Dieng misses 3-pt jump shot from 24 ft,36,31
2,10:57.0,Defensive rebound by N. Batum,,36,31
2,10:50.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by N. Batum),,39,31
2,10:25.0,,R. Covington makes 2-pt jump shot from 7 ft,39,33
2,10:07.0,N. Batum makes 2-pt jump shot from 21 ft (assist by T. Parker),,41,33
2,9:56.0,,D. Rose makes 2-pt layup from 2 ft,41,35
2,9:32.0,Turnover by F. Kaminsky (lost ball; steal by R. Covington),,41,35
2,9:28.0,,D. Šarić misses 2-pt layup from 3 ft (block by M. Monk),41,35
2,9:28.0,,Offensive rebound by Team,41,35
2,9:18.0,,D. Rose misses 3-pt jump shot from 23 ft,41,35
2,9:13.0,,Offensive rebound by D. Šarić,41,35
2,9:11.0,,D. Rose makes 2-pt jump shot from 9 ft (assist by D. Šarić),41,37
2,8:54.0,M. Monk misses 3-pt jump shot from 25 ft,,41,37
2,8:52.0,Offensive rebound by N. Batum,,41,37
2,8:52.0,N. Batum makes 2-pt layup from 1 ft,,43,37
2,8:52.0,Shooting foul by R. Covington (drawn by N. Batum),,43,37
2,8:52.0,M. Kidd-Gilchrist enters the game for M. Bridges,,43,37
2,8:52.0,N. Batum makes free throw 1 of 1,,44,37
2,8:41.0,,Turnover by G. Dieng (bad pass),44,37
2,8:18.0,M. Monk makes 2-pt layup from 1 ft,,46,37
2,8:11.0,,Minnesota full timeout,46,37
2,8:11.0,C. Zeller enters the game for F. Kaminsky,,46,37
2,8:11.0,,K. Towns enters the game for G. Dieng,46,37
2,8:05.0,,Turnover by T. Jones (offensive foul),46,37
2,8:05.0,,Offensive foul by T. Jones (drawn by C. Zeller),46,37
2,7:54.0,N. Batum makes 2-pt layup at rim (assist by C. Zeller),,48,37
2,7:35.0,,D. Šarić misses 2-pt layup from 2 ft,48,37
2,7:32.0,Defensive rebound by C. Zeller,,48,37
2,7:26.0,C. Zeller makes 3-pt jump shot from 25 ft (assist by T. Parker),,51,37
2,7:15.0,,Personal foul by C. Zeller (drawn by K. Towns),51,37
2,7:10.0,,T. Jones misses 3-pt jump shot from 24 ft,51,37
2,7:07.0,Defensive rebound by M. Monk,,51,37
2,7:03.0,Turnover by M. Monk (bad pass),,51,37
2,6:49.0,,Offensive foul by R. Covington (drawn by M. Kidd-Gilchrist),51,37
2,6:49.0,,Turnover by R. Covington (offensive foul),51,37
2,6:49.0,,J. Teague enters the game for R. Covington,51,37
2,6:49.0,,A. Wiggins enters the game for T. Jones,51,37
2,6:33.0,N. Batum misses 2-pt jump shot from 15 ft,,51,37
2,6:29.0,Offensive rebound by C. Zeller,,51,37
2,6:29.0,C. Zeller misses 2-pt layup from 1 ft,,51,37
2,6:28.0,,Defensive rebound by K. Towns,51,37
2,6:24.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by D. Rose),51,40
2,6:09.0,M. Monk makes 2-pt layup from 2 ft (assist by N. Batum),,53,40
2,6:00.0,,D. Rose misses 2-pt layup at rim,53,40
