QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
1,11:45.0,,R. Lopez misses 2-pt hook shot from 5 ft,0,0
1,11:43.0,Defensive rebound by R. Rubio,,0,0
1,11:32.0,R. Rubio misses 2-pt jump shot from 19 ft,,0,0
1,11:28.0,,Defensive rebound by L. Markkanen,0,0
1,11:22.0,,L. Markkanen misses 2-pt layup from 3 ft,0,0
1,11:16.0,,Offensive rebound by L. Markkanen,0,0
1,11:16.0,,L. Markkanen misses 2-pt layup from 1 ft,0,0
1,11:16.0,Defensive rebound by J. Ingles,,0,0
1,11:04.0,J. Ingles misses 3-pt jump shot from 25 ft,,0,0
1,11:01.0,,Defensive rebound by L. Markkanen,0,0
1,10:47.0,,A. Blakeney makes 2-pt jump shot from 21 ft (assist by R. Lopez),0,2
1,10:32.0,J. Ingles misses 3-pt jump shot from 24 ft,,0,2
1,10:28.0,Offensive rebound by D. Favors,,0,2
1,10:23.0,R. Rubio makes 2-pt layup from 1 ft (assist by D. Mitchell),,2,2
1,9:59.0,,K. Dunn misses 2-pt jump shot from 8 ft,2,2
1,9:54.0,,Offensive rebound by R. Lopez,2,2
1,9:54.0,,R. Lopez misses 2-pt layup from 1 ft,2,2
1,9:53.0,Defensive rebound by D. Mitchell,,2,2
1,9:48.0,R. Rubio makes 2-pt layup from 2 ft,,4,2
1,9:37.0,,K. Dunn misses 2-pt jump shot from 14 ft,4,2
1,9:33.0,Defensive rebound by J. Ingles,,4,2
1,9:24.0,R. Gobert misses 2-pt layup from 6 ft (block by S. Harrison),,4,2
1,9:24.0,,Defensive rebound by S. Harrison,4,2
1,9:19.0,,L. Markkanen makes 2-pt layup from 2 ft,4,4
1,8:51.0,D. Favors makes 2-pt hook shot from 10 ft (assist by J. Ingles),,6,4
1,8:37.0,,L. Markkanen misses 3-pt jump shot from 26 ft,6,4
1,8:34.0,Defensive rebound by J. Ingles,,6,4
1,8:31.0,Personal foul by A. Blakeney (drawn by D. Mitchell),,6,4
