QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
1,11:47.0,Turnover by N. Jokić (bad pass),,0,0
1,11:33.0,,I. Shumpert misses 3-pt jump shot from 23 ft,0,0
1,11:30.0,Defensive rebound by M. Plumlee,,0,0
1,11:20.0,Turnover by T. Craig (bad pass),,0,0
1,11:13.0,,N. Bjelica misses 3-pt jump shot from 25 ft (block by M. Plumlee),0,0
1,11:09.0,Defensive rebound by N. Jokić,,0,0
1,11:00.0,N. Jokić makes 2-pt layup from 4 ft (assist by J. Hernangómez),,2,0
1,10:54.0,,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox),2,2
1,10:30.0,T. Craig misses 3-pt jump shot from 24 ft,,2,2
1,10:27.0,Offensive rebound by M. Plumlee,,2,2
1,10:21.0,N. Jokić makes 2-pt hook shot from 6 ft (assist by J. Murray),,4,2
1,10:14.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),4,5
1,9:57.0,J. Murray misses 2-pt jump shot from 10 ft,,4,5
1,9:54.0,Offensive rebound by J. Murray,,4,5
1,9:45.0,J. Murray misses 3-pt jump shot from 25 ft,,4,5
1,9:44.0,Offensive rebound by Team,,4,5
1,9:43.0,,Loose ball foul by D. Fox (drawn by M. Plumlee),4,5
1,9:37.0,N. Jokić misses 3-pt jump shot from 25 ft,,4,5
1,9:34.0,,Defensive rebound by B. Hield,4,5
1,9:34.0,,Personal foul by J. Murray (drawn by D. Fox),4,5
1,9:22.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),4,7
1,9:09.0,N. Jokić misses 3-pt jump shot from 26 ft,,4,7
1,9:09.0,,Defensive rebound by Team,4,7
1,9:09.0,Loose ball foul by M. Plumlee (drawn by N. Bjelica),,4,7
1,8:50.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),4,9
1,8:32.0,N. Jokić misses 3-pt jump shot from 26 ft,,4,9
1,8:32.0,Offensive rebound by M. Plumlee,,4,9
1,8:21.0,Shooting foul by N. Bjelica (drawn by M. Plumlee),,4,9
1,8:21.0,M. Plumlee makes free throw 1 of 2,,5,9
1,8:21.0,M. Plumlee misses free throw 2 of 2,,5,9
1,8:21.0,,Defensive rebound by N. Bjelica,5,9
1,8:05.0,,D. Fox misses 2-pt jump shot from 11 ft,5,9
1,8:03.0,Defensive rebound by J. Hernangómez,,5,9
1,8:00.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by M. Plumlee),,7,9
1,8:00.0,Shooting foul by I. Shumpert (drawn by J. Hernangómez),,7,9
1,8:00.0,J. Hernangómez makes free throw 1 of 1,,8,9
1,7:42.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by I. Shumpert),8,12
1,7:27.0,N. Jokić makes 2-pt hook shot from 3 ft (assist by M. Plumlee),,10,12
1,7:20.0,,N. Bjelica misses 3-pt jump shot from 29 ft,10,12
1,7:20.0,Defensive rebound by N. Jokić,,10,12
1,7:14.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Craig),,12,12
1,7:02.0,,Turnover by W. Cauley-Stein (traveling),12,12
1,6:57.0,T. Craig misses 2-pt jump shot from 5 ft,,12,12
1,6:53.0,Offensive rebound by M. Plumlee,,12,12
1,6:53.0,M. Plumlee makes 2-pt layup from 1 ft,,14,12
1,6:51.0,,Sacramento full timeout,14,12
1,6:35.0,,I. Shumpert misses 3-pt jump shot from 24 ft,14,12
1,6:31.0,,Offensive rebound by N. Bjelica,14,12
1,6:30.0,,I. Shumpert misses 2-pt jump shot from 16 ft,14,12
1,6:26.0,,Offensive rebound by N. Bjelica,14,12
1,6:26.0,,N. Bjelica makes 2-pt hook shot from 8 ft,14,14
1,6:10.0,M. Plumlee misses 2-pt hook shot from 6 ft,,14,14
1,6:06.0,,Defensive rebound by W. Cauley-Stein,14,14
1,5:59.0,,N. Bjelica makes 3-pt jump shot from 23 ft (assist by B. Hield),14,17
1,5:42.0,Shooting foul by W. Cauley-Stein (drawn by N. Jokić),,14,17
1,5:42.0,N. Jokić makes free throw 1 of 2,,15,17
1,5:42.0,G. Harris enters the game for J. Hernangómez,,15,17
1,5:42.0,P. Millsap enters the game for M. Plumlee,,15,17
1,5:42.0,N. Jokić makes free throw 2 of 2,,16,17
1,5:30.0,,B. Hield makes 2-pt jump shot from 16 ft (assist by N. Bjelica),16,19
1,5:14.0,P. Millsap misses 3-pt jump shot from 26 ft,,16,19
1,5:12.0,Offensive rebound by T. Craig,,16,19
1,5:09.0,G. Harris makes 3-pt jump shot from 25 ft (assist by T. Craig),,19,19
1,5:01.0,,D. Fox makes 2-pt jump shot from 7 ft,19,21
1,5:01.0,,Shooting foul by T. Craig (drawn by D. Fox),19,21
1,5:01.0,,D. Fox misses free throw 1 of 1,19,21
1,4:58.0,Defensive rebound by N. Jokić,,19,21
