QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
1,11:49.0,,P. George misses 3-pt jump shot from 26 ft,0,0
1,11:46.0,Defensive rebound by T. Young,,0,0
1,11:34.0,T. Prince misses 2-pt jump shot from 21 ft,,0,0
1,11:32.0,,Defensive rebound by R. Westbrook,0,0
1,11:29.0,,P. George misses 2-pt layup from 5 ft,0,0
1,11:26.0,,Offensive rebound by S. Adams,0,0
1,11:25.0,,S. Adams makes 2-pt layup from 1 ft,0,2
1,11:18.0,Turnover by T. Young (bad pass; steal by P. George),,0,2
1,11:15.0,,P. George makes 2-pt dunk from 1 ft,0,4
1,10:59.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),,3,4
1,10:53.0,,Personal foul by D. Dedmon (drawn by S. Adams),3,4
1,10:48.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Adams),3,6
1,10:35.0,T. Young misses 3-pt jump shot from 25 ft,,3,6
1,10:33.0,,Defensive rebound by Team,3,6
1,10:23.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),3,9
1,10:22.0,Atlanta full timeout,,3,9
1,10:06.0,Turnover by D. Dedmon (off goaltending),,3,9
1,9:51.0,,S. Adams misses 2-pt layup from 2 ft,3,9
1,9:49.0,,Offensive rebound by S. Adams,3,9
1,9:46.0,,Á. Abrines misses 3-pt jump shot from 25 ft,3,9
1,9:46.0,,Offensive rebound by S. Adams,3,9
1,9:37.0,,P. George makes 2-pt layup from 1 ft (assist by S. Adams),3,11
1,9:23.0,T. Prince makes 2-pt jump shot from 8 ft,,5,11
1,9:09.0,,S. Adams makes 2-pt jump shot from 6 ft (assist by Á. Abrines),5,13
1,8:51.0,J. Collins makes 2-pt hook shot from 5 ft (assist by T. Prince),,7,13
1,8:35.0,,J. Grant misses 2-pt layup from 2 ft,7,13
1,8:33.0,Defensive rebound by K. Huerter,,7,13
1,8:26.0,Personal foul by R. Westbrook (drawn by J. Collins),,7,13
1,8:20.0,D. Dedmon misses 3-pt jump shot from 23 ft,,7,13
1,8:18.0,,Defensive rebound by Á. Abrines,7,13
1,8:09.0,,Turnover by R. Westbrook (bad pass; steal by D. Dedmon),7,13
1,8:03.0,T. Young makes 2-pt layup from 2 ft,,9,13
1,7:54.0,,R. Westbrook misses 3-pt jump shot from 25 ft,9,13
1,7:51.0,Defensive rebound by K. Huerter,,9,13
1,7:46.0,K. Huerter makes 2-pt jump shot from 7 ft,,11,13
1,7:36.0,,Offensive foul by P. George (drawn by T. Prince),11,13
1,7:36.0,,Turnover by P. George (offensive foul),11,13
1,7:15.0,T. Prince misses 3-pt jump shot from 23 ft,,11,13
1,7:11.0,,Defensive rebound by J. Grant,11,13
1,7:01.0,,S. Adams misses 2-pt dunk from 2 ft (block by J. Collins),11,13
1,6:57.0,Defensive rebound by D. Dedmon,,11,13
1,6:55.0,T. Young misses 3-pt jump shot from 26 ft,,11,13
1,6:52.0,,Defensive rebound by S. Adams,11,13
1,6:40.0,,P. George misses 3-pt jump shot from 23 ft,11,13
1,6:38.0,Defensive rebound by D. Dedmon,,11,13
1,6:26.0,T. Prince makes 2-pt layup from 1 ft,,13,13
1,6:18.0,,Oklahoma City full timeout,13,13
1,6:18.0,K. Bazemore enters the game for D. Dedmon,,13,13
1,6:18.0,D. Bembry enters the game for K. Huerter,,13,13
1,6:18.0,A. Len enters the game for T. Young,,13,13
1,6:15.0,,P. George misses 3-pt jump shot from 23 ft,13,13
1,6:12.0,Defensive rebound by J. Collins,,13,13
1,5:55.0,Def 3 sec tech foul by Team,,13,13
1,5:55.0,T. Prince misses technical free throw,,13,13
1,5:55.0,Offensive rebound by Team,,13,13
1,5:46.0,A. Len misses 3-pt jump shot from 23 ft,,13,13
1,5:41.0,,Defensive rebound by P. George,13,13
1,5:40.0,,Personal foul by A. Len (drawn by S. Adams),13,13
1,5:40.0,J. Anderson enters the game for J. Collins,,13,13
1,5:40.0,O. Spellman enters the game for T. Prince,,13,13
1,5:40.0,,D. Schröder enters the game for Á. Abrines,13,13
