QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
1,11:47.0,,M. Morris misses 2-pt jump shot from 13 ft,0,0
1,11:43.0,,Offensive rebound by A. Horford,0,0
1,11:42.0,,M. Smart misses 3-pt jump shot from 24 ft,0,0
1,11:40.0,Defensive rebound by A. Drummond,,0,0
1,11:21.0,L. Kennard misses 3-pt jump shot from 22 ft,,0,0
1,11:20.0,,Defensive rebound by A. Horford,0,0
1,11:09.0,,M. Smart misses 3-pt jump shot from 26 ft,0,0
1,11:07.0,Defensive rebound by L. Kennard,,0,0
1,10:52.0,B. Brown misses 3-pt jump shot from 26 ft,,0,0
1,10:51.0,,Defensive rebound by G. Hayward,0,0
1,10:41.0,,G. Hayward makes 2-pt layup from 1 ft (assist by A. Horford),0,2
1,10:27.0,Turnover by A. Drummond (lost ball; steal by J. Tatum),,0,2
1,10:24.0,,J. Tatum makes 2-pt dunk from 1 ft,0,4
1,10:04.0,Turnover by B. Brown (bad pass; steal by A. Horford),,0,4
1,9:59.0,,G. Hayward makes 2-pt layup from 1 ft (assist by M. Morris),0,6
1,9:38.0,A. Drummond misses 2-pt hook shot from 6 ft,,0,6
1,9:36.0,,Defensive rebound by A. Horford,0,6
1,9:27.0,,M. Morris makes 2-pt jump shot from 3 ft (assist by A. Horford),0,8
1,9:21.0,Detroit full timeout,,0,8
1,9:05.0,R. Jackson makes 2-pt jump shot from 20 ft,,2,8
1,8:52.0,,A. Horford misses 3-pt jump shot from 25 ft,2,8
1,8:50.0,Defensive rebound by A. Drummond,,2,8
1,8:36.0,A. Drummond misses 2-pt hook shot from 9 ft,,2,8
1,8:35.0,,Defensive rebound by A. Horford,2,8
1,8:19.0,,M. Morris misses 2-pt layup from 6 ft,2,8
1,8:18.0,Defensive rebound by A. Drummond,,2,8
1,8:05.0,B. Griffin makes 2-pt layup from 2 ft,,4,8
1,7:48.0,,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),4,10
1,7:35.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,7,10
1,7:25.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart),7,13
1,7:07.0,L. Kennard makes 2-pt jump shot from 18 ft (assist by B. Griffin),,9,13
1,6:55.0,,J. Tatum misses 2-pt jump shot from 17 ft,9,13
1,6:53.0,Defensive rebound by L. Kennard,,9,13
1,6:40.0,B. Griffin makes 3-pt jump shot from 25 ft,,12,13
1,6:21.0,,J. Tatum misses 2-pt jump shot from 9 ft,12,13
1,6:20.0,Defensive rebound by A. Drummond,,12,13
1,6:11.0,Def 3 sec tech foul by Team,,12,13
1,6:11.0,R. Jackson makes technical free throw,,13,13
1,6:11.0,,D. Theis enters the game for A. Horford,13,13
1,5:56.0,R. Jackson misses 2-pt jump shot from 9 ft,,13,13
1,5:54.0,,Defensive rebound by M. Smart,13,13
1,5:48.0,,Personal foul by A. Drummond (drawn by M. Morris),13,13
1,5:37.0,,M. Smart misses 3-pt jump shot from 26 ft,13,13
1,5:34.0,,Offensive rebound by Team,13,13
1,5:34.0,,J. Brown enters the game for J. Tatum,13,13
1,5:32.0,,J. Brown misses 2-pt hook shot from 1 ft,13,13
1,5:30.0,Defensive rebound by A. Drummond,,13,13
1,5:14.0,B. Brown misses 3-pt jump shot from 22 ft,,13,13
1,5:12.0,,Defensive rebound by J. Brown,13,13
1,5:00.0,,D. Theis misses 3-pt jump shot from 25 ft,13,13
1,4:57.0,Defensive rebound by B. Brown,,13,13
