QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
1,11:43.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Lopez),,2,0
1,11:35.0,Loose ball foul by E. Bledsoe (drawn by C. Sexton),,2,0
1,11:25.0,,Turnover by C. Sexton (bad pass; steal by T. Snell),2,0
1,11:19.0,B. Lopez misses 3-pt jump shot from 28 ft,,2,0
1,11:16.0,,Defensive rebound by C. Osman,2,0
1,10:55.0,,R. Hood misses 3-pt jump shot from 28 ft,2,0
1,10:53.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:43.0,T. Snell makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,5,0
1,10:24.0,,C. Frye misses 3-pt jump shot from 26 ft,5,0
1,10:21.0,Defensive rebound by E. Bledsoe,,5,0
1,10:11.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,5,0
1,10:07.0,Offensive rebound by B. Lopez,,5,0
1,10:04.0,Shooting foul by C. Osman (drawn by G. Antetokounmpo),,5,0
1,10:04.0,G. Antetokounmpo makes free throw 1 of 2,,6,0
1,10:04.0,G. Antetokounmpo misses free throw 2 of 2,,6,0
1,10:01.0,,Defensive rebound by C. Frye,6,0
1,9:42.0,,C. Sexton misses 2-pt layup from 1 ft,6,0
1,9:40.0,Defensive rebound by G. Antetokounmpo,,6,0
1,9:37.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Burks),,6,0
1,9:30.0,,C. Sexton misses 2-pt jump shot from 10 ft,6,0
1,9:29.0,,Offensive rebound by A. Burks,6,0
1,9:29.0,,A. Burks misses 2-pt layup at rim,6,0
1,9:28.0,Defensive rebound by T. Snell,,6,0
1,9:09.0,T. Snell makes 3-pt jump shot from 23 ft (assist by P. Connaughton),,9,0
1,9:07.0,,Cleveland full timeout,9,0
1,8:53.0,,Shooting foul by T. Snell (drawn by R. Hood),9,0
1,8:53.0,,R. Hood makes free throw 1 of 2,9,1
1,8:53.0,,R. Hood makes free throw 2 of 2,9,2
1,8:38.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,11,2
1,8:20.0,,C. Sexton misses 2-pt jump shot from 13 ft,11,2
1,8:18.0,Defensive rebound by T. Snell,,11,2
1,8:12.0,E. Bledsoe makes 2-pt layup from 1 ft,,13,2
1,8:01.0,,A. Burks misses 3-pt jump shot from 26 ft,13,2
1,7:58.0,Defensive rebound by T. Snell,,13,2
1,7:50.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,13,2
1,7:47.0,,Defensive rebound by C. Frye,13,2
1,7:38.0,,C. Frye misses 2-pt jump shot from 20 ft,13,2
1,7:35.0,Defensive rebound by P. Connaughton,,13,2
1,7:27.0,P. Connaughton misses 3-pt jump shot from 30 ft,,13,2
1,7:24.0,,Defensive rebound by C. Frye,13,2
1,7:02.0,,R. Hood misses 2-pt jump shot from 5 ft,13,2
1,7:01.0,,Offensive rebound by R. Hood,13,2
1,7:01.0,,R. Hood makes 2-pt layup at rim,13,4
1,6:52.0,Personal foul by R. Hood (drawn by G. Antetokounmpo),,13,4
1,6:52.0,,L. Nance enters the game for C. Frye,13,4
1,6:44.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,15,4
1,6:28.0,,A. Burks misses 2-pt jump shot from 3 ft,15,4
1,6:26.0,,Offensive rebound by A. Burks,15,4
1,6:26.0,,A. Burks makes 2-pt layup at rim,15,6
1,6:03.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by P. Connaughton),,18,6
1,5:39.0,,R. Hood makes 2-pt jump shot from 11 ft,18,8
1,5:22.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,18,8
1,5:22.0,,Defensive rebound by Team,18,8
1,5:22.0,D. DiVincenzo enters the game for G. Antetokounmpo,,18,8
1,5:22.0,T. Maker enters the game for T. Snell,,18,8
1,5:22.0,,J. Clarkson enters the game for A. Burks,18,8
1,5:08.0,,C. Osman misses 3-pt jump shot from 23 ft,18,8
1,5:08.0,Defensive rebound by B. Lopez,,18,8
1,4:57.0,Offensive foul by E. Bledsoe (drawn by C. Sexton),,18,8
1,4:57.0,Turnover by E. Bledsoe (offensive foul),,18,8
1,4:57.0,G. Hill enters the game for E. Bledsoe,,18,8
1,4:57.0,,D. Nwaba enters the game for C. Osman,18,8
1,4:41.0,,C. Sexton misses 3-pt jump shot from 26 ft,18,8
1,4:39.0,Defensive rebound by G. Hill,,18,8
1,4:26.0,P. Connaughton misses 3-pt jump shot from 27 ft,,18,8
1,4:23.0,,Defensive rebound by J. Clarkson,18,8
1,4:16.0,,Turnover by J. Clarkson (lost ball; steal by B. Lopez),18,8
1,4:09.0,D. DiVincenzo misses 3-pt jump shot from 23 ft,,18,8
1,4:08.0,,Defensive rebound by Team,18,8
1,4:08.0,Loose ball foul by T. Maker (drawn by D. Nwaba),,18,8
