QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
1,11:48.0,,D. Fox misses 3-pt jump shot from 25 ft,0,0
1,11:44.0,Defensive rebound by P. George,,0,0
1,11:40.0,Turnover by R. Westbrook (bad pass; steal by N. Bjelica),,0,0
1,11:32.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by D. Fox),0,3
1,11:07.0,J. Grant misses 2-pt layup from 1 ft,,0,3
1,11:04.0,,Defensive rebound by W. Cauley-Stein,0,3
1,10:59.0,,I. Shumpert makes 2-pt jump shot from 16 ft,0,5
1,10:46.0,Offensive foul by J. Grant (drawn by I. Shumpert),,0,5
1,10:46.0,Turnover by J. Grant (offensive foul),,0,5
1,10:32.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by B. Hield),0,8
1,10:17.0,P. George misses 2-pt jump shot from 19 ft,,0,8
1,10:12.0,,Defensive rebound by W. Cauley-Stein,0,8
1,10:05.0,,Personal foul by H. Diallo (drawn by N. Bjelica),0,8
1,9:58.0,,D. Fox misses 2-pt jump shot from 4 ft,0,8
1,9:53.0,,Offensive rebound by W. Cauley-Stein,0,8
1,9:53.0,,W. Cauley-Stein makes 2-pt layup at rim,0,10
1,9:48.0,R. Westbrook makes 2-pt layup from 4 ft,,2,10
1,9:48.0,Shooting foul by N. Bjelica (drawn by R. Westbrook),,2,10
1,9:48.0,R. Westbrook misses free throw 1 of 1,,2,10
1,9:48.0,,Defensive rebound by N. Bjelica,2,10
1,9:38.0,,B. Hield makes 2-pt jump shot from 14 ft (assist by D. Fox),2,12
1,9:30.0,R. Westbrook misses 2-pt layup from 2 ft,,2,12
1,9:28.0,,Defensive rebound by B. Hield,2,12
1,9:24.0,,B. Hield makes 2-pt layup from 2 ft,2,14
1,9:10.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,5,14
1,8:54.0,,I. Shumpert makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),5,16
1,8:54.0,Oklahoma City full timeout,,5,16
1,8:54.0,D. Schröder enters the game for H. Diallo,,5,16
1,8:38.0,S. Adams misses 2-pt hook shot from 8 ft,,5,16
1,8:35.0,,Defensive rebound by N. Bjelica,5,16
1,8:31.0,,D. Fox misses 2-pt jump shot from 14 ft,5,16
