QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
1,11:49.0,,K. Irving makes 2-pt jump shot from 19 ft (assist by A. Horford),0,2
1,11:25.0,M. Williams misses 3-pt jump shot from 22 ft,,0,2
1,11:23.0,,Defensive rebound by K. Irving,0,2
1,11:19.0,,K. Irving makes 2-pt jump shot from 18 ft,0,4
1,11:06.0,C. Zeller misses 3-pt jump shot from 27 ft,,0,4
1,11:04.0,Offensive rebound by Team,,0,4
1,11:04.0,,Loose ball foul by M. Morris (drawn by M. Williams),0,4
1,10:53.0,N. Batum misses 2-pt layup from 4 ft,,0,4
1,10:51.0,,Defensive rebound by J. Tatum,0,4
1,10:40.0,,J. Tatum makes 2-pt jump shot from 12 ft (assist by M. Smart),0,6
1,10:27.0,K. Walker misses 3-pt jump shot from 25 ft,,0,6
1,10:25.0,,Defensive rebound by A. Horford,0,6
1,10:20.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Horford),0,9
1,10:08.0,K. Walker makes 2-pt layup from 4 ft,,2,9
1,10:02.0,,Offensive foul by K. Irving (drawn by C. Zeller),2,9
1,10:02.0,,Turnover by K. Irving (offensive foul),2,9
1,9:52.0,N. Batum misses 2-pt jump shot from 9 ft,,2,9
1,9:50.0,,Defensive rebound by M. Morris,2,9
1,9:33.0,,J. Tatum misses 2-pt jump shot from 7 ft (block by K. Walker),2,9
1,9:31.0,Defensive rebound by K. Walker,,2,9
1,9:28.0,K. Walker makes 2-pt layup from 3 ft,,4,9
1,9:05.0,,M. Morris misses 2-pt layup from 2 ft,4,9
1,9:03.0,Defensive rebound by C. Zeller,,4,9
1,8:56.0,J. Lamb misses 3-pt jump shot from 27 ft,,4,9
1,8:54.0,,Defensive rebound by K. Irving,4,9
1,8:44.0,,M. Morris misses 2-pt layup from 5 ft,4,9
1,8:43.0,,Offensive rebound by M. Smart,4,9
1,8:33.0,,M. Morris misses 3-pt jump shot from 25 ft,4,9
1,8:32.0,Defensive rebound by J. Lamb,,4,9
1,8:20.0,J. Lamb makes 2-pt jump shot from 19 ft,,6,9
1,7:58.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),6,12
1,7:42.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,9,12
1,7:24.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),9,15
1,7:22.0,Charlotte full timeout,,9,15
1,7:13.0,M. Williams misses 3-pt jump shot from 26 ft,,9,15
1,7:10.0,,Defensive rebound by J. Tatum,9,15
1,6:50.0,,Shooting foul by C. Zeller (drawn by A. Horford),9,15
1,6:50.0,,A. Horford misses free throw 1 of 2,9,15
1,6:50.0,,Offensive rebound by Team,9,15
1,6:50.0,,A. Horford makes free throw 2 of 2,9,16
1,6:34.0,J. Lamb misses 2-pt jump shot from 7 ft (block by K. Irving),,9,16
1,6:34.0,Offensive rebound by Team,,9,16
1,6:34.0,,G. Hayward enters the game for A. Horford,9,16
1,6:34.0,,D. Theis enters the game for M. Morris,9,16
1,6:31.0,J. Lamb makes 2-pt jump shot from 20 ft (assist by K. Walker),,11,16
1,6:11.0,,M. Smart misses 3-pt jump shot from 26 ft,11,16
1,6:10.0,,Offensive rebound by Team,11,16
1,6:10.0,M. Kidd-Gilchrist enters the game for M. Williams,,11,16
1,6:07.0,,G. Hayward makes 2-pt layup at rim (assist by K. Irving),11,18
1,5:49.0,K. Walker makes 2-pt layup from 4 ft,,13,18
1,5:36.0,,Turnover by J. Tatum (traveling),13,18
1,5:26.0,K. Walker makes 3-pt jump shot from 26 ft,,16,18
1,5:00.0,,J. Tatum misses 3-pt jump shot from 25 ft,16,18
1,4:58.0,Defensive rebound by N. Batum,,16,18
1,4:53.0,N. Batum makes 2-pt layup from 3 ft (assist by J. Lamb),,18,18
1,4:35.0,,G. Hayward misses 3-pt jump shot from 25 ft,18,18
1,4:31.0,,Offensive rebound by K. Irving,18,18
1,4:20.0,,J. Tatum misses 2-pt layup from 7 ft,18,18
1,4:20.0,,Offensive rebound by D. Theis,18,18
1,4:20.0,,Personal foul by C. Zeller (drawn by D. Theis),18,18
1,4:20.0,M. Bridges enters the game for N. Batum,,18,18
1,4:06.0,,K. Irving makes 3-pt jump shot from 23 ft,18,21
1,3:52.0,K. Walker misses 2-pt jump shot from 8 ft,,18,21
1,3:50.0,,Defensive rebound by G. Hayward,18,21
1,3:43.0,,K. Irving makes 2-pt layup from 4 ft,18,23
1,3:21.0,K. Walker makes 3-pt jump shot from 27 ft (assist by J. Lamb),,21,23
1,2:58.0,,Turnover by J. Tatum (bad pass; steal by J. Lamb),21,23
1,2:54.0,K. Walker makes 2-pt layup from 3 ft (assist by J. Lamb),,23,23
1,2:54.0,,Boston full timeout,23,23
1,2:54.0,T. Parker enters the game for K. Walker,,23,23
1,2:54.0,M. Williams enters the game for C. Zeller,,23,23
1,2:54.0,,J. Brown enters the game for M. Smart,23,23
1,2:54.0,,T. Rozier enters the game for J. Tatum,23,23
1,2:41.0,,Shooting foul by M. Williams (drawn by K. Irving),23,23
1,2:41.0,,K. Irving makes free throw 1 of 2,23,24
1,2:41.0,,K. Irving makes free throw 2 of 2,23,25
1,2:23.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,23,25
1,2:21.0,,Defensive rebound by J. Brown,23,25
1,2:08.0,,K. Irving misses 2-pt jump shot from 12 ft,23,25
1,2:04.0,Defensive rebound by T. Parker,,23,25
1,1:51.0,M. Bridges misses 3-pt jump shot from 27 ft,,23,25
1,1:48.0,,Defensive rebound by G. Hayward,23,25
1,1:42.0,,J. Brown misses 3-pt jump shot from 26 ft,23,25
1,1:39.0,Defensive rebound by M. Bridges,,23,25
1,1:28.0,J. Lamb misses 3-pt jump shot from 27 ft,,23,25
1,1:27.0,,Defensive rebound by T. Rozier,23,25
1,1:16.0,,Turnover by J. Brown (bad pass; steal by M. Bridges),23,25
1,1:11.0,J. Lamb misses 2-pt layup from 6 ft,,23,25
1,1:10.0,Offensive rebound by M. Kidd-Gilchrist,,23,25
1,1:10.0,M. Kidd-Gilchrist makes 2-pt layup from 3 ft,,25,25
1,1:10.0,,Violation by Team (def goaltending),25,25
1,0:53.0,,Shooting foul by M. Bridges (drawn by G. Hayward),25,25
1,0:53.0,,G. Hayward makes free throw 1 of 2,25,26
1,0:53.0,,M. Morris enters the game for K. Irving,25,26
1,0:53.0,,G. Hayward makes free throw 2 of 2,25,27
1,0:43.0,T. Parker misses 2-pt layup from 3 ft,,25,27
1,0:41.0,,Defensive rebound by D. Theis,25,27
1,0:32.0,,Shooting foul by M. Williams (drawn by G. Hayward),25,27
1,0:32.0,,G. Hayward makes free throw 1 of 2,25,28
1,0:32.0,,G. Hayward makes free throw 2 of 2,25,29
1,0:15.0,Shooting foul by D. Theis (drawn by J. Lamb),,25,29
1,0:15.0,J. Lamb misses free throw 1 of 2,,25,29
1,0:15.0,Offensive rebound by Team,,25,29
1,0:15.0,N. Batum enters the game for M. Williams,,25,29
1,0:15.0,J. Lamb makes free throw 2 of 2,,26,29
1,0:02.0,,G. Hayward misses 2-pt jump shot from 10 ft,26,29
1,0:02.0,Defensive rebound by N. Batum,,26,29
2,11:47.0,,Violation by Team (kicked ball),26,29
2,11:36.0,T. Parker misses 2-pt jump shot from 20 ft,,26,29
2,11:33.0,,Defensive rebound by M. Morris,26,29
2,11:23.0,,T. Rozier makes 2-pt jump shot from 14 ft,26,31
2,11:04.0,M. Bridges misses 2-pt hook shot from 3 ft,,26,31
2,11:01.0,,Defensive rebound by T. Rozier,26,31
2,10:58.0,,Shooting foul by M. Bridges (drawn by T. Rozier),26,31
2,10:58.0,,T. Rozier makes free throw 1 of 3,26,32
2,10:58.0,,T. Rozier makes free throw 2 of 3,26,33
2,10:58.0,,T. Rozier makes free throw 3 of 3,26,34
2,10:48.0,Personal foul by J. Brown (drawn by W. Hernangómez),,26,34
2,10:40.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Brown),,26,34
2,10:35.0,,J. Brown misses 2-pt layup from 6 ft,26,34
2,10:34.0,,Offensive rebound by M. Morris,26,34
2,10:34.0,,M. Morris makes 2-pt layup from 1 ft,26,36
2,10:34.0,Charlotte full timeout,,26,36
2,10:34.0,K. Walker enters the game for M. Bridges,,26,36
2,10:34.0,M. Williams enters the game for M. Kidd-Gilchrist,,26,36
2,10:14.0,T. Parker misses 2-pt hook shot from 7 ft,,26,36
2,10:14.0,Offensive rebound by W. Hernangómez,,26,36
2,10:13.0,W. Hernangómez misses 2-pt layup from 1 ft (block by T. Rozier),,26,36
2,10:13.0,Offensive rebound by Team,,26,36
2,10:13.0,,A. Horford enters the game for D. Theis,26,36
2,10:01.0,Shooting foul by A. Horford (drawn by K. Walker),,26,36
2,10:01.0,K. Walker makes free throw 1 of 2,,27,36
2,10:01.0,K. Walker makes free throw 2 of 2,,28,36
2,9:52.0,,J. Brown misses 3-pt jump shot from 23 ft,28,36
2,9:49.0,Defensive rebound by K. Walker,,28,36
2,9:43.0,Turnover by K. Walker (lost ball),,28,36
2,9:43.0,Loose ball foul by N. Batum (drawn by J. Brown),,28,36
2,9:32.0,,G. Hayward makes 2-pt dunk from 2 ft (assist by T. Rozier),28,38
2,9:32.0,Violation by Team (delay of game),,28,38
2,9:22.0,M. Williams misses 2-pt jump shot from 23 ft,,28,38
2,9:19.0,,Defensive rebound by A. Horford,28,38
