QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
1,11:47.0,,R. Bullock makes 2-pt layup from 2 ft (assist by A. Drummond),0,2
1,11:24.0,N. Jokić makes 2-pt layup from 2 ft,,2,2
1,11:02.0,,B. Griffin makes 2-pt layup from 2 ft (assist by R. Bullock),2,4
1,10:46.0,M. Morris makes 2-pt jump shot from 16 ft,,4,4
1,10:32.0,,Turnover by R. Bullock (bad pass; steal by N. Jokić),4,4
1,10:28.0,M. Morris makes 2-pt layup from 4 ft (assist by W. Barton),,6,4
1,10:08.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Brown),6,7
1,9:56.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by N. Jokić),,9,7
1,9:30.0,,Shooting foul by N. Jokić (drawn by B. Griffin),9,7
1,9:30.0,,B. Griffin makes free throw 1 of 2,9,8
1,9:30.0,,B. Griffin misses free throw 2 of 2,9,8
1,9:27.0,Defensive rebound by W. Barton,,9,8
1,9:20.0,W. Barton misses 2-pt layup from 4 ft,,9,8
1,9:17.0,,Defensive rebound by R. Bullock,9,8
1,9:12.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,8
1,9:08.0,Defensive rebound by M. Beasley,,9,8
1,9:03.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,12,8
1,8:50.0,,B. Brown misses 3-pt jump shot from 23 ft,12,8
1,8:47.0,,Offensive rebound by B. Griffin,12,8
1,8:46.0,,B. Griffin makes 2-pt layup from 4 ft,12,10
1,8:33.0,M. Beasley misses 2-pt jump shot from 18 ft,,12,10
1,8:30.0,Offensive rebound by M. Plumlee,,12,10
1,8:25.0,N. Jokić makes 2-pt layup from 2 ft,,14,10
1,8:13.0,,R. Jackson makes 2-pt jump shot from 10 ft,14,12
1,7:58.0,N. Jokić makes 2-pt layup from 2 ft,,16,12
1,7:58.0,Shooting foul by R. Jackson (drawn by N. Jokić),,16,12
1,7:58.0,N. Jokić makes free throw 1 of 1,,17,12
1,7:49.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),17,15
1,7:32.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,20,15
1,7:20.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Jackson),20,18
1,7:11.0,Shooting foul by A. Drummond (drawn by W. Barton),,20,18
1,7:11.0,W. Barton makes free throw 1 of 2,,21,18
1,7:11.0,W. Barton makes free throw 2 of 2,,22,18
1,6:54.0,,Turnover by B. Griffin (lost ball; steal by M. Beasley),22,18
1,6:49.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),,25,18
1,6:48.0,,Detroit full timeout,25,18
1,6:36.0,,B. Brown misses 3-pt jump shot from 23 ft,25,18
1,6:33.0,Defensive rebound by M. Plumlee,,25,18
1,6:26.0,W. Barton misses 2-pt jump shot from 19 ft,,25,18
1,6:23.0,,Defensive rebound by A. Drummond,25,18
1,6:17.0,,A. Drummond misses 2-pt jump shot from 11 ft,25,18
1,6:15.0,Defensive rebound by N. Jokić,,25,18
1,6:08.0,N. Jokić misses 3-pt jump shot from 26 ft,,25,18
1,6:04.0,,Defensive rebound by B. Brown,25,18
1,5:57.0,,R. Jackson misses 3-pt jump shot from 27 ft,25,18
1,5:53.0,,Offensive rebound by A. Drummond,25,18
