QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
1,6:20.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. White),,10,8
1,6:04.0,,E. Moore misses 3-pt jump shot from 26 ft,10,8
1,6:01.0,Defensive rebound by B. Forbes,,10,8
1,5:46.0,D. Cunningham misses 2-pt layup from 1 ft,,10,8
1,5:38.0,Offensive rebound by D. Cunningham,,10,8
1,5:38.0,D. Cunningham makes 2-pt hook shot from 6 ft,,12,8
1,5:33.0,,E. Payton misses 2-pt jump shot from 13 ft,12,8
1,5:30.0,Defensive rebound by D. Cunningham,,12,8
1,5:21.0,L. Aldridge makes 2-pt jump shot from 13 ft,,14,8
1,5:01.0,,E. Moore misses 2-pt layup from 8 ft,14,8
1,4:57.0,,Offensive rebound by E. Moore,14,8
1,4:57.0,,E. Moore makes 2-pt layup at rim,14,10
1,4:53.0,B. Forbes misses 3-pt jump shot from 26 ft (block by J. Holiday),,14,10
1,4:48.0,,Defensive rebound by J. Okafor,14,10
1,4:43.0,,D. Miller misses 3-pt jump shot from 26 ft,14,10
1,4:40.0,Defensive rebound by R. Gay,,14,10
1,4:23.0,L. Aldridge makes 2-pt jump shot from 7 ft,,16,10
1,4:11.0,,Shooting foul by B. Forbes (drawn by J. Holiday),16,10
1,4:11.0,,J. Holiday makes free throw 1 of 2,16,11
1,4:11.0,M. Belinelli enters the game for B. Forbes,,16,11
1,4:11.0,,F. Jackson enters the game for E. Moore,16,11
1,4:11.0,,J. Holiday misses free throw 2 of 2,16,11
1,4:04.0,,Offensive rebound by J. Okafor,16,11
1,4:04.0,,J. Okafor makes 2-pt layup at rim,16,13
1,3:52.0,R. Gay makes 2-pt jump shot from 10 ft (assist by D. Cunningham),,18,13
1,3:44.0,,J. Okafor makes 2-pt layup from 1 ft (assist by E. Payton),18,15
1,3:44.0,,Shooting foul by R. Gay (drawn by J. Okafor),18,15
1,3:44.0,P. Mills enters the game for D. White,,18,15
1,3:44.0,,J. Okafor makes free throw 1 of 1,18,16
1,3:33.0,M. Belinelli misses 2-pt jump shot from 21 ft,,18,16
1,3:30.0,,Defensive rebound by J. Holiday,18,16
1,3:21.0,,J. Okafor makes 2-pt jump shot from 4 ft,18,18
1,3:10.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by M. Belinelli),,20,18
1,2:51.0,,J. Okafor makes 2-pt jump shot from 9 ft (assist by D. Miller),20,20
1,2:50.0,San Antonio full timeout,,20,20
1,2:50.0,B. Forbes enters the game for L. Aldridge,,20,20
1,2:50.0,P. Gasol enters the game for R. Gay,,20,20
1,2:50.0,,T. Frazier enters the game for E. Payton,20,20
1,2:30.0,B. Forbes misses 2-pt layup from 3 ft,,20,20
1,2:30.0,Offensive rebound by P. Gasol,,20,20
1,2:30.0,Personal foul by F. Jackson (drawn by P. Gasol),,20,20
1,2:30.0,,C. Diallo enters the game for J. Okafor,20,20
1,2:19.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by P. Mills),,23,20
1,2:09.0,,C. Diallo misses 2-pt jump shot from 19 ft,23,20
1,2:06.0,Defensive rebound by B. Forbes,,23,20
1,1:54.0,P. Mills makes 3-pt jump shot from 23 ft (assist by P. Gasol),,26,20
1,1:36.0,,D. Miller misses 3-pt jump shot from 25 ft,26,20
1,1:33.0,Defensive rebound by P. Gasol,,26,20
1,1:23.0,P. Mills misses 3-pt jump shot from 25 ft,,26,20
1,1:20.0,,Defensive rebound by J. Holiday,26,20
1,1:05.0,,C. Diallo misses 2-pt layup from 1 ft,26,20
1,1:03.0,Defensive rebound by P. Gasol,,26,20
1,0:58.0,B. Forbes misses 2-pt layup from 2 ft (block by C. Diallo),,26,20
1,0:55.0,,Defensive rebound by T. Frazier,26,20
1,0:54.0,,F. Jackson makes 2-pt layup from 1 ft (assist by T. Frazier),26,22
1,0:40.0,M. Belinelli makes 2-pt layup from 2 ft (assist by P. Mills),,28,22
1,0:30.0,,C. Diallo makes 2-pt layup from 2 ft (assist by J. Holiday),28,24
1,0:11.0,P. Gasol misses 3-pt jump shot from 26 ft,,28,24
1,0:08.0,,Defensive rebound by J. Holiday,28,24
1,0:02.0,,Personal foul by B. Forbes (drawn by J. Holiday),28,24
1,0:00.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Miller),28,27
2,11:51.0,,F. Jackson makes 2-pt layup from 1 ft (assist by S. Hill),28,29
2,11:51.0,,Shooting foul by J. Poeltl (drawn by F. Jackson),28,29
2,11:51.0,,F. Jackson makes free throw 1 of 1,28,30
2,11:37.0,P. Mills misses 3-pt jump shot from 26 ft,,28,30
2,11:33.0,,Defensive rebound by T. Frazier,28,30
2,11:24.0,,T. Frazier makes 2-pt jump shot from 19 ft,28,32
2,11:23.0,San Antonio full timeout,,28,32
2,11:23.0,Q. Pondexter enters the game for D. Cunningham,,28,32
2,11:23.0,L. Walker enters the game for B. Forbes,,28,32
2,11:11.0,Q. Pondexter makes 3-pt jump shot from 22 ft (assist by M. Belinelli),,31,32
2,10:57.0,,D. Miller misses 3-pt jump shot from 24 ft,31,32
2,10:55.0,Defensive rebound by M. Belinelli,,31,32
2,10:45.0,Q. Pondexter makes 2-pt jump shot from 9 ft (assist by J. Poeltl),,33,32
2,10:34.0,,T. Frazier misses 2-pt jump shot from 20 ft,33,32
2,10:32.0,Defensive rebound by L. Walker,,33,32
2,10:24.0,Shooting foul by T. Frazier (drawn by Q. Pondexter),,33,32
2,10:24.0,Q. Pondexter misses free throw 1 of 2,,33,32
2,10:24.0,Offensive rebound by Team,,33,32
2,10:24.0,Q. Pondexter makes free throw 2 of 2,,34,32
2,10:15.0,,F. Jackson misses 2-pt jump shot from 14 ft,34,32
2,10:12.0,Defensive rebound by L. Walker,,34,32
2,10:07.0,L. Walker makes 2-pt jump shot from 19 ft,,36,32
2,9:47.0,,T. Frazier makes 2-pt jump shot from 14 ft,36,34
2,9:23.0,Shooting foul by F. Jackson (drawn by J. Poeltl),,36,34
2,9:23.0,J. Poeltl makes free throw 1 of 2,,37,34
