QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
1,11:44.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
1,11:27.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),,2,3
1,11:14.0,,Shooting foul by M. Turner (drawn by G. Antetokounmpo),2,3
1,11:14.0,,G. Antetokounmpo makes free throw 1 of 2,2,4
1,11:14.0,,G. Antetokounmpo makes free throw 2 of 2,2,5
1,10:54.0,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,5
1,10:41.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by K. Middleton),5,8
1,10:18.0,M. Turner misses 3-pt jump shot from 23 ft,,5,8
1,10:15.0,,Defensive rebound by E. Bledsoe,5,8
1,10:10.0,,E. Bledsoe makes 2-pt jump shot from 8 ft,5,10
1,9:53.0,,Defensive rebound by B. Lopez,5,10
1,9:53.0,W. Matthews misses 2-pt jump shot from 16 ft (block by M. Brogdon),,5,10
1,9:46.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,5,10
1,9:43.0,Defensive rebound by T. Young,,5,10
1,9:35.0,Turnover by T. Young (bad pass; steal by E. Bledsoe),,5,10
1,9:25.0,,K. Middleton makes 3-pt jump shot from 26 ft,5,13
1,9:18.0,Indiana full timeout,,5,13
1,9:01.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),,8,13
1,8:45.0,,B. Lopez makes 2-pt hook shot from 8 ft,8,15
1,8:31.0,T. Young makes 2-pt layup from 1 ft (assist by M. Turner),,10,15
1,8:10.0,,Turnover by M. Brogdon (lost ball; steal by W. Matthews),10,15
1,8:07.0,Shooting foul by E. Bledsoe (drawn by B. Bogdanović),,10,15
1,8:07.0,B. Bogdanović makes free throw 1 of 2,,11,15
1,8:07.0,B. Bogdanović misses free throw 2 of 2,,11,15
1,8:03.0,,Defensive rebound by G. Antetokounmpo,11,15
1,7:52.0,,G. Antetokounmpo misses 2-pt layup from 4 ft (block by T. Young),11,15
1,7:48.0,Defensive rebound by D. Collison,,11,15
1,7:46.0,D. Collison misses 2-pt jump shot from 17 ft,,11,15
1,7:43.0,,Defensive rebound by G. Antetokounmpo,11,15
1,7:38.0,,Shooting foul by B. Bogdanović (drawn by K. Middleton),11,15
1,7:38.0,,K. Middleton makes free throw 1 of 2,11,16
1,7:38.0,,N. Mirotić enters the game for M. Brogdon,11,16
1,7:38.0,,K. Middleton makes free throw 2 of 2,11,17
1,7:26.0,B. Bogdanović misses 2-pt layup from 2 ft (block by B. Lopez),,11,17
1,7:22.0,,Defensive rebound by K. Middleton,11,17
1,7:17.0,,N. Mirotić misses 2-pt jump shot from 14 ft,11,17
1,7:14.0,Defensive rebound by M. Turner,,11,17
1,7:10.0,Personal foul by E. Bledsoe (drawn by D. Collison),,11,17
1,7:10.0,,M. Brogdon enters the game for E. Bledsoe,11,17
1,7:03.0,D. Collison makes 2-pt jump shot from 17 ft,,13,17
1,6:49.0,,K. Middleton misses 2-pt jump shot from 17 ft,13,17
1,6:46.0,Defensive rebound by M. Turner,,13,17
