QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,11:36.0,,T. Harris makes 2-pt jump shot from 7 ft,0,2
1,11:16.0,D. Cousins misses 2-pt layup from 2 ft,,0,2
1,11:13.0,,Defensive rebound by D. Gallinari,0,2
1,11:09.0,,D. Gallinari misses 3-pt jump shot from 25 ft,0,2
1,11:05.0,Defensive rebound by D. Green,,0,2
1,10:58.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
1,10:55.0,,Defensive rebound by D. Gallinari,0,2
1,10:50.0,,Turnover by T. Harris (lost ball; steal by D. Green),0,2
1,10:48.0,Personal foul by M. Gortat (drawn by D. Cousins),,0,2
1,10:34.0,D. Cousins makes 2-pt dunk from 1 ft (assist by K. Durant),,2,2
1,10:25.0,,Shooting foul by D. Cousins (drawn by S. Gilgeous-Alexander),2,2
1,10:25.0,,S. Gilgeous-Alexander makes free throw 1 of 2,2,3
1,10:25.0,,S. Gilgeous-Alexander makes free throw 2 of 2,2,4
1,10:09.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),,4,4
1,9:57.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,4,4
1,9:55.0,Defensive rebound by D. Cousins,,4,4
1,9:52.0,Turnover by K. Durant (back court),,4,4
1,9:41.0,,A. Bradley misses 2-pt jump shot from 15 ft,4,4
1,9:38.0,Defensive rebound by D. Green,,4,4
1,9:36.0,K. Durant misses 3-pt jump shot from 25 ft,,4,4
1,9:30.0,,Defensive rebound by D. Gallinari,4,4
1,9:23.0,,A. Bradley misses 3-pt jump shot from 23 ft,4,4
1,9:19.0,,Offensive rebound by A. Bradley,4,4
1,9:17.0,,Turnover by A. Bradley (bad pass; steal by S. Curry),4,4
1,9:09.0,S. Curry misses 3-pt jump shot from 25 ft,,4,4
1,9:07.0,,Defensive rebound by Team,4,4
1,9:07.0,Loose ball foul by D. Cousins (drawn by M. Gortat),,4,4
1,8:56.0,,Shooting foul by K. Durant (drawn by S. Gilgeous-Alexander),4,4
1,8:56.0,,S. Gilgeous-Alexander makes free throw 1 of 2,4,5
1,8:56.0,K. Looney enters the game for D. Cousins,,4,5
1,8:56.0,,S. Gilgeous-Alexander makes free throw 2 of 2,4,6
1,8:36.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,7,6
1,8:20.0,,T. Harris makes 2-pt layup from 3 ft,7,8
1,8:20.0,,Shooting foul by K. Looney (drawn by T. Harris),7,8
1,8:20.0,,T. Harris makes free throw 1 of 1,7,9
1,8:12.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,9
1,8:09.0,,Defensive rebound by M. Gortat,7,9
1,7:46.0,,D. Gallinari misses 2-pt layup from 2 ft,7,9
1,7:44.0,Defensive rebound by K. Durant,,7,9
1,7:41.0,Personal foul by T. Harris (drawn by K. Durant),,7,9
1,7:36.0,Turnover by D. Green (bad pass; steal by D. Gallinari),,7,9
1,7:27.0,,T. Harris misses 3-pt jump shot from 23 ft,7,9
1,7:25.0,,Offensive rebound by M. Gortat,7,9
1,7:21.0,,Offensive foul by M. Gortat (drawn by K. Looney),7,9
1,7:21.0,,Turnover by M. Gortat (offensive foul),7,9
1,7:13.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,9,9
1,7:00.0,,M. Gortat makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),9,11
1,6:50.0,Personal foul by S. Gilgeous-Alexander (drawn by K. Thompson),,9,11
1,6:50.0,,LA Clippers full timeout,9,11
1,6:50.0,,M. Harrell enters the game for M. Gortat,9,11
1,6:43.0,Turnover by K. Durant (lost ball; steal by S. Gilgeous-Alexander),,9,11
1,6:38.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,9,11
1,6:38.0,Defensive rebound by S. Curry,,9,11
1,6:30.0,S. Curry makes 2-pt layup from 2 ft,,11,11
1,6:10.0,,Turnover by A. Bradley (bad pass; steal by D. Green),11,11
1,5:58.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,14,11
1,5:39.0,,Personal foul by K. Looney (drawn by D. Gallinari),14,11
1,5:39.0,,D. Gallinari misses free throw 1 of 2,14,11
1,5:39.0,,Offensive rebound by Team,14,11
1,5:39.0,A. Iguodala enters the game for D. Green,,14,11
1,5:39.0,,D. Gallinari makes free throw 2 of 2,14,12
1,5:21.0,K. Thompson makes 2-pt dunk from 2 ft (assist by K. Looney),,16,12
1,5:02.0,,D. Gallinari misses 3-pt jump shot from 26 ft,16,12
1,5:00.0,Defensive rebound by K. Looney,,16,12
1,4:47.0,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Iguodala),,18,12
1,4:29.0,,A. Bradley makes 2-pt jump shot from 22 ft (assist by M. Harrell),18,14
1,4:13.0,K. Thompson misses 2-pt jump shot from 13 ft,,18,14
1,4:12.0,,Defensive rebound by T. Harris,18,14
1,4:06.0,,T. Harris makes 2-pt dunk from 1 ft,18,16
1,3:59.0,Golden State full timeout,,18,16
1,3:59.0,A. McKinnie enters the game for K. Thompson,,18,16
1,3:59.0,,P. Beverley enters the game for D. Gallinari,18,16
1,3:59.0,,T. Wallace enters the game for S. Gilgeous-Alexander,18,16
1,3:54.0,K. Durant misses 3-pt jump shot from 26 ft,,18,16
1,3:52.0,,Defensive rebound by Team,18,16
1,3:37.0,,T. Harris makes 3-pt jump shot from 25 ft,18,19
1,3:19.0,Turnover by K. Durant (bad pass; steal by M. Harrell),,18,19
1,3:15.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by T. Wallace),18,22
1,3:04.0,S. Curry misses 3-pt jump shot from 26 ft,,18,22
1,3:03.0,,Defensive rebound by T. Wallace,18,22
1,3:02.0,,Turnover by T. Wallace (bad pass),18,22
1,2:43.0,K. Durant makes 2-pt jump shot from 6 ft,,20,22
1,2:22.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Harris),20,24
1,2:06.0,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),,22,24
1,1:49.0,,A. Bradley misses 3-pt jump shot from 23 ft,22,24
1,1:48.0,Defensive rebound by K. Looney,,22,24
1,1:38.0,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Iguodala),,24,24
1,1:38.0,Shooting foul by M. Harrell (drawn by K. Durant),,24,24
1,1:38.0,D. Green enters the game for S. Curry,,24,24
1,1:38.0,,S. Gilgeous-Alexander enters the game for A. Bradley,24,24
1,1:38.0,,M. Scott enters the game for T. Harris,24,24
1,1:38.0,K. Durant makes free throw 1 of 1,,25,24
1,1:29.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 20 ft,25,24
1,1:25.0,Defensive rebound by K. Durant,,25,24
1,1:17.0,Personal foul by P. Beverley (drawn by K. Durant),,25,24
1,1:17.0,K. Durant misses free throw 1 of 2,,25,24
1,1:17.0,Offensive rebound by Team,,25,24
1,1:17.0,K. Durant makes free throw 2 of 2,,26,24
1,1:11.0,,Shooting foul by A. McKinnie (drawn by P. Beverley),26,24
1,1:11.0,,P. Beverley makes free throw 1 of 2,26,25
1,1:11.0,,P. Beverley misses free throw 2 of 2,26,25
1,1:08.0,Defensive rebound by K. Looney,,26,25
1,0:56.0,A. McKinnie misses 3-pt jump shot from 23 ft,,26,25
1,0:54.0,,Defensive rebound by T. Wallace,26,25
