QUARTER,TIME_REMAINING,MIAMI_ACTION,WASHINGTON_ACTION,MIAMI_SCORE,WASHINGTON_SCORE
1,11:43.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),,3,0
1,11:24.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by T. Brown),3,3
1,11:12.0,B. Adebayo makes 2-pt jump shot from 19 ft (assist by D. Waiters),,5,3
1,10:56.0,,Shooting foul by D. Waiters (drawn by B. Portis),5,3
1,10:56.0,,B. Portis misses free throw 1 of 2,5,3
1,10:56.0,,Offensive rebound by Team,5,3
1,10:56.0,,B. Portis makes free throw 2 of 2,5,4
1,10:47.0,D. Waiters misses 2-pt layup from 1 ft,,5,4
1,10:45.0,Offensive rebound by D. Jones,,5,4
1,10:44.0,D. Jones misses 2-pt layup from 3 ft,,5,4
1,10:44.0,,Defensive rebound by T. Bryant,5,4
1,10:38.0,,B. Beal misses 2-pt layup from 1 ft,5,4
1,10:33.0,,Offensive rebound by T. Bryant,5,4
1,10:33.0,,T. Bryant makes 2-pt dunk at rim,5,6
1,10:24.0,J. Richardson misses 3-pt jump shot from 26 ft,,5,6
1,10:21.0,,Defensive rebound by T. Satoranský,5,6
1,10:14.0,,B. Portis misses 3-pt jump shot from 26 ft,5,6
1,10:11.0,Defensive rebound by K. Olynyk,,5,6
1,10:00.0,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),,7,6
1,9:45.0,,T. Brown misses 2-pt layup from 4 ft (block by K. Olynyk),7,6
1,9:43.0,,Offensive rebound by Team,7,6
1,9:38.0,,T. Bryant misses 2-pt jump shot from 14 ft,7,6
1,9:35.0,Defensive rebound by B. Adebayo,,7,6
1,9:19.0,D. Waiters makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,10,6
1,9:06.0,,Personal foul by D. Jones (drawn by T. Satoranský),10,6
1,8:57.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Portis),10,8
1,8:45.0,D. Waiters makes 2-pt jump shot from 17 ft (assist by J. Richardson),,12,8
1,8:27.0,,T. Brown misses 3-pt jump shot from 25 ft,12,8
1,8:23.0,Defensive rebound by D. Jones,,12,8
1,8:11.0,D. Waiters misses 3-pt jump shot from 26 ft,,12,8
1,8:07.0,,Defensive rebound by B. Portis,12,8
1,7:58.0,,B. Beal makes 2-pt layup from 7 ft (assist by T. Satoranský),12,10
1,7:46.0,Personal foul by B. Beal (drawn by J. Richardson),,12,10
1,7:36.0,B. Adebayo misses 2-pt layup from 3 ft,,12,10
1,7:32.0,,Defensive rebound by B. Portis,12,10
1,7:28.0,,Turnover by T. Bryant (bad pass),12,10
1,7:03.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,15,10
1,6:50.0,,Shooting foul by D. Waiters (drawn by T. Brown),15,10
1,6:50.0,,Washington full timeout,15,10
1,6:50.0,,T. Brown makes free throw 1 of 2,15,11
1,6:50.0,,T. Brown makes free throw 2 of 2,15,12
1,6:34.0,D. Jones misses 3-pt jump shot from 26 ft,,15,12
1,6:31.0,,Defensive rebound by T. Satoranský,15,12
1,6:21.0,,Turnover by B. Beal (bad pass),15,12
1,6:04.0,Personal foul by B. Beal (drawn by D. Waiters),,15,12
1,5:51.0,D. Jones makes 2-pt dunk from 2 ft (assist by J. Richardson),,17,12
1,5:30.0,,B. Portis misses 2-pt jump shot from 21 ft (block by B. Adebayo),17,12
1,5:26.0,Defensive rebound by K. Olynyk,,17,12
1,5:13.0,J. Richardson makes 2-pt layup from 4 ft (assist by B. Adebayo),,19,12
1,4:51.0,,T. Bryant makes 3-pt jump shot from 26 ft (assist by B. Beal),19,15
1,4:24.0,D. Waiters misses 3-pt jump shot from 26 ft,,19,15
1,4:21.0,,Defensive rebound by T. Brown,19,15
1,4:12.0,,B. Portis makes 2-pt jump shot from 12 ft,19,17
1,4:11.0,Miami full timeout,,19,17
1,4:11.0,G. Dragić enters the game for K. Olynyk,,19,17
1,4:11.0,J. Johnson enters the game for J. Richardson,,19,17
1,4:11.0,D. Wade enters the game for D. Waiters,,19,17
1,4:11.0,,J. McRae enters the game for T. Brown,19,17
1,4:11.0,,J. Parker enters the game for T. Bryant,19,17
1,3:50.0,B. Adebayo misses 2-pt jump shot from 17 ft,,19,17
1,3:46.0,,Defensive rebound by B. Beal,19,17
1,3:42.0,,B. Beal misses 2-pt layup from 2 ft,19,17
1,3:41.0,,Offensive rebound by T. Satoranský,19,17
1,3:28.0,,T. Satoranský misses 3-pt jump shot from 25 ft,19,17
1,3:24.0,Defensive rebound by B. Adebayo,,19,17
1,3:18.0,D. Wade makes 2-pt jump shot from 11 ft (assist by G. Dragić),,21,17
1,3:03.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),21,19
1,2:38.0,D. Wade misses 2-pt layup from 3 ft,,21,19
1,2:38.0,Offensive rebound by J. Johnson,,21,19
1,2:38.0,Turnover by Team (shot clock),,21,19
1,2:38.0,H. Whiteside enters the game for B. Adebayo,,21,19
1,2:38.0,,J. Green enters the game for T. Satoranský,21,19
1,2:28.0,,Personal foul by D. Jones (drawn by B. Beal),21,19
1,2:28.0,J. Richardson enters the game for D. Jones,,21,19
1,2:23.0,,J. Parker misses 3-pt jump shot from 25 ft,21,19
1,2:19.0,Defensive rebound by D. Wade,,21,19
1,2:14.0,H. Whiteside misses 2-pt hook shot from 13 ft,,21,19
1,2:11.0,,Defensive rebound by J. Parker,21,19
1,2:11.0,,C. Randle enters the game for B. Beal,21,19
