QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
1,11:44.0,,T. Prince misses 2-pt jump shot from 21 ft,0,0
1,11:42.0,Defensive rebound by P. Siakam,,0,0
1,11:26.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Lowry),,2,0
1,11:07.0,,J. Collins makes 3-pt jump shot from 26 ft (assist by K. Huerter),2,3
1,10:43.0,F. VanVleet misses 3-pt jump shot from 25 ft,,2,3
1,10:42.0,,Defensive rebound by Team,2,3
1,10:32.0,,Offensive foul by T. Young (drawn by K. Lowry),2,3
1,10:32.0,,Turnover by T. Young (offensive foul),2,3
1,10:23.0,S. Ibaka misses 2-pt jump shot from 13 ft,,2,3
1,10:20.0,,Defensive rebound by K. Huerter,2,3
1,10:17.0,,Offensive foul by K. Huerter (drawn by P. Siakam),2,3
1,10:17.0,,Turnover by K. Huerter (offensive foul),2,3
1,10:04.0,F. VanVleet makes 2-pt jump shot from 19 ft (assist by S. Ibaka),,4,3
1,9:37.0,,K. Huerter misses 3-pt jump shot from 25 ft,4,3
1,9:35.0,Defensive rebound by D. Green,,4,3
1,9:23.0,P. Siakam misses 2-pt layup from 1 ft,,4,3
1,9:20.0,,Defensive rebound by J. Collins,4,3
1,9:15.0,,T. Young makes 2-pt layup from 2 ft,4,5
1,9:00.0,F. VanVleet misses 2-pt jump shot from 21 ft,,4,5
1,8:56.0,Offensive rebound by P. Siakam,,4,5
1,8:54.0,P. Siakam makes 2-pt layup from 2 ft,,6,5
1,8:39.0,,Turnover by T. Young (back court),6,5
1,8:31.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by K. Lowry),,9,5
1,8:08.0,,J. Collins makes 2-pt jump shot from 14 ft,9,7
1,8:00.0,Shooting foul by T. Young (drawn by S. Ibaka),,9,7
1,8:00.0,S. Ibaka makes free throw 1 of 2,,10,7
1,8:00.0,S. Ibaka makes free throw 2 of 2,,11,7
1,7:49.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),11,10
1,7:36.0,K. Lowry misses 3-pt jump shot from 26 ft,,11,10
1,7:33.0,,Defensive rebound by T. Young,11,10
1,7:23.0,,T. Young makes 2-pt jump shot from 15 ft (assist by K. Huerter),11,12
