QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
1,11:37.0,,W. Barton misses 2-pt jump shot from 8 ft (block by P. Beverley),0,0
1,11:34.0,,Offensive rebound by N. Jokić,0,0
1,11:33.0,,N. Jokić misses 2-pt layup from 5 ft (block by I. Zubac),0,0
1,11:33.0,Defensive rebound by D. Gallinari,,0,0
1,11:21.0,I. Zubac misses 2-pt layup from 2 ft,,0,0
1,11:19.0,,Defensive rebound by N. Jokić,0,0
1,11:13.0,,M. Beasley misses 3-pt jump shot from 23 ft,0,0
1,11:09.0,Defensive rebound by I. Zubac,,0,0
1,10:53.0,L. Shamet misses 3-pt jump shot from 24 ft,,0,0
1,10:51.0,,Defensive rebound by P. Millsap,0,0
1,10:41.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),0,2
1,10:32.0,I. Zubac misses 2-pt jump shot from 6 ft,,0,2
1,10:29.0,,Defensive rebound by W. Barton,0,2
1,10:15.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),0,4
1,9:53.0,D. Gallinari makes 2-pt jump shot from 16 ft (assist by P. Beverley),,2,4
1,9:36.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Murray),2,6
1,9:17.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,2,6
1,9:03.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),2,9
1,9:03.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Murray),2,9
1,9:03.0,,J. Murray makes free throw 1 of 1,2,10
1,8:41.0,I. Zubac misses 2-pt hook shot from 4 ft,,2,10
1,8:39.0,,Defensive rebound by N. Jokić,2,10
1,8:31.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),2,12
1,8:29.0,LA Clippers full timeout,,2,12
1,8:07.0,S. Gilgeous-Alexander misses 3-pt jump shot from 22 ft,,2,12
1,8:06.0,,Defensive rebound by P. Millsap,2,12
1,7:52.0,,P. Millsap makes 2-pt layup from 2 ft (assist by W. Barton),2,14
1,7:40.0,Def 3 sec tech foul by Team,,2,14
1,7:40.0,D. Gallinari makes technical free throw,,3,14
1,7:34.0,L. Shamet makes 2-pt jump shot from 14 ft (assist by P. Beverley),,5,14
1,7:12.0,,Turnover by N. Jokić (lost ball; steal by L. Shamet),5,14
1,7:08.0,Personal foul by P. Millsap (drawn by L. Shamet),,5,14
1,6:56.0,D. Gallinari makes 2-pt jump shot from 9 ft,,7,14
1,6:46.0,,Turnover by J. Murray (lost ball; steal by S. Gilgeous-Alexander),7,14
1,6:36.0,P. Beverley misses 3-pt jump shot from 25 ft,,7,14
1,6:34.0,,Defensive rebound by N. Jokić,7,14
1,6:27.0,,Shooting foul by I. Zubac (drawn by N. Jokić),7,14
1,6:27.0,,N. Jokić misses free throw 1 of 2,7,14
1,6:27.0,,Offensive rebound by Team,7,14
1,6:27.0,,N. Jokić makes free throw 2 of 2,7,15
1,6:16.0,I. Zubac makes 2-pt dunk at rim (assist by S. Gilgeous-Alexander),,9,15
1,6:05.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),9,18
1,5:49.0,D. Gallinari misses 2-pt jump shot from 15 ft,,9,18
1,5:46.0,,Defensive rebound by J. Murray,9,18
1,5:42.0,,J. Murray misses 3-pt jump shot from 25 ft,9,18
1,5:38.0,Defensive rebound by P. Beverley,,9,18
1,5:33.0,I. Zubac makes 2-pt dunk from 1 ft (assist by P. Beverley),,11,18
1,5:16.0,,N. Jokić misses 3-pt jump shot from 26 ft,11,18
1,5:16.0,Defensive rebound by P. Beverley,,11,18
1,5:03.0,Personal foul by W. Barton (drawn by D. Gallinari),,11,18
1,5:03.0,M. Harrell enters the game for S. Gilgeous-Alexander,,11,18
1,5:03.0,L. Williams enters the game for I. Zubac,,11,18
1,5:03.0,,M. Plumlee enters the game for P. Millsap,11,18
1,4:55.0,D. Gallinari makes 2-pt layup from 1 ft (assist by P. Beverley),,13,18
1,4:53.0,,Denver full timeout,13,18
1,4:53.0,,G. Harris enters the game for M. Beasley,13,18
1,4:35.0,,N. Jokić makes 2-pt hook shot from 7 ft,13,20
1,4:12.0,L. Shamet makes 2-pt jump shot from 16 ft (assist by D. Gallinari),,15,20
1,3:57.0,,N. Jokić misses 2-pt jump shot from 5 ft,15,20
1,3:53.0,Defensive rebound by L. Williams,,15,20
1,3:36.0,D. Gallinari makes 2-pt jump shot from 7 ft,,17,20
1,3:20.0,,Shooting foul by L. Williams (drawn by G. Harris),17,20
1,3:20.0,,G. Harris misses free throw 1 of 2,17,20
1,3:20.0,,Offensive rebound by Team,17,20
1,3:20.0,G. Temple enters the game for L. Shamet,,17,20
1,3:20.0,,P. Millsap enters the game for W. Barton,17,20
1,3:20.0,,M. Morris enters the game for N. Jokić,17,20
1,3:20.0,,I. Thomas enters the game for J. Murray,17,20
1,3:20.0,,G. Harris misses free throw 2 of 2,17,20
1,3:18.0,Defensive rebound by P. Beverley,,17,20
1,3:02.0,Shooting foul by M. Plumlee (drawn by M. Harrell),,17,20
1,3:02.0,M. Harrell makes free throw 1 of 2,,18,20
1,3:02.0,J. Green enters the game for D. Gallinari,,18,20
1,3:02.0,M. Harrell makes free throw 2 of 2,,19,20
1,2:44.0,,Shooting foul by M. Harrell (drawn by M. Plumlee),19,20
1,2:44.0,,misses free throw 1 of 2,19,20
1,2:44.0,,M. Plumlee makes free throw 1 of 2,19,21
1,2:44.0,,M. Plumlee makes free throw 2 of 2,19,22
1,2:33.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,21,22
1,2:22.0,,Personal foul by G. Temple (drawn by I. Thomas),21,22
1,2:22.0,,I. Thomas makes free throw 1 of 2,21,23
1,2:22.0,,I. Thomas makes free throw 2 of 2,21,24
1,2:04.0,J. Green misses 2-pt jump shot from 14 ft,,21,24
1,2:01.0,Offensive rebound by P. Beverley,,21,24
1,1:58.0,M. Harrell misses 2-pt jump shot from 15 ft,,21,24
1,1:55.0,,Defensive rebound by M. Plumlee,21,24
1,1:42.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by G. Harris),21,26
1,1:26.0,L. Williams makes 2-pt jump shot from 5 ft (assist by M. Harrell),,23,26
1,1:06.0,,I. Thomas misses 2-pt jump shot from 11 ft,23,26
1,1:04.0,Defensive rebound by J. Green,,23,26
1,0:59.0,Turnover by L. Williams (bad pass; steal by M. Morris),,23,26
1,0:53.0,,M. Morris misses 2-pt layup from 3 ft (block by J. Green),23,26
1,0:53.0,,Offensive rebound by P. Millsap,23,26
1,0:53.0,,P. Millsap makes 2-pt layup from 1 ft,23,28
1,0:48.0,L. Williams misses 3-pt jump shot from 25 ft,,23,28
1,0:45.0,,Defensive rebound by I. Thomas,23,28
1,0:40.0,,I. Thomas misses 3-pt jump shot from 25 ft (block by P. Beverley),23,28
1,0:40.0,Defensive rebound by Team,,23,28
1,0:40.0,,Loose ball foul by M. Plumlee (drawn by M. Harrell),23,28
1,0:40.0,T. Wallace enters the game for P. Beverley,,23,28
1,0:38.0,Personal foul by G. Harris (drawn by L. Williams),,23,28
1,0:38.0,L. Williams makes free throw 1 of 2,,24,28
1,0:38.0,L. Williams makes free throw 2 of 2,,25,28
1,0:33.0,,M. Morris makes 3-pt jump shot from 25 ft,25,31
1,0:15.0,T. Wallace makes 2-pt layup from 4 ft (assist by L. Williams),,27,31
1,0:02.0,,G. Harris makes 3-pt jump shot from 26 ft,27,34
2,11:49.0,J. Green misses 3-pt jump shot from 24 ft,,27,34
2,11:46.0,,Defensive rebound by M. Plumlee,27,34
2,11:24.0,,I. Thomas makes 2-pt layup from 3 ft,27,36
2,11:13.0,Personal foul by I. Thomas (drawn by G. Temple),,27,36
2,11:03.0,M. Harrell misses 2-pt layup from 1 ft,,27,36
2,11:03.0,Offensive rebound by M. Harrell,,27,36
