QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
1,7:42.0,,J. Grant makes 2-pt hook shot from 4 ft (assist by R. Westbrook),11,14
1,7:25.0,Turnover by N. Mirotić (bad pass; steal by P. George),,11,14
1,7:21.0,,R. Westbrook makes 2-pt layup from 1 ft,11,16
1,7:07.0,E. Moore makes 2-pt jump shot from 8 ft (assist by J. Holiday),,13,16
1,6:52.0,,J. Grant makes 2-pt jump shot from 15 ft (assist by R. Westbrook),13,18
1,6:45.0,W. Johnson misses 2-pt layup from 2 ft,,13,18
1,6:22.0,Offensive rebound by N. Mirotić,,13,18
1,6:20.0,Turnover by Team (shot clock),,13,18
1,6:08.0,,P. George misses 3-pt jump shot from 25 ft,13,18
1,6:05.0,Defensive rebound by J. Holiday,,13,18
1,5:55.0,Shooting foul by J. Grant (drawn by J. Holiday),,13,18
1,5:55.0,J. Holiday makes free throw 1 of 2,,14,18
1,5:55.0,J. Randle enters the game for N. Mirotić,,14,18
1,5:55.0,J. Holiday misses free throw 2 of 2,,14,18
1,5:54.0,,Defensive rebound by R. Westbrook,14,18
1,5:40.0,,R. Westbrook misses 2-pt layup from 1 ft,14,18
1,5:38.0,Defensive rebound by J. Randle,,14,18
1,5:29.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,16,18
1,5:29.0,Shooting foul by Á. Abrines (drawn by A. Davis),,16,18
1,5:29.0,A. Davis makes free throw 1 of 1,,17,18
1,5:13.0,,J. Grant misses 3-pt jump shot from 23 ft,17,18
1,5:09.0,,Offensive rebound by S. Adams,17,18
1,5:06.0,,P. George makes 3-pt jump shot from 25 ft (assist by J. Grant),17,21
1,4:53.0,A. Davis misses 2-pt jump shot from 4 ft,,17,21
1,4:51.0,Offensive rebound by A. Davis,,17,21
1,4:51.0,A. Davis misses 2-pt layup from 1 ft,,17,21
1,4:51.0,,Defensive rebound by R. Westbrook,17,21
1,4:47.0,,R. Westbrook makes 2-pt layup from 2 ft,17,23
1,4:32.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by E. Moore),,20,23
1,4:07.0,,Shooting foul by A. Davis (drawn by J. Grant),20,23
1,4:07.0,,J. Grant makes free throw 1 of 2,20,24
1,4:07.0,,J. Grant makes free throw 2 of 2,20,25
1,3:56.0,J. Holiday misses 3-pt jump shot from 26 ft,,20,25
1,3:53.0,,Defensive rebound by S. Adams,20,25
1,3:45.0,,R. Westbrook misses 2-pt jump shot from 8 ft,20,25
1,3:40.0,Defensive rebound by J. Holiday,,20,25
1,3:37.0,W. Johnson misses 3-pt jump shot from 23 ft,,20,25
1,3:37.0,,Defensive rebound by Á. Abrines,20,25
1,3:27.0,,P. George makes 3-pt jump shot from 24 ft,20,28
1,3:10.0,Turnover by J. Holiday (lost ball; steal by S. Adams),,20,28
1,3:06.0,,Shooting foul by W. Johnson (drawn by R. Westbrook),20,28
1,3:06.0,,R. Westbrook misses free throw 1 of 2,20,28
1,3:06.0,,Offensive rebound by Team,20,28
1,3:06.0,,P. Patterson enters the game for J. Grant,20,28
1,3:06.0,,R. Westbrook makes free throw 2 of 2,20,29
1,3:04.0,New Orleans full timeout,,20,29
1,3:04.0,I. Clark enters the game for E. Moore,,20,29
1,3:04.0,,D. Schröder enters the game for R. Westbrook,20,29
1,2:47.0,I. Clark misses 3-pt jump shot from 25 ft,,20,29
1,2:44.0,Offensive rebound by A. Davis,,20,29
1,2:43.0,A. Davis misses 2-pt layup from 2 ft,,20,29
1,2:41.0,,Defensive rebound by S. Adams,20,29
1,2:38.0,,Turnover by Á. Abrines (out of bounds lost ball),20,29
1,2:23.0,J. Randle makes 2-pt dunk from 2 ft (assist by W. Johnson),,22,29
1,2:08.0,,S. Adams makes 2-pt layup from 2 ft (assist by P. George),22,31
1,1:49.0,I. Clark misses 2-pt jump shot from 9 ft,,22,31
1,1:48.0,Offensive rebound by I. Clark,,22,31
1,1:47.0,I. Clark misses 2-pt layup from 7 ft,,22,31
1,1:47.0,Offensive rebound by J. Randle,,22,31
1,1:32.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Randle),,24,31
1,1:18.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by P. George),24,34
1,1:02.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,26,34
1,0:48.0,,D. Schröder makes 2-pt layup from 1 ft,26,36
1,0:35.0,W. Johnson misses 3-pt jump shot from 23 ft,,26,36
1,0:32.0,,Defensive rebound by P. Patterson,26,36
1,0:32.0,C. Diallo enters the game for A. Davis,,26,36
1,0:32.0,,N. Noel enters the game for S. Adams,26,36
1,0:14.0,,P. George misses 2-pt jump shot from 15 ft,26,36
1,0:11.0,Defensive rebound by C. Diallo,,26,36
1,0:00.0,I. Clark makes 2-pt layup from 1 ft (assist by J. Holiday),,28,36
2,11:51.0,,D. Schröder misses 2-pt layup from 1 ft,28,36
2,11:49.0,Defensive rebound by J. Randle,,28,36
2,11:44.0,I. Clark makes 3-pt jump shot from 23 ft (assist by D. Miller),,31,36
2,11:25.0,,Personal foul by T. Frazier (drawn by N. Noel),31,36
2,11:20.0,,D. Schröder misses 3-pt jump shot from 25 ft,31,36
2,11:17.0,Defensive rebound by C. Diallo,,31,36
2,11:12.0,Personal foul by P. Patterson (drawn by J. Randle),,31,36
2,11:07.0,J. Randle makes 2-pt layup from 1 ft (assist by I. Clark),,33,36
2,10:50.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by Á. Abrines),33,39
2,10:30.0,I. Clark makes 2-pt jump shot from 7 ft,,35,39
