QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
1,11:35.0,,R. Jackson misses 2-pt hook shot from 12 ft (block by K. Towns),0,0
1,11:31.0,Defensive rebound by A. Wiggins,,0,0
1,11:24.0,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Okogie),,2,0
1,11:05.0,,B. Griffin misses 2-pt hook shot from 7 ft (block by K. Towns),2,0
1,11:02.0,Defensive rebound by J. Okogie,,2,0
1,10:54.0,K. Towns misses 2-pt hook shot from 5 ft,,2,0
1,10:51.0,,Defensive rebound by W. Ellington,2,0
1,10:44.0,,W. Ellington makes 2-pt layup from 3 ft,2,2
1,10:42.0,Personal foul by A. Drummond (drawn by J. Teague),,2,2
1,10:18.0,J. Teague makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,5,2
1,9:57.0,,Turnover by B. Brown (bad pass; steal by A. Wiggins),5,2
1,9:51.0,Offensive foul by D. Šarić (drawn by B. Griffin),,5,2
1,9:51.0,Turnover by D. Šarić (offensive foul),,5,2
1,9:40.0,,B. Griffin misses 2-pt layup from 3 ft,5,2
1,9:35.0,Defensive rebound by D. Šarić,,5,2
1,9:25.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by K. Towns),,8,2
1,9:16.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),8,4
1,9:02.0,J. Okogie makes 2-pt layup from 2 ft (assist by J. Teague),,10,4
1,9:02.0,Shooting foul by R. Jackson (drawn by J. Okogie),,10,4
1,9:02.0,J. Okogie makes free throw 1 of 1,,11,4
1,8:59.0,,Detroit full timeout,11,4
1,8:45.0,,Turnover by W. Ellington (bad pass; steal by J. Teague),11,4
1,8:33.0,Turnover by K. Towns (lost ball; steal by B. Griffin),,11,4
1,8:27.0,,R. Jackson misses 3-pt jump shot from 30 ft,11,4
1,8:23.0,Defensive rebound by J. Teague,,11,4
1,8:19.0,J. Teague misses 2-pt jump shot from 4 ft,,11,4
1,8:15.0,,Defensive rebound by A. Drummond,11,4
1,8:06.0,,W. Ellington misses 3-pt jump shot from 27 ft,11,4
1,8:04.0,Defensive rebound by D. Šarić,,11,4
1,7:53.0,A. Wiggins misses 3-pt jump shot from 27 ft,,11,4
1,7:50.0,,Defensive rebound by A. Drummond,11,4
1,7:45.0,Violation by Team (kicked ball),,11,4
1,7:29.0,,B. Griffin misses 3-pt jump shot from 26 ft,11,4
1,7:26.0,Defensive rebound by J. Okogie,,11,4
1,7:16.0,Def 3 sec tech foul by Team,,11,4
1,7:16.0,K. Towns makes technical free throw,,12,4
1,7:11.0,Offensive foul by A. Wiggins (drawn by A. Drummond),,12,4
1,7:11.0,Turnover by A. Wiggins (offensive foul),,12,4
1,6:59.0,,B. Griffin makes 2-pt layup from 3 ft,12,6
1,6:45.0,A. Wiggins misses 2-pt jump shot from 4 ft,,12,6
1,6:43.0,,Defensive rebound by B. Brown,12,6
1,6:32.0,,B. Griffin misses 3-pt jump shot from 27 ft,12,6
1,6:30.0,Defensive rebound by D. Šarić,,12,6
1,6:23.0,K. Towns misses 2-pt layup from 4 ft,,12,6
1,6:21.0,Offensive rebound by K. Towns,,12,6
1,6:21.0,Shooting foul by B. Griffin (drawn by K. Towns),,12,6
1,6:21.0,K. Towns makes free throw 1 of 2,,13,6
1,6:21.0,K. Towns makes free throw 2 of 2,,14,6
1,6:00.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),14,9
1,5:49.0,A. Wiggins makes 2-pt jump shot from 20 ft,,16,9
1,5:35.0,,B. Griffin misses 3-pt jump shot from 24 ft,16,9
1,5:32.0,Defensive rebound by D. Šarić,,16,9
1,5:17.0,D. Šarić misses 2-pt hook shot from 6 ft,,16,9
1,5:15.0,,Defensive rebound by B. Griffin,16,9
1,5:07.0,,A. Drummond misses 2-pt layup from 3 ft,16,9
1,5:04.0,Defensive rebound by K. Towns,,16,9
1,5:02.0,Turnover by J. Teague (bad pass),,16,9
1,5:02.0,,I. Smith enters the game for R. Jackson,16,9
1,4:48.0,,W. Ellington makes 3-pt jump shot from 22 ft (assist by B. Griffin),16,12
1,4:40.0,J. Teague makes 2-pt jump shot from 6 ft,,18,12
1,4:40.0,Shooting foul by I. Smith (drawn by J. Teague),,18,12
1,4:40.0,D. Rose enters the game for J. Okogie,,18,12
1,4:40.0,,L. Kennard enters the game for B. Brown,18,12
1,4:40.0,J. Teague makes free throw 1 of 1,,19,12
1,4:26.0,,L. Kennard misses 3-pt jump shot from 26 ft,19,12
1,4:24.0,Defensive rebound by D. Šarić,,19,12
1,4:22.0,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Šarić),,21,12
1,4:06.0,,A. Drummond misses 2-pt layup from 4 ft,21,12
1,4:04.0,Defensive rebound by K. Towns,,21,12
1,3:58.0,D. Rose makes 2-pt jump shot from 9 ft (assist by J. Teague),,23,12
1,3:37.0,,A. Drummond misses 2-pt dunk from 2 ft,23,12
1,3:34.0,Defensive rebound by J. Teague,,23,12
1,3:26.0,K. Towns makes 2-pt jump shot from 13 ft,,25,12
1,3:26.0,Shooting foul by B. Griffin (drawn by K. Towns),,25,12
1,3:26.0,T. Gibson enters the game for D. Šarić,,25,12
1,3:26.0,K. Towns makes free throw 1 of 1,,26,12
1,3:12.0,,L. Kennard misses 2-pt layup from 4 ft,26,12
1,3:10.0,,Offensive rebound by A. Drummond,26,12
1,3:10.0,,A. Drummond makes 2-pt layup from 1 ft,26,14
1,3:02.0,Turnover by K. Towns (traveling),,26,14
1,3:02.0,,T. Maker enters the game for B. Griffin,26,14
1,2:44.0,,W. Ellington misses 3-pt jump shot from 23 ft,26,14
1,2:42.0,,Offensive rebound by A. Drummond,26,14
1,2:39.0,,A. Drummond makes 2-pt hook shot from 7 ft,26,16
1,2:33.0,Minnesota full timeout,,26,16
1,2:33.0,T. Jones enters the game for J. Teague,,26,16
1,2:33.0,A. Tolliver enters the game for K. Towns,,26,16
1,2:33.0,,L. Galloway enters the game for W. Ellington,26,16
1,2:18.0,D. Rose misses 2-pt hook shot from 6 ft,,26,16
1,2:16.0,,Defensive rebound by A. Drummond,26,16
1,2:08.0,,L. Kennard misses 3-pt jump shot from 27 ft,26,16
1,2:00.0,Defensive rebound by D. Rose,,26,16
1,1:49.0,T. Gibson makes 2-pt dunk at rim (assist by T. Jones),,28,16
1,1:32.0,,L. Galloway makes 3-pt jump shot from 28 ft (assist by T. Maker),28,19
1,1:15.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by T. Jones),,31,19
1,0:59.0,,T. Maker misses 3-pt jump shot from 27 ft,31,19
