QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
4,6:41.0,,R. Gobert misses 2-pt layup from 3 ft,84,95
4,6:41.0,Defensive rebound by A. Wiggins,,84,95
4,6:34.0,A. Wiggins makes 2-pt layup from 2 ft,,86,95
4,6:33.0,,Technical foul by J. Ingles,86,95
4,6:33.0,K. Towns makes technical free throw,,87,95
4,6:33.0,L. Deng enters the game for J. Okogie,,87,95
4,6:24.0,,D. Mitchell misses 3-pt jump shot from 25 ft,87,95
4,6:21.0,Defensive rebound by K. Towns,,87,95
4,6:09.0,A. Wiggins misses 2-pt jump shot from 22 ft,,87,95
4,6:07.0,,Defensive rebound by R. Gobert,87,95
4,5:54.0,,Personal foul by J. Bayless (drawn by D. Mitchell),87,95
4,5:49.0,,D. Mitchell misses 3-pt jump shot from 25 ft,87,95
4,5:46.0,Defensive rebound by A. Tolliver,,87,95
4,5:25.0,A. Tolliver misses 3-pt jump shot from 23 ft,,87,95
4,5:21.0,Offensive rebound by A. Wiggins,,87,95
4,5:20.0,A. Wiggins misses 2-pt layup from 3 ft,,87,95
4,5:17.0,Offensive rebound by K. Towns,,87,95
4,5:17.0,K. Towns makes 2-pt layup from 1 ft,,89,95
4,5:05.0,,D. Mitchell makes 2-pt jump shot from 20 ft,89,97
4,4:59.0,Minnesota full timeout,,89,97
4,4:59.0,,J. Crowder enters the game for G. Niang,89,97
4,4:49.0,A. Wiggins misses 2-pt layup from 3 ft (block by R. Gobert),,89,97
4,4:48.0,,Defensive rebound by K. Korver,89,97
4,4:48.0,Loose ball foul by K. Towns (drawn by J. Ingles),,89,97
4,4:38.0,,K. Korver misses 3-pt jump shot from 25 ft,89,97
4,4:34.0,Defensive rebound by A. Wiggins,,89,97
4,4:14.0,K. Towns makes 2-pt dunk from 2 ft,,91,97
4,4:10.0,,Turnover by R. Gobert (bad pass; steal by A. Wiggins),91,97
4,4:07.0,A. Wiggins misses 2-pt layup from 2 ft (block by R. Gobert),,91,97
4,4:07.0,Offensive rebound by Team,,91,97
4,4:03.0,A. Tolliver makes 3-pt jump shot from 31 ft (assist by K. Towns),,94,97
4,3:46.0,,D. Mitchell misses 2-pt jump shot from 10 ft,94,97
4,3:44.0,,Offensive rebound by D. Mitchell,94,97
4,3:42.0,,D. Mitchell misses 2-pt layup from 3 ft,94,97
4,3:38.0,,Offensive rebound by R. Gobert,94,97
4,3:38.0,,R. Gobert makes 2-pt dunk at rim,94,99
4,3:24.0,K. Towns misses 3-pt jump shot from 26 ft,,94,99
4,3:22.0,,Defensive rebound by D. Mitchell,94,99
4,3:05.0,,D. Mitchell misses 2-pt jump shot from 10 ft,94,99
4,3:03.0,Defensive rebound by J. Bayless,,94,99
4,2:55.0,J. Bayless makes 3-pt jump shot from 25 ft,,97,99
4,2:33.0,,K. Korver makes 2-pt jump shot from 9 ft (assist by D. Mitchell),97,101
4,2:14.0,J. Bayless misses 3-pt jump shot from 25 ft,,97,101
4,2:11.0,Offensive rebound by K. Towns,,97,101
4,2:10.0,K. Towns makes 2-pt hook shot from 4 ft,,99,101
4,1:49.0,,D. Mitchell misses 2-pt layup from 5 ft (block by K. Towns),99,101
4,1:47.0,,Offensive rebound by R. Gobert,99,101
4,1:45.0,,J. Crowder misses 3-pt jump shot from 23 ft,99,101
4,1:42.0,Defensive rebound by J. Bayless,,99,101
4,1:39.0,Minnesota full timeout,,99,101
4,1:30.0,Turnover by A. Wiggins (bad pass; steal by R. Gobert),,99,101
4,1:18.0,,Shooting foul by J. Bayless (drawn by D. Mitchell),99,101
4,1:18.0,,D. Mitchell makes free throw 1 of 2,99,102
4,1:18.0,,R. O'Neale enters the game for K. Korver,99,102
4,1:18.0,,D. Mitchell makes free throw 2 of 2,99,103
4,1:05.0,A. Tolliver makes 3-pt jump shot from 27 ft (assist by J. Bayless),,102,103
4,0:47.0,,D. Mitchell misses 2-pt jump shot from 10 ft,102,103
4,0:46.0,,Offensive rebound by R. Gobert,102,103
4,0:45.0,,R. Gobert misses 2-pt layup from 3 ft,102,103
4,0:42.0,Defensive rebound by K. Towns,,102,103
4,0:24.0,J. Bayless misses 2-pt jump shot from 23 ft,,102,103
4,0:18.0,Offensive rebound by L. Deng,,102,103
4,0:17.0,L. Deng misses 3-pt jump shot from 23 ft,,102,103
4,0:15.0,,Defensive rebound by J. Ingles,102,103
4,0:14.0,,Personal foul by L. Deng (drawn by J. Ingles),102,103
4,0:14.0,,J. Ingles makes free throw 1 of 2,102,104
4,0:14.0,,J. Ingles makes free throw 2 of 2,102,105
4,0:14.0,Minnesota full timeout,,102,105
4,0:14.0,J. Terrell enters the game for L. Deng,,102,105
4,0:03.0,A. Tolliver misses 3-pt jump shot from 27 ft (block by R. Gobert),,102,105
4,0:01.0,,Defensive rebound by D. Mitchell,102,105
4,0:01.0,,Personal foul by J. Bayless (drawn by D. Mitchell),102,105
4,0:01.0,,D. Mitchell misses free throw 1 of 2,102,105
4,0:01.0,,Offensive rebound by Team,102,105
4,0:01.0,,D. Mitchell makes free throw 2 of 2,102,106
4,0:00.0,A. Wiggins misses 3-pt jump shot from 59 ft,,102,106
4,0:00.0,Offensive rebound by Team,,102,106
