QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
1,4:00.0,G. Dieng makes 2-pt layup at rim,,20,16
1,3:50.0,,D. Mitchell makes 2-pt jump shot from 10 ft,20,18
1,3:30.0,G. Dieng misses 3-pt jump shot from 22 ft,,20,18
1,3:27.0,,Defensive rebound by D. Mitchell,20,18
1,3:23.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by J. Crowder),20,20
1,3:22.0,Minnesota full timeout,,20,20
1,3:05.0,D. Šarić misses 3-pt jump shot from 26 ft,,20,20
1,3:01.0,Offensive rebound by L. Deng,,20,20
1,2:59.0,G. Dieng makes 2-pt jump shot from 6 ft (assist by L. Deng),,22,20
1,2:44.0,,K. Korver misses 3-pt jump shot from 25 ft,22,20
1,2:41.0,Defensive rebound by L. Deng,,22,20
1,2:30.0,Turnover by J. Terrell (bad pass; steal by R. Gobert),,22,20
1,2:25.0,,D. Mitchell makes 3-pt jump shot from 28 ft (assist by K. Korver),22,23
1,2:10.0,J. Bayless misses 2-pt jump shot from 21 ft,,22,23
1,2:07.0,,Defensive rebound by R. Gobert,22,23
1,1:55.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Mitchell),22,26
1,1:30.0,J. Bayless misses 2-pt jump shot from 19 ft,,22,26
1,1:27.0,,Defensive rebound by R. Gobert,22,26
1,1:25.0,,Turnover by J. Crowder (traveling),22,26
1,1:25.0,A. Wiggins enters the game for J. Bayless,,22,26
1,1:25.0,,D. Favors enters the game for R. Gobert,22,26
1,1:25.0,,J. Ingles enters the game for D. Mitchell,22,26
1,1:25.0,,R. Rubio enters the game for R. O'Neale,22,26
1,1:18.0,Shooting foul by D. Favors (drawn by A. Wiggins),,22,26
1,1:18.0,A. Wiggins makes free throw 1 of 2,,23,26
1,1:18.0,A. Wiggins makes free throw 2 of 2,,24,26
1,1:07.0,,K. Korver makes 2-pt jump shot from 23 ft (assist by R. Rubio),24,28
1,0:47.0,J. Terrell misses 3-pt jump shot from 25 ft,,24,28
1,0:43.0,Offensive rebound by D. Šarić,,24,28
1,0:42.0,D. Šarić misses 2-pt jump shot from 2 ft,,24,28
1,0:42.0,,Defensive rebound by Team,24,28
1,0:37.0,,Personal foul by J. Terrell (drawn by R. Rubio),24,28
1,0:37.0,,R. Rubio misses free throw 1 of 2,24,28
1,0:37.0,,Offensive rebound by Team,24,28
1,0:37.0,,R. Rubio makes free throw 2 of 2,24,29
1,0:30.0,J. Terrell misses 2-pt jump shot from 9 ft,,24,29
1,0:27.0,,Defensive rebound by K. Korver,24,29
1,0:06.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),24,31
1,0:00.0,Turnover by A. Wiggins (lost ball; steal by J. Ingles),,24,31
2,11:48.0,,Turnover by J. Crowder (traveling),24,31
2,11:40.0,A. Wiggins misses 3-pt jump shot from 26 ft,,24,31
2,11:37.0,,Defensive rebound by K. Korver,24,31
2,11:29.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),24,33
2,11:16.0,A. Wiggins misses 2-pt layup from 3 ft,,24,33
2,11:14.0,,Defensive rebound by D. Favors,24,33
2,11:01.0,,R. Rubio misses 2-pt layup from 3 ft,24,33
2,10:59.0,Defensive rebound by K. Towns,,24,33
2,10:38.0,A. Wiggins misses 2-pt jump shot from 15 ft,,24,33
2,10:36.0,Offensive rebound by Team,,24,33
