QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
1,11:46.0,K. Towns makes 2-pt jump shot from 17 ft (assist by D. Rose),,2,0
1,11:28.0,,L. Markkanen misses 3-pt jump shot from 26 ft,2,0
1,11:26.0,Defensive rebound by K. Towns,,2,0
1,11:18.0,T. Gibson makes 2-pt layup from 2 ft,,4,0
1,10:56.0,,K. Dunn misses 2-pt jump shot from 11 ft,4,0
1,10:53.0,Defensive rebound by K. Towns,,4,0
1,10:50.0,R. Covington misses 3-pt jump shot from 25 ft,,4,0
1,10:45.0,Offensive rebound by R. Covington,,4,0
1,10:43.0,R. Covington misses 3-pt jump shot from 26 ft,,4,0
1,10:41.0,,Defensive rebound by W. Carter,4,0
1,10:21.0,,J. Holiday misses 2-pt jump shot from 8 ft,4,0
1,10:20.0,Defensive rebound by Team,,4,0
1,10:06.0,A. Wiggins misses 3-pt jump shot from 25 ft,,4,0
1,10:02.0,,Defensive rebound by L. Markkanen,4,0
1,9:48.0,,L. Markkanen misses 2-pt jump shot from 16 ft,4,0
1,9:44.0,Defensive rebound by K. Towns,,4,0
1,9:39.0,T. Gibson misses 2-pt layup from 2 ft (block by J. Holiday),,4,0
1,9:35.0,Offensive rebound by T. Gibson,,4,0
1,9:30.0,K. Towns makes 2-pt jump shot from 2 ft (assist by D. Rose),,6,0
1,9:10.0,,K. Dunn misses 2-pt jump shot from 10 ft,6,0
1,9:08.0,Defensive rebound by K. Towns,,6,0
1,9:02.0,A. Wiggins misses 2-pt jump shot from 7 ft,,6,0
1,8:56.0,,Defensive rebound by L. Markkanen,6,0
1,8:44.0,,K. Dunn misses 2-pt layup from 2 ft,6,0
1,8:42.0,Defensive rebound by K. Towns,,6,0
1,8:32.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by K. Towns),,8,0
1,8:09.0,,L. Markkanen makes 2-pt layup from 3 ft (assist by K. Dunn),8,2
1,7:59.0,D. Rose misses 3-pt jump shot from 25 ft,,8,2
1,7:57.0,,Defensive rebound by J. Holiday,8,2
1,7:50.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),8,4
1,7:50.0,,Shooting foul by K. Towns (drawn by L. Markkanen),8,4
1,7:50.0,,L. Markkanen makes free throw 1 of 1,8,5
1,7:35.0,D. Rose makes 2-pt jump shot from 4 ft,,10,5
1,7:20.0,,J. Holiday misses 2-pt layup from 3 ft,10,5
1,7:17.0,Defensive rebound by A. Wiggins,,10,5
1,7:13.0,A. Wiggins misses 2-pt layup from 2 ft,,10,5
1,7:11.0,,Defensive rebound by W. Carter,10,5
1,7:05.0,,L. Markkanen misses 3-pt jump shot from 22 ft,10,5
1,7:01.0,,Offensive rebound by W. Carter,10,5
1,7:00.0,,W. Carter misses 2-pt layup from 2 ft,10,5
1,6:58.0,Defensive rebound by R. Covington,,10,5
1,6:54.0,D. Rose misses 2-pt layup from 1 ft (block by J. Holiday),,10,5
1,6:54.0,Offensive rebound by Team,,10,5
1,6:54.0,,Chicago full timeout,10,5
1,6:49.0,T. Gibson makes 2-pt layup from 2 ft (assist by D. Rose),,12,5
1,6:49.0,Shooting foul by K. Dunn (drawn by T. Gibson),,12,5
1,6:49.0,T. Gibson makes free throw 1 of 1,,13,5
1,6:30.0,,K. Dunn makes 2-pt jump shot from 21 ft,13,7
1,6:11.0,D. Rose makes 2-pt layup from 1 ft,,15,7
1,5:54.0,,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by J. Holiday),15,10
1,5:43.0,K. Towns misses 2-pt jump shot from 22 ft,,15,10
1,5:40.0,,Defensive rebound by K. Dunn,15,10
1,5:38.0,,Turnover by R. Arcidiacono (offensive foul),15,10
1,5:38.0,,Offensive foul by R. Arcidiacono (drawn by D. Rose),15,10
1,5:38.0,,Z. LaVine enters the game for R. Arcidiacono,15,10
1,5:21.0,A. Wiggins makes 2-pt layup from 2 ft,,17,10
1,5:21.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,17,10
1,5:21.0,A. Wiggins makes free throw 1 of 1,,18,10
1,5:07.0,,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),18,12
1,4:59.0,D. Rose makes 2-pt layup from 3 ft,,20,12
1,4:48.0,,Offensive foul by W. Carter (drawn by R. Covington),20,12
1,4:48.0,,Turnover by W. Carter (offensive foul),20,12
1,4:48.0,J. Okogie enters the game for R. Covington,,20,12
1,4:32.0,A. Wiggins misses 3-pt jump shot from 26 ft,,20,12
1,4:29.0,,Defensive rebound by W. Carter,20,12
1,4:19.0,,W. Carter misses 2-pt jump shot from 17 ft,20,12
1,4:15.0,,Offensive rebound by W. Carter,20,12
1,4:14.0,,Personal foul by A. Wiggins (drawn by Z. LaVine),20,12
1,4:05.0,,Turnover by W. Carter (traveling),20,12
1,3:53.0,J. Okogie misses 3-pt jump shot from 24 ft,,20,12
1,3:49.0,Offensive rebound by K. Towns,,20,12
1,3:46.0,Turnover by D. Rose (discontinued dribble),,20,12
1,3:35.0,,W. Carter misses 2-pt jump shot from 17 ft,20,12
1,3:32.0,Defensive rebound by J. Okogie,,20,12
1,3:25.0,K. Towns makes 3-pt jump shot from 23 ft (assist by D. Rose),,23,12
1,3:10.0,,J. Holiday misses 3-pt jump shot from 24 ft,23,12
1,3:07.0,Defensive rebound by T. Gibson,,23,12
1,2:56.0,T. Gibson misses 2-pt jump shot from 6 ft,,23,12
1,2:50.0,,Defensive rebound by K. Dunn,23,12
1,2:48.0,,Z. LaVine misses 2-pt jump shot from 18 ft,23,12
1,2:45.0,Defensive rebound by K. Towns,,23,12
1,2:40.0,D. Rose makes 2-pt jump shot from 10 ft,,25,12
1,2:40.0,,Chicago full timeout,25,12
1,2:40.0,D. Šarić enters the game for T. Gibson,,25,12
1,2:40.0,,R. Arcidiacono enters the game for W. Carter,25,12
1,2:40.0,,S. Harrison enters the game for K. Dunn,25,12
1,2:40.0,,R. Lopez enters the game for J. Holiday,25,12
1,2:25.0,,R. Lopez misses 2-pt hook shot from 7 ft,25,12
1,2:20.0,,Offensive rebound by R. Lopez,25,12
1,2:20.0,,R. Lopez misses 2-pt layup at rim,25,12
1,2:19.0,Defensive rebound by D. Rose,,25,12
1,2:11.0,A. Wiggins misses 3-pt jump shot from 23 ft,,25,12
1,2:07.0,,Defensive rebound by R. Lopez,25,12
1,1:53.0,,S. Harrison misses 2-pt layup from 2 ft,25,12
1,1:51.0,,Offensive rebound by R. Lopez,25,12
1,1:49.0,,R. Lopez makes 2-pt hook shot from 1 ft,25,14
1,1:34.0,D. Rose makes 2-pt jump shot from 10 ft (assist by A. Wiggins),,27,14
1,1:18.0,,R. Lopez misses 3-pt jump shot from 26 ft,27,14
1,1:15.0,Defensive rebound by J. Okogie,,27,14
1,1:08.0,K. Towns makes 2-pt hook shot from 3 ft (assist by D. Rose),,29,14
1,0:52.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by R. Lopez),29,16
1,0:44.0,K. Towns misses 2-pt jump shot from 16 ft,,29,16
1,0:44.0,,Defensive rebound by R. Arcidiacono,29,16
1,0:44.0,,Personal foul by K. Towns (drawn by R. Lopez),29,16
1,0:44.0,G. Dieng enters the game for K. Towns,,29,16
1,0:33.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,29,16
1,0:31.0,,Offensive rebound by R. Lopez,29,16
1,0:29.0,,R. Lopez misses 2-pt layup from 2 ft,29,16
1,0:29.0,,Offensive rebound by R. Lopez,29,16
1,0:28.0,,R. Lopez misses 2-pt layup at rim,29,16
1,0:28.0,Defensive rebound by Team,,29,16
1,0:12.0,G. Dieng misses 2-pt jump shot from 10 ft,,29,16
1,0:09.0,,Defensive rebound by S. Harrison,29,16
1,0:00.0,,L. Markkanen misses 2-pt layup from 3 ft,29,16
1,0:00.0,,Offensive rebound by L. Markkanen,29,16
1,0:00.0,,L. Markkanen makes 2-pt layup at rim,29,18
1,0:00.0,D. Rose misses 3-pt jump shot from 74 ft,,29,18
1,0:00.0,Offensive rebound by Team,,29,18
2,11:50.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Lopez),29,20
2,11:50.0,,Shooting foul by R. Covington (drawn by Z. LaVine),29,20
2,11:50.0,,Z. LaVine makes free throw 1 of 1,29,21
2,11:31.0,T. Jones makes 3-pt jump shot from 25 ft (assist by D. Šarić),,32,21
2,11:11.0,,Shooting foul by R. Covington (drawn by Z. LaVine),32,21
2,11:11.0,,Z. LaVine makes free throw 1 of 2,32,22
2,11:11.0,,Z. LaVine misses free throw 2 of 2,32,22
2,11:09.0,Defensive rebound by G. Dieng,,32,22
2,10:56.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by D. Šarić),,34,22
2,10:39.0,,Z. LaVine makes 3-pt jump shot from 26 ft,34,25
2,10:19.0,G. Dieng makes 2-pt jump shot from 19 ft (assist by T. Jones),,36,25
2,9:56.0,,Z. LaVine misses 3-pt jump shot from 26 ft,36,25
2,9:53.0,Defensive rebound by G. Dieng,,36,25
2,9:49.0,Personal foul by C. Hutchison (drawn by D. Šarić),,36,25
2,9:35.0,D. Šarić misses 2-pt layup from 2 ft,,36,25
2,9:27.0,Offensive rebound by R. Covington,,36,25
2,9:26.0,R. Covington misses 2-pt layup from 5 ft,,36,25
2,9:23.0,,Defensive rebound by R. Lopez,36,25
2,9:18.0,,S. Harrison misses 3-pt jump shot from 23 ft,36,25
2,9:11.0,,Offensive rebound by R. Lopez,36,25
2,9:11.0,,R. Lopez misses 2-pt layup at rim,36,25
2,9:11.0,Defensive rebound by R. Covington,,36,25
2,9:09.0,G. Dieng makes 2-pt layup from 1 ft (assist by T. Jones),,38,25
2,8:59.0,,Shooting foul by G. Dieng (drawn by Z. LaVine),38,25
2,8:59.0,,Z. LaVine misses free throw 1 of 2,38,25
2,8:59.0,,Offensive rebound by Team,38,25
2,8:59.0,D. Rose enters the game for J. Okogie,,38,25
2,8:59.0,,K. Dunn enters the game for R. Arcidiacono,38,25
2,8:59.0,,J. Holiday enters the game for C. Hutchison,38,25
2,8:59.0,,Z. LaVine makes free throw 2 of 2,38,26
2,8:41.0,D. Šarić misses 2-pt layup from 1 ft,,38,26
2,8:39.0,Offensive rebound by G. Dieng,,38,26
2,8:38.0,R. Covington misses 3-pt jump shot from 25 ft,,38,26
2,8:35.0,,Defensive rebound by K. Dunn,38,26
2,8:33.0,,Turnover by K. Dunn (bad pass),38,26
2,8:20.0,D. Šarić misses 3-pt jump shot from 25 ft,,38,26
2,8:16.0,,Defensive rebound by S. Harrison,38,26
2,8:05.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),38,29
2,7:54.0,R. Covington misses 2-pt layup from 6 ft,,38,29
2,7:51.0,,Defensive rebound by R. Lopez,38,29
2,7:48.0,,Z. LaVine makes 3-pt jump shot from 25 ft,38,32
2,7:39.0,Minnesota full timeout,,38,32
2,7:39.0,K. Towns enters the game for G. Dieng,,38,32
2,7:39.0,,C. Hutchison enters the game for Z. LaVine,38,32
2,7:27.0,D. Rose makes 2-pt jump shot from 10 ft,,40,32
2,7:17.0,,K. Dunn misses 2-pt jump shot from 17 ft,40,32
2,7:14.0,Defensive rebound by D. Rose,,40,32
2,7:09.0,Shooting foul by K. Dunn (drawn by R. Covington),,40,32
