QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
1,11:45.0,,J. Embiid makes 2-pt layup from 1 ft,0,2
1,11:29.0,V. Carter misses 2-pt jump shot from 12 ft,,0,2
1,11:27.0,,Defensive rebound by J. Embiid,0,2
1,11:19.0,,M. Fultz misses 2-pt jump shot from 16 ft,0,2
1,11:16.0,Defensive rebound by T. Prince,,0,2
1,11:11.0,T. Prince makes 3-pt jump shot from 26 ft,,3,2
1,11:00.0,,Turnover by R. Covington (bad pass),3,2
1,10:42.0,A. Len makes 3-pt jump shot from 24 ft (assist by V. Carter),,6,2
1,10:23.0,,M. Fultz misses 2-pt layup from 4 ft (block by K. Bazemore),6,2
1,10:17.0,,Offensive rebound by M. Fultz,6,2
1,10:17.0,,M. Fultz makes 2-pt layup at rim,6,4
1,10:01.0,T. Prince misses 2-pt jump shot from 6 ft,,6,4
1,9:59.0,,Defensive rebound by M. Fultz,6,4
1,9:50.0,,M. Fultz misses 3-pt jump shot from 26 ft,6,4
1,9:44.0,,Offensive rebound by R. Covington,6,4
1,9:42.0,,Turnover by R. Covington (bad pass; steal by A. Len),6,4
1,9:39.0,T. Young misses 2-pt layup from 13 ft (block by J. Embiid),,6,4
1,9:39.0,,Defensive rebound by D. Šarić,6,4
1,9:28.0,,B. Simmons makes 2-pt layup from 4 ft,6,6
1,9:15.0,K. Bazemore makes 2-pt layup from 2 ft,,8,6
1,8:56.0,,Personal foul by V. Carter (drawn by J. Embiid),8,6
1,8:45.0,,Turnover by J. Embiid (traveling),8,6
1,8:34.0,T. Young makes 2-pt layup from 1 ft,,10,6
1,8:34.0,,Philadelphia full timeout,10,6
1,8:23.0,,Turnover by D. Šarić (bad pass; steal by K. Bazemore),10,6
1,8:11.0,Turnover by A. Len (offensive foul),,10,6
1,8:11.0,Offensive foul by A. Len (drawn by D. Šarić),,10,6
1,7:58.0,,Personal foul by A. Len (drawn by J. Embiid),10,6
1,7:58.0,D. Dedmon enters the game for A. Len,,10,6
1,7:44.0,,R. Covington misses 3-pt jump shot from 27 ft,10,6
1,7:40.0,,Offensive rebound by D. Šarić,10,6
1,7:33.0,,R. Covington misses 2-pt jump shot from 18 ft,10,6
1,7:30.0,Defensive rebound by V. Carter,,10,6
1,7:20.0,Shooting foul by J. Embiid (drawn by D. Dedmon),,10,6
1,7:20.0,D. Dedmon makes free throw 1 of 2,,11,6
1,7:20.0,O. Spellman enters the game for V. Carter,,11,6
1,7:20.0,,A. Johnson enters the game for J. Embiid,11,6
1,7:20.0,,J. Redick enters the game for M. Fultz,11,6
1,7:20.0,D. Dedmon makes free throw 2 of 2,,12,6
1,7:11.0,,B. Simmons makes 2-pt dunk at rim (assist by A. Johnson),12,8
1,7:03.0,T. Prince misses 2-pt layup from 6 ft (block by R. Covington),,12,8
1,7:00.0,Offensive rebound by T. Prince,,12,8
1,6:58.0,T. Prince misses 2-pt jump shot from 17 ft,,12,8
1,6:56.0,,Defensive rebound by D. Šarić,12,8
1,6:53.0,,Turnover by B. Simmons (lost ball; steal by T. Prince),12,8
1,6:42.0,K. Bazemore misses 3-pt jump shot from 26 ft,,12,8
1,6:40.0,,Defensive rebound by B. Simmons,12,8
1,6:32.0,,B. Simmons misses 2-pt hook shot from 7 ft,12,8
1,6:30.0,Defensive rebound by D. Dedmon,,12,8
1,6:25.0,Shooting foul by R. Covington (drawn by O. Spellman),,12,8
1,6:25.0,O. Spellman makes free throw 1 of 2,,13,8
1,6:25.0,D. Bembry enters the game for T. Prince,,13,8
1,6:25.0,O. Spellman misses free throw 2 of 2,,13,8
1,6:23.0,,Defensive rebound by B. Simmons,13,8
1,6:10.0,,J. Redick misses 3-pt jump shot from 26 ft,13,8
1,6:06.0,,Offensive rebound by B. Simmons,13,8
1,5:58.0,,D. Šarić misses 3-pt jump shot from 25 ft,13,8
1,5:56.0,Defensive rebound by Team,,13,8
1,5:43.0,K. Bazemore makes 3-pt jump shot from 28 ft (assist by T. Young),,16,8
1,5:32.0,,R. Covington misses 3-pt jump shot from 26 ft,16,8
1,5:29.0,Defensive rebound by D. Dedmon,,16,8
1,5:29.0,J. Lin enters the game for T. Young,,16,8
1,5:05.0,K. Bazemore misses 3-pt jump shot from 27 ft,,16,8
1,5:02.0,,Defensive rebound by D. Šarić,16,8
1,4:58.0,,J. Redick misses 3-pt jump shot from 24 ft,16,8
1,4:55.0,Defensive rebound by O. Spellman,,16,8
1,4:53.0,Turnover by D. Bembry (lost ball; steal by R. Covington),,16,8
1,4:51.0,,Shooting foul by K. Bazemore (drawn by D. Šarić),16,8
1,4:51.0,,D. Šarić makes free throw 1 of 2,16,9
1,4:51.0,T. Prince enters the game for K. Bazemore,,16,9
1,4:51.0,,D. Šarić makes free throw 2 of 2,16,10
1,4:40.0,Personal foul by B. Simmons (drawn by T. Prince),,16,10
1,4:31.0,Offensive foul by T. Prince (drawn by A. Johnson),,16,10
1,4:31.0,Turnover by T. Prince (offensive foul),,16,10
1,4:21.0,,Turnover by R. Covington (traveling),16,10
1,4:08.0,Turnover by J. Lin (bad pass; steal by R. Covington),,16,10
1,4:02.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by B. Simmons),16,13
1,4:01.0,Atlanta full timeout,,16,13
1,4:01.0,K. Huerter enters the game for T. Prince,,16,13
1,4:01.0,M. Plumlee enters the game for O. Spellman,,16,13
1,4:01.0,,J. Embiid enters the game for A. Johnson,16,13
1,4:01.0,,M. Fultz enters the game for D. Šarić,16,13
1,4:01.0,,M. Muscala enters the game for B. Simmons,16,13
1,3:48.0,D. Bembry misses 2-pt layup from 3 ft,,16,13
1,3:47.0,Offensive rebound by D. Bembry,,16,13
1,3:45.0,J. Lin misses 3-pt jump shot from 26 ft,,16,13
1,3:45.0,Offensive rebound by M. Plumlee,,16,13
1,3:37.0,M. Plumlee makes 2-pt dunk from 1 ft,,18,13
1,3:29.0,,Personal foul by M. Plumlee (drawn by J. Embiid),18,13
1,3:29.0,,L. Shamet enters the game for R. Covington,18,13
1,3:16.0,,M. Fultz makes 2-pt jump shot from 7 ft (assist by J. Embiid),18,15
1,3:02.0,Turnover by D. Bembry (bad pass),,18,15
1,2:50.0,,L. Shamet misses 3-pt jump shot from 26 ft,18,15
1,2:46.0,Defensive rebound by M. Plumlee,,18,15
1,2:41.0,J. Lin makes 2-pt layup from 2 ft (assist by M. Plumlee),,20,15
1,2:27.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Redick),20,18
1,2:02.0,J. Lin misses 2-pt layup from 3 ft,,20,18
1,2:01.0,Offensive rebound by Team,,20,18
1,2:01.0,Turnover by Team (shot clock),,20,18
1,1:51.0,,M. Fultz misses 2-pt jump shot from 16 ft,20,18
1,1:49.0,,Offensive rebound by J. Embiid,20,18
1,1:47.0,,J. Embiid misses 2-pt hook shot from 8 ft,20,18
1,1:44.0,Defensive rebound by D. Bembry,,20,18
1,1:39.0,D. Bembry misses 2-pt layup from 4 ft,,20,18
1,1:38.0,,Defensive rebound by M. Muscala,20,18
1,1:38.0,K. Bazemore enters the game for D. Bembry,,20,18
1,1:38.0,V. Carter enters the game for D. Dedmon,,20,18
1,1:38.0,T. Young enters the game for J. Lin,,20,18
1,1:32.0,,Turnover by M. Muscala (lost ball; steal by M. Plumlee),20,18
1,1:29.0,V. Carter misses 3-pt jump shot from 27 ft,,20,18
1,1:27.0,,Defensive rebound by M. Muscala,20,18
1,1:22.0,,J. Redick misses 3-pt jump shot from 26 ft,20,18
1,1:19.0,Defensive rebound by M. Plumlee,,20,18
1,1:16.0,Shooting foul by M. Fultz (drawn by K. Bazemore),,20,18
1,1:16.0,K. Bazemore misses free throw 1 of 2,,20,18
1,1:16.0,Offensive rebound by Team,,20,18
1,1:16.0,K. Bazemore makes free throw 2 of 2,,21,18
1,1:00.0,,J. Redick misses 2-pt layup from 9 ft (block by K. Huerter),21,18
1,0:58.0,,Offensive rebound by M. Fultz,21,18
1,0:57.0,,M. Fultz misses 2-pt layup from 4 ft (block by K. Bazemore),21,18
1,0:57.0,Defensive rebound by T. Young,,21,18
1,0:48.0,K. Huerter misses 3-pt jump shot from 27 ft,,21,18
1,0:45.0,,Defensive rebound by L. Shamet,21,18
1,0:40.0,,J. Embiid misses 3-pt jump shot from 27 ft,21,18
1,0:37.0,Defensive rebound by M. Plumlee,,21,18
1,0:32.0,K. Bazemore makes 2-pt jump shot from 20 ft (assist by M. Plumlee),,23,18
1,0:13.0,,M. Fultz makes 2-pt layup from 2 ft (assist by J. Embiid),23,20
1,0:03.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Young),,25,20
1,0:01.0,,M. Fultz misses 3-pt jump shot from 48 ft,25,20
1,0:01.0,,Offensive rebound by Team,25,20
