QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
1,11:35.0,,Turnover by A. Aminu (lost ball; steal by J. Teague),0,0
1,11:31.0,J. Teague makes 3-pt jump shot from 25 ft (assist by D. Rose),,3,0
1,11:13.0,,A. Aminu misses 3-pt jump shot from 24 ft,3,0
1,11:10.0,,Offensive rebound by J. Nurkić,3,0
1,11:07.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by M. Harkless),3,2
1,10:47.0,D. Rose misses 2-pt layup from 2 ft (block by C. McCollum),,3,2
1,10:45.0,Offensive rebound by D. Rose,,3,2
1,10:42.0,K. Towns makes 3-pt jump shot from 23 ft (assist by D. Rose),,6,2
1,10:29.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),6,4
1,10:11.0,A. Wiggins misses 2-pt layup from 4 ft (block by M. Harkless),,6,4
1,10:05.0,,Defensive rebound by D. Lillard,6,4
1,9:57.0,,A. Aminu makes 2-pt dunk at rim (assist by J. Nurkić),6,6
1,9:43.0,J. Teague makes 2-pt jump shot from 11 ft,,8,6
1,9:20.0,,Turnover by J. Nurkić (lost ball; steal by D. Rose),8,6
1,9:17.0,Turnover by D. Rose (lost ball; steal by J. Nurkić),,8,6
1,9:15.0,,Shooting foul by K. Towns (drawn by J. Nurkić),8,6
1,9:15.0,,J. Nurkić misses free throw 1 of 2,8,6
1,9:15.0,,Offensive rebound by Team,8,6
1,9:15.0,,J. Nurkić makes free throw 2 of 2,8,7
1,9:05.0,D. Rose misses 2-pt jump shot from 7 ft,,8,7
1,9:03.0,,Defensive rebound by A. Aminu,8,7
1,8:58.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,7
1,8:55.0,Defensive rebound by K. Towns,,8,7
1,8:52.0,Offensive foul by K. Towns (drawn by A. Aminu),,8,7
1,8:52.0,Turnover by K. Towns (offensive foul),,8,7
1,8:52.0,G. Dieng enters the game for K. Towns,,8,7
1,8:40.0,,Turnover by D. Lillard (bad pass; steal by G. Dieng),8,7
1,8:31.0,,Violation by Team (kicked ball),8,7
1,8:23.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by J. Teague),,10,7
1,8:11.0,,D. Lillard misses 3-pt jump shot from 27 ft (block by J. Teague),10,7
1,8:08.0,Defensive rebound by A. Wiggins,,10,7
1,8:05.0,D. Rose misses 2-pt layup from 4 ft (block by A. Aminu),,10,7
1,8:02.0,,Defensive rebound by C. McCollum,10,7
1,7:51.0,,D. Lillard makes 3-pt jump shot from 31 ft,10,10
1,7:38.0,G. Dieng misses 2-pt jump shot from 17 ft,,10,10
1,7:36.0,,Defensive rebound by M. Harkless,10,10
1,7:24.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by J. Nurkić),10,13
1,7:15.0,D. Rose misses 2-pt layup from 4 ft (block by J. Nurkić),,10,13
1,7:12.0,,Defensive rebound by M. Harkless,10,13
1,7:09.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),10,15
1,7:00.0,Minnesota full timeout,,10,15
1,6:45.0,A. Wiggins makes 2-pt jump shot from 16 ft,,12,15
1,6:21.0,,J. Nurkić misses 2-pt layup from 2 ft,12,15
1,6:20.0,,Offensive rebound by J. Nurkić,12,15
1,6:19.0,,J. Nurkić misses 2-pt layup from 3 ft (block by G. Dieng),12,15
1,6:17.0,Defensive rebound by G. Dieng,,12,15
1,6:11.0,D. Rose makes 2-pt layup from 2 ft,,14,15
1,6:00.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),14,18
1,5:49.0,T. Gibson misses 2-pt layup from 3 ft,,14,18
1,5:47.0,,Defensive rebound by C. McCollum,14,18
1,5:42.0,,C. McCollum makes 2-pt jump shot from 3 ft,14,20
1,5:30.0,J. Teague misses 2-pt jump shot from 8 ft,,14,20
1,5:29.0,,Defensive rebound by A. Aminu,14,20
1,5:23.0,,Turnover by D. Lillard (bad pass),14,20
1,5:23.0,,Z. Collins enters the game for A. Aminu,14,20
1,5:23.0,,E. Turner enters the game for M. Harkless,14,20
1,5:06.0,A. Wiggins makes 2-pt layup from 1 ft,,16,20
1,4:50.0,,C. McCollum misses 3-pt jump shot from 25 ft,16,20
1,4:47.0,,Offensive rebound by J. Nurkić,16,20
1,4:45.0,,J. Nurkić makes 2-pt layup from 2 ft,16,22
1,4:45.0,,Shooting foul by G. Dieng (drawn by J. Nurkić),16,22
1,4:45.0,,J. Nurkić makes free throw 1 of 1,16,23
1,4:32.0,D. Rose makes 2-pt jump shot from 4 ft (assist by G. Dieng),,18,23
1,4:10.0,,D. Lillard makes 2-pt layup at rim (assist by J. Nurkić),18,25
1,4:02.0,J. Teague misses 2-pt jump shot from 21 ft,,18,25
1,3:59.0,,Defensive rebound by J. Nurkić,18,25
1,3:54.0,,Turnover by E. Turner (bad pass; steal by T. Gibson),18,25
1,3:48.0,D. Rose makes 2-pt jump shot from 16 ft,,20,25
1,3:29.0,,D. Lillard misses 3-pt jump shot from 23 ft,20,25
1,3:28.0,,Offensive rebound by Team,20,25
1,3:28.0,,Portland full timeout,20,25
1,3:28.0,J. Okogie enters the game for T. Gibson,,20,25
1,3:28.0,D. Šarić enters the game for D. Rose,,20,25
1,3:28.0,,J. Layman enters the game for C. McCollum,20,25
1,3:28.0,,M. Leonard enters the game for J. Nurkić,20,25
1,3:24.0,,Z. Collins makes 2-pt hook shot from 5 ft (assist by E. Turner),20,27
1,3:06.0,A. Wiggins misses 2-pt jump shot from 16 ft,,20,27
1,3:04.0,Offensive rebound by Team,,20,27
1,3:04.0,,Loose ball foul by M. Leonard (drawn by G. Dieng),20,27
1,2:52.0,A. Wiggins misses 2-pt jump shot from 11 ft,,20,27
1,2:50.0,,Defensive rebound by E. Turner,20,27
1,2:45.0,,J. Layman misses 3-pt jump shot from 25 ft,20,27
1,2:44.0,,Offensive rebound by Team,20,27
1,2:44.0,Loose ball foul by D. Šarić (drawn by Z. Collins),,20,27
1,2:35.0,,J. Layman misses 3-pt jump shot from 25 ft,20,27
1,2:30.0,,Offensive rebound by J. Layman,20,27
1,2:24.0,,M. Leonard makes 2-pt jump shot from 3 ft (assist by D. Lillard),20,29
1,2:13.0,Shooting foul by M. Leonard (drawn by G. Dieng),,20,29
1,2:13.0,G. Dieng makes free throw 1 of 2,,21,29
1,2:13.0,T. Jones enters the game for J. Teague,,21,29
1,2:13.0,,N. Stauskas enters the game for D. Lillard,21,29
1,2:13.0,G. Dieng makes free throw 2 of 2,,22,29
1,1:58.0,,M. Leonard misses 3-pt jump shot from 25 ft,22,29
1,1:55.0,Defensive rebound by A. Wiggins,,22,29
1,1:48.0,J. Okogie misses 2-pt layup from 1 ft,,22,29
1,1:47.0,,Defensive rebound by E. Turner,22,29
1,1:37.0,,N. Stauskas misses 2-pt jump shot from 7 ft,22,29
1,1:34.0,Defensive rebound by D. Šarić,,22,29
1,1:26.0,Shooting foul by J. Layman (drawn by A. Wiggins),,22,29
1,1:26.0,A. Wiggins makes free throw 1 of 2,,23,29
1,1:26.0,A. Wiggins misses free throw 2 of 2,,23,29
1,1:24.0,,Defensive rebound by M. Leonard,23,29
1,1:09.0,,Personal foul by J. Okogie (drawn by N. Stauskas),23,29
1,1:01.0,,J. Layman misses 2-pt jump shot from 19 ft,23,29
1,0:59.0,Defensive rebound by G. Dieng,,23,29
1,0:50.0,Turnover by A. Wiggins (bad pass; steal by Z. Collins),,23,29
1,0:47.0,,Turnover by E. Turner (lost ball; steal by T. Jones),23,29
