QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
1,11:46.0,,T. Young makes 2-pt jump shot from 13 ft,0,2
1,11:22.0,Turnover by J. Winslow (bad pass; steal by K. Huerter),,0,2
1,11:18.0,,T. Young makes 3-pt jump shot from 25 ft (assist by K. Huerter),0,5
1,10:57.0,J. Richardson misses 2-pt jump shot from 20 ft,,0,5
1,10:55.0,Offensive rebound by Team,,0,5
1,10:44.0,Turnover by H. Whiteside (3 sec),,0,5
1,10:28.0,,J. Collins misses 2-pt jump shot from 9 ft (block by H. Whiteside),0,5
1,10:28.0,,Offensive rebound by Team,0,5
1,10:20.0,,K. Huerter misses 2-pt jump shot from 18 ft,0,5
1,10:17.0,Defensive rebound by J. Johnson,,0,5
1,10:10.0,J. Richardson misses 2-pt layup from 1 ft,,0,5
1,10:06.0,Offensive rebound by R. McGruder,,0,5
1,9:59.0,J. Johnson makes 2-pt layup from 1 ft (assist by R. McGruder),,2,5
1,9:45.0,,D. Bembry misses 3-pt jump shot from 25 ft,2,5
1,9:42.0,Defensive rebound by H. Whiteside,,2,5
1,9:33.0,J. Winslow misses 2-pt layup from 3 ft,,2,5
1,9:30.0,,Defensive rebound by K. Huerter,2,5
1,9:27.0,,K. Huerter misses 2-pt layup from 2 ft,2,5
1,9:22.0,,Offensive rebound by D. Dedmon,2,5
1,9:22.0,,D. Dedmon makes 2-pt dunk from 1 ft,2,7
1,9:09.0,R. McGruder misses 3-pt jump shot from 25 ft,,2,7
1,9:07.0,,Defensive rebound by J. Collins,2,7
1,8:58.0,,D. Bembry misses 2-pt layup from 1 ft,2,7
1,8:53.0,,Offensive rebound by J. Collins,2,7
1,8:53.0,,J. Collins makes 2-pt layup from 1 ft,2,9
1,8:44.0,J. Johnson misses 3-pt jump shot from 25 ft,,2,9
1,8:42.0,,Defensive rebound by D. Bembry,2,9
1,8:38.0,,Personal foul by J. Winslow (drawn by D. Bembry),2,9
1,8:32.0,,D. Bembry misses 2-pt layup from 1 ft,2,9
1,8:29.0,Defensive rebound by J. Johnson,,2,9
1,8:29.0,Offensive foul by R. McGruder (drawn by T. Young),,2,9
1,8:29.0,Turnover by R. McGruder (offensive foul),,2,9
1,8:15.0,,Shooting foul by H. Whiteside (drawn by J. Collins),2,9
1,8:15.0,,J. Collins makes free throw 1 of 2,2,10
1,8:15.0,,D. Hamilton enters the game for K. Huerter,2,10
1,8:15.0,,J. Collins makes free throw 2 of 2,2,11
1,7:58.0,J. Johnson misses 2-pt layup from 2 ft,,2,11
1,7:54.0,,Defensive rebound by D. Hamilton,2,11
1,7:43.0,,D. Dedmon misses 2-pt layup from 1 ft,2,11
1,7:40.0,,Offensive rebound by D. Hamilton,2,11
1,7:40.0,,D. Hamilton makes 2-pt layup from 1 ft,2,13
1,7:39.0,Miami full timeout,,2,13
1,7:39.0,,A. Len enters the game for D. Dedmon,2,13
1,7:25.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),,4,13
1,7:00.0,,D. Hamilton misses 2-pt jump shot from 8 ft,4,13
1,6:54.0,,Offensive rebound by A. Len,4,13
1,6:55.0,,A. Len misses 2-pt layup from 1 ft,4,13
1,6:55.0,,Offensive rebound by A. Len,4,13
1,6:54.0,,A. Len misses 2-pt layup from 1 ft,4,13
1,6:54.0,Defensive rebound by J. Richardson,,4,13
1,6:48.0,J. Richardson makes 2-pt layup from 1 ft,,6,13
1,6:36.0,,Shooting foul by J. Johnson (drawn by T. Young),6,13
1,6:36.0,,T. Young makes free throw 1 of 2,6,14
1,6:36.0,,T. Young makes free throw 2 of 2,6,15
1,6:23.0,J. Richardson misses 3-pt jump shot from 26 ft,,6,15
1,6:20.0,,Defensive rebound by J. Collins,6,15
1,6:16.0,,Shooting foul by J. Richardson (drawn by D. Bembry),6,15
1,6:16.0,,D. Bembry misses free throw 1 of 2,6,15
1,6:16.0,,Offensive rebound by Team,6,15
1,6:16.0,,V. Carter enters the game for J. Collins,6,15
1,6:16.0,,J. Lin enters the game for T. Young,6,15
1,6:16.0,,D. Bembry makes free throw 2 of 2,6,16
1,6:02.0,J. Johnson misses 3-pt jump shot from 26 ft,,6,16
1,5:57.0,,Defensive rebound by V. Carter,6,16
1,5:46.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),6,18
1,5:26.0,R. McGruder misses 3-pt jump shot from 23 ft,,6,18
1,5:24.0,,Defensive rebound by D. Bembry,6,18
1,5:19.0,,D. Bembry misses 2-pt layup from 2 ft,6,18
1,5:18.0,Defensive rebound by Team,,6,18
1,5:18.0,,Loose ball foul by D. Bembry (drawn by H. Whiteside),6,18
1,5:18.0,D. Wade enters the game for J. Richardson,,6,18
1,5:18.0,,K. Huerter enters the game for D. Bembry,6,18
1,5:07.0,J. Winslow makes 2-pt jump shot from 14 ft,,8,18
1,4:51.0,,D. Hamilton misses 2-pt layup from 1 ft (block by D. Wade),8,18
1,4:51.0,,Offensive rebound by Team,8,18
1,4:51.0,T. Johnson enters the game for R. McGruder,,8,18
1,4:48.0,,A. Len misses 2-pt layup from 2 ft (block by H. Whiteside),8,18
1,4:44.0,Defensive rebound by J. Winslow,,8,18
1,4:41.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Winslow),,10,18
1,4:24.0,,K. Huerter misses 2-pt layup from 8 ft,10,18
1,4:20.0,Defensive rebound by J. Winslow,,10,18
1,4:15.0,T. Johnson misses 3-pt jump shot from 23 ft,,10,18
1,4:11.0,Offensive rebound by J. Winslow,,10,18
1,4:10.0,J. Winslow misses 2-pt layup from 2 ft,,10,18
1,4:08.0,,Defensive rebound by A. Len,10,18
1,4:06.0,,V. Carter misses 3-pt jump shot from 26 ft,10,18
1,4:06.0,Defensive rebound by D. Wade,,10,18
1,3:50.0,Shooting foul by V. Carter (drawn by J. Winslow),,10,18
1,3:50.0,J. Winslow misses free throw 1 of 2,,10,18
1,3:50.0,Offensive rebound by Team,,10,18
1,3:50.0,B. Adebayo enters the game for J. Johnson,,10,18
1,3:50.0,D. Jones enters the game for H. Whiteside,,10,18
1,3:50.0,J. Winslow misses free throw 2 of 2,,10,18
1,3:48.0,,Defensive rebound by A. Len,10,18
1,3:35.0,,J. Lin misses 2-pt layup from 6 ft,10,18
1,3:31.0,,Offensive rebound by A. Len,10,18
1,3:31.0,,A. Len misses 2-pt layup from 1 ft,10,18
1,3:31.0,,Offensive rebound by V. Carter,10,18
1,3:29.0,,V. Carter misses 3-pt jump shot from 27 ft,10,18
1,3:27.0,Defensive rebound by D. Wade,,10,18
1,3:23.0,D. Wade misses 2-pt jump shot from 11 ft,,10,18
1,3:19.0,Offensive rebound by T. Johnson,,10,18
1,3:18.0,J. Winslow misses 3-pt jump shot from 27 ft,,10,18
1,3:18.0,Offensive rebound by Team,,10,18
1,3:15.0,,Loose ball foul by K. Huerter (drawn by T. Johnson),10,18
1,3:04.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Johnson),,12,18
1,2:47.0,,Turnover by A. Len (3 sec),12,18
1,2:47.0,,Atlanta full timeout,12,18
