QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
1,11:47.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,3,0
1,11:33.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,3,0
1,11:29.0,Defensive rebound by D. Green,,3,0
1,11:19.0,S. Curry misses 2-pt jump shot from 20 ft,,3,0
1,11:17.0,,Defensive rebound by J. McGee,3,0
1,11:15.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),3,2
1,10:54.0,D. Cousins makes 2-pt jump shot from 9 ft,,5,2
1,10:42.0,,Personal foul by K. Durant (drawn by J. McGee),5,2
1,10:35.0,,R. Rondo misses 2-pt layup from 4 ft,5,2
1,10:35.0,Defensive rebound by K. Durant,,5,2
1,10:30.0,K. Thompson misses 3-pt jump shot from 25 ft,,5,2
1,10:26.0,Offensive rebound by D. Cousins,,5,2
1,10:24.0,D. Cousins misses 2-pt layup from 3 ft,,5,2
1,10:22.0,,Defensive rebound by K. Caldwell-Pope,5,2
1,10:18.0,,M. Wagner misses 2-pt layup from 2 ft (block by K. Thompson),5,2
1,10:14.0,Defensive rebound by K. Thompson,,5,2
1,9:54.0,Turnover by K. Durant (step out of bounds),,5,2
1,9:39.0,,M. Wagner misses 3-pt jump shot from 25 ft (block by D. Green),5,2
1,9:35.0,Defensive rebound by K. Thompson,,5,2
1,9:33.0,D. Green makes 2-pt dunk from 1 ft (assist by K. Thompson),,7,2
1,9:18.0,,R. Rondo misses 3-pt jump shot from 26 ft,7,2
1,9:13.0,Defensive rebound by K. Thompson,,7,2
1,9:04.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),,10,2
1,8:46.0,,J. McGee misses 2-pt layup from 2 ft,10,2
1,8:45.0,Defensive rebound by D. Cousins,,10,2
1,8:41.0,Turnover by K. Durant (bad pass),,10,2
1,8:30.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by A. Caruso),10,4
1,8:17.0,D. Cousins makes 2-pt layup from 1 ft (assist by S. Curry),,12,4
1,8:00.0,,A. Caruso misses 2-pt layup from 3 ft (block by D. Green),12,4
1,7:57.0,Defensive rebound by S. Curry,,12,4
1,7:53.0,D. Cousins makes 2-pt layup from 1 ft (assist by D. Green),,14,4
1,7:53.0,,LA Lakers full timeout,14,4
1,7:33.0,,J. McGee makes 2-pt dunk at rim (assist by K. Caldwell-Pope),14,6
1,7:20.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Curry),,17,6
1,7:06.0,,Personal foul by S. Curry (drawn by A. Caruso),17,6
1,7:01.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,17,6
1,6:57.0,Defensive rebound by K. Thompson,,17,6
1,6:47.0,D. Cousins misses 3-pt jump shot from 26 ft,,17,6
1,6:44.0,,Defensive rebound by J. McGee,17,6
1,6:36.0,,R. Rondo misses 3-pt jump shot from 26 ft,17,6
1,6:32.0,,Offensive rebound by J. McGee,17,6
