QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
1,11:42.0,,J. Richardson misses 3-pt jump shot from 25 ft (block by E. Gordon),0,0
1,11:39.0,Defensive rebound by P. Tucker,,0,0
1,11:38.0,Shooting foul by R. McGruder (drawn by E. Gordon),,0,0
1,11:38.0,E. Gordon makes free throw 1 of 2,,1,0
1,11:38.0,E. Gordon makes free throw 2 of 2,,2,0
1,11:16.0,,J. Johnson misses 2-pt jump shot from 13 ft,2,0
1,11:14.0,Defensive rebound by E. Gordon,,2,0
1,11:08.0,J. Harden makes 3-pt jump shot from 25 ft,,5,0
1,10:58.0,,Shooting foul by J. Harden (drawn by R. McGruder),5,0
1,10:58.0,,R. McGruder makes free throw 1 of 2,5,1
1,10:58.0,,R. McGruder makes free throw 2 of 2,5,2
1,10:46.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,8,2
1,10:26.0,,J. Johnson misses 2-pt layup from 2 ft,8,2
1,10:23.0,Defensive rebound by C. Paul,,8,2
1,10:16.0,J. Harden makes 3-pt jump shot from 26 ft,,11,2
1,10:01.0,,T. Johnson makes 2-pt layup at rim (assist by J. Richardson),11,4
1,9:50.0,J. Harden misses 2-pt layup at rim,,11,4
1,9:50.0,,Defensive rebound by H. Whiteside,11,4
1,9:45.0,,T. Johnson makes 2-pt dunk from 1 ft (assist by H. Whiteside),11,6
1,9:30.0,E. Gordon misses 3-pt jump shot from 24 ft,,11,6
1,9:27.0,,Defensive rebound by J. Johnson,11,6
1,9:21.0,,R. McGruder misses 3-pt jump shot from 23 ft,11,6
1,9:18.0,Defensive rebound by Team,,11,6
1,9:08.0,C. Paul misses 3-pt jump shot from 25 ft,,11,6
1,9:06.0,,Defensive rebound by H. Whiteside,11,6
1,8:43.0,,R. McGruder misses 3-pt jump shot from 23 ft,11,6
1,8:40.0,Defensive rebound by P. Tucker,,11,6
1,8:27.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,13,6
1,8:15.0,,Shooting foul by C. Paul (drawn by J. Johnson),13,6
1,8:15.0,,J. Johnson misses free throw 1 of 2,13,6
1,8:15.0,,Offensive rebound by Team,13,6
1,8:15.0,,J. Johnson makes free throw 2 of 2,13,7
1,8:06.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,15,7
1,7:50.0,,T. Johnson makes 3-pt jump shot from 29 ft (assist by J. Richardson),15,10
1,7:33.0,J. Harden misses 2-pt layup from 2 ft,,15,10
1,7:31.0,,Defensive rebound by H. Whiteside,15,10
1,7:23.0,,J. Richardson makes 2-pt jump shot from 13 ft,15,12
1,6:58.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Harden),,18,12
1,6:45.0,,T. Johnson misses 3-pt jump shot from 25 ft,18,12
1,6:45.0,,Offensive rebound by Team,18,12
1,6:45.0,,Miami full timeout,18,12
1,6:45.0,G. Green enters the game for C. Paul,,18,12
1,6:37.0,,Turnover by T. Johnson (lost ball; steal by G. Green),18,12
1,6:26.0,Turnover by J. Harden (bad pass; steal by H. Whiteside),,18,12
1,6:13.0,,Personal foul by P. Tucker (drawn by H. Whiteside),18,12
1,6:13.0,,D. Wade enters the game for J. Richardson,18,12
1,6:00.0,,J. Johnson misses 2-pt jump shot from 18 ft,18,12
1,5:58.0,Defensive rebound by G. Green,,18,12
1,5:49.0,J. Harden misses 2-pt layup from 2 ft,,18,12
1,5:47.0,,Defensive rebound by J. Johnson,18,12
1,5:44.0,,D. Wade misses 3-pt jump shot from 25 ft,18,12
1,5:41.0,Defensive rebound by C. Capela,,18,12
1,5:32.0,E. Gordon makes 2-pt jump shot from 5 ft,,20,12
1,5:24.0,,Turnover by H. Whiteside (traveling),20,12
1,5:07.0,G. Green makes 3-pt jump shot from 23 ft (assist by E. Gordon),,23,12
1,4:46.0,,J. Johnson misses 2-pt layup from 1 ft,23,12
1,4:45.0,,Offensive rebound by H. Whiteside,23,12
1,4:44.0,,H. Whiteside misses 2-pt layup at rim,23,12
1,4:43.0,,Offensive rebound by H. Whiteside,23,12
1,4:42.0,,H. Whiteside misses 2-pt layup from 1 ft,23,12
1,4:41.0,,Offensive rebound by H. Whiteside,23,12
1,4:40.0,,H. Whiteside makes 2-pt layup at rim,23,14
1,4:22.0,P. Tucker misses 3-pt jump shot from 26 ft,,23,14
1,4:22.0,Offensive rebound by Team,,23,14
1,4:22.0,D. House enters the game for P. Tucker,,23,14
1,4:22.0,,B. Adebayo enters the game for J. Johnson,23,14
1,4:22.0,,K. Olynyk enters the game for H. Whiteside,23,14
1,4:13.0,G. Green makes 2-pt jump shot from 18 ft,,25,14
1,3:57.0,,B. Adebayo misses 2-pt layup from 2 ft,25,14
1,3:52.0,Defensive rebound by C. Capela,,25,14
