QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
1,11:42.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by R. Gay),0,2
1,11:22.0,J. Murray misses 3-pt jump shot from 24 ft,,0,2
1,11:19.0,,Defensive rebound by B. Forbes,0,2
1,11:10.0,,R. Gay misses 3-pt jump shot from 25 ft,0,2
1,11:06.0,Defensive rebound by J. Hernangómez,,0,2
1,10:56.0,Shooting foul by L. Aldridge (drawn by J. Hernangómez),,0,2
1,10:56.0,J. Hernangómez misses free throw 1 of 2,,0,2
1,10:56.0,Offensive rebound by Team,,0,2
1,10:56.0,J. Hernangómez makes free throw 2 of 2,,1,2
1,10:39.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. DeRozan),1,4
1,10:26.0,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),,3,4
1,10:20.0,,B. Forbes makes 2-pt layup from 2 ft (assist by D. White),3,6
1,10:08.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Murray),,6,6
1,9:43.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by B. Forbes),6,8
1,9:29.0,N. Jokić misses 2-pt jump shot from 7 ft,,6,8
1,9:27.0,,Defensive rebound by R. Gay,6,8
1,9:25.0,,Personal foul by M. Plumlee (drawn by L. Aldridge),6,8
1,9:11.0,,Shooting foul by T. Craig (drawn by D. DeRozan),6,8
1,9:11.0,,D. DeRozan makes free throw 1 of 2,6,9
1,9:11.0,,D. DeRozan makes free throw 2 of 2,6,10
1,9:00.0,J. Murray misses 2-pt jump shot from 9 ft,,6,10
1,8:57.0,,Defensive rebound by D. DeRozan,6,10
1,8:49.0,,R. Gay misses 2-pt jump shot from 17 ft,6,10
1,8:44.0,Defensive rebound by N. Jokić,,6,10
1,8:40.0,T. Craig makes 3-pt jump shot from 24 ft (assist by N. Jokić),,9,10
1,8:20.0,,Turnover by B. Forbes (lost ball; steal by J. Murray),9,10
1,8:12.0,T. Craig misses 3-pt jump shot from 23 ft,,9,10
1,8:08.0,Offensive rebound by J. Murray,,9,10
1,8:06.0,J. Murray makes 2-pt layup at rim,,11,10
1,7:45.0,,D. White misses 3-pt jump shot from 25 ft,11,10
1,7:41.0,Defensive rebound by M. Plumlee,,11,10
1,7:22.0,J. Murray misses 3-pt jump shot from 27 ft,,11,10
1,7:20.0,,Defensive rebound by R. Gay,11,10
1,7:12.0,,Shooting foul by J. Hernangómez (drawn by D. DeRozan),11,10
1,7:12.0,,D. DeRozan makes free throw 1 of 2,11,11
1,7:12.0,,D. DeRozan misses free throw 2 of 2,11,11
1,7:10.0,,Offensive rebound by L. Aldridge,11,11
1,7:04.0,,L. Aldridge misses 2-pt jump shot from 13 ft,11,11
1,7:02.0,Defensive rebound by M. Plumlee,,11,11
1,6:48.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by N. Jokić),,14,11
1,6:31.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),14,13
1,6:15.0,Shooting foul by B. Forbes (drawn by T. Craig),,14,13
1,6:15.0,,San Antonio full timeout,14,13
1,6:15.0,M. Beasley enters the game for N. Jokić,,14,13
1,6:15.0,,P. Mills enters the game for D. White,14,13
1,6:15.0,T. Craig misses free throw 1 of 2,,14,13
1,6:15.0,Offensive rebound by Team,,14,13
1,6:15.0,T. Craig makes free throw 2 of 2,,15,13
1,5:52.0,,L. Aldridge misses 3-pt jump shot from 25 ft,15,13
1,5:52.0,Defensive rebound by Team,,15,13
1,5:38.0,M. Plumlee makes 2-pt hook shot from 6 ft (assist by J. Hernangómez),,17,13
