QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
1,11:54.0,,J. McGee misses 2-pt layup from 1 ft,0,0
1,11:51.0,Defensive rebound by K. Towns,,0,0
1,11:47.0,A. Wiggins misses 3-pt jump shot from 26 ft,,0,0
1,11:44.0,,Defensive rebound by L. Ball,0,0
1,11:44.0,,Turnover by L. Ball (out of bounds lost ball),0,0
1,11:32.0,A. Wiggins misses 2-pt jump shot from 14 ft,,0,0
1,11:29.0,,Defensive rebound by J. McGee,0,0
1,11:11.0,,L. James makes 2-pt jump shot from 18 ft,0,2
1,10:50.0,D. Rose makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,3,2
1,10:34.0,,B. Ingram misses 2-pt jump shot from 15 ft,3,2
1,10:31.0,Defensive rebound by D. Rose,,3,2
1,10:27.0,Turnover by D. Rose (bad pass; steal by K. Kuzma),,3,2
1,10:21.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),3,4
1,10:07.0,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),,5,4
1,9:59.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),5,6
1,9:50.0,Turnover by D. Rose (bad pass; steal by L. Ball),,5,6
1,9:47.0,,Shooting foul by A. Wiggins (drawn by L. Ball),5,6
1,9:47.0,,L. Ball misses free throw 1 of 2,5,6
1,9:47.0,,Offensive rebound by Team,5,6
1,9:47.0,,L. Ball makes free throw 2 of 2,5,7
1,9:33.0,T. Gibson misses 2-pt hook shot from 6 ft,,5,7
1,9:31.0,,Defensive rebound by L. Ball,5,7
1,9:27.0,,Turnover by L. Ball (bad pass; steal by J. Butler),5,7
1,9:24.0,D. Rose makes 2-pt dunk from 1 ft (assist by J. Butler),,7,7
1,9:01.0,,K. Kuzma misses 2-pt jump shot from 4 ft,7,7
1,9:00.0,,Offensive rebound by J. McGee,7,7
1,8:59.0,,L. James misses 3-pt jump shot from 28 ft,7,7
1,8:59.0,Defensive rebound by K. Towns,,7,7
1,8:37.0,D. Rose misses 3-pt jump shot from 26 ft,,7,7
1,8:34.0,,Defensive rebound by B. Ingram,7,7
1,8:29.0,,L. James misses 2-pt layup from 5 ft (block by K. Towns),7,7
1,8:29.0,,Offensive rebound by Team,7,7
1,8:24.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),7,9
1,8:07.0,Personal foul by B. Ingram (drawn by K. Towns),,7,9
1,7:57.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Rose),,10,9
