QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
1,3:09.0,Personal foul by G. Niang (drawn by J. Harden),,16,20
1,3:09.0,J. Harden makes free throw 1 of 2,,17,20
1,3:09.0,G. Green enters the game for P. Tucker,,17,20
1,3:09.0,J. Harden makes free throw 2 of 2,,18,20
1,2:57.0,,K. Korver misses 3-pt jump shot from 28 ft,18,20
1,2:54.0,Defensive rebound by K. Faried,,18,20
1,2:41.0,A. Rivers makes 2-pt layup from 2 ft (assist by J. Harden),,20,20
1,2:30.0,,G. Niang misses 3-pt jump shot from 23 ft,20,20
1,2:27.0,Defensive rebound by K. Faried,,20,20
1,2:20.0,J. Harden misses 2-pt layup from 3 ft,,20,20
1,2:18.0,,Defensive rebound by G. Niang,20,20
1,2:14.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by G. Niang),20,23
1,2:13.0,Houston full timeout,,20,23
1,2:13.0,C. Paul enters the game for J. Harden,,20,23
1,2:13.0,,J. Ingles enters the game for K. Korver,20,23
1,1:55.0,A. Rivers makes 3-pt jump shot from 23 ft,,23,23
1,1:33.0,,G. Niang makes 3-pt jump shot from 26 ft (assist by D. Mitchell),23,26
1,1:17.0,Turnover by D. House (lost ball; steal by G. Niang),,23,26
1,1:13.0,,Shooting foul by C. Paul (drawn by R. Rubio),23,26
1,1:13.0,,R. Rubio makes free throw 1 of 2,23,27
1,1:13.0,,K. Korver enters the game for D. Mitchell,23,27
1,1:13.0,,R. Rubio makes free throw 2 of 2,23,28
1,0:56.0,K. Faried makes 2-pt hook shot from 5 ft (assist by C. Paul),,25,28
1,0:42.0,,Shooting foul by D. House (drawn by D. Favors),25,28
1,0:42.0,,D. Favors misses free throw 1 of 2,25,28
1,0:42.0,,Offensive rebound by Team,25,28
1,0:42.0,,D. Favors misses free throw 2 of 2,25,28
1,0:39.0,,Offensive rebound by K. Korver,25,28
1,0:32.0,,D. Favors makes 2-pt layup from 3 ft (assist by J. Ingles),25,30
1,0:26.0,C. Paul makes 3-pt jump shot from 25 ft,,28,30
1,0:06.0,,J. Ingles misses 3-pt jump shot from 25 ft,28,30
1,0:03.0,Defensive rebound by D. House,,28,30
1,0:00.0,C. Paul misses 3-pt jump shot from 34 ft,,28,30
1,0:00.0,Offensive rebound by Team,,28,30
2,11:43.0,G. Green makes 3-pt jump shot from 23 ft,,31,30
2,11:28.0,,G. Niang makes 3-pt jump shot from 26 ft (assist by R. Rubio),31,33
2,11:11.0,G. Green misses 3-pt jump shot from 26 ft,,31,33
2,11:09.0,Offensive rebound by Team,,31,33
2,10:55.0,A. Rivers makes 3-pt jump shot from 24 ft,,34,33
2,10:42.0,,Personal foul by G. Green (drawn by D. Favors),34,33
2,10:42.0,C. Capela enters the game for K. Faried,,34,33
2,10:42.0,,D. Mitchell enters the game for K. Korver,34,33
2,10:35.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),34,35
2,10:18.0,Personal foul by R. Rubio (drawn by A. Rivers),,34,35
2,10:03.0,A. Rivers misses 2-pt layup from 9 ft,,34,35
2,10:02.0,,Defensive rebound by J. Ingles,34,35
2,9:55.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),34,37
2,9:40.0,G. Green misses 2-pt layup from 2 ft,,34,37
2,9:36.0,Offensive rebound by C. Capela,,34,37
2,9:36.0,C. Capela misses 2-pt layup at rim,,34,37
2,9:35.0,,Defensive rebound by G. Niang,34,37
2,9:21.0,,J. Ingles misses 3-pt jump shot from 25 ft,34,37
2,9:16.0,Defensive rebound by A. Rivers,,34,37
2,8:59.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by A. Rivers),,37,37
2,8:37.0,,R. Rubio misses 2-pt layup from 5 ft (block by E. Gordon),37,37
2,8:37.0,,Offensive rebound by Team,37,37
2,8:37.0,P. Tucker enters the game for G. Green,,37,37
2,8:37.0,,R. Neto enters the game for R. Rubio,37,37
2,8:34.0,,Turnover by D. Favors (lost ball; steal by C. Paul),37,37
2,8:24.0,E. Gordon misses 3-pt jump shot from 25 ft,,37,37
2,8:20.0,,Defensive rebound by R. Neto,37,37
2,8:12.0,,D. Mitchell misses 3-pt jump shot from 30 ft,37,37
2,8:10.0,Defensive rebound by A. Rivers,,37,37
2,8:01.0,P. Tucker misses 2-pt jump shot from 23 ft,,37,37
2,7:59.0,,Defensive rebound by Team,37,37
2,7:59.0,J. Harden enters the game for C. Paul,,37,37
2,7:59.0,,J. Crowder enters the game for D. Favors,37,37
2,7:59.0,,R. Gobert enters the game for G. Niang,37,37
2,7:44.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by J. Ingles),37,40
2,7:28.0,J. Harden misses 3-pt jump shot from 25 ft,,37,40
2,7:26.0,,Defensive rebound by J. Ingles,37,40
2,7:22.0,,Personal foul by A. Rivers (drawn by J. Ingles),37,40
2,7:22.0,,Technical foul by J. Ingles,37,40
2,7:22.0,Technical foul by A. Rivers,,37,40
2,7:22.0,D. House enters the game for A. Rivers,,37,40
2,7:22.0,,R. O'Neale enters the game for J. Ingles,37,40
2,7:15.0,,R. O'Neale misses 3-pt jump shot from 24 ft,37,40
2,7:11.0,,Offensive rebound by R. Gobert,37,40
2,7:11.0,,Shooting foul by C. Capela (drawn by R. Gobert),37,40
2,7:11.0,,R. Gobert makes free throw 1 of 2,37,41
2,7:11.0,,R. Gobert misses free throw 2 of 2,37,41
2,7:10.0,Defensive rebound by J. Harden,,37,41
2,6:54.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),,40,41
2,6:40.0,,D. Mitchell misses 3-pt jump shot from 26 ft,40,41
2,6:37.0,Defensive rebound by C. Capela,,40,41
2,6:28.0,Shooting foul by R. Gobert (drawn by C. Capela),,40,41
2,6:28.0,,Utah full timeout,40,41
2,6:28.0,,R. Rubio enters the game for R. Neto,40,41
2,6:28.0,C. Capela misses free throw 1 of 2,,40,41
2,6:28.0,Offensive rebound by Team,,40,41
2,6:28.0,C. Capela misses free throw 2 of 2,,40,41
2,6:26.0,,Defensive rebound by J. Crowder,40,41
2,6:12.0,,R. O'Neale misses 3-pt jump shot from 23 ft,40,41
2,6:09.0,Defensive rebound by C. Capela,,40,41
2,6:01.0,J. Harden misses 2-pt jump shot from 6 ft,,40,41
2,5:58.0,,Defensive rebound by R. O'Neale,40,41
2,5:52.0,,D. Mitchell misses 2-pt jump shot from 10 ft,40,41
2,5:47.0,,Offensive rebound by D. Mitchell,40,41
2,5:46.0,,R. Gobert misses 2-pt jump shot from 7 ft,40,41
2,5:44.0,Defensive rebound by C. Capela,,40,41
2,5:40.0,Turnover by J. Harden (bad pass; steal by R. O'Neale),,40,41
2,5:36.0,,R. O'Neale makes 2-pt dunk from 2 ft,40,43
2,5:07.0,J. Harden misses 3-pt jump shot from 24 ft,,40,43
2,5:01.0,Offensive rebound by C. Capela,,40,43
2,4:55.0,Turnover by C. Capela (bad pass; steal by R. Rubio),,40,43
2,4:55.0,C. Paul enters the game for C. Capela,,40,43
2,4:43.0,,J. Crowder misses 3-pt jump shot from 25 ft,40,43
2,4:37.0,Defensive rebound by D. House,,40,43
2,4:31.0,D. House misses 3-pt jump shot from 28 ft,,40,43
2,4:28.0,,Defensive rebound by R. Gobert,40,43
2,4:08.0,,D. Mitchell misses 2-pt layup from 6 ft,40,43
2,4:06.0,Defensive rebound by P. Tucker,,40,43
2,4:06.0,Technical foul by Q. Snyder,,40,43
2,4:06.0,J. Harden makes technical free throw,,41,43
2,3:56.0,P. Tucker makes 2-pt jump shot from 11 ft (assist by C. Paul),,43,43
2,3:38.0,Violation by Team (kicked ball),,43,43
2,3:38.0,,J. Ingles enters the game for J. Crowder,43,43
2,3:32.0,,Shooting foul by P. Tucker (drawn by D. Mitchell),43,43
2,3:32.0,,D. Mitchell makes free throw 1 of 2,43,44
2,3:32.0,,D. Mitchell makes free throw 2 of 2,43,45
2,3:19.0,P. Tucker misses 3-pt jump shot from 23 ft,,43,45
2,3:17.0,,Defensive rebound by R. Rubio,43,45
2,3:08.0,,Turnover by R. Rubio (bad pass; steal by C. Paul),43,45
2,3:02.0,C. Paul makes 2-pt layup from 2 ft,,45,45
2,2:50.0,,D. Mitchell misses 2-pt jump shot from 4 ft,45,45
2,2:50.0,,Offensive rebound by D. Mitchell,45,45
2,2:50.0,,Personal foul by J. Harden (drawn by D. Mitchell),45,45
2,2:50.0,Houston full timeout,,45,45
2,2:50.0,,D. Mitchell makes free throw 1 of 2,45,46
2,2:50.0,,D. Mitchell makes free throw 2 of 2,45,47
2,2:38.0,D. House makes 2-pt layup from 2 ft (assist by J. Harden),,47,47
2,2:13.0,,Shooting foul by P. Tucker (drawn by D. Mitchell),47,47
2,2:13.0,,D. Mitchell makes free throw 1 of 2,47,48
2,2:13.0,,D. Mitchell misses free throw 2 of 2,47,48
2,2:11.0,Defensive rebound by D. House,,47,48
2,1:56.0,E. Gordon misses 3-pt jump shot from 25 ft,,47,48
2,1:53.0,,Defensive rebound by J. Ingles,47,48
2,1:45.0,,J. Ingles makes 2-pt layup from 4 ft,47,50
2,1:19.0,C. Paul makes 3-pt jump shot from 26 ft,,50,50
2,0:58.0,,Turnover by D. Mitchell (lost ball; steal by J. Harden),50,50
2,0:54.0,J. Harden misses 3-pt jump shot from 26 ft (block by R. O'Neale),,50,50
2,0:54.0,Offensive rebound by Team,,50,50
2,0:36.0,C. Paul misses 3-pt jump shot from 24 ft (block by R. Gobert),,50,50
2,0:33.0,,Defensive rebound by R. Rubio,50,50
2,0:33.0,,Personal foul by C. Paul (drawn by R. Rubio),50,50
2,0:33.0,,R. Rubio makes free throw 1 of 2,50,51
2,0:33.0,,R. Rubio makes free throw 2 of 2,50,52
2,0:13.0,J. Harden misses 2-pt layup from 4 ft,,50,52
2,0:12.0,,Defensive rebound by R. Rubio,50,52
2,0:06.0,,Turnover by R. O'Neale (bad pass; steal by J. Harden),50,52
2,0:04.0,Turnover by J. Harden (bad pass; steal by D. Mitchell),,50,52
2,0:01.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),50,55
2,0:00.0,D. House misses 3-pt jump shot from 52 ft,,50,55
2,0:00.0,Offensive rebound by Team,,50,55
3,11:44.0,J. Harden misses 3-pt jump shot from 25 ft,,50,55
3,11:41.0,,Defensive rebound by R. Gobert,50,55
3,11:33.0,,Shooting foul by C. Paul (drawn by R. Rubio),50,55
3,11:33.0,,R. Rubio misses free throw 1 of 2,50,55
3,11:33.0,,Offensive rebound by Team,50,55
3,11:33.0,,R. Rubio misses free throw 2 of 2,50,55
3,11:31.0,Defensive rebound by C. Capela,,50,55
3,11:21.0,P. Tucker misses 3-pt jump shot from 23 ft,,50,55
3,11:18.0,,Defensive rebound by J. Ingles,50,55
3,11:11.0,,Turnover by J. Ingles (bad pass; steal by J. Harden),50,55
3,10:56.0,C. Capela makes 2-pt layup from 2 ft,,52,55
3,10:56.0,Shooting foul by J. Ingles (drawn by C. Capela),,52,55
3,10:56.0,C. Capela misses free throw 1 of 1,,52,55
3,10:54.0,,Defensive rebound by R. Gobert,52,55
3,10:40.0,,Shooting foul by E. Gordon (drawn by D. Mitchell),52,55
3,10:40.0,,D. Mitchell makes free throw 1 of 2,52,56
3,10:40.0,,D. Mitchell misses free throw 2 of 2,52,56
3,10:39.0,Defensive rebound by C. Capela,,52,56
3,10:28.0,E. Gordon misses 3-pt jump shot from 25 ft,,52,56
3,10:24.0,Offensive rebound by P. Tucker,,52,56
3,10:13.0,Turnover by E. Gordon (lost ball; steal by D. Mitchell),,52,56
3,10:10.0,,R. Rubio makes 2-pt layup from 1 ft (assist by D. Mitchell),52,58
3,9:51.0,C. Paul makes 2-pt jump shot from 14 ft,,54,58
3,9:30.0,,R. Gobert makes 2-pt layup from 3 ft (assist by R. Rubio),54,60
3,9:17.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,56,60
3,8:56.0,,Shooting foul by E. Gordon (drawn by D. Mitchell),56,60
3,8:56.0,,D. Mitchell misses free throw 1 of 2,56,60
3,8:56.0,,Offensive rebound by Team,56,60
3,8:56.0,,D. Mitchell misses free throw 2 of 2,56,60
3,8:55.0,Defensive rebound by J. Harden,,56,60
3,8:36.0,C. Paul misses 3-pt jump shot from 23 ft,,56,60
3,8:33.0,,Defensive rebound by J. Ingles,56,60
3,8:28.0,,Personal foul by J. Harden (drawn by R. Rubio),56,60
3,8:15.0,,Shooting foul by P. Tucker (drawn by J. Crowder),56,60
3,8:15.0,,J. Crowder makes free throw 1 of 3,56,61
3,8:15.0,,J. Crowder makes free throw 2 of 3,56,62
3,8:15.0,,J. Crowder misses free throw 3 of 3,56,62
3,8:13.0,Defensive rebound by P. Tucker,,56,62
3,8:06.0,J. Harden misses 3-pt jump shot from 26 ft,,56,62
3,8:03.0,,Defensive rebound by J. Ingles,56,62
3,7:51.0,,J. Crowder misses 2-pt jump shot from 18 ft,56,62
3,7:48.0,Defensive rebound by P. Tucker,,56,62
3,7:40.0,Turnover by P. Tucker (bad pass),,56,62
3,7:40.0,,R. O'Neale enters the game for J. Ingles,56,62
3,7:26.0,,R. O'Neale misses 2-pt layup from 3 ft,56,62
3,7:23.0,,Offensive rebound by R. Gobert,56,62
3,7:20.0,,Turnover by R. Rubio (bad pass),56,62
3,7:03.0,P. Tucker misses 2-pt layup from 2 ft,,56,62
3,7:01.0,,Defensive rebound by D. Mitchell,56,62
3,6:55.0,,D. Mitchell misses 3-pt jump shot from 24 ft,56,62
3,6:51.0,Defensive rebound by C. Paul,,56,62
3,6:46.0,Shooting foul by D. Mitchell (drawn by C. Capela),,56,62
3,6:46.0,,Utah full timeout,56,62
3,6:46.0,D. House enters the game for C. Paul,,56,62
3,6:46.0,C. Capela makes free throw 1 of 2,,57,62
3,6:46.0,C. Capela misses free throw 2 of 2,,57,62
3,6:43.0,,Defensive rebound by R. Gobert,57,62
3,6:43.0,,K. Korver enters the game for R. Rubio,57,62
3,6:24.0,,D. Mitchell misses 3-pt jump shot from 24 ft,57,62
3,6:20.0,Defensive rebound by E. Gordon,,57,62
3,6:10.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,59,62
3,5:41.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by R. O'Neale),59,65
3,5:32.0,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),,61,65
3,5:32.0,Shooting foul by R. Gobert (drawn by E. Gordon),,61,65
3,5:32.0,E. Gordon makes free throw 1 of 1,,62,65
3,5:22.0,,Turnover by D. Mitchell (traveling),62,65
3,5:05.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),,65,65
3,4:54.0,,Personal foul by E. Gordon (drawn by D. Mitchell),65,65
