QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
1,11:41.0,,K. Middleton misses 3-pt jump shot from 27 ft,0,0
1,11:38.0,Defensive rebound by W. Carter,,0,0
1,11:26.0,Z. LaVine makes 2-pt jump shot from 17 ft,,2,0
1,11:12.0,,B. Lopez misses 3-pt jump shot from 23 ft,2,0
1,11:09.0,Defensive rebound by Z. LaVine,,2,0
1,11:03.0,J. Parker makes 3-pt jump shot from 27 ft,,5,0
1,10:48.0,,M. Brogdon makes 2-pt layup at rim,5,2
1,10:30.0,Z. LaVine makes 3-pt jump shot from 28 ft (assist by J. Holiday),,8,2
1,10:19.0,,Personal foul by J. Parker (drawn by G. Antetokounmpo),8,2
1,10:08.0,,Shooting foul by W. Carter (drawn by E. Bledsoe),8,2
1,10:08.0,,E. Bledsoe makes free throw 1 of 2,8,3
1,10:08.0,,E. Bledsoe misses free throw 2 of 2,8,3
1,10:05.0,Defensive rebound by W. Carter,,8,3
1,9:48.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,8,3
1,9:46.0,,Defensive rebound by K. Middleton,8,3
1,9:37.0,,B. Lopez makes 2-pt layup from 2 ft,8,5
1,9:28.0,W. Carter makes 2-pt jump shot from 19 ft (assist by R. Arcidiacono),,10,5
1,9:17.0,,M. Brogdon misses 2-pt layup from 2 ft,10,5
1,9:15.0,Defensive rebound by Z. LaVine,,10,5
1,9:07.0,Z. LaVine makes 2-pt layup from 1 ft,,12,5
1,9:04.0,,Milwaukee full timeout,12,5
1,8:51.0,,Turnover by B. Lopez (bad pass; steal by R. Arcidiacono),12,5
1,8:49.0,Shooting foul by B. Lopez (drawn by Z. LaVine),,12,5
1,8:49.0,Z. LaVine makes free throw 1 of 2,,13,5
1,8:49.0,Z. LaVine makes free throw 2 of 2,,14,5
1,8:30.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,14,7
1,8:19.0,J. Parker makes 2-pt layup at rim (assist by J. Holiday),,16,7
1,8:08.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),16,9
1,7:56.0,Shooting foul by K. Middleton (drawn by J. Holiday),,16,9
1,7:56.0,J. Holiday makes free throw 1 of 2,,17,9
1,7:56.0,J. Holiday misses free throw 2 of 2,,17,9
1,7:54.0,,Defensive rebound by G. Antetokounmpo,17,9
1,7:40.0,,K. Middleton misses 2-pt jump shot from 19 ft (block by Z. LaVine),17,9
1,7:36.0,Defensive rebound by J. Parker,,17,9
1,7:36.0,,P. Connaughton enters the game for M. Brogdon,17,9
1,7:33.0,J. Parker makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,20,9
1,7:17.0,,P. Connaughton misses 3-pt jump shot from 26 ft,20,9
1,7:14.0,Defensive rebound by R. Arcidiacono,,20,9
1,7:08.0,J. Parker misses 2-pt layup from 3 ft,,20,9
1,7:05.0,,Defensive rebound by B. Lopez,20,9
1,7:02.0,,Shooting foul by W. Carter (drawn by G. Antetokounmpo),20,9
1,7:02.0,,G. Antetokounmpo makes free throw 1 of 2,20,10
1,7:02.0,R. Lopez enters the game for W. Carter,,20,10
1,7:02.0,,G. Antetokounmpo makes free throw 2 of 2,20,11
1,6:35.0,Z. LaVine makes 2-pt jump shot from 21 ft (assist by R. Lopez),,22,11
1,6:16.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),22,13
1,5:57.0,Turnover by J. Holiday (bad pass; steal by E. Bledsoe),,22,13
1,5:56.0,,E. Bledsoe makes 2-pt layup from 1 ft,22,15
1,5:56.0,Chicago full timeout,,22,15
1,5:56.0,,E. İlyasova enters the game for G. Antetokounmpo,22,15
1,5:39.0,J. Parker misses 3-pt jump shot from 27 ft,,22,15
1,5:35.0,,Defensive rebound by P. Connaughton,22,15
1,5:28.0,,Turnover by E. İlyasova (bad pass; steal by R. Arcidiacono),22,15
1,5:24.0,R. Arcidiacono misses 2-pt layup from 2 ft,,22,15
1,5:18.0,,Defensive rebound by P. Connaughton,22,15
1,5:15.0,,B. Lopez misses 3-pt jump shot from 24 ft,22,15
1,5:11.0,,Offensive rebound by E. Bledsoe,22,15
1,5:05.0,,K. Middleton makes 2-pt jump shot from 14 ft,22,17
1,4:53.0,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Parker),,25,17
1,4:39.0,,B. Lopez misses 2-pt jump shot from 15 ft,25,17
1,4:36.0,Defensive rebound by J. Parker,,25,17
1,4:31.0,J. Holiday misses 3-pt jump shot from 24 ft,,25,17
1,4:28.0,,Defensive rebound by E. Bledsoe,25,17
1,4:23.0,,K. Middleton misses 3-pt jump shot from 27 ft,25,17
1,4:19.0,Defensive rebound by R. Arcidiacono,,25,17
1,4:08.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by R. Arcidiacono),,27,17
1,3:57.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),27,19
1,3:39.0,Shooting foul by E. İlyasova (drawn by J. Parker),,27,19
1,3:39.0,J. Parker makes free throw 1 of 2,,28,19
1,3:39.0,S. Harrison enters the game for Z. LaVine,,28,19
1,3:39.0,,M. Brogdon enters the game for E. Bledsoe,28,19
1,3:39.0,,T. Maker enters the game for B. Lopez,28,19
1,3:39.0,,T. Snell enters the game for K. Middleton,28,19
1,3:39.0,J. Parker makes free throw 2 of 2,,29,19
1,3:21.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Maker),29,21
1,3:03.0,Offensive foul by J. Holiday (drawn by E. İlyasova),,29,21
1,3:03.0,Turnover by J. Holiday (offensive foul),,29,21
1,3:03.0,C. Hutchison enters the game for J. Parker,,29,21
1,2:50.0,,T. Maker misses 3-pt jump shot from 28 ft,29,21
1,2:47.0,Defensive rebound by S. Harrison,,29,21
1,2:35.0,R. Lopez makes 2-pt layup at rim,,31,21
1,2:20.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by P. Connaughton),31,23
1,2:20.0,,Shooting foul by C. Hutchison (drawn by E. İlyasova),31,23
1,2:20.0,,E. İlyasova makes free throw 1 of 1,31,24
1,2:01.0,Shooting foul by M. Brogdon (drawn by S. Harrison),,31,24
1,2:01.0,S. Harrison misses free throw 1 of 3,,31,24
1,2:01.0,Offensive rebound by Team,,31,24
1,2:01.0,S. Harrison makes free throw 2 of 3,,32,24
1,2:01.0,,G. Antetokounmpo enters the game for T. Maker,32,24
1,2:01.0,S. Harrison misses free throw 3 of 3,,32,24
1,1:55.0,,Defensive rebound by G. Antetokounmpo,32,24
1,1:49.0,,Turnover by P. Connaughton (bad pass; steal by J. Holiday),32,24
1,1:44.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,35,24
1,1:27.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),35,26
1,1:12.0,R. Lopez misses 2-pt hook shot from 5 ft,,35,26
1,1:12.0,,Defensive rebound by E. İlyasova,35,26
1,1:06.0,,M. Brogdon misses 2-pt hook shot from 2 ft,35,26
1,1:05.0,Defensive rebound by R. Arcidiacono,,35,26
1,1:05.0,Personal foul by G. Antetokounmpo (drawn by R. Arcidiacono),,35,26
1,1:05.0,R. Arcidiacono makes free throw 1 of 2,,36,26
1,1:05.0,R. Arcidiacono makes free throw 2 of 2,,37,26
1,0:51.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Brogdon),37,28
1,0:51.0,,Shooting foul by R. Lopez (drawn by M. Brogdon),37,28
1,0:51.0,Technical foul by R. Lopez,,37,28
1,0:51.0,,M. Brogdon makes technical free throw,37,29
1,0:51.0,,G. Antetokounmpo makes free throw 1 of 1,37,30
1,0:36.0,Personal foul by T. Snell (drawn by J. Holiday),,37,30
1,0:36.0,J. Holiday makes free throw 1 of 2,,38,30
1,0:36.0,J. Parker enters the game for R. Lopez,,38,30
1,0:36.0,J. Holiday misses free throw 2 of 2,,38,30
1,0:35.0,,Defensive rebound by E. İlyasova,38,30
1,0:21.0,,E. İlyasova misses 3-pt jump shot from 27 ft,38,30
1,0:20.0,Defensive rebound by Team,,38,30
1,0:02.0,Shooting foul by P. Connaughton (drawn by S. Harrison),,38,30
1,0:02.0,S. Harrison makes free throw 1 of 2,,39,30
1,0:02.0,S. Harrison makes free throw 2 of 2,,40,30
2,11:46.0,J. Parker makes 2-pt layup from 1 ft,,42,30
2,11:22.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,42,30
2,11:22.0,Defensive rebound by Team,,42,30
2,11:22.0,,Loose ball foul by T. Maker (drawn by C. Hutchison),42,30
2,11:08.0,J. Parker misses 2-pt jump shot from 12 ft,,42,30
2,11:04.0,Offensive rebound by R. Lopez,,42,30
2,11:01.0,Turnover by J. Parker (bad pass; steal by D. DiVincenzo),,42,30
2,10:56.0,,Turnover by M. Brogdon (lost ball; steal by S. Harrison),42,30
2,10:45.0,Turnover by J. Parker (lost ball; steal by D. DiVincenzo),,42,30
2,10:42.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by D. DiVincenzo),42,32
2,10:42.0,,Shooting foul by R. Lopez (drawn by G. Antetokounmpo),42,32
2,10:42.0,,G. Antetokounmpo makes free throw 1 of 1,42,33
2,10:23.0,Turnover by J. Parker (lost ball; steal by D. DiVincenzo),,42,33
2,10:18.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by C. Hutchison),42,33
2,10:13.0,,Offensive rebound by G. Antetokounmpo,42,33
2,10:12.0,,T. Snell makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),42,35
2,10:12.0,,Technical foul by F. Hoiberg,42,35
2,10:12.0,,M. Brogdon makes technical free throw,42,36
2,10:12.0,Z. LaVine enters the game for C. Hutchison,,42,36
2,9:51.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by Z. LaVine),,44,36
2,9:36.0,,G. Antetokounmpo makes 2-pt layup at rim,44,38
2,9:25.0,J. Parker misses 2-pt layup from 4 ft (block by M. Brogdon),,44,38
2,9:25.0,Offensive rebound by Team,,44,38
2,9:25.0,W. Carter enters the game for R. Lopez,,44,38
2,9:15.0,J. Parker misses 3-pt jump shot from 23 ft,,44,38
2,9:13.0,,Defensive rebound by T. Maker,44,38
2,9:05.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),44,41
2,9:05.0,Chicago full timeout,,44,41
2,9:05.0,J. Holiday enters the game for S. Harrison,,44,41
2,9:05.0,C. Hutchison enters the game for J. Parker,,44,41
2,8:47.0,C. Hutchison misses 2-pt layup from 2 ft,,44,41
2,8:45.0,,Defensive rebound by G. Antetokounmpo,44,41
2,8:36.0,,T. Snell misses 2-pt layup from 3 ft,44,41
2,8:33.0,Defensive rebound by W. Carter,,44,41
2,8:18.0,C. Payne makes 2-pt jump shot from 5 ft (assist by J. Holiday),,46,41
2,7:59.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,46,43
2,7:47.0,Z. LaVine misses 3-pt jump shot from 28 ft,,46,43
2,7:44.0,,Defensive rebound by T. Snell,46,43
2,7:40.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),46,46
2,7:12.0,C. Payne makes 2-pt jump shot from 11 ft,,48,46
2,6:59.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,48,46
2,6:56.0,Defensive rebound by C. Hutchison,,48,46
2,6:47.0,C. Hutchison misses 3-pt jump shot from 24 ft,,48,46
2,6:45.0,,Defensive rebound by M. Brogdon,48,46
2,6:34.0,,G. Antetokounmpo misses 2-pt jump shot from 10 ft,48,46
2,6:32.0,Defensive rebound by J. Holiday,,48,46
2,6:25.0,C. Payne misses 3-pt jump shot from 27 ft,,48,46
2,6:22.0,,Defensive rebound by G. Antetokounmpo,48,46
2,6:18.0,,Milwaukee full timeout,48,46
2,6:18.0,R. Arcidiacono enters the game for C. Hutchison,,48,46
2,6:18.0,,E. Bledsoe enters the game for G. Antetokounmpo,48,46
2,6:18.0,,E. İlyasova enters the game for M. Brogdon,48,46
2,6:18.0,,B. Lopez enters the game for T. Maker,48,46
2,6:18.0,,K. Middleton enters the game for T. Snell,48,46
