QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
1,11:48.0,,J. Grant misses 3-pt jump shot from 23 ft,0,0
1,11:44.0,Defensive rebound by R. Covington,,0,0
1,11:32.0,K. Towns makes 2-pt jump shot from 12 ft (assist by T. Gibson),,2,0
1,11:13.0,,J. Grant makes 2-pt hook shot from 5 ft,2,2
1,10:54.0,A. Wiggins makes 2-pt layup from 4 ft,,4,2
1,10:42.0,,Personal foul by R. Covington (drawn by S. Adams),4,2
1,10:36.0,,R. Westbrook makes 2-pt layup from 1 ft,4,4
1,10:28.0,Personal foul by T. Ferguson (drawn by A. Wiggins),,4,4
1,10:16.0,K. Towns makes 2-pt hook shot from 5 ft (assist by A. Wiggins),,6,4
1,10:04.0,,Shooting foul by T. Jones (drawn by T. Ferguson),6,4
1,10:04.0,,T. Ferguson makes free throw 1 of 2,6,5
1,10:04.0,,T. Ferguson makes free throw 2 of 2,6,6
1,9:42.0,T. Gibson misses 2-pt jump shot from 14 ft,,6,6
1,9:40.0,,Defensive rebound by P. George,6,6
1,9:34.0,,P. George makes 2-pt jump shot from 15 ft,6,8
1,9:23.0,Offensive foul by K. Towns (drawn by T. Ferguson),,6,8
1,9:23.0,Turnover by K. Towns (offensive foul),,6,8
1,9:09.0,,S. Adams makes 2-pt layup from 1 ft,6,10
1,8:51.0,T. Gibson misses 2-pt hook shot from 6 ft,,6,10
1,8:50.0,,Defensive rebound by J. Grant,6,10
1,8:43.0,,R. Westbrook misses 2-pt layup from 2 ft,6,10
1,8:41.0,Defensive rebound by T. Jones,,6,10
1,8:37.0,Shooting foul by P. George (drawn by R. Covington),,6,10
1,8:37.0,R. Covington misses free throw 1 of 2,,6,10
1,8:37.0,Offensive rebound by Team,,6,10
1,8:37.0,R. Covington makes free throw 2 of 2,,7,10
1,8:30.0,,Turnover by R. Westbrook (offensive foul),7,10
1,8:30.0,,Offensive foul by R. Westbrook (drawn by R. Covington),7,10
1,8:15.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,9,10
1,8:07.0,,Turnover by P. George (bad pass; steal by R. Covington),9,10
1,7:59.0,T. Jones misses 2-pt jump shot from 7 ft,,9,10
1,7:55.0,,Defensive rebound by P. George,9,10
1,7:50.0,,P. George makes 3-pt jump shot from 25 ft,9,13
1,7:28.0,K. Towns makes 2-pt layup from 1 ft,,11,13
1,7:16.0,,P. George misses 2-pt jump shot from 6 ft (block by T. Jones),11,13
1,7:13.0,Defensive rebound by T. Gibson,,11,13
1,7:04.0,T. Gibson makes 2-pt layup from 2 ft (assist by K. Towns),,13,13
1,6:56.0,,P. George misses 2-pt jump shot from 14 ft,13,13
1,6:54.0,Defensive rebound by T. Jones,,13,13
1,6:49.0,A. Wiggins misses 2-pt layup from 2 ft,,13,13
1,6:44.0,,Defensive rebound by S. Adams,13,13
1,6:33.0,,P. George makes 2-pt jump shot from 17 ft,13,15
1,6:17.0,A. Wiggins misses 3-pt jump shot from 27 ft,,13,15
1,6:14.0,,Defensive rebound by J. Grant,13,15
