QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
1,11:37.0,J. Richardson makes 2-pt layup from 5 ft,,2,0
1,11:37.0,,Violation by Team (def goaltending),2,0
1,11:25.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),2,3
1,11:03.0,J. Winslow misses 2-pt jump shot from 17 ft,,2,3
1,11:00.0,,Defensive rebound by K. Irving,2,3
1,10:54.0,,K. Irving misses 2-pt jump shot from 11 ft,2,3
1,10:52.0,,Offensive rebound by A. Horford,2,3
1,10:51.0,,A. Horford makes 2-pt layup from 2 ft,2,5
1,10:38.0,J. Richardson misses 3-pt jump shot from 24 ft,,2,5
1,10:35.0,,Defensive rebound by A. Horford,2,5
1,10:33.0,,Personal foul by J. Richardson (drawn by M. Morris),2,5
1,10:16.0,,M. Morris makes 2-pt jump shot from 8 ft,2,7
1,9:48.0,Turnover by Team (shot clock),,2,7
1,9:34.0,,K. Irving misses 2-pt jump shot from 22 ft,2,7
1,9:32.0,Defensive rebound by H. Whiteside,,2,7
1,9:28.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,7
1,9:24.0,,Defensive rebound by J. Tatum,2,7
1,9:12.0,,J. Tatum misses 2-pt jump shot from 15 ft,2,7
1,9:09.0,Defensive rebound by H. Whiteside,,2,7
1,9:04.0,Turnover by H. Whiteside (traveling),,2,7
1,8:55.0,,K. Irving makes 2-pt jump shot from 18 ft,2,9
1,8:39.0,R. McGruder misses 3-pt jump shot from 23 ft,,2,9
1,8:37.0,,Defensive rebound by M. Morris,2,9
1,8:30.0,,M. Morris misses 3-pt jump shot from 25 ft,2,9
1,8:26.0,,Offensive rebound by A. Horford,2,9
1,8:25.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),2,12
1,8:23.0,Miami full timeout,,2,12
1,8:11.0,R. McGruder misses 2-pt layup from 3 ft,,2,12
1,8:11.0,Offensive rebound by H. Whiteside,,2,12
1,8:10.0,H. Whiteside makes 2-pt dunk from 3 ft,,4,12
1,7:48.0,,J. Tatum misses 2-pt jump shot from 17 ft,4,12
1,7:48.0,,Offensive rebound by M. Morris,4,12
1,7:47.0,,M. Morris makes 2-pt layup from 1 ft,4,14
1,7:28.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,7,14
1,7:17.0,,Turnover by J. Tatum (step out of bounds),7,14
1,7:03.0,Turnover by J. Johnson (discontinued dribble),,7,14
1,6:52.0,,K. Irving misses 3-pt jump shot from 25 ft,7,14
1,6:49.0,,Offensive rebound by A. Horford,7,14
1,6:40.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by K. Irving),7,17
1,6:19.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,9,17
1,6:19.0,Shooting foul by J. Tatum (drawn by H. Whiteside),,9,17
1,6:19.0,H. Whiteside misses free throw 1 of 1,,9,17
1,6:19.0,,Defensive rebound by J. Tatum,9,17
1,6:04.0,,J. Tatum makes 2-pt jump shot from 12 ft,9,19
1,5:50.0,J. Johnson makes 2-pt jump shot from 10 ft,,11,19
1,5:50.0,Loose ball foul by J. Johnson (drawn by M. Morris),,11,19
1,5:50.0,D. Wade enters the game for R. McGruder,,11,19
1,5:50.0,,G. Hayward enters the game for M. Smart,11,19
1,5:44.0,,Offensive foul by J. Tatum (drawn by J. Richardson),11,19
1,5:44.0,,Turnover by J. Tatum (offensive foul),11,19
1,5:44.0,T. Johnson enters the game for J. Richardson,,11,19
1,5:32.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Wade),,14,19
1,5:16.0,,A. Horford makes 2-pt hook shot from 6 ft (assist by K. Irving),14,21
1,4:58.0,Turnover by J. Johnson (bad pass; steal by K. Irving),,14,21
1,4:55.0,,J. Tatum misses 2-pt layup from 5 ft (block by J. Johnson),14,21
1,4:54.0,,Offensive rebound by Team,14,21
1,4:54.0,B. Adebayo enters the game for H. Whiteside,,14,21
1,4:52.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by K. Irving),14,23
1,4:36.0,Personal foul by G. Hayward (drawn by J. Johnson),,14,23
1,4:22.0,D. Wade misses 2-pt jump shot from 18 ft,,14,23
1,4:18.0,,Defensive rebound by A. Horford,14,23
1,4:15.0,,G. Hayward misses 3-pt jump shot from 25 ft,14,23
1,4:13.0,Defensive rebound by J. Winslow,,14,23
1,4:06.0,T. Johnson makes 3-pt jump shot from 27 ft (assist by J. Johnson),,17,23
1,3:45.0,,Turnover by A. Horford (lost ball; steal by D. Wade),17,23
1,3:43.0,Personal foul by M. Morris (drawn by B. Adebayo),,17,23
1,3:43.0,,J. Brown enters the game for M. Morris,17,23
1,3:43.0,,T. Rozier enters the game for J. Tatum,17,23
1,3:39.0,Turnover by T. Johnson (traveling),,17,23
1,3:27.0,,Shooting foul by D. Wade (drawn by G. Hayward),17,23
1,3:27.0,,G. Hayward makes free throw 1 of 2,17,24
1,3:27.0,,G. Hayward makes free throw 2 of 2,17,25
1,3:12.0,Turnover by T. Johnson (lost ball; steal by A. Horford),,17,25
1,3:07.0,,A. Horford makes 2-pt hook shot from 9 ft (assist by K. Irving),17,27
1,2:49.0,D. Wade makes 2-pt layup from 4 ft (assist by J. Winslow),,19,27
1,2:39.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),19,30
1,2:39.0,,Shooting foul by T. Johnson (drawn by K. Irving),19,30
1,2:39.0,,Boston full timeout,19,30
1,2:39.0,D. Jones enters the game for J. Johnson,,19,30
1,2:39.0,J. Richardson enters the game for J. Winslow,,19,30
1,2:39.0,,A. Baynes enters the game for A. Horford,19,30
1,2:39.0,,K. Irving makes free throw 1 of 1,19,31
1,2:24.0,D. Jones makes 2-pt dunk from 2 ft (assist by D. Wade),,21,31
1,2:12.0,,K. Irving makes 2-pt jump shot from 13 ft (assist by A. Baynes),21,33
1,1:49.0,D. Wade misses 3-pt jump shot from 26 ft,,21,33
1,1:46.0,,Defensive rebound by K. Irving,21,33
1,1:33.0,,Turnover by G. Hayward (bad pass; steal by B. Adebayo),21,33
1,1:31.0,Turnover by B. Adebayo (bad pass; steal by K. Irving),,21,33
1,1:29.0,,Turnover by K. Irving (bad pass; steal by T. Johnson),21,33
1,1:19.0,T. Johnson misses 3-pt jump shot from 27 ft,,21,33
1,1:15.0,,Defensive rebound by A. Baynes,21,33
1,1:00.0,,T. Rozier misses 3-pt jump shot from 26 ft,21,33
1,0:58.0,Defensive rebound by D. Wade,,21,33
1,0:50.0,,Violation by Team (kicked ball),21,33
1,0:50.0,,M. Smart enters the game for K. Irving,21,33
1,0:38.0,T. Johnson misses 3-pt jump shot from 26 ft,,21,33
1,0:33.0,,Defensive rebound by J. Brown,21,33
1,0:30.0,,Offensive foul by G. Hayward (drawn by J. Richardson),21,33
1,0:30.0,,Turnover by G. Hayward (offensive foul),21,33
1,0:14.0,B. Adebayo misses 2-pt dunk from 4 ft (block by A. Baynes),,21,33
1,0:09.0,Offensive rebound by D. Jones,,21,33
1,0:09.0,Shooting foul by A. Baynes (drawn by D. Jones),,21,33
1,0:09.0,D. Jones makes free throw 1 of 2,,22,33
1,0:09.0,D. Jones makes free throw 2 of 2,,23,33
1,0:03.0,,T. Rozier misses 3-pt jump shot from 26 ft,23,33
1,0:00.0,Defensive rebound by Team,,23,33
2,11:47.0,,Turnover by A. Baynes (back court),23,33
2,11:47.0,,Violation by Team (delay of game),23,33
2,11:39.0,D. Wade makes 2-pt jump shot from 15 ft (assist by T. Johnson),,25,33
2,11:27.0,,Turnover by M. Smart (bad pass),25,33
2,11:13.0,Turnover by D. Wade (bad pass),,25,33
2,10:58.0,,J. Brown misses 2-pt layup from 5 ft (block by D. Jones),25,33
2,10:55.0,Defensive rebound by D. Jones,,25,33
2,10:50.0,B. Adebayo makes 2-pt hook shot from 10 ft (assist by D. Wade),,27,33
2,10:31.0,,J. Brown misses 2-pt jump shot from 11 ft,27,33
2,10:29.0,,Offensive rebound by Team,27,33
2,10:24.0,,T. Rozier misses 2-pt layup from 3 ft,27,33
2,10:23.0,,Offensive rebound by A. Baynes,27,33
2,10:23.0,,A. Baynes misses 2-pt layup from 2 ft,27,33
2,10:22.0,Defensive rebound by B. Adebayo,,27,33
2,10:09.0,D. Waiters makes 2-pt layup from 1 ft,,29,33
2,9:58.0,,Shooting foul by B. Adebayo (drawn by A. Baynes),29,33
2,9:58.0,,A. Baynes makes free throw 1 of 2,29,34
2,9:58.0,,A. Baynes makes free throw 2 of 2,29,35
2,9:41.0,D. Wade misses 2-pt jump shot from 13 ft,,29,35
2,9:39.0,,Defensive rebound by Team,29,35
2,9:28.0,,Offensive foul by A. Baynes (drawn by D. Jones),29,35
2,9:28.0,,Turnover by A. Baynes (offensive foul),29,35
2,9:15.0,Turnover by D. Wade (lost ball; steal by J. Brown),,29,35
2,9:07.0,,J. Brown misses 2-pt layup from 4 ft (block by B. Adebayo),29,35
2,9:06.0,,Offensive rebound by Team,29,35
2,8:59.0,,M. Smart misses 2-pt jump shot from 17 ft,29,35
2,8:56.0,Defensive rebound by D. Wade,,29,35
2,8:46.0,D. Waiters misses 2-pt jump shot from 8 ft,,29,35
2,8:45.0,,Defensive rebound by Team,29,35
2,8:33.0,,G. Hayward misses 2-pt jump shot from 16 ft,29,35
2,8:30.0,Defensive rebound by B. Adebayo,,29,35
2,8:23.0,D. Waiters misses 2-pt layup from 4 ft (block by M. Smart),,29,35
2,8:23.0,Offensive rebound by Team,,29,35
2,8:23.0,J. Richardson enters the game for T. Johnson,,29,35
2,8:19.0,D. Wade misses 2-pt jump shot from 16 ft,,29,35
2,8:16.0,,Defensive rebound by G. Hayward,29,35
2,8:10.0,,G. Hayward makes 2-pt layup from 2 ft,29,37
2,7:56.0,D. Waiters misses 3-pt jump shot from 24 ft,,29,37
2,7:55.0,,Defensive rebound by Team,29,37
2,7:44.0,,G. Hayward misses 2-pt jump shot from 11 ft,29,37
2,7:41.0,Defensive rebound by B. Adebayo,,29,37
2,7:32.0,Personal foul by M. Smart (drawn by J. Richardson),,29,37
2,7:32.0,H. Whiteside enters the game for B. Adebayo,,29,37
