QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
1,11:39.0,A. Gordon makes 2-pt jump shot from 20 ft (assist by N. Vučević),,2,0
1,11:23.0,,M. Fultz misses 2-pt jump shot from 12 ft,2,0
1,11:20.0,Defensive rebound by N. Vučević,,2,0
1,11:12.0,Personal foul by B. Simmons (drawn by J. Isaac),,2,0
1,11:05.0,E. Fournier misses 3-pt jump shot from 26 ft,,2,0
1,11:03.0,Offensive rebound by Team,,2,0
1,10:58.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Fournier),,4,0
1,10:42.0,,J. Embiid misses 2-pt jump shot from 13 ft,4,0
1,10:40.0,Defensive rebound by J. Isaac,,4,0
1,10:28.0,A. Gordon makes 2-pt jump shot from 10 ft,,6,0
1,10:10.0,,D. Šarić misses 2-pt hook shot from 9 ft,6,0
1,10:07.0,Defensive rebound by E. Fournier,,6,0
1,10:07.0,Personal take foul by R. Covington (drawn by D. Augustin),,6,0
1,9:57.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),,9,0
1,9:55.0,,Philadelphia full timeout,9,0
1,9:46.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by B. Simmons),9,3
1,9:28.0,J. Isaac misses 2-pt jump shot from 14 ft,,9,3
1,9:26.0,Offensive rebound by A. Gordon,,9,3
1,9:14.0,E. Fournier makes 3-pt jump shot from 26 ft,,12,3
1,8:57.0,,J. Embiid misses 2-pt layup from 3 ft (block by A. Gordon),12,3
1,8:54.0,,Offensive rebound by J. Embiid,12,3
1,8:53.0,,J. Embiid misses 2-pt layup from 3 ft (block by A. Gordon),12,3
1,8:53.0,Defensive rebound by A. Gordon,,12,3
1,8:44.0,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),,14,3
1,8:33.0,,M. Fultz misses 2-pt jump shot from 9 ft,14,3
1,8:30.0,Defensive rebound by A. Gordon,,14,3
1,8:25.0,Offensive foul by A. Gordon (drawn by R. Covington),,14,3
1,8:25.0,Turnover by A. Gordon (offensive foul),,14,3
1,8:11.0,,Def 3 sec tech foul by Team,14,3
1,8:11.0,,R. Covington makes technical free throw,14,4
1,7:59.0,,D. Šarić misses 2-pt layup from 5 ft,14,4
1,7:56.0,Defensive rebound by D. Augustin,,14,4
1,7:50.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,4
1,7:28.0,,J. Embiid misses 3-pt jump shot from 26 ft,17,4
1,7:25.0,,Offensive rebound by D. Šarić,17,4
1,7:21.0,,B. Simmons misses 2-pt jump shot from 6 ft,17,4
1,7:19.0,Defensive rebound by A. Gordon,,17,4
1,7:02.0,Turnover by D. Augustin (lost ball; steal by R. Covington),,17,4
1,6:57.0,,M. Fultz makes 2-pt dunk from 1 ft (assist by B. Simmons),17,6
1,6:44.0,J. Isaac misses 3-pt jump shot from 26 ft,,17,6
1,6:42.0,,Defensive rebound by J. Embiid,17,6
1,6:35.0,,J. Embiid makes 2-pt jump shot from 18 ft (assist by B. Simmons),17,8
1,6:16.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),,20,8
1,6:09.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),20,10
1,5:47.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,23,10
1,5:25.0,,M. Fultz misses 2-pt jump shot from 14 ft,23,10
1,5:23.0,Defensive rebound by N. Vučević,,23,10
1,5:13.0,D. Augustin misses 2-pt layup from 4 ft,,23,10
1,5:13.0,Offensive rebound by A. Gordon,,23,10
1,5:13.0,A. Gordon makes 2-pt layup from 3 ft,,25,10
1,5:13.0,Shooting foul by B. Simmons (drawn by A. Gordon),,25,10
1,5:13.0,,A. Johnson enters the game for J. Embiid,25,10
1,5:13.0,,T. McConnell enters the game for M. Fultz,25,10
1,5:13.0,,J. Redick enters the game for D. Šarić,25,10
1,5:13.0,A. Gordon makes free throw 1 of 1,,26,10
1,4:59.0,,T. McConnell misses 2-pt jump shot from 12 ft,26,10
1,4:55.0,,Offensive rebound by A. Johnson,26,10
1,4:53.0,,B. Simmons makes 2-pt layup from 2 ft (assist by A. Johnson),26,12
1,4:32.0,N. Vučević misses 2-pt jump shot from 6 ft,,26,12
1,4:30.0,,Defensive rebound by A. Johnson,26,12
1,4:26.0,,B. Simmons makes 2-pt layup at rim (assist by T. McConnell),26,14
1,4:19.0,Orlando full timeout,,26,14
1,4:19.0,W. Iwundu enters the game for E. Fournier,,26,14
1,4:19.0,T. Ross enters the game for J. Isaac,,26,14
1,4:19.0,,D. Šarić enters the game for B. Simmons,26,14
1,4:09.0,T. Ross makes 2-pt dunk from 1 ft (assist by N. Vučević),,28,14
1,3:49.0,,J. Redick misses 3-pt jump shot from 26 ft,28,14
1,3:47.0,Defensive rebound by N. Vučević,,28,14
