QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
1,11:47.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),0,3
1,11:25.0,Turnover by K. Love (bad pass; steal by J. Poeltl),,0,3
1,11:11.0,,B. Forbes misses 3-pt jump shot from 26 ft,0,3
1,11:08.0,Defensive rebound by T. Thompson,,0,3
1,10:55.0,C. Sexton makes 2-pt layup at rim,,2,3
1,10:33.0,,L. Aldridge misses 3-pt jump shot from 25 ft,2,3
1,10:25.0,,Offensive rebound by J. Poeltl,2,3
1,10:25.0,,J. Poeltl misses 2-pt layup at rim,2,3
1,10:25.0,Defensive rebound by C. Osman,,2,3
1,10:16.0,C. Osman makes 2-pt jump shot from 16 ft,,4,3
1,10:09.0,,Shooting foul by K. Love (drawn by J. Poeltl),4,3
1,10:09.0,,J. Poeltl makes free throw 1 of 2,4,4
1,10:09.0,,J. Poeltl makes free throw 2 of 2,4,5
1,9:50.0,Turnover by T. Thompson (lost ball; steal by D. White),,4,5
1,9:44.0,,L. Aldridge makes 2-pt hook shot from 6 ft (assist by J. Poeltl),4,7
1,9:27.0,K. Love makes 2-pt jump shot from 15 ft,,6,7
1,9:16.0,,L. Aldridge misses 2-pt jump shot from 20 ft,6,7
1,9:13.0,Defensive rebound by K. Love,,6,7
1,9:04.0,B. Knight misses 2-pt jump shot from 9 ft,,6,7
1,9:01.0,,Defensive rebound by J. Poeltl,6,7
1,8:52.0,,D. White makes 2-pt jump shot from 11 ft (assist by L. Aldridge),6,9
1,8:42.0,C. Sexton makes 2-pt layup from 2 ft,,8,9
1,8:26.0,,L. Aldridge makes 2-pt jump shot from 14 ft,8,11
1,8:26.0,,Shooting foul by T. Thompson (drawn by L. Aldridge),8,11
1,8:26.0,,L. Aldridge misses free throw 1 of 1,8,11
1,8:23.0,Defensive rebound by T. Thompson,,8,11
1,8:15.0,C. Osman misses 3-pt jump shot from 26 ft,,8,11
1,8:13.0,,Defensive rebound by B. Forbes,8,11
1,8:05.0,,Personal foul by C. Osman (drawn by D. DeRozan),8,11
1,7:50.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. White),8,14
1,7:41.0,Shooting foul by D. White (drawn by C. Sexton),,8,14
1,7:41.0,C. Sexton misses free throw 1 of 2,,8,14
1,7:41.0,Offensive rebound by Team,,8,14
1,7:41.0,C. Sexton makes free throw 2 of 2,,9,14
1,7:18.0,,L. Aldridge misses 2-pt jump shot from 14 ft,9,14
1,7:16.0,Defensive rebound by T. Thompson,,9,14
1,7:10.0,B. Knight misses 2-pt layup at rim (block by D. White),,9,14
1,7:06.0,Offensive rebound by T. Thompson,,9,14
1,7:06.0,T. Thompson misses 2-pt layup from 3 ft (block by L. Aldridge),,9,14
