QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
1,11:44.0,Turnover by R. Lopez (bad pass; steal by W. Ellington),,0,0
1,11:25.0,,J. Richardson misses 3-pt jump shot from 27 ft,0,0
1,11:22.0,Defensive rebound by R. Arcidiacono,,0,0
1,11:13.0,L. Markkanen misses 3-pt jump shot from 25 ft,,0,0
1,11:11.0,,Defensive rebound by H. Whiteside,0,0
1,11:03.0,,J. Winslow makes 2-pt jump shot from 12 ft,0,2
1,10:48.0,Turnover by L. Markkanen (lost ball; steal by J. Johnson),,0,2
1,10:38.0,,J. Winslow misses 2-pt jump shot from 7 ft,0,2
1,10:35.0,,Offensive rebound by J. Winslow,0,2
1,10:32.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Winslow),0,5
1,10:15.0,R. Lopez makes 2-pt hook shot from 4 ft,,2,5
1,10:06.0,,Turnover by J. Johnson (bad pass),2,5
1,9:55.0,R. Lopez makes 2-pt hook shot from 9 ft (assist by K. Dunn),,4,5
1,9:41.0,,J. Johnson misses 2-pt layup from 3 ft,4,5
1,9:39.0,Defensive rebound by K. Dunn,,4,5
1,9:35.0,K. Dunn misses 2-pt jump shot from 10 ft,,4,5
1,9:33.0,Offensive rebound by R. Arcidiacono,,4,5
1,9:29.0,L. Markkanen makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,6,5
1,9:29.0,Shooting foul by H. Whiteside (drawn by L. Markkanen),,6,5
1,9:29.0,L. Markkanen makes free throw 1 of 1,,7,5
1,9:15.0,,J. Winslow misses 2-pt jump shot from 6 ft,7,5
1,9:13.0,Defensive rebound by L. Markkanen,,7,5
1,9:04.0,K. Dunn makes 2-pt jump shot from 14 ft,,9,5
1,9:03.0,,Miami full timeout,9,5
1,8:53.0,,W. Ellington misses 3-pt jump shot from 26 ft,9,5
1,8:50.0,,Offensive rebound by J. Winslow,9,5
1,8:45.0,,W. Ellington misses 3-pt jump shot from 23 ft,9,5
1,8:43.0,Defensive rebound by K. Dunn,,9,5
1,8:25.0,R. Lopez makes 2-pt layup from 2 ft (assist by W. Selden),,11,5
1,8:25.0,Shooting foul by J. Winslow (drawn by R. Lopez),,11,5
1,8:25.0,,B. Adebayo enters the game for H. Whiteside,11,5
1,8:25.0,R. Lopez makes free throw 1 of 1,,12,5
1,8:15.0,,J. Winslow makes 2-pt jump shot from 4 ft,12,7
1,7:58.0,L. Markkanen misses 2-pt jump shot from 3 ft (block by J. Richardson),,12,7
1,7:56.0,,Defensive rebound by B. Adebayo,12,7
1,7:41.0,,J. Johnson misses 2-pt layup from 4 ft,12,7
1,7:39.0,Defensive rebound by L. Markkanen,,12,7
1,7:21.0,W. Selden misses 3-pt jump shot from 22 ft,,12,7
1,7:18.0,,Defensive rebound by W. Ellington,12,7
1,7:07.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),12,10
1,6:51.0,Turnover by K. Dunn (lost ball; steal by J. Winslow),,12,10
1,6:46.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),12,13
1,6:45.0,Chicago full timeout,,12,13
1,6:45.0,S. Harrison enters the game for R. Arcidiacono,,12,13
1,6:27.0,L. Markkanen misses 3-pt jump shot from 26 ft,,12,13
1,6:25.0,,Defensive rebound by W. Ellington,12,13
1,6:17.0,,J. Richardson misses 3-pt jump shot from 23 ft,12,13
1,6:15.0,Defensive rebound by L. Markkanen,,12,13
1,6:07.0,K. Dunn makes 2-pt layup from 2 ft (assist by L. Markkanen),,14,13
1,5:48.0,,W. Ellington misses 3-pt jump shot from 23 ft,14,13
1,5:46.0,,Offensive rebound by J. Richardson,14,13
1,5:38.0,,J. Johnson misses 3-pt jump shot from 25 ft,14,13
1,5:37.0,Defensive rebound by Team,,14,13
1,5:37.0,,T. Johnson enters the game for J. Richardson,14,13
1,5:19.0,L. Markkanen makes 2-pt jump shot from 12 ft (assist by K. Dunn),,16,13
1,5:06.0,,B. Adebayo makes 2-pt dunk at rim (assist by J. Johnson),16,15
1,4:50.0,K. Dunn misses 2-pt jump shot from 16 ft,,16,15
