QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
1,11:40.0,D. Smith misses 2-pt layup from 8 ft (block by A. Len),,0,0
1,11:36.0,,Defensive rebound by A. Len,0,0
1,11:25.0,,T. Young misses 2-pt jump shot from 14 ft (block by D. Smith),0,0
1,11:22.0,Defensive rebound by L. Dončić,,0,0
1,11:19.0,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,3,0
1,11:07.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Young),3,3
1,10:52.0,W. Matthews makes 2-pt jump shot from 11 ft (assist by D. Jordan),,5,3
1,10:41.0,,Shooting foul by D. Smith (drawn by T. Young),5,3
1,10:41.0,,T. Young misses free throw 1 of 2,5,3
1,10:41.0,,Offensive rebound by Team,5,3
1,10:41.0,,T. Young makes free throw 2 of 2,5,4
1,10:31.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),,8,4
1,10:19.0,,A. Len misses 2-pt layup from 2 ft,8,4
1,10:19.0,,Offensive rebound by A. Len,8,4
1,10:19.0,,A. Len misses 2-pt layup from 1 ft,8,4
1,10:18.0,,Offensive rebound by A. Len,8,4
1,10:17.0,,A. Len misses 2-pt layup from 3 ft (block by D. Jordan),8,4
1,10:17.0,Defensive rebound by Team,,8,4
1,9:58.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,11,4
1,9:42.0,,A. Len makes 2-pt dunk from 2 ft (assist by K. Bazemore),11,6
1,9:31.0,L. Dončić makes 2-pt jump shot from 11 ft,,13,6
1,9:24.0,,Turnover by T. Young (out of bounds lost ball),13,6
1,9:17.0,Shooting foul by A. Len (drawn by D. Smith),,13,6
1,9:17.0,D. Smith makes free throw 1 of 2,,14,6
1,9:17.0,D. Smith misses free throw 2 of 2,,14,6
1,9:15.0,Offensive rebound by D. Finney-Smith,,14,6
1,9:03.0,L. Dončić misses 2-pt jump shot from 10 ft (block by T. Young),,14,6
1,9:03.0,,Defensive rebound by T. Young,14,6
1,8:58.0,,K. Bazemore misses 3-pt jump shot from 26 ft,14,6
1,8:53.0,Defensive rebound by D. Jordan,,14,6
1,8:46.0,D. Jordan makes 2-pt layup from 2 ft (assist by D. Smith),,16,6
1,8:32.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),16,9
1,8:13.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,19,9
1,7:51.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),19,12
1,7:39.0,Turnover by D. Smith (out of bounds lost ball),,19,12
1,7:26.0,,Personal foul by D. Jordan (drawn by T. Young),19,12
1,7:14.0,,V. Carter misses 2-pt jump shot from 13 ft,19,12
1,7:11.0,Defensive rebound by L. Dončić,,19,12
1,7:08.0,Personal foul by K. Bazemore (drawn by L. Dončić),,19,12
1,7:08.0,,O. Spellman enters the game for V. Carter,19,12
1,7:01.0,L. Dončić makes 2-pt jump shot from 13 ft,,21,12
1,6:50.0,,Personal foul by L. Dončić (drawn by K. Bazemore),21,12
1,6:50.0,,Atlanta full timeout,21,12
1,6:50.0,,D. Dedmon enters the game for A. Len,21,12
1,6:43.0,,O. Spellman makes 2-pt dunk from 1 ft (assist by K. Bazemore),21,14
1,6:32.0,D. Smith misses 3-pt jump shot from 26 ft,,21,14
1,6:28.0,,Defensive rebound by O. Spellman,21,14
1,6:18.0,,T. Young misses 2-pt layup from 7 ft,21,14
1,6:14.0,Defensive rebound by D. Jordan,,21,14
1,6:12.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,24,14
1,5:54.0,,T. Young misses 3-pt jump shot from 27 ft,24,14
1,5:51.0,Defensive rebound by D. Jordan,,24,14
1,5:48.0,Shooting foul by O. Spellman (drawn by L. Dončić),,24,14
1,5:48.0,L. Dončić makes free throw 1 of 2,,25,14
1,5:48.0,,D. Bembry enters the game for K. Bazemore,25,14
1,5:48.0,,J. Lin enters the game for T. Young,25,14
1,5:48.0,L. Dončić makes free throw 2 of 2,,26,14
1,5:39.0,,T. Prince misses 3-pt jump shot from 25 ft,26,14
1,5:34.0,Defensive rebound by D. Jordan,,26,14
1,5:27.0,L. Dončić misses 3-pt jump shot from 25 ft,,26,14
1,5:23.0,,Defensive rebound by D. Dedmon,26,14
1,5:18.0,,D. Bembry makes 2-pt jump shot from 13 ft (assist by D. Dedmon),26,16
1,5:11.0,Turnover by D. Smith (out of bounds lost ball),,26,16
1,4:56.0,,J. Lin misses 3-pt jump shot from 25 ft,26,16
1,4:53.0,Defensive rebound by D. Jordan,,26,16
1,4:45.0,Shooting foul by T. Prince (drawn by D. Finney-Smith),,26,16
1,4:45.0,D. Finney-Smith makes free throw 1 of 2,,27,16
1,4:45.0,J. Brunson enters the game for W. Matthews,,27,16
1,4:45.0,,K. Huerter enters the game for T. Prince,27,16
1,4:45.0,D. Finney-Smith misses free throw 2 of 2,,27,16
1,4:37.0,,Defensive rebound by D. Dedmon,27,16
1,4:25.0,,Turnover by O. Spellman (bad pass; steal by D. Smith),27,16
1,4:18.0,D. Jordan makes 2-pt layup from 1 ft,,29,16
1,4:12.0,,D. Bembry misses 2-pt layup from 2 ft,29,16
1,4:12.0,Defensive rebound by D. Jordan,,29,16
1,4:04.0,L. Dončić misses 3-pt jump shot from 25 ft,,29,16
1,3:59.0,,Defensive rebound by D. Dedmon,29,16
1,3:49.0,,O. Spellman makes 2-pt layup from 1 ft,29,18
1,3:48.0,Dallas full timeout,,29,18
