QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
1,11:35.0,Turnover by B. Simmons (lost ball; steal by K. Leonard),,0,0
1,11:30.0,,P. Siakam misses 2-pt layup from 3 ft (block by J. Butler),0,0
1,11:27.0,Defensive rebound by T. Harris,,0,0
1,11:24.0,Turnover by B. Simmons (lost ball),,0,0
1,11:24.0,Loose ball foul by B. Simmons (drawn by K. Lowry),,0,0
1,11:00.0,,P. Siakam misses 3-pt jump shot from 30 ft,0,0
1,10:57.0,Defensive rebound by J. Embiid,,0,0
1,10:46.0,J. Embiid misses 2-pt jump shot from 2 ft,,0,0
1,10:46.0,Offensive rebound by Team,,0,0
1,10:39.0,J. Butler misses 2-pt jump shot from 10 ft,,0,0
1,10:36.0,,Defensive rebound by K. Leonard,0,0
1,10:29.0,,K. Leonard misses 3-pt jump shot from 26 ft,0,0
1,10:26.0,Defensive rebound by T. Harris,,0,0
1,10:19.0,B. Simmons misses 2-pt layup from 2 ft,,0,0
1,10:18.0,,Defensive rebound by K. Leonard,0,0
1,10:14.0,,Personal foul by T. Harris (drawn by K. Leonard),0,0
1,10:07.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Gasol),0,3
1,9:52.0,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Redick),,3,3
1,9:41.0,,Shooting foul by T. Harris (drawn by K. Lowry),3,3
1,9:41.0,,K. Lowry misses free throw 1 of 2,3,3
1,9:41.0,,Offensive rebound by Team,3,3
1,9:41.0,,K. Lowry makes free throw 2 of 2,3,4
1,9:24.0,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),,5,4
1,9:13.0,,P. Siakam makes 2-pt hook shot from 5 ft,5,6
1,8:59.0,,Violation by Team (kicked ball),5,6
1,8:50.0,T. Harris makes 2-pt jump shot from 13 ft (assist by B. Simmons),,7,6
1,8:41.0,,Personal foul by B. Simmons (drawn by K. Leonard),7,6
1,8:36.0,,K. Leonard misses 2-pt jump shot from 14 ft,7,6
1,8:33.0,Defensive rebound by T. Harris,,7,6
1,8:20.0,Shooting foul by M. Gasol (drawn by J. Embiid),,7,6
1,8:20.0,J. Embiid misses free throw 1 of 2,,7,6
1,8:20.0,Offensive rebound by Team,,7,6
1,8:20.0,M. Scott enters the game for T. Harris,,7,6
1,8:20.0,J. Embiid makes free throw 2 of 2,,8,6
1,8:07.0,,K. Lowry makes 2-pt layup from 6 ft,8,8
1,8:07.0,Philadelphia full timeout,,8,8
1,7:45.0,Shooting foul by D. Green (drawn by J. Butler),,8,8
1,7:45.0,J. Butler makes free throw 1 of 3,,9,8
1,7:45.0,J. Butler misses free throw 2 of 3,,9,8
1,7:45.0,Offensive rebound by Team,,9,8
1,7:45.0,J. Butler makes free throw 3 of 3,,10,8
1,7:33.0,,M. Gasol misses 3-pt jump shot from 25 ft,10,8
