QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
1,11:40.0,,T. Ariza misses 2-pt jump shot from 12 ft,0,0
1,11:33.0,,Offensive rebound by T. Satoranský,0,0
1,11:33.0,,T. Satoranský misses 2-pt layup from 1 ft,0,0
1,11:31.0,,Offensive rebound by T. Ariza,0,0
1,11:30.0,,Personal foul by B. Hield (drawn by J. Green),0,0
1,11:19.0,,B. Portis misses 2-pt jump shot from 12 ft,0,0
1,11:15.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:04.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,2,0
1,10:45.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,0
1,10:40.0,Defensive rebound by W. Cauley-Stein,,2,0
1,10:29.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,5,0
1,10:24.0,,Turnover by B. Portis (inbound),5,0
1,10:22.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,5,0
1,10:17.0,,Defensive rebound by T. Ariza,5,0
1,10:08.0,,B. Portis makes 2-pt hook shot from 6 ft,5,2
1,9:50.0,B. Hield makes 2-pt layup from 2 ft (assist by H. Barnes),,7,2
1,9:37.0,,B. Beal misses 2-pt layup from 2 ft,7,2
1,9:33.0,Defensive rebound by B. Hield,,7,2
1,9:31.0,B. Hield misses 2-pt layup from 1 ft,,7,2
1,9:28.0,,Defensive rebound by T. Ariza,7,2
1,9:18.0,,T. Satoranský makes 2-pt layup from 1 ft,7,4
1,9:18.0,,Personal foul by D. Fox (drawn by T. Satoranský),7,4
1,9:18.0,,T. Satoranský makes free throw 1 of 1,7,5
1,8:59.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,7,5
1,8:56.0,,Defensive rebound by B. Portis,7,5
1,8:48.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),7,8
1,8:40.0,D. Fox misses 2-pt jump shot from 19 ft,,7,8
1,8:37.0,,Defensive rebound by B. Portis,7,8
1,8:33.0,,Shooting foul by W. Cauley-Stein (drawn by J. Green),7,8
1,8:33.0,,J. Green makes free throw 1 of 2,7,9
1,8:33.0,,J. Green makes free throw 2 of 2,7,10
1,8:22.0,H. Barnes misses 3-pt jump shot from 26 ft,,7,10
1,8:17.0,,Defensive rebound by B. Beal,7,10
1,8:08.0,,B. Beal misses 2-pt layup from 2 ft (block by W. Cauley-Stein),7,10
1,8:05.0,Defensive rebound by H. Barnes,,7,10
1,8:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,7,10
1,7:59.0,,Defensive rebound by T. Satoranský,7,10
1,7:50.0,,Turnover by B. Portis (out of bounds lost ball),7,10
1,7:34.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,7,10
1,7:32.0,Offensive rebound by W. Cauley-Stein,,7,10
1,7:31.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,7,10
1,7:28.0,,Defensive rebound by T. Satoranský,7,10
1,7:23.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Beal),7,12
1,7:16.0,Sacramento full timeout,,7,12
1,7:01.0,D. Fox misses 2-pt jump shot from 16 ft,,7,12
1,6:56.0,,Defensive rebound by B. Beal,7,12
1,6:47.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),7,14
1,6:33.0,B. Hield misses 3-pt jump shot from 27 ft,,7,14
1,6:29.0,,Defensive rebound by B. Portis,7,14
1,6:20.0,,B. Portis misses 2-pt hook shot from 7 ft,7,14
1,6:17.0,Defensive rebound by H. Barnes,,7,14
1,6:00.0,D. Fox misses 2-pt layup from 2 ft,,7,14
1,5:57.0,,Defensive rebound by T. Ariza,7,14
1,5:51.0,,T. Satoranský makes 3-pt jump shot from 26 ft (assist by T. Ariza),7,17
1,5:42.0,Turnover by B. Bogdanović (bad pass; steal by B. Beal),,7,17
1,5:32.0,,B. Beal misses 3-pt jump shot from 26 ft,7,17
1,5:32.0,Defensive rebound by B. Hield,,7,17
1,5:23.0,B. Hield misses 2-pt jump shot from 8 ft,,7,17
1,5:20.0,,Defensive rebound by B. Beal,7,17
