QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
1,11:43.0,D. Mitchell misses 2-pt jump shot from 8 ft,,0,0
1,11:40.0,,Defensive rebound by A. Wiggins,0,0
1,11:34.0,,J. Okogie misses 3-pt jump shot from 23 ft,0,0
1,11:32.0,Defensive rebound by R. Gobert,,0,0
1,11:29.0,J. Ingles misses 3-pt jump shot from 23 ft,,0,0
1,11:27.0,Offensive rebound by D. Favors,,0,0
1,11:20.0,D. Mitchell makes 3-pt jump shot from 25 ft,,3,0
1,11:01.0,,D. Rose misses 2-pt jump shot from 4 ft,3,0
1,10:59.0,Defensive rebound by J. Ingles,,3,0
1,10:41.0,D. Mitchell misses 3-pt jump shot from 27 ft,,3,0
1,10:38.0,,Defensive rebound by K. Towns,3,0
1,10:17.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by K. Towns),3,3
1,10:00.0,J. Ingles makes 2-pt layup from 4 ft,,5,3
1,9:50.0,,D. Rose makes 2-pt layup from 1 ft (assist by T. Gibson),5,5
1,9:34.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,7,5
1,9:23.0,,Turnover by J. Okogie (bad pass; steal by D. Mitchell),7,5
1,9:18.0,R. Gobert makes 2-pt layup from 6 ft (assist by J. Ingles),,9,5
1,9:18.0,Shooting foul by T. Gibson (drawn by R. Gobert),,9,5
1,9:18.0,R. Gobert misses free throw 1 of 1,,9,5
1,9:18.0,,Defensive rebound by K. Towns,9,5
1,9:06.0,,A. Wiggins misses 2-pt jump shot from 15 ft,9,5
1,9:03.0,Defensive rebound by J. Ingles,,9,5
1,8:58.0,,Violation by Team (kicked ball),9,5
1,8:52.0,D. Mitchell misses 2-pt layup from 3 ft (block by J. Okogie),,9,5
1,8:49.0,,Defensive rebound by K. Towns,9,5
1,8:45.0,,Turnover by D. Rose (bad pass; steal by R. Rubio),9,5
1,8:40.0,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),,11,5
1,8:40.0,,Minnesota full timeout,11,5
1,8:26.0,,T. Gibson makes 2-pt jump shot from 19 ft (assist by D. Rose),11,7
1,8:05.0,D. Mitchell misses 2-pt jump shot from 18 ft,,11,7
1,8:02.0,,Defensive rebound by T. Gibson,11,7
1,7:58.0,,D. Rose makes 2-pt jump shot from 6 ft,11,9
1,7:58.0,,Shooting foul by R. Gobert (drawn by D. Rose),11,9
1,7:58.0,,D. Rose makes free throw 1 of 1,11,10
1,7:48.0,R. Rubio makes 2-pt jump shot from 8 ft,,13,10
1,7:45.0,,Personal foul by R. Rubio (drawn by D. Rose),13,10
1,7:42.0,,Turnover by A. Wiggins (bad pass; steal by R. Rubio),13,10
1,7:38.0,Turnover by R. Rubio (bad pass; steal by K. Towns),,13,10
1,7:33.0,,Turnover by J. Okogie (step out of bounds),13,10
1,7:18.0,D. Favors misses 3-pt jump shot from 22 ft,,13,10
1,7:15.0,,Defensive rebound by A. Wiggins,13,10
1,7:09.0,,A. Wiggins misses 2-pt jump shot from 12 ft,13,10
1,7:08.0,Defensive rebound by Team,,13,10
1,6:56.0,Turnover by D. Mitchell (bad pass; steal by D. Rose),,13,10
1,6:54.0,,Personal foul by J. Ingles (drawn by D. Rose),13,10
1,6:54.0,J. Crowder enters the game for D. Favors,,13,10
1,6:54.0,R. O'Neale enters the game for J. Ingles,,13,10
1,6:40.0,,T. Gibson misses 2-pt layup from 2 ft,13,10
1,6:37.0,Defensive rebound by R. O'Neale,,13,10
1,6:33.0,Turnover by R. Rubio (step out of bounds),,13,10
1,6:23.0,,Shooting foul by J. Crowder (drawn by D. Rose),13,10
1,6:23.0,,D. Rose misses free throw 1 of 2,13,10
1,6:23.0,,Offensive rebound by Team,13,10
1,6:23.0,,D. Rose misses free throw 2 of 2,13,10
1,6:20.0,Defensive rebound by R. Gobert,,13,10
1,6:13.0,Personal foul by J. Okogie (drawn by R. Rubio),,13,10
1,6:01.0,R. O'Neale makes 2-pt layup from 6 ft,,15,10
1,5:52.0,,Shooting foul by R. Gobert (drawn by D. Rose),15,10
1,5:52.0,,D. Rose makes free throw 1 of 2,15,11
1,5:52.0,D. Favors enters the game for R. Gobert,,15,11
1,5:52.0,,D. Rose makes free throw 2 of 2,15,12
1,5:42.0,D. Mitchell misses 2-pt jump shot from 7 ft,,15,12
1,5:40.0,,Defensive rebound by K. Towns,15,12
1,5:37.0,,T. Gibson makes 2-pt dunk at rim (assist by K. Towns),15,14
1,5:25.0,Turnover by R. Rubio (bad pass),,15,14
1,5:25.0,,J. Nunnally enters the game for A. Wiggins,15,14
1,5:04.0,,D. Rose misses 2-pt layup from 6 ft,15,14
1,5:02.0,Defensive rebound by D. Favors,,15,14
1,4:55.0,Turnover by J. Crowder (bad pass; steal by T. Gibson),,15,14
1,4:39.0,,K. Towns misses 2-pt jump shot from 20 ft,15,14
1,4:38.0,Defensive rebound by R. O'Neale,,15,14
1,4:31.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,18,14
