QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
1,11:43.0,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),,2,0
1,11:43.0,Shooting foul by D. Green (drawn by A. Davis),,2,0
1,11:43.0,A. Davis makes free throw 1 of 1,,3,0
1,11:29.0,,K. Durant misses 2-pt jump shot from 12 ft,3,0
1,11:27.0,Defensive rebound by Team,,3,0
1,11:18.0,Personal foul by D. Jones (drawn by A. Davis),,3,0
1,11:03.0,E. Moore misses 2-pt hook shot from 8 ft,,3,0
1,11:02.0,,Defensive rebound by D. Green,3,0
1,10:58.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),3,2
1,10:47.0,T. Frazier misses 3-pt jump shot from 26 ft,,3,2
1,10:45.0,,Defensive rebound by D. Jones,3,2
1,10:41.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),3,5
1,10:31.0,N. Mirotić misses 3-pt jump shot from 26 ft,,3,5
1,10:29.0,,Defensive rebound by D. Green,3,5
1,10:20.0,,D. Jones makes 2-pt layup from 1 ft (assist by K. Durant),3,7
1,10:05.0,A. Davis misses 2-pt hook shot from 9 ft,,3,7
1,10:04.0,,Defensive rebound by K. Durant,3,7
1,10:00.0,,K. Thompson misses 3-pt jump shot from 31 ft,3,7
1,9:58.0,Defensive rebound by J. Holiday,,3,7
1,9:51.0,J. Holiday makes 3-pt jump shot from 26 ft,,6,7
1,9:44.0,,Turnover by S. Curry (bad pass; steal by J. Holiday),6,7
1,9:40.0,T. Frazier makes 2-pt layup from 2 ft (assist by J. Holiday),,8,7
1,9:32.0,,K. Thompson makes 2-pt layup from 3 ft (assist by D. Green),8,9
1,9:32.0,,Shooting foul by E. Moore (drawn by K. Thompson),8,9
1,9:32.0,,K. Thompson makes free throw 1 of 1,8,10
1,9:22.0,Shooting foul by D. Jones (drawn by J. Holiday),,8,10
1,9:22.0,J. Holiday makes free throw 1 of 2,,9,10
1,9:22.0,,K. Looney enters the game for D. Jones,9,10
1,9:22.0,J. Holiday makes free throw 2 of 2,,10,10
1,9:13.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),10,12
1,9:00.0,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Holiday),,12,12
1,8:40.0,,S. Curry makes 2-pt layup from 8 ft,12,14
1,8:30.0,Turnover by N. Mirotić (lost ball; steal by S. Curry),,12,14
1,8:25.0,,Turnover by K. Thompson (out of bounds lost ball),12,14
1,8:14.0,J. Holiday makes 3-pt jump shot from 25 ft,,15,14
1,7:59.0,,D. Green misses 2-pt jump shot from 6 ft,15,14
1,7:58.0,,Offensive rebound by K. Looney,15,14
1,7:58.0,,Offensive foul by D. Green (drawn by A. Davis),15,14
1,7:58.0,,Turnover by D. Green (offensive foul),15,14
1,7:45.0,J. Holiday misses 3-pt jump shot from 27 ft,,15,14
1,7:43.0,Offensive rebound by N. Mirotić,,15,14
1,7:43.0,N. Mirotić makes 2-pt layup at rim,,17,14
1,7:38.0,,S. Curry makes 3-pt jump shot from 30 ft,17,17
1,7:32.0,Personal foul by S. Curry (drawn by T. Frazier),,17,17
1,7:32.0,F. Jackson enters the game for T. Frazier,,17,17
1,7:32.0,,J. Jerebko enters the game for D. Green,17,17
1,7:20.0,E. Moore makes 2-pt hook shot from 8 ft (assist by J. Holiday),,19,17
1,7:07.0,,Turnover by K. Thompson (bad pass),19,17
1,6:59.0,J. Holiday makes 2-pt layup from 2 ft,,21,17
1,6:52.0,,Golden State full timeout,21,17
1,6:46.0,,S. Curry makes 2-pt jump shot from 7 ft,21,19
1,6:33.0,F. Jackson misses 3-pt jump shot from 27 ft,,21,19
1,6:31.0,,Defensive rebound by K. Thompson,21,19
1,6:23.0,,K. Thompson misses 2-pt jump shot from 21 ft,21,19
1,6:22.0,Defensive rebound by N. Mirotić,,21,19
1,6:08.0,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Davis),,23,19
1,5:55.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by K. Looney),23,21
1,5:39.0,Personal foul by J. Jerebko (drawn by A. Davis),,23,21
1,5:39.0,A. Davis misses free throw 1 of 2,,23,21
1,5:39.0,Offensive rebound by Team,,23,21
1,5:39.0,J. Randle enters the game for N. Mirotić,,23,21
1,5:39.0,A. Davis makes free throw 2 of 2,,24,21
1,5:28.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by J. Jerebko),24,23
1,5:14.0,Turnover by J. Holiday (bad pass; steal by S. Curry),,24,23
1,5:10.0,,S. Curry misses 2-pt layup from 2 ft,24,23
1,5:09.0,,Offensive rebound by K. Looney,24,23
1,5:09.0,,Shooting foul by J. Holiday (drawn by K. Looney),24,23
1,5:09.0,,K. Looney misses free throw 1 of 2,24,23
1,5:09.0,,Offensive rebound by Team,24,23
1,5:09.0,,K. Looney misses free throw 2 of 2,24,23
1,5:08.0,Defensive rebound by J. Randle,,24,23
1,4:56.0,F. Jackson misses 2-pt jump shot from 13 ft,,24,23
1,4:55.0,,Defensive rebound by K. Looney,24,23
1,4:46.0,,J. Jerebko makes 3-pt jump shot from 27 ft (assist by K. Durant),24,26
1,4:34.0,Turnover by J. Randle (lost ball; steal by K. Looney),,24,26
1,4:29.0,,Shooting foul by A. Davis (drawn by K. Durant),24,26
1,4:29.0,,K. Durant makes free throw 1 of 2,24,27
1,4:29.0,,K. Durant makes free throw 2 of 2,24,28
1,4:08.0,A. Davis makes 3-pt jump shot from 23 ft (assist by J. Holiday),,27,28
1,3:59.0,,Personal foul by F. Jackson (drawn by S. Curry),27,28
1,3:59.0,,A. McKinnie enters the game for K. Thompson,27,28
1,3:56.0,,Personal foul by F. Jackson (drawn by S. Curry),27,28
1,3:56.0,,S. Curry makes free throw 1 of 3,27,29
1,3:56.0,,S. Curry makes free throw 2 of 3,27,30
1,3:56.0,,S. Curry makes free throw 3 of 3,27,31
1,3:41.0,E. Moore makes 2-pt layup from 3 ft (assist by A. Davis),,29,31
1,3:29.0,,Turnover by J. Jerebko (bad pass; steal by E. Moore),29,31
1,3:25.0,E. Moore misses 2-pt layup from 3 ft (block by J. Jerebko),,29,31
1,3:25.0,Offensive rebound by Team,,29,31
1,3:25.0,S. Hill enters the game for E. Moore,,29,31
1,3:23.0,J. Holiday misses 3-pt jump shot from 29 ft,,29,31
1,3:21.0,,Defensive rebound by S. Curry,29,31
1,3:14.0,,S. Curry misses 3-pt jump shot from 28 ft,29,31
1,3:12.0,,Offensive rebound by K. Looney,29,31
1,3:01.0,,K. Durant misses 2-pt jump shot from 17 ft,29,31
1,3:00.0,,Offensive rebound by K. Looney,29,31
1,2:53.0,,J. Jerebko makes 3-pt jump shot from 28 ft (assist by K. Looney),29,34
1,2:42.0,Personal foul by K. Looney (drawn by J. Holiday),,29,34
1,2:42.0,New Orleans full timeout,,29,34
1,2:42.0,J. Holiday makes free throw 1 of 2,,30,34
1,2:42.0,J. Holiday makes free throw 2 of 2,,31,34
1,2:25.0,,K. Durant misses 2-pt jump shot from 11 ft,31,34
1,2:23.0,,Offensive rebound by Team,31,34
1,2:23.0,N. Mirotić enters the game for A. Davis,,31,34
1,2:22.0,,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),31,36
1,2:22.0,,Shooting foul by S. Hill (drawn by K. Durant),31,36
1,2:22.0,,K. Durant misses free throw 1 of 1,31,36
1,2:21.0,Defensive rebound by J. Holiday,,31,36
1,2:05.0,Turnover by F. Jackson (bad pass; steal by J. Jerebko),,31,36
1,2:01.0,,J. Jerebko makes 2-pt layup from 2 ft,31,38
1,1:47.0,N. Mirotić misses 3-pt jump shot from 26 ft,,31,38
1,1:45.0,,Defensive rebound by J. Jerebko,31,38
1,1:40.0,,Turnover by S. Curry (bad pass; steal by N. Mirotić),31,38
1,1:40.0,Personal foul by S. Curry (drawn by N. Mirotić),,31,38
1,1:40.0,,A. Iguodala enters the game for S. Curry,31,38
1,1:40.0,N. Mirotić makes free throw 1 of 2,,32,38
1,1:40.0,,J. Bell enters the game for K. Looney,32,38
1,1:40.0,N. Mirotić makes free throw 2 of 2,,33,38
1,1:31.0,,Offensive foul by A. McKinnie (drawn by F. Jackson),33,38
1,1:31.0,,Turnover by A. McKinnie (offensive foul),33,38
1,1:17.0,Personal foul by A. McKinnie (drawn by J. Randle),,33,38
1,1:17.0,J. Randle makes free throw 1 of 2,,34,38
1,1:17.0,J. Randle makes free throw 2 of 2,,35,38
1,0:55.0,,A. Iguodala misses 3-pt jump shot from 27 ft,35,38
1,0:53.0,,Offensive rebound by J. Bell,35,38
1,0:52.0,,J. Jerebko misses 3-pt jump shot from 27 ft,35,38
1,0:50.0,,Offensive rebound by A. McKinnie,35,38
1,0:42.0,,Turnover by A. McKinnie (lost ball; steal by F. Jackson),35,38
1,0:37.0,F. Jackson misses 2-pt layup from 2 ft,,35,38
1,0:36.0,,Defensive rebound by K. Durant,35,38
1,0:31.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by K. Durant),35,40
1,0:12.0,F. Jackson misses 2-pt jump shot from 9 ft,,35,40
1,0:11.0,Offensive rebound by N. Mirotić,,35,40
1,0:10.0,N. Mirotić makes 2-pt jump shot from 13 ft,,37,40
1,0:01.0,,A. Iguodala makes 3-pt jump shot from 28 ft (assist by J. Jerebko),37,43
2,11:47.0,,K. Thompson makes 2-pt jump shot from 22 ft (assist by D. Green),37,45
2,11:27.0,J. Randle misses 2-pt jump shot from 9 ft,,37,45
2,11:26.0,,Defensive rebound by D. Green,37,45
2,11:17.0,,J. Jerebko misses 3-pt jump shot from 23 ft,37,45
2,11:15.0,Defensive rebound by E. Moore,,37,45
2,11:09.0,Personal foul by J. Jerebko (drawn by N. Mirotić),,37,45
2,11:03.0,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Randle),,40,45
2,10:49.0,,Personal foul by N. Mirotić (drawn by D. Green),40,45
2,10:45.0,,D. Green makes 3-pt jump shot from 28 ft (assist by A. Iguodala),40,48
2,10:30.0,N. Mirotić makes 2-pt jump shot from 19 ft (assist by S. Hill),,42,48
2,10:19.0,,J. Jerebko misses 3-pt jump shot from 23 ft,42,48
2,10:17.0,Defensive rebound by J. Randle,,42,48
2,10:09.0,Offensive foul by J. Randle (drawn by D. Green),,42,48
2,10:09.0,Turnover by J. Randle (offensive foul),,42,48
2,10:04.0,,Personal foul by E. Moore (drawn by K. Thompson),42,48
2,10:04.0,A. Davis enters the game for J. Randle,,42,48
2,10:04.0,,J. Bell enters the game for J. Jerebko,42,48
2,9:59.0,,A. Iguodala misses 2-pt jump shot from 17 ft,42,48
2,9:58.0,Defensive rebound by A. Davis,,42,48
2,9:47.0,N. Mirotić makes 2-pt layup from 2 ft (assist by A. Davis),,44,48
2,9:47.0,Shooting foul by A. McKinnie (drawn by N. Mirotić),,44,48
2,9:47.0,N. Mirotić makes free throw 1 of 1,,45,48
2,9:38.0,,Personal foul by E. Moore (drawn by K. Thompson),45,48
2,9:27.0,,A. Iguodala misses 2-pt jump shot from 18 ft,45,48
2,9:26.0,,Offensive rebound by A. McKinnie,45,48
2,9:12.0,,K. Thompson misses 2-pt jump shot from 16 ft,45,48
2,9:11.0,Defensive rebound by A. Davis,,45,48
2,8:47.0,E. Moore makes 3-pt jump shot from 25 ft,,48,48
2,8:31.0,,Turnover by K. Thompson (bad pass; steal by E. Moore),48,48
2,8:26.0,E. Moore makes 3-pt jump shot from 26 ft (assist by S. Hill),,51,48
2,8:26.0,,Golden State full timeout,51,48
2,8:26.0,,S. Curry enters the game for A. McKinnie,51,48
2,8:13.0,,Personal foul by T. Frazier (drawn by S. Curry),51,48
2,8:09.0,,Personal foul by T. Frazier (drawn by J. Bell),51,48
2,8:09.0,,J. Bell makes free throw 1 of 2,51,49
2,8:09.0,,J. Bell makes free throw 2 of 2,51,50
2,7:53.0,S. Hill misses 3-pt jump shot from 26 ft,,51,50
2,7:51.0,,Defensive rebound by J. Bell,51,50
2,7:40.0,,K. Thompson misses 2-pt jump shot from 21 ft,51,50
2,7:38.0,,Offensive rebound by J. Bell,51,50
2,7:38.0,,J. Bell misses 2-pt layup from 1 ft,51,50
2,7:37.0,Defensive rebound by A. Davis,,51,50
2,7:25.0,A. Davis misses 2-pt hook shot from 3 ft,,51,50
2,7:24.0,Offensive rebound by N. Mirotić,,51,50
2,7:21.0,S. Hill misses 3-pt jump shot from 26 ft,,51,50
2,7:19.0,,Defensive rebound by K. Thompson,51,50
2,7:12.0,,D. Green makes 2-pt layup from 3 ft (assist by S. Curry),51,52
2,6:53.0,S. Hill makes 2-pt layup from 3 ft (assist by A. Davis),,53,52
2,6:52.0,,Violation by Team (delay of game),53,52
2,6:42.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),53,55
2,6:28.0,T. Frazier makes 3-pt jump shot from 27 ft (assist by N. Mirotić),,56,55
2,6:19.0,,S. Curry makes 2-pt jump shot from 20 ft,56,57
2,5:58.0,Personal foul by S. Curry (drawn by T. Frazier),,56,57
2,5:58.0,J. Holiday enters the game for S. Hill,,56,57
2,5:58.0,J. Randle enters the game for N. Mirotić,,56,57
2,5:58.0,,K. Durant enters the game for K. Thompson,56,57
2,5:49.0,Turnover by A. Davis (traveling),,56,57
2,5:35.0,,J. Bell misses 2-pt jump shot from 6 ft,56,57
2,5:34.0,Defensive rebound by Team,,56,57
2,5:11.0,T. Frazier misses 2-pt jump shot from 13 ft (block by A. Iguodala),,56,57
