QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
1,11:48.0,,Turnover by K. Thompson (bad pass; steal by S. Adams),0,0
1,11:43.0,Turnover by P. George (bad pass),,0,0
1,11:31.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),0,3
1,11:13.0,S. Adams misses 2-pt jump shot from 12 ft,,0,3
1,11:11.0,Offensive rebound by D. Schröder,,0,3
1,11:07.0,P. George misses 3-pt jump shot from 26 ft,,0,3
1,11:05.0,,Defensive rebound by K. Durant,0,3
1,10:57.0,,K. Durant makes 2-pt layup from 2 ft,0,5
1,10:38.0,D. Schröder misses 2-pt jump shot from 14 ft,,0,5
1,10:36.0,Offensive rebound by D. Schröder,,0,5
1,10:23.0,S. Adams misses 2-pt layup from 3 ft (block by K. Durant),,0,5
1,10:21.0,,Defensive rebound by D. Green,0,5
1,10:18.0,,Turnover by D. Green (out of bounds lost ball),0,5
1,10:08.0,P. Patterson makes 2-pt layup from 2 ft (assist by S. Adams),,2,5
1,10:08.0,Shooting foul by D. Green (drawn by P. Patterson),,2,5
1,10:08.0,P. Patterson makes free throw 1 of 1,,3,5
1,9:58.0,,D. Jones makes 2-pt dunk from 1 ft (assist by D. Green),3,7
1,9:41.0,P. Patterson misses 2-pt hook shot from 8 ft,,3,7
1,9:40.0,Offensive rebound by P. Patterson,,3,7
1,9:40.0,Shooting foul by K. Thompson (drawn by P. Patterson),,3,7
1,9:40.0,P. Patterson makes free throw 1 of 2,,4,7
1,9:40.0,P. Patterson misses free throw 2 of 2,,4,7
1,9:40.0,,Defensive rebound by D. Green,4,7
1,9:29.0,,D. Green misses 3-pt jump shot from 28 ft,4,7
1,9:27.0,Defensive rebound by D. Schröder,,4,7
1,9:12.0,P. Patterson misses 2-pt jump shot from 16 ft,,4,7
1,9:11.0,,Defensive rebound by S. Curry,4,7
1,9:07.0,,Turnover by S. Curry (bad pass; steal by P. George),4,7
1,9:02.0,Turnover by S. Adams (bad pass; steal by K. Durant),,4,7
1,8:53.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),4,10
1,8:33.0,Shooting foul by S. Curry (drawn by D. Schröder),,4,10
1,8:33.0,D. Schröder makes free throw 1 of 2,,5,10
1,8:33.0,D. Schröder makes free throw 2 of 2,,6,10
1,8:22.0,,K. Durant makes 2-pt layup from 3 ft (assist by D. Green),6,12
1,8:12.0,Shooting foul by D. Jones (drawn by P. George),,6,12
1,8:12.0,P. George makes free throw 1 of 2,,7,12
1,8:12.0,P. George makes free throw 2 of 2,,8,12
1,7:57.0,,S. Curry makes 2-pt jump shot from 6 ft (assist by K. Durant),8,14
1,7:45.0,D. Schröder misses 3-pt jump shot from 26 ft,,8,14
1,7:43.0,,Defensive rebound by D. Green,8,14
1,7:38.0,,Turnover by D. Green (bad pass; steal by P. Patterson),8,14
1,7:27.0,P. Patterson misses 3-pt jump shot from 27 ft,,8,14
1,7:25.0,,Defensive rebound by D. Jones,8,14
1,7:25.0,,Shooting foul by D. Schröder (drawn by S. Curry),8,14
1,7:25.0,,S. Curry makes free throw 1 of 2,8,15
1,7:25.0,Oklahoma City full timeout,,8,15
1,7:25.0,,S. Curry makes free throw 2 of 2,8,16
1,7:15.0,Turnover by D. Schröder (bad pass),,8,16
1,7:04.0,,K. Durant misses 3-pt jump shot from 26 ft,8,16
1,7:02.0,Defensive rebound by S. Adams,,8,16
1,6:47.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. George),,11,16
1,6:41.0,,Personal foul by T. Ferguson (drawn by K. Durant),11,16
1,6:41.0,,K. Looney enters the game for D. Green,11,16
1,6:33.0,,K. Thompson misses 2-pt jump shot from 20 ft,11,16
1,6:31.0,Defensive rebound by T. Ferguson,,11,16
1,6:25.0,D. Schröder misses 3-pt jump shot from 22 ft,,11,16
1,6:23.0,Offensive rebound by Team,,11,16
1,6:23.0,,Loose ball foul by K. Looney (drawn by S. Adams),11,16
1,6:23.0,S. Adams makes free throw 1 of 2,,12,16
1,6:23.0,S. Adams makes free throw 2 of 2,,13,16
1,6:13.0,,K. Looney makes 2-pt layup from 2 ft (assist by S. Curry),13,18
1,5:59.0,S. Adams misses 2-pt jump shot from 6 ft (block by D. Jones),,13,18
1,5:57.0,,Defensive rebound by K. Looney,13,18
1,5:48.0,,K. Durant misses 3-pt jump shot from 23 ft,13,18
1,5:46.0,,Offensive rebound by D. Jones,13,18
1,5:43.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by D. Jones),13,20
1,5:25.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,15,20
1,5:13.0,,D. Jones misses 2-pt layup from 1 ft (block by P. Patterson),15,20
1,5:11.0,,Offensive rebound by K. Looney,15,20
1,5:07.0,,K. Looney misses 2-pt layup from 2 ft,15,20
1,5:06.0,Defensive rebound by S. Adams,,15,20
1,4:56.0,P. Patterson misses 2-pt jump shot from 12 ft,,15,20
1,4:53.0,Offensive rebound by P. Patterson,,15,20
1,4:51.0,Turnover by P. Patterson (bad pass; steal by K. Looney),,15,20
1,4:43.0,,Turnover by K. Durant (bad pass; steal by P. George),15,20
1,4:35.0,S. Adams misses 2-pt jump shot from 5 ft (block by K. Looney),,15,20
1,4:34.0,Offensive rebound by S. Adams,,15,20
1,4:34.0,Shooting foul by D. Jones (drawn by S. Adams),,15,20
1,4:34.0,S. Adams makes free throw 1 of 2,,16,20
1,4:34.0,Á. Abrines enters the game for T. Ferguson,,16,20
1,4:34.0,J. Grant enters the game for P. Patterson,,16,20
1,4:34.0,,Golden State full timeout,16,20
1,4:34.0,,D. Green enters the game for D. Jones,16,20
1,4:34.0,,A. Iguodala enters the game for K. Thompson,16,20
1,4:34.0,S. Adams misses free throw 2 of 2,,16,20
1,4:29.0,,Defensive rebound by D. Green,16,20
