QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
1,11:39.0,,L. Kornet misses 3-pt jump shot from 25 ft,0,0
1,11:36.0,Defensive rebound by J. Teague,,0,0
1,11:17.0,J. Teague misses 3-pt jump shot from 25 ft,,0,0
1,11:13.0,,Defensive rebound by D. Smith,0,0
1,10:55.0,,L. Kornet misses 2-pt layup from 2 ft (block by J. Teague),0,0
1,10:52.0,Defensive rebound by D. Šarić,,0,0
1,10:43.0,J. Teague misses 2-pt jump shot from 11 ft,,0,0
1,10:40.0,,Defensive rebound by D. Jordan,0,0
1,10:32.0,,D. Smith misses 3-pt jump shot from 27 ft (block by J. Okogie),0,0
1,10:28.0,Defensive rebound by A. Wiggins,,0,0
1,10:25.0,T. Gibson misses 2-pt layup from 2 ft,,0,0
1,10:23.0,,Defensive rebound by D. Jordan,0,0
1,10:17.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Smith),0,3
1,9:59.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),,3,3
1,9:30.0,,Turnover by Team (shot clock),3,3
1,9:18.0,Turnover by J. Teague (bad pass; steal by D. Smith),,3,3
1,9:13.0,,K. Knox misses 2-pt layup from 3 ft (block by A. Wiggins),3,3
1,9:11.0,Defensive rebound by J. Okogie,,3,3
1,8:59.0,Shooting foul by L. Kornet (drawn by D. Šarić),,3,3
1,8:59.0,D. Šarić makes free throw 1 of 2,,4,3
1,8:59.0,D. Šarić makes free throw 2 of 2,,5,3
1,8:46.0,,L. Kornet misses 3-pt jump shot from 26 ft,5,3
1,8:43.0,Defensive rebound by J. Okogie,,5,3
1,8:29.0,T. Gibson makes 2-pt jump shot from 13 ft,,7,3
1,8:12.0,,D. Dotson makes 2-pt jump shot from 19 ft,7,5
1,8:00.0,Shooting foul by K. Knox (drawn by A. Wiggins),,7,5
1,8:00.0,A. Wiggins makes free throw 1 of 2,,8,5
1,8:00.0,A. Wiggins makes free throw 2 of 2,,9,5
1,7:48.0,,D. Dotson misses 2-pt layup from 1 ft,9,5
1,7:45.0,,Offensive rebound by D. Dotson,9,5
1,7:42.0,,D. Dotson makes 3-pt jump shot from 23 ft (assist by K. Knox),9,8
1,7:32.0,J. Okogie misses 2-pt jump shot from 19 ft,,9,8
1,7:30.0,,Defensive rebound by L. Kornet,9,8
1,7:28.0,,D. Dotson makes 3-pt jump shot from 27 ft (assist by D. Smith),9,11
1,7:12.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),,12,11
1,6:54.0,,Turnover by D. Dotson (lost ball; steal by A. Wiggins),12,11
1,6:51.0,Shooting foul by L. Kornet (drawn by A. Wiggins),,12,11
1,6:51.0,,New York full timeout,12,11
1,6:51.0,,N. Vonleh enters the game for L. Kornet,12,11
1,6:51.0,A. Wiggins makes free throw 1 of 2,,13,11
1,6:51.0,A. Wiggins misses free throw 2 of 2,,13,11
1,6:48.0,Offensive rebound by A. Wiggins,,13,11
1,6:40.0,J. Teague makes 2-pt jump shot from 14 ft (assist by T. Gibson),,15,11
1,6:28.0,,Shooting foul by D. Šarić (drawn by D. Smith),15,11
1,6:28.0,,D. Smith misses free throw 1 of 2,15,11
1,6:28.0,,Offensive rebound by Team,15,11
1,6:28.0,,D. Smith makes free throw 2 of 2,15,12
1,6:13.0,A. Wiggins misses 2-pt jump shot from 14 ft (block by D. Jordan),,15,12
1,6:10.0,,Defensive rebound by K. Knox,15,12
1,6:06.0,,D. Smith makes 2-pt dunk from 1 ft,15,14
1,5:54.0,T. Gibson misses 2-pt jump shot from 10 ft,,15,14
1,5:51.0,,Defensive rebound by D. Jordan,15,14
1,5:41.0,,D. Jordan makes 2-pt layup at rim (assist by D. Smith),15,16
1,5:37.0,Turnover by D. Šarić (bad pass; steal by N. Vonleh),,15,16
1,5:32.0,,Turnover by D. Smith (bad pass; steal by J. Okogie),15,16
1,5:26.0,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Okogie),,17,16
1,5:14.0,,D. Dotson makes 3-pt jump shot from 28 ft (assist by D. Smith),17,19
1,5:14.0,,Shooting foul by J. Okogie (drawn by D. Dotson),17,19
1,5:14.0,D. Rose enters the game for J. Okogie,,17,19
1,5:14.0,,D. Dotson makes free throw 1 of 1,17,20
1,4:54.0,J. Teague makes 2-pt layup from 2 ft (assist by A. Wiggins),,19,20
1,4:38.0,,N. Vonleh makes 2-pt hook shot from 5 ft,19,22
1,4:27.0,D. Rose misses 2-pt jump shot from 7 ft,,19,22
1,4:25.0,,Defensive rebound by D. Jordan,19,22
1,4:21.0,,D. Dotson makes 3-pt jump shot from 26 ft,19,25
1,4:20.0,Minnesota full timeout,,19,25
1,4:20.0,L. Deng enters the game for D. Šarić,,19,25
1,4:20.0,,E. Mudiay enters the game for D. Smith,19,25
1,4:08.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),,21,25
1,3:45.0,,D. Jordan makes 2-pt jump shot from 1 ft,21,27
1,3:36.0,J. Teague misses 2-pt jump shot from 16 ft,,21,27
1,3:31.0,,Defensive rebound by Team,21,27
1,3:31.0,T. Jones enters the game for J. Teague,,21,27
1,3:31.0,,A. Trier enters the game for K. Knox,21,27
1,3:10.0,,E. Mudiay misses 2-pt jump shot from 10 ft,21,27
1,3:08.0,Defensive rebound by A. Wiggins,,21,27
1,3:01.0,A. Wiggins makes 2-pt jump shot from 14 ft,,23,27
1,2:40.0,,Turnover by N. Vonleh (lost ball; steal by D. Rose),23,27
1,2:36.0,D. Rose misses 2-pt layup from 1 ft,,23,27
1,2:33.0,Offensive rebound by T. Gibson,,23,27
1,2:30.0,A. Wiggins misses 3-pt jump shot from 26 ft,,23,27
1,2:28.0,,Defensive rebound by D. Dotson,23,27
1,2:23.0,,Shooting foul by L. Deng (drawn by D. Jordan),23,27
1,2:23.0,A. Tolliver enters the game for T. Gibson,,23,27
1,2:23.0,,D. Jordan makes free throw 1 of 2,23,28
1,2:23.0,,D. Jordan makes free throw 2 of 2,23,29
1,2:10.0,D. Rose misses 2-pt jump shot from 13 ft,,23,29
1,2:07.0,,Defensive rebound by D. Jordan,23,29
1,2:07.0,,M. Robinson enters the game for D. Jordan,23,29
1,1:55.0,,D. Dotson misses 3-pt jump shot from 26 ft,23,29
1,1:52.0,Defensive rebound by T. Jones,,23,29
1,1:38.0,A. Wiggins misses 2-pt jump shot from 10 ft (block by E. Mudiay),,23,29
1,1:35.0,,Defensive rebound by A. Trier,23,29
1,1:34.0,,A. Trier makes 2-pt layup from 2 ft,23,31
1,1:27.0,Turnover by A. Wiggins (bad pass; steal by E. Mudiay),,23,31
1,1:22.0,,D. Dotson misses 3-pt jump shot from 26 ft,23,31
1,1:20.0,Defensive rebound by L. Deng,,23,31
1,1:12.0,D. Rose makes 2-pt jump shot from 12 ft,,25,31
1,0:55.0,,N. Vonleh misses 3-pt jump shot from 23 ft,25,31
1,0:54.0,Defensive rebound by T. Jones,,25,31
1,0:50.0,Personal foul by D. Dotson (drawn by T. Jones),,25,31
1,0:50.0,,J. Jenkins enters the game for D. Dotson,25,31
1,0:44.0,D. Rose makes 2-pt layup from 2 ft,,27,31
1,0:31.0,,M. Robinson misses 2-pt dunk from 2 ft,27,31
1,0:28.0,Defensive rebound by A. Wiggins,,27,31
1,0:22.0,A. Tolliver misses 2-pt layup from 2 ft (block by M. Robinson),,27,31
1,0:22.0,Offensive rebound by Team,,27,31
1,0:15.0,D. Rose makes 2-pt jump shot from 16 ft,,29,31
1,0:03.0,,Personal take foul by T. Jones (drawn by E. Mudiay),29,31
1,0:01.0,,A. Trier makes 2-pt layup from 3 ft,29,33
2,11:44.0,T. Jones misses 3-pt jump shot from 24 ft,,29,33
2,11:41.0,,Defensive rebound by N. Vonleh,29,33
2,11:19.0,,N. Vonleh makes 2-pt layup from 1 ft,29,35
2,11:12.0,D. Rose makes 2-pt layup from 2 ft,,31,35
2,11:12.0,Shooting foul by E. Mudiay (drawn by D. Rose),,31,35
2,11:12.0,D. Rose makes free throw 1 of 1,,32,35
2,10:51.0,,E. Mudiay makes 2-pt layup from 2 ft (assist by M. Robinson),32,37
2,10:44.0,T. Jones makes 2-pt layup from 2 ft,,34,37
2,10:32.0,,Turnover by E. Mudiay (bad pass; steal by K. Bates-Diop),34,37
2,10:26.0,Shooting foul by A. Trier (drawn by D. Rose),,34,37
2,10:26.0,D. Rose makes free throw 1 of 2,,35,37
2,10:26.0,D. Rose makes free throw 2 of 2,,36,37
2,10:08.0,,Offensive foul by E. Mudiay (drawn by A. Tolliver),36,37
2,10:08.0,,Turnover by E. Mudiay (offensive foul),36,37
2,9:59.0,Shooting foul by M. Robinson (drawn by D. Rose),,36,37
2,9:59.0,D. Rose makes free throw 1 of 2,,37,37
2,9:59.0,D. Rose makes free throw 2 of 2,,38,37
2,9:55.0,,New York full timeout,38,37
2,9:48.0,,Shooting foul by D. Rose (drawn by A. Trier),38,37
2,9:48.0,,L. Kornet enters the game for E. Mudiay,38,37
2,9:48.0,,D. Smith enters the game for N. Vonleh,38,37
2,9:48.0,,A. Trier makes free throw 1 of 2,38,38
2,9:48.0,,A. Trier makes free throw 2 of 2,38,39
2,9:37.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Rose),,41,39
2,9:24.0,,J. Jenkins misses 3-pt jump shot from 25 ft,41,39
2,9:21.0,,Offensive rebound by M. Robinson,41,39
2,9:20.0,,M. Robinson misses 2-pt layup from 2 ft (block by L. Deng),41,39
2,9:20.0,Defensive rebound by L. Deng,,41,39
2,9:16.0,Turnover by D. Rose (out of bounds lost ball),,41,39
2,8:55.0,,Turnover by D. Smith (bad pass; steal by L. Deng),41,39
2,8:46.0,A. Tolliver misses 2-pt layup from 3 ft (block by M. Robinson),,41,39
2,8:42.0,,Defensive rebound by J. Jenkins,41,39
2,8:39.0,,A. Trier misses 2-pt layup from 1 ft (block by K. Bates-Diop),41,39
2,8:36.0,Defensive rebound by K. Bates-Diop,,41,39
2,8:32.0,T. Jones makes 2-pt layup from 1 ft,,43,39
2,8:10.0,,A. Trier makes 2-pt layup from 1 ft,43,41
2,7:59.0,Minnesota full timeout,,43,41
2,7:59.0,J. Okogie enters the game for T. Jones,,43,41
2,7:59.0,J. Teague enters the game for D. Rose,,43,41
2,7:59.0,,D. Dotson enters the game for J. Jenkins,43,41
2,7:59.0,,K. Knox enters the game for A. Trier,43,41
2,7:53.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Teague),,46,41
2,7:37.0,,Turnover by D. Smith (bad pass; steal by A. Tolliver),46,41
2,7:34.0,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Bates-Diop),,48,41
2,7:20.0,,L. Kornet misses 3-pt jump shot from 25 ft,48,41
2,7:17.0,Defensive rebound by K. Bates-Diop,,48,41
2,7:09.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by J. Teague),,51,41
2,7:06.0,,New York full timeout,51,41
2,7:06.0,,D. Jordan enters the game for L. Kornet,51,41
2,7:06.0,,A. Trier enters the game for M. Robinson,51,41
2,6:50.0,,Shooting foul by J. Teague (drawn by D. Jordan),51,41
2,6:50.0,,D. Jordan makes free throw 1 of 2,51,42
2,6:50.0,,D. Jordan makes free throw 2 of 2,51,43
2,6:26.0,J. Teague misses 2-pt layup from 2 ft,,51,43
2,6:25.0,,Defensive rebound by A. Trier,51,43
2,6:14.0,,A. Trier makes 2-pt layup from 1 ft (assist by D. Jordan),51,45
2,6:04.0,Shooting foul by D. Smith (drawn by A. Tolliver),,51,45
2,6:04.0,T. Gibson enters the game for K. Bates-Diop,,51,45
2,6:04.0,A. Wiggins enters the game for L. Deng,,51,45
2,6:04.0,A. Tolliver makes free throw 1 of 2,,52,45
2,6:04.0,A. Tolliver makes free throw 2 of 2,,53,45
2,5:56.0,,Shooting foul by T. Gibson (drawn by D. Jordan),53,45
2,5:56.0,,D. Jordan makes free throw 1 of 2,53,46
2,5:56.0,,D. Jordan misses free throw 2 of 2,53,46
2,5:55.0,Defensive rebound by A. Tolliver,,53,46
2,5:43.0,J. Okogie misses 3-pt jump shot from 25 ft,,53,46
2,5:39.0,,Defensive rebound by K. Knox,53,46
2,5:26.0,,K. Knox misses 3-pt jump shot from 27 ft,53,46
2,5:24.0,Defensive rebound by J. Okogie,,53,46
2,5:20.0,A. Wiggins misses 2-pt layup from 4 ft,,53,46
2,5:14.0,,Defensive rebound by D. Jordan,53,46
