QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
1,11:54.0,,T. Ariza makes 2-pt layup from 1 ft,0,2
1,11:38.0,D. Dedmon misses 2-pt dunk from 3 ft (block by T. Bryant),,0,2
1,11:37.0,,Defensive rebound by Team,0,2
1,11:14.0,,T. Satoranský makes 2-pt jump shot from 6 ft (assist by B. Beal),0,4
1,11:00.0,Personal foul by T. Satoranský (drawn by K. Huerter),,0,4
1,10:56.0,,Violation by Team (kicked ball),0,4
1,10:45.0,T. Young misses 2-pt jump shot from 5 ft,,0,4
1,10:43.0,,Defensive rebound by T. Bryant,0,4
1,10:31.0,,O. Porter misses 2-pt jump shot from 15 ft,0,4
1,10:28.0,Defensive rebound by T. Young,,0,4
1,10:23.0,D. Dedmon misses 3-pt jump shot from 29 ft,,0,4
1,10:20.0,,Defensive rebound by T. Bryant,0,4
1,10:14.0,,Shooting foul by T. Young (drawn by T. Ariza),0,4
1,10:14.0,,T. Ariza misses free throw 1 of 3,0,4
1,10:14.0,,Offensive rebound by Team,0,4
1,10:14.0,,T. Ariza makes free throw 2 of 3,0,5
1,10:14.0,,T. Ariza makes free throw 3 of 3,0,6
1,10:02.0,J. Collins misses 2-pt layup from 3 ft (block by O. Porter),,0,6
1,10:00.0,Offensive rebound by J. Collins,,0,6
1,10:00.0,J. Collins makes 2-pt layup from 3 ft,,2,6
1,9:53.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),2,8
1,9:44.0,Personal foul by B. Beal (drawn by T. Young),,2,8
1,9:36.0,K. Huerter makes 3-pt jump shot from 26 ft,,5,8
1,9:19.0,,O. Porter misses 3-pt jump shot from 27 ft,5,8
1,9:16.0,Defensive rebound by T. Young,,5,8
1,9:10.0,D. Dedmon makes 2-pt layup from 3 ft (assist by T. Young),,7,8
1,8:58.0,,T. Ariza misses 2-pt layup from 4 ft (block by D. Dedmon),7,8
1,8:56.0,Defensive rebound by J. Collins,,7,8
1,8:51.0,T. Young misses 2-pt jump shot from 23 ft,,7,8
1,8:49.0,Offensive rebound by J. Collins,,7,8
1,8:48.0,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Collins),,10,8
1,8:32.0,,T. Bryant misses 2-pt jump shot from 19 ft,10,8
1,8:28.0,Defensive rebound by J. Collins,,10,8
1,8:23.0,T. Prince misses 3-pt jump shot from 23 ft,,10,8
1,8:20.0,,Defensive rebound by O. Porter,10,8
1,8:12.0,,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),10,10
1,7:55.0,Turnover by D. Dedmon (bad pass),,10,10
1,7:48.0,,B. Beal misses 3-pt jump shot from 26 ft,10,10
1,7:47.0,,Offensive rebound by Team,10,10
1,7:34.0,,T. Ariza makes 2-pt layup from 2 ft,10,12
1,7:14.0,T. Prince makes 2-pt jump shot from 13 ft,,12,12
1,7:07.0,,Shooting foul by K. Huerter (drawn by T. Satoranský),12,12
1,7:07.0,,T. Satoranský makes free throw 1 of 2,12,13
1,7:07.0,,T. Satoranský makes free throw 2 of 2,12,14
1,6:49.0,K. Huerter misses 2-pt jump shot from 14 ft,,12,14
1,6:46.0,,Defensive rebound by B. Beal,12,14
1,6:35.0,,O. Porter misses 3-pt jump shot from 23 ft,12,14
1,6:35.0,Defensive rebound by T. Young,,12,14
1,6:24.0,T. Young makes 2-pt jump shot from 6 ft,,14,14
1,6:18.0,,Turnover by T. Satoranský (bad pass; steal by T. Prince),14,14
1,6:15.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Prince),,17,14
1,6:13.0,,Washington full timeout,17,14
1,6:13.0,A. Len enters the game for D. Dedmon,,17,14
1,6:13.0,,J. Green enters the game for T. Bryant,17,14
1,6:13.0,,I. Mahinmi enters the game for O. Porter,17,14
1,5:53.0,,I. Mahinmi misses 2-pt hook shot from 7 ft,17,14
1,5:52.0,Defensive rebound by A. Len,,17,14
