QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
4,1:02.0,A. Drummond enters the game for L. Galloway,,97,87
4,1:02.0,L. Kennard makes free throw 2 of 2,,98,87
4,0:57.0,,J. Jackson makes 3-pt jump shot from 28 ft (assist by S. Mack),98,90
4,0:51.0,Personal take foul by J. Jackson (drawn by L. Kennard),,98,90
4,0:51.0,L. Kennard makes free throw 1 of 2,,99,90
4,0:51.0,L. Kennard misses free throw 2 of 2,,99,90
4,0:50.0,,Defensive rebound by J. Green,99,90
4,0:42.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Mack),99,92
4,0:41.0,Personal take foul by S. Mack (drawn by L. Kennard),,99,92
4,0:41.0,L. Kennard misses free throw 1 of 2,,99,92
4,0:41.0,Offensive rebound by Team,,99,92
4,0:41.0,L. Kennard misses free throw 2 of 2,,99,92
4,0:39.0,,Defensive rebound by J. Green,99,92
4,0:26.0,,S. Mack makes 2-pt layup from 1 ft,99,94
4,0:23.0,Personal foul by J. Jackson (drawn by R. Bullock),,99,94
4,0:23.0,R. Bullock makes free throw 1 of 2,,100,94
4,0:23.0,R. Bullock makes free throw 2 of 2,,101,94
4,0:23.0,,Memphis full timeout,101,94
4,0:23.0,,Offensive foul by J. Jackson (drawn by R. Jackson),101,94
4,0:23.0,,Turnover by J. Jackson (offensive foul),101,94
