QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
1,8:16.0,Detroit full timeout,,5,10
1,8:06.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by R. Bullock),,8,10
1,7:48.0,,K. Anderson makes 2-pt jump shot from 16 ft,8,12
1,7:30.0,R. Jackson misses 3-pt jump shot from 23 ft,,8,12
1,7:28.0,,Defensive rebound by J. Jackson,8,12
1,7:21.0,,G. Temple misses 3-pt jump shot from 23 ft,8,12
1,7:19.0,Defensive rebound by A. Drummond,,8,12
1,7:09.0,R. Bullock makes 3-pt jump shot from 28 ft (assist by R. Jackson),,11,12
1,6:54.0,,K. Anderson makes 2-pt jump shot from 7 ft,11,14
1,6:47.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,13,14
1,6:28.0,,G. Temple misses 2-pt jump shot from 19 ft,13,14
1,6:26.0,Defensive rebound by B. Brown,,13,14
1,6:13.0,B. Griffin misses 3-pt jump shot from 25 ft,,13,14
1,6:11.0,,Defensive rebound by M. Conley,13,14
1,6:03.0,,J. Jackson misses 2-pt hook shot from 4 ft,13,14
1,6:01.0,Defensive rebound by B. Griffin,,13,14
1,5:52.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,15,14
1,5:37.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),15,16
1,5:17.0,B. Griffin misses 2-pt layup from 1 ft,,15,16
1,5:14.0,,Defensive rebound by J. Jackson,15,16
1,5:13.0,,Personal foul by R. Jackson (drawn by M. Conley),15,16
1,5:13.0,,J. Green enters the game for M. Conley,15,16
1,5:13.0,,S. Mack enters the game for J. Jackson,15,16
1,5:04.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Mack),15,18
1,4:45.0,R. Jackson misses 3-pt jump shot from 23 ft,,15,18
1,4:39.0,Offensive rebound by A. Drummond,,15,18
1,4:39.0,A. Drummond makes 2-pt layup from 1 ft,,17,18
1,4:26.0,,S. Mack misses 2-pt jump shot from 18 ft,17,18
1,4:23.0,Defensive rebound by B. Brown,,17,18
1,4:15.0,A. Drummond misses 2-pt layup from 2 ft (block by K. Anderson),,17,18
1,4:11.0,Offensive rebound by B. Brown,,17,18
1,4:07.0,B. Griffin makes 3-pt jump shot from 26 ft,,20,18
1,3:44.0,,Turnover by K. Anderson (bad pass; steal by B. Griffin),20,18
1,3:38.0,Turnover by R. Jackson (traveling),,20,18
1,3:38.0,,Memphis full timeout,20,18
1,3:38.0,J. Calderón enters the game for R. Bullock,,20,18
1,3:38.0,L. Kennard enters the game for R. Jackson,,20,18
1,3:38.0,,D. Brooks enters the game for G. Temple,20,18
1,3:19.0,,J. Green misses 3-pt jump shot from 25 ft,20,18
1,3:16.0,Defensive rebound by B. Griffin,,20,18
1,2:55.0,J. Calderón makes 3-pt jump shot from 23 ft (assist by A. Drummond),,23,18
1,2:28.0,,D. Brooks misses 3-pt jump shot from 23 ft,23,18
1,2:26.0,Defensive rebound by A. Drummond,,23,18
1,2:15.0,A. Drummond misses 2-pt layup from 2 ft,,23,18
1,2:14.0,,Defensive rebound by M. Gasol,23,18
1,2:10.0,,Offensive foul by D. Brooks (drawn by B. Griffin),23,18
1,2:10.0,,Turnover by D. Brooks (offensive foul),23,18
1,2:10.0,L. Galloway enters the game for B. Brown,,23,18
1,2:10.0,J. Leuer enters the game for B. Griffin,,23,18
