QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
1,11:40.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,0,0
1,11:40.0,Offensive rebound by Team,,0,0
1,11:26.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,2,0
1,11:12.0,,D. Green misses 3-pt jump shot from 24 ft,2,0
1,11:09.0,Defensive rebound by G. Antetokounmpo,,2,0
1,11:04.0,Turnover by K. Middleton (bad pass),,2,0
1,10:48.0,,P. Siakam makes 2-pt hook shot from 6 ft,2,2
1,10:36.0,N. Mirotić misses 3-pt jump shot from 27 ft,,2,2
1,10:36.0,,Defensive rebound by D. Green,2,2
1,10:25.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Leonard),2,5
1,10:13.0,Turnover by E. Bledsoe (lost ball; steal by D. Green),,2,5
1,10:05.0,,Shooting foul by B. Lopez (drawn by P. Siakam),2,5
1,10:05.0,,P. Siakam misses free throw 1 of 2,2,5
1,10:05.0,,Offensive rebound by Team,2,5
1,10:05.0,,P. Siakam makes free throw 2 of 2,2,6
1,9:56.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,6
1,9:40.0,,K. Lowry misses 3-pt jump shot from 25 ft,5,6
1,9:38.0,Defensive rebound by E. Bledsoe,,5,6
1,9:23.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Lowry),,5,6
1,9:19.0,,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),5,8
1,9:13.0,Personal foul by P. Siakam (drawn by G. Antetokounmpo),,5,8
1,9:00.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,5,8
1,8:57.0,Offensive rebound by E. Bledsoe,,5,8
1,8:56.0,E. Bledsoe misses 2-pt layup from 7 ft,,5,8
1,8:54.0,,Defensive rebound by K. Lowry,5,8
1,8:49.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by P. Siakam),5,11
1,8:39.0,Personal foul by K. Lowry (drawn by K. Middleton),,5,11
1,8:33.0,K. Middleton misses 2-pt jump shot from 16 ft,,5,11
1,8:32.0,,Defensive rebound by M. Gasol,5,11
1,8:27.0,,P. Siakam misses 2-pt layup from 4 ft,5,11
1,8:25.0,Defensive rebound by E. Bledsoe,,5,11
1,8:20.0,K. Middleton misses 3-pt jump shot from 24 ft,,5,11
1,8:18.0,,Defensive rebound by M. Gasol,5,11
1,7:58.0,,P. Siakam makes 2-pt jump shot from 5 ft (assist by M. Gasol),5,13
1,7:58.0,Milwaukee full timeout,,5,13
1,7:58.0,E. İlyasova enters the game for B. Lopez,,5,13
1,7:38.0,Turnover by G. Antetokounmpo (bad pass; steal by P. Siakam),,5,13
1,7:29.0,,Personal foul by E. İlyasova (drawn by M. Gasol),5,13
1,7:15.0,,P. Siakam makes 2-pt layup from 2 ft (assist by M. Gasol),5,15
1,7:15.0,,Shooting foul by E. İlyasova (drawn by P. Siakam),5,15
1,7:15.0,M. Brogdon enters the game for N. Mirotić,,5,15
1,7:15.0,,P. Siakam makes free throw 1 of 1,5,16
1,7:03.0,E. Bledsoe makes 2-pt hook shot from 7 ft,,7,16
1,6:47.0,,M. Gasol misses 3-pt jump shot from 26 ft,7,16
1,6:42.0,Defensive rebound by G. Antetokounmpo,,7,16
1,6:34.0,M. Brogdon misses 3-pt jump shot from 26 ft,,7,16
1,6:32.0,,Defensive rebound by P. Siakam,7,16
1,6:27.0,,P. Siakam misses 2-pt layup from 3 ft (block by G. Antetokounmpo),7,16
1,6:27.0,,Offensive rebound by Team,7,16
1,6:27.0,G. Hill enters the game for E. Bledsoe,,7,16
1,6:25.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by K. Lowry),7,18
1,6:05.0,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,7,18
1,6:03.0,,Defensive rebound by M. Gasol,7,18
1,5:53.0,,D. Green misses 3-pt jump shot from 24 ft,7,18
1,5:51.0,Defensive rebound by G. Antetokounmpo,,7,18
1,5:47.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,10,18
1,5:28.0,,K. Leonard misses 2-pt layup from 2 ft,10,18
1,5:27.0,Defensive rebound by E. İlyasova,,10,18
1,5:22.0,G. Hill makes 3-pt jump shot from 23 ft (assist by K. Middleton),,13,18
1,5:20.0,,Toronto full timeout,13,18
1,5:20.0,B. Lopez enters the game for G. Antetokounmpo,,13,18
1,5:20.0,,N. Powell enters the game for D. Green,13,18
1,5:04.0,,Offensive foul by M. Gasol (drawn by M. Brogdon),13,18
1,5:04.0,,Turnover by M. Gasol (offensive foul),13,18
1,4:48.0,K. Middleton misses 2-pt jump shot from 16 ft,,13,18
1,4:45.0,,Defensive rebound by N. Powell,13,18
1,4:42.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by N. Powell),13,20
1,4:30.0,M. Brogdon misses 2-pt layup from 3 ft,,13,20
1,4:28.0,,Defensive rebound by K. Leonard,13,20
1,4:15.0,,N. Powell makes 3-pt jump shot from 24 ft (assist by M. Gasol),13,23
1,3:51.0,K. Middleton misses 3-pt jump shot from 23 ft (block by M. Gasol),,13,23
1,3:49.0,,Defensive rebound by P. Siakam,13,23
1,3:42.0,,M. Gasol misses 3-pt jump shot from 25 ft,13,23
1,3:36.0,Defensive rebound by G. Hill,,13,23
1,3:18.0,Turnover by M. Brogdon (bad pass; steal by N. Powell),,13,23
1,3:13.0,,N. Powell misses 2-pt layup from 1 ft,13,23
1,3:10.0,Defensive rebound by K. Middleton,,13,23
1,2:59.0,E. İlyasova misses 3-pt jump shot from 24 ft,,13,23
1,2:56.0,,Defensive rebound by P. Siakam,13,23
1,2:45.0,,P. Siakam misses 2-pt hook shot from 8 ft,13,23
1,2:41.0,Defensive rebound by G. Hill,,13,23
1,2:36.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by G. Hill),,16,23
1,2:20.0,,N. Powell makes 2-pt layup from 1 ft (assist by M. Gasol),16,25
1,2:11.0,Personal foul by N. Powell (drawn by M. Brogdon),,16,25
1,2:11.0,G. Antetokounmpo enters the game for E. İlyasova,,16,25
1,2:11.0,P. Connaughton enters the game for B. Lopez,,16,25
1,2:11.0,N. Mirotić enters the game for K. Middleton,,16,25
1,2:11.0,,S. Ibaka enters the game for K. Leonard,16,25
1,2:11.0,,F. VanVleet enters the game for K. Lowry,16,25
1,2:05.0,Personal foul by S. Ibaka (drawn by P. Connaughton),,16,25
1,2:05.0,E. Bledsoe enters the game for M. Brogdon,,16,25
1,2:05.0,,D. Green enters the game for M. Gasol,16,25
1,2:03.0,Turnover by E. Bledsoe (bad pass; steal by S. Ibaka),,16,25
1,1:56.0,,N. Powell makes 2-pt layup from 1 ft (assist by F. VanVleet),16,27
1,1:38.0,N. Mirotić misses 2-pt layup from 3 ft (block by S. Ibaka),,16,27
1,1:34.0,,Defensive rebound by P. Siakam,16,27
1,1:30.0,,D. Green misses 3-pt jump shot from 24 ft,16,27
1,1:25.0,,Offensive rebound by S. Ibaka,16,27
1,1:25.0,,S. Ibaka misses 2-pt dunk at rim,16,27
1,1:24.0,Defensive rebound by G. Antetokounmpo,,16,27
1,1:22.0,Shooting foul by P. Siakam (drawn by G. Hill),,16,27
1,1:22.0,G. Hill misses free throw 1 of 3,,16,27
1,1:22.0,Offensive rebound by Team,,16,27
1,1:22.0,G. Hill makes free throw 2 of 3,,17,27
