QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
1,11:36.0,,B. Ingram makes 2-pt dunk from 2 ft,0,2
1,11:14.0,B. Griffin misses 2-pt layup from 2 ft,,0,2
1,11:14.0,Offensive rebound by A. Drummond,,0,2
1,11:14.0,Shooting foul by K. Kuzma (drawn by A. Drummond),,0,2
1,11:14.0,A. Drummond makes free throw 1 of 2,,1,2
1,11:14.0,A. Drummond misses free throw 2 of 2,,1,2
1,11:12.0,,Defensive rebound by J. McGee,1,2
1,10:56.0,,K. Kuzma makes 2-pt jump shot from 4 ft,1,4
1,10:47.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,4,4
1,10:33.0,,B. Ingram misses 2-pt jump shot from 14 ft,4,4
1,10:31.0,,Offensive rebound by B. Ingram,4,4
1,10:27.0,,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),4,6
1,10:02.0,A. Drummond makes 2-pt layup from 3 ft (assist by R. Jackson),,6,6
1,9:58.0,,Offensive foul by B. Ingram (drawn by R. Bullock),6,6
1,9:58.0,,Turnover by B. Ingram (offensive foul),6,6
1,9:51.0,Personal foul by J. Hart (drawn by R. Bullock),,6,6
1,9:34.0,Turnover by Team (shot clock),,6,6
1,9:31.0,,K. Kuzma misses 3-pt jump shot from 25 ft,6,6
1,9:29.0,,Offensive rebound by Team,6,6
1,9:25.0,,L. Ball misses 3-pt jump shot from 24 ft,6,6
1,9:22.0,Defensive rebound by A. Drummond,,6,6
1,9:16.0,A. Drummond misses 2-pt jump shot from 4 ft,,6,6
1,9:13.0,,Defensive rebound by J. McGee,6,6
1,9:01.0,,L. Ball misses 3-pt jump shot from 26 ft,6,6
1,8:59.0,Defensive rebound by R. Bullock,,6,6
1,8:47.0,R. Jackson misses 3-pt jump shot from 27 ft,,6,6
1,8:43.0,Offensive rebound by A. Drummond,,6,6
1,8:43.0,A. Drummond misses 2-pt layup at rim,,6,6
1,8:42.0,,Defensive rebound by L. Ball,6,6
1,8:25.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. Ball),6,8
1,8:15.0,B. Griffin misses 3-pt jump shot from 25 ft,,6,8
1,8:11.0,,Defensive rebound by L. Ball,6,8
1,8:05.0,,J. Hart misses 3-pt jump shot from 26 ft,6,8
1,8:03.0,Defensive rebound by A. Drummond,,6,8
1,7:41.0,A. Drummond misses 3-pt jump shot from 26 ft,,6,8
1,7:39.0,,Defensive rebound by B. Ingram,6,8
1,7:30.0,,K. Kuzma misses 3-pt jump shot from 26 ft,6,8
1,7:28.0,Defensive rebound by A. Drummond,,6,8
1,7:18.0,Def 3 sec tech foul by Team,,6,8
1,7:18.0,R. Jackson makes technical free throw,,7,8
1,7:10.0,B. Griffin misses 3-pt jump shot from 27 ft,,7,8
1,7:06.0,,Defensive rebound by L. Ball,7,8
1,7:04.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),7,10
1,6:53.0,B. Griffin makes 2-pt hook shot from 3 ft (assist by R. Jackson),,9,10
1,6:35.0,,K. Kuzma misses 3-pt jump shot from 27 ft,9,10
1,6:32.0,Defensive rebound by R. Jackson,,9,10
1,6:28.0,R. Jackson makes 3-pt jump shot from 26 ft,,12,10
1,6:27.0,,LA Lakers full timeout,12,10
1,6:27.0,J. Calderón enters the game for R. Jackson,,12,10
1,6:06.0,,Turnover by L. Ball (lost ball; steal by A. Drummond),12,10
1,5:50.0,B. Brown misses 3-pt jump shot from 25 ft,,12,10
1,5:47.0,,Defensive rebound by J. Hart,12,10
1,5:42.0,,K. Kuzma makes 2-pt dunk from 3 ft (assist by J. McGee),12,12
1,5:21.0,Def 3 sec tech foul by Team,,12,12
1,5:21.0,R. Bullock misses technical free throw,,12,12
1,5:21.0,Offensive rebound by Team,,12,12
1,5:21.0,L. Kennard enters the game for R. Bullock,,12,12
1,5:21.0,,I. Zubac enters the game for J. McGee,12,12
1,5:17.0,Personal foul by I. Zubac (drawn by B. Griffin),,12,12
1,5:07.0,J. Calderón misses 3-pt jump shot from 27 ft,,12,12
1,5:04.0,,Defensive rebound by B. Ingram,12,12
1,5:02.0,,Personal foul by B. Brown (drawn by B. Ingram),12,12
1,5:02.0,S. Johnson enters the game for B. Brown,,12,12
1,4:46.0,,Shooting foul by A. Drummond (drawn by B. Ingram),12,12
1,4:46.0,,B. Ingram makes free throw 1 of 2,12,13
1,4:46.0,,K. Caldwell-Pope enters the game for L. Ball,12,13
1,4:46.0,,B. Ingram makes free throw 2 of 2,12,14
1,4:22.0,B. Griffin misses 3-pt jump shot from 27 ft,,12,14
1,4:19.0,,Defensive rebound by B. Ingram,12,14
1,4:17.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by B. Ingram),12,16
1,4:17.0,Detroit full timeout,,12,16
1,3:57.0,S. Johnson makes 2-pt jump shot from 12 ft,,14,16
1,3:32.0,,K. Kuzma misses 3-pt jump shot from 26 ft,14,16
1,3:30.0,Defensive rebound by L. Kennard,,14,16
1,3:25.0,Shooting foul by I. Zubac (drawn by B. Griffin),,14,16
1,3:25.0,B. Griffin makes free throw 1 of 2,,15,16
1,3:25.0,B. Griffin makes free throw 2 of 2,,16,16
1,3:07.0,,Turnover by J. Hart (bad pass; steal by S. Johnson),16,16
1,3:01.0,B. Griffin misses 3-pt jump shot from 27 ft,,16,16
1,3:00.0,,Defensive rebound by B. Ingram,16,16
1,3:00.0,,Personal foul by A. Drummond (drawn by B. Ingram),16,16
1,2:47.0,,B. Ingram misses 2-pt layup from 2 ft,16,16
1,2:43.0,,Offensive rebound by B. Ingram,16,16
1,2:41.0,,J. Hart misses 2-pt jump shot from 13 ft,16,16
1,2:39.0,Defensive rebound by A. Drummond,,16,16
1,2:35.0,B. Griffin makes 2-pt layup from 2 ft,,18,16
1,2:28.0,,Personal foul by J. Calderón (drawn by B. Ingram),18,16
1,2:28.0,G. Robinson enters the game for B. Griffin,,18,16
1,2:28.0,,L. Stephenson enters the game for J. Hart,18,16
1,2:22.0,,K. Kuzma makes 2-pt jump shot from 6 ft (assist by B. Ingram),18,18
1,2:22.0,Violation by Team (def goaltending),,18,18
1,2:07.0,L. Kennard misses 3-pt jump shot from 28 ft,,18,18
1,2:04.0,,Defensive rebound by L. Stephenson,18,18
1,1:56.0,,I. Zubac misses 2-pt jump shot from 8 ft,18,18
1,1:54.0,Defensive rebound by L. Kennard,,18,18
1,1:47.0,A. Drummond misses 2-pt hook shot from 1 ft,,18,18
1,1:47.0,Offensive rebound by Team,,18,18
1,1:47.0,,M. Beasley enters the game for K. Kuzma,18,18
1,1:37.0,J. Calderón misses 2-pt layup from 3 ft (block by M. Beasley),,18,18
1,1:33.0,Offensive rebound by Team,,18,18
1,1:29.0,S. Johnson makes 3-pt jump shot from 27 ft (assist by G. Robinson),,21,18
1,1:12.0,,I. Zubac makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),21,20
1,0:59.0,G. Robinson misses 2-pt jump shot from 14 ft,,21,20
1,0:56.0,Offensive rebound by A. Drummond,,21,20
1,0:56.0,Shooting foul by M. Beasley (drawn by A. Drummond),,21,20
1,0:56.0,A. Drummond misses free throw 1 of 2,,21,20
1,0:56.0,Offensive rebound by Team,,21,20
1,0:56.0,A. Drummond makes free throw 2 of 2,,22,20
1,0:47.0,,Personal foul by G. Robinson (drawn by B. Ingram),22,20
1,0:47.0,,B. Ingram misses free throw 1 of 2,22,20
1,0:47.0,,Offensive rebound by Team,22,20
1,0:47.0,,J. McGee enters the game for I. Zubac,22,20
1,0:47.0,,B. Ingram misses free throw 2 of 2,22,20
1,0:44.0,Defensive rebound by A. Drummond,,22,20
1,0:26.0,J. Calderón makes 2-pt jump shot from 18 ft,,24,20
1,0:03.0,,B. Ingram misses 2-pt jump shot from 8 ft,24,20
1,0:01.0,Defensive rebound by A. Drummond,,24,20
1,0:01.0,A. Drummond misses 3-pt jump shot from 51 ft,,24,20
1,0:00.0,Offensive rebound by Team,,24,20
2,11:45.0,R. Bullock misses 3-pt jump shot from 25 ft,,24,20
2,11:43.0,,Defensive rebound by M. Beasley,24,20
2,11:30.0,,M. Beasley makes 2-pt layup from 1 ft (assist by L. Stephenson),24,22
2,11:10.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by R. Jackson),,27,22
2,10:48.0,,L. Ball misses 3-pt jump shot from 25 ft,27,22
2,10:46.0,Defensive rebound by R. Bullock,,27,22
2,10:35.0,Personal foul by J. McGee (drawn by J. Leuer),,27,22
2,10:22.0,J. Leuer misses 3-pt jump shot from 24 ft,,27,22
2,10:18.0,,Defensive rebound by K. Caldwell-Pope,27,22
2,10:10.0,,Shooting foul by J. Leuer (drawn by K. Caldwell-Pope),27,22
2,10:10.0,,K. Caldwell-Pope makes free throw 1 of 2,27,23
2,10:10.0,,K. Caldwell-Pope makes free throw 2 of 2,27,24
2,9:56.0,L. Kennard misses 3-pt jump shot from 26 ft,,27,24
2,9:51.0,,Defensive rebound by K. Caldwell-Pope,27,24
2,9:35.0,,M. Beasley makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),27,26
2,9:25.0,Offensive foul by R. Jackson (drawn by K. Caldwell-Pope),,27,26
2,9:25.0,Turnover by R. Jackson (offensive foul),,27,26
2,9:25.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Beasley),27,29
2,8:59.0,R. Bullock makes 2-pt layup from 1 ft (assist by B. Griffin),,29,29
2,8:37.0,,M. Beasley misses 2-pt jump shot from 21 ft,29,29
2,8:35.0,Defensive rebound by L. Kennard,,29,29
2,8:31.0,L. Kennard misses 2-pt jump shot from 15 ft (block by L. Ball),,29,29
2,8:28.0,,Defensive rebound by L. Ball,29,29
2,8:26.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by L. Ball),29,31
2,8:12.0,R. Jackson misses 3-pt jump shot from 26 ft,,29,31
2,8:08.0,,Defensive rebound by L. Stephenson,29,31
2,8:08.0,,Personal take foul by R. Jackson (drawn by L. Ball),29,31
2,8:08.0,B. Brown enters the game for L. Kennard,,29,31
2,8:08.0,,K. Kuzma enters the game for M. Beasley,29,31
2,7:55.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),29,34
2,7:33.0,R. Bullock misses 3-pt jump shot from 26 ft,,29,34
2,7:29.0,Offensive rebound by J. Leuer,,29,34
2,7:19.0,B. Brown misses 3-pt jump shot from 26 ft,,29,34
2,7:16.0,,Defensive rebound by L. Ball,29,34
2,7:10.0,,Flagrant foul type 1 by J. Leuer (drawn by J. McGee),29,34
2,7:10.0,,J. McGee makes flagrant free throw 1 of 2,29,35
2,7:10.0,,J. McGee makes flagrant free throw 2 of 2,29,36
2,6:59.0,,K. Caldwell-Pope makes 2-pt jump shot from 1 ft,29,38
2,6:38.0,R. Bullock makes 2-pt layup from 2 ft (assist by B. Griffin),,31,38
2,6:18.0,,L. Ball misses 2-pt jump shot from 7 ft,31,38
2,6:17.0,Defensive rebound by J. Leuer,,31,38
2,6:09.0,Personal foul by L. Ball (drawn by B. Griffin),,31,38
2,6:09.0,,LA Lakers full timeout,31,38
2,6:09.0,A. Drummond enters the game for J. Leuer,,31,38
2,6:09.0,,J. Hart enters the game for L. Stephenson,31,38
2,5:58.0,B. Brown misses 2-pt jump shot from 11 ft,,31,38
2,5:58.0,,Defensive rebound by Team,31,38
2,5:45.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. Ball),31,40
2,5:33.0,R. Jackson misses 2-pt jump shot from 14 ft,,31,40
2,5:30.0,,Defensive rebound by J. Hart,31,40
2,5:30.0,,Turnover by J. Hart (bad pass),31,40
2,5:30.0,,B. Ingram enters the game for K. Caldwell-Pope,31,40
2,5:30.0,,I. Zubac enters the game for J. McGee,31,40
2,5:12.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Brown),,34,40
2,4:57.0,,K. Kuzma misses 2-pt jump shot from 20 ft,34,40
2,4:53.0,Defensive rebound by R. Jackson,,34,40
2,4:44.0,A. Drummond misses 2-pt layup from 2 ft,,34,40
2,4:42.0,,Defensive rebound by J. Hart,34,40
2,4:36.0,,B. Ingram misses 2-pt layup from 2 ft (block by A. Drummond),34,40
2,4:36.0,Defensive rebound by A. Drummond,,34,40
2,4:29.0,B. Griffin makes 2-pt dunk from 1 ft (assist by R. Jackson),,36,40
2,4:27.0,,LA Lakers full timeout,36,40
2,4:27.0,,J. McGee enters the game for I. Zubac,36,40
2,4:18.0,,Personal foul by B. Brown (drawn by L. Ball),36,40
2,4:10.0,,B. Ingram makes 2-pt layup from 1 ft,36,42
2,3:44.0,Turnover by A. Drummond (off goaltending),,36,42
2,3:25.0,,L. Ball makes 3-pt jump shot from 26 ft,36,45
2,3:12.0,Turnover by B. Griffin (out of bounds lost ball),,36,45
2,3:06.0,,J. McGee misses 2-pt layup from 4 ft,36,45
2,3:04.0,,Offensive rebound by J. McGee,36,45
2,2:52.0,,L. Ball makes 2-pt layup from 1 ft,36,47
2,2:48.0,Detroit full timeout,,36,47
2,2:48.0,S. Johnson enters the game for B. Brown,,36,47
2,2:41.0,R. Jackson misses 3-pt jump shot from 26 ft,,36,47
2,2:38.0,,Defensive rebound by J. Hart,36,47
2,2:30.0,,K. Kuzma makes 2-pt jump shot from 16 ft (assist by L. Ball),36,49
2,2:14.0,B. Griffin makes 2-pt dunk from 2 ft,,38,49
2,2:01.0,,B. Ingram makes 2-pt layup from 3 ft,38,51
