QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
1,11:41.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by A. Caruso),0,3
1,11:19.0,E. Freedom misses 2-pt layup from 1 ft,,0,3
1,11:18.0,Offensive rebound by Team,,0,3
1,11:14.0,M. Harkless misses 2-pt jump shot from 3 ft (block by J. Jones),,0,3
1,11:13.0,,Defensive rebound by Team,0,3
1,10:56.0,,J. McGee misses 2-pt hook shot from 8 ft,0,3
1,10:53.0,Defensive rebound by M. Harkless,,0,3
1,10:48.0,Turnover by D. Lillard (bad pass),,0,3
1,10:34.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by A. Caruso),0,5
1,10:19.0,C. McCollum misses 2-pt jump shot from 4 ft,,0,5
1,10:14.0,Offensive rebound by M. Harkless,,0,5
1,10:14.0,M. Harkless makes 2-pt layup from 1 ft,,2,5
1,10:01.0,,K. Caldwell-Pope misses 2-pt layup from 4 ft (block by M. Harkless),2,5
1,9:57.0,Defensive rebound by A. Aminu,,2,5
1,9:55.0,A. Aminu misses 2-pt layup from 4 ft,,2,5
1,9:54.0,Offensive rebound by E. Freedom,,2,5
1,9:54.0,E. Freedom makes 2-pt layup from 1 ft,,4,5
1,9:42.0,,Shooting foul by M. Harkless (drawn by J. McGee),4,5
1,9:42.0,,J. McGee misses free throw 1 of 2,4,5
1,9:42.0,,Offensive rebound by Team,4,5
1,9:42.0,,J. McGee misses free throw 2 of 2,4,5
1,9:40.0,Defensive rebound by A. Aminu,,4,5
1,9:33.0,D. Lillard makes 3-pt jump shot from 26 ft,,7,5
1,9:21.0,,K. Caldwell-Pope makes 2-pt jump shot from 9 ft,7,7
1,9:06.0,D. Lillard misses 3-pt jump shot from 27 ft,,7,7
1,9:03.0,,Defensive rebound by J. Jones,7,7
1,8:53.0,,Turnover by M. Muscala (bad pass; steal by D. Lillard),7,7
1,8:48.0,C. McCollum makes 2-pt jump shot from 3 ft,,9,7
1,8:48.0,Shooting foul by J. Jones (drawn by C. McCollum),,9,7
1,8:48.0,C. McCollum misses free throw 1 of 1,,9,7
1,8:44.0,,Defensive rebound by J. McGee,9,7
1,8:35.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,9,7
1,8:31.0,Defensive rebound by M. Harkless,,9,7
1,8:17.0,A. Aminu misses 3-pt jump shot from 25 ft,,9,7
1,8:14.0,,Defensive rebound by A. Caruso,9,7
1,8:09.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by A. Caruso),9,9
1,7:50.0,M. Harkless misses 2-pt jump shot from 11 ft,,9,9
1,7:47.0,,Defensive rebound by J. McGee,9,9
1,7:38.0,,J. McGee makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),9,11
1,7:22.0,A. Aminu misses 3-pt jump shot from 25 ft,,9,11
1,7:19.0,,Defensive rebound by M. Muscala,9,11
1,7:08.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,9,11
1,7:06.0,Defensive rebound by A. Aminu,,9,11
1,6:54.0,E. Freedom makes 2-pt layup from 3 ft,,11,11
1,6:39.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by A. Caruso),11,14
1,6:22.0,A. Aminu misses 3-pt jump shot from 27 ft,,11,14
1,6:19.0,,Defensive rebound by J. McGee,11,14
1,6:18.0,,Turnover by J. McGee (bad pass; steal by A. Aminu),11,14
1,6:09.0,M. Harkless makes 2-pt jump shot from 9 ft,,13,14
1,6:08.0,,LA Lakers full timeout,13,14
1,5:53.0,,Turnover by A. Caruso (bad pass; steal by D. Lillard),13,14
1,5:50.0,E. Freedom makes 2-pt dunk from 2 ft (assist by D. Lillard),,15,14
1,5:34.0,,J. Jones misses 3-pt jump shot from 27 ft,15,14
1,5:33.0,Defensive rebound by C. McCollum,,15,14
1,5:33.0,Personal foul by J. McGee (drawn by E. Freedom),,15,14
1,5:33.0,,J. Williams enters the game for J. McGee,15,14
1,5:07.0,E. Freedom makes 3-pt jump shot from 27 ft (assist by D. Lillard),,18,14
1,4:54.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by M. Muscala),18,17
1,4:36.0,E. Freedom makes 2-pt layup from 3 ft (assist by D. Lillard),,20,17
1,4:21.0,,A. Caruso makes 2-pt hook shot from 1 ft (assist by K. Caldwell-Pope),20,19
1,4:07.0,Shooting foul by J. Williams (drawn by E. Freedom),,20,19
1,4:07.0,E. Freedom makes free throw 1 of 2,,21,19
1,4:07.0,S. Curry enters the game for A. Aminu,,21,19
1,4:07.0,R. Hood enters the game for M. Harkless,,21,19
1,4:07.0,E. Turner enters the game for C. McCollum,,21,19
1,4:07.0,,I. Bonga enters the game for J. Jones,21,19
1,4:07.0,E. Freedom makes free throw 2 of 2,,22,19
1,3:49.0,,J. Williams makes 2-pt dunk from 2 ft (assist by A. Caruso),22,21
1,3:32.0,E. Freedom misses 2-pt layup from 2 ft (block by M. Muscala),,22,21
1,3:29.0,,Defensive rebound by J. Williams,22,21
1,3:28.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,22,21
1,3:27.0,Defensive rebound by S. Curry,,22,21
1,3:17.0,S. Curry misses 3-pt jump shot from 26 ft,,22,21
1,3:12.0,,Defensive rebound by A. Caruso,22,21
1,3:07.0,,A. Caruso misses 2-pt jump shot from 14 ft,22,21
1,3:02.0,Defensive rebound by E. Freedom,,22,21
1,2:56.0,E. Turner misses 2-pt jump shot from 16 ft,,22,21
1,2:52.0,Offensive rebound by E. Freedom,,22,21
1,2:50.0,E. Freedom makes 2-pt layup from 1 ft,,24,21
1,2:36.0,,Turnover by J. Williams (traveling),24,21
1,2:36.0,Portland full timeout,,24,21
1,2:36.0,Z. Collins enters the game for E. Freedom,,24,21
1,2:36.0,,J. Jones enters the game for A. Caruso,24,21
1,2:36.0,,M. Wagner enters the game for M. Muscala,24,21
1,2:16.0,R. Hood misses 2-pt jump shot from 20 ft,,24,21
1,2:14.0,,Defensive rebound by M. Wagner,24,21
1,1:56.0,,M. Wagner misses 3-pt jump shot from 27 ft,24,21
