QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
1,11:40.0,,T. Jones misses 2-pt jump shot from 17 ft,0,0
1,11:37.0,Defensive rebound by K. Olynyk,,0,0
1,11:31.0,Turnover by J. Winslow (lost ball; steal by T. Jones),,0,0
1,11:27.0,,T. Jones makes 2-pt layup from 2 ft,0,2
1,11:07.0,J. Winslow misses 3-pt jump shot from 23 ft,,0,2
1,11:05.0,,Defensive rebound by T. Jones,0,2
1,10:55.0,,A. Wiggins misses 3-pt jump shot from 26 ft,0,2
1,10:53.0,Defensive rebound by K. Olynyk,,0,2
1,10:47.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Winslow),,3,2
1,10:27.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by D. Šarić),3,5
1,10:08.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Winslow),,6,5
1,9:56.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),6,7
1,9:56.0,,Shooting foul by D. Waiters (drawn by A. Wiggins),6,7
1,9:56.0,,A. Wiggins makes free throw 1 of 1,6,8
1,9:49.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Dragić),,8,8
1,9:44.0,,Shooting foul by D. Waiters (drawn by J. Okogie),8,8
1,9:44.0,,J. Okogie makes free throw 1 of 2,8,9
1,9:44.0,,J. Okogie makes free throw 2 of 2,8,10
1,9:36.0,G. Dragić makes 2-pt layup from 1 ft,,10,10
1,9:18.0,,Turnover by K. Towns (bad pass; steal by J. Winslow),10,10
1,9:14.0,J. Winslow misses 2-pt jump shot from 10 ft,,10,10
1,9:14.0,,Defensive rebound by D. Šarić,10,10
1,9:07.0,,J. Okogie misses 2-pt layup from 1 ft,10,10
1,9:07.0,,Offensive rebound by K. Towns,10,10
1,9:02.0,,T. Jones misses 3-pt jump shot from 26 ft,10,10
1,9:02.0,,Offensive rebound by D. Šarić,10,10
1,8:57.0,,K. Towns makes 2-pt dunk at rim (assist by D. Šarić),10,12
1,8:44.0,G. Dragić makes 2-pt jump shot from 13 ft,,12,12
1,8:32.0,,Turnover by K. Towns (lost ball; steal by B. Adebayo),12,12
1,8:28.0,Turnover by K. Olynyk (bad pass),,12,12
1,8:13.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. Jones),12,15
1,7:57.0,D. Waiters misses 3-pt jump shot from 26 ft,,12,15
1,7:54.0,Offensive rebound by G. Dragić,,12,15
1,7:42.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Dragić),,14,15
1,7:25.0,,K. Towns misses 2-pt jump shot from 14 ft,14,15
1,7:22.0,Defensive rebound by J. Winslow,,14,15
1,7:18.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Winslow),,16,15
1,7:11.0,,Offensive foul by K. Towns (drawn by J. Winslow),16,15
1,7:11.0,,Turnover by K. Towns (offensive foul),16,15
1,6:54.0,J. Winslow misses 3-pt jump shot from 25 ft,,16,15
1,6:52.0,,Defensive rebound by K. Towns,16,15
1,6:43.0,,Shooting foul by K. Olynyk (drawn by D. Šarić),16,15
1,6:43.0,,Minnesota full timeout,16,15
1,6:43.0,,D. Šarić makes free throw 1 of 2,16,16
1,6:43.0,,D. Šarić makes free throw 2 of 2,16,17
1,6:30.0,B. Adebayo misses 2-pt layup from 2 ft,,16,17
1,6:28.0,,Defensive rebound by K. Towns,16,17
1,6:25.0,,Offensive foul by K. Towns (drawn by K. Olynyk),16,17
1,6:25.0,,Turnover by K. Towns (offensive foul),16,17
1,6:25.0,,G. Dieng enters the game for K. Towns,16,17
1,6:15.0,J. Winslow makes 2-pt layup from 3 ft (assist by G. Dragić),,18,17
1,5:55.0,,D. Šarić misses 2-pt layup from 2 ft (block by K. Olynyk),18,17
1,5:51.0,Defensive rebound by B. Adebayo,,18,17
1,5:48.0,Turnover by J. Winslow (bad pass; steal by J. Okogie),,18,17
1,5:44.0,,D. Šarić makes 2-pt layup from 2 ft (assist by J. Okogie),18,19
1,5:44.0,,Shooting foul by J. Winslow (drawn by D. Šarić),18,19
1,5:44.0,D. Wade enters the game for D. Waiters,,18,19
1,5:44.0,,D. Šarić makes free throw 1 of 1,18,20
1,5:31.0,Turnover by G. Dragić (bad pass; steal by J. Okogie),,18,20
1,5:26.0,,G. Dieng makes 2-pt dunk from 2 ft (assist by D. Šarić),18,22
1,5:24.0,Miami full timeout,,18,22
1,5:08.0,J. Winslow misses 2-pt hook shot from 7 ft (block by G. Dieng),,18,22
1,5:06.0,Offensive rebound by G. Dragić,,18,22
1,5:06.0,Shooting foul by A. Wiggins (drawn by D. Wade),,18,22
1,5:06.0,D. Wade makes free throw 1 of 2,,19,22
1,5:06.0,D. Wade makes free throw 2 of 2,,20,22
1,4:42.0,,G. Dieng makes 2-pt jump shot from 18 ft,20,24
1,4:24.0,Turnover by G. Dragić (lost ball; steal by J. Okogie),,20,24
1,4:13.0,,D. Šarić misses 3-pt jump shot from 23 ft,20,24
1,4:10.0,Defensive rebound by K. Olynyk,,20,24
1,3:58.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,23,24
