QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
1,11:38.0,,D. White makes 2-pt layup from 5 ft (assist by L. Aldridge),0,2
1,11:13.0,G. Harris misses 3-pt jump shot from 27 ft,,0,2
1,11:10.0,,Defensive rebound by L. Aldridge,0,2
1,11:04.0,,D. DeRozan makes 2-pt jump shot from 9 ft,0,4
1,10:41.0,P. Millsap makes 2-pt jump shot from 14 ft (assist by G. Harris),,2,4
1,10:23.0,,L. Aldridge misses 2-pt jump shot from 18 ft,2,4
1,10:19.0,,Offensive rebound by J. Poeltl,2,4
1,10:17.0,,D. White misses 3-pt jump shot from 26 ft,2,4
1,10:14.0,Defensive rebound by N. Jokić,,2,4
1,10:05.0,N. Jokić misses 2-pt jump shot from 15 ft,,2,4
1,10:02.0,,Defensive rebound by L. Aldridge,2,4
1,9:53.0,,D. DeRozan misses 2-pt layup from 8 ft,2,4
1,9:51.0,,Offensive rebound by J. Poeltl,2,4
1,9:50.0,,D. White makes 2-pt layup from 4 ft (assist by J. Poeltl),2,6
1,9:29.0,Shooting foul by J. Poeltl (drawn by N. Jokić),,2,6
1,9:29.0,N. Jokić misses free throw 1 of 2,,2,6
1,9:29.0,Offensive rebound by Team,,2,6
1,9:29.0,N. Jokić makes free throw 2 of 2,,3,6
1,9:14.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),3,8
1,9:02.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,6,8
1,8:43.0,,D. DeRozan misses 2-pt layup from 4 ft,6,8
1,8:40.0,,Offensive rebound by L. Aldridge,6,8
1,8:40.0,,L. Aldridge misses 2-pt layup from 1 ft,6,8
1,8:39.0,Defensive rebound by N. Jokić,,6,8
1,8:31.0,P. Millsap makes 2-pt jump shot from 6 ft,,8,8
1,8:16.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by L. Aldridge),8,11
1,7:52.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by N. Jokić),,11,11
1,7:30.0,,D. White makes 2-pt layup from 3 ft (assist by L. Aldridge),11,13
1,7:07.0,G. Harris misses 2-pt jump shot from 7 ft,,11,13
1,7:04.0,,Defensive rebound by J. Poeltl,11,13
1,6:59.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),11,16
1,6:58.0,Denver full timeout,,11,16
1,6:38.0,G. Harris makes 2-pt jump shot from 11 ft (assist by N. Jokić),,13,16
1,6:22.0,,Turnover by L. Aldridge (lost ball; steal by J. Murray),13,16
1,6:19.0,Shooting foul by D. DeRozan (drawn by J. Murray),,13,16
1,6:19.0,J. Murray misses free throw 1 of 2,,13,16
1,6:19.0,Offensive rebound by Team,,13,16
1,6:19.0,J. Murray misses free throw 2 of 2,,13,16
1,6:13.0,,Defensive rebound by L. Aldridge,13,16
1,6:01.0,,Personal foul by P. Millsap (drawn by L. Aldridge),13,16
1,5:53.0,,D. DeRozan misses 2-pt jump shot from 9 ft,13,16
1,5:50.0,Defensive rebound by P. Millsap,,13,16
1,5:50.0,Personal foul by J. Poeltl (drawn by P. Millsap),,13,16
1,5:50.0,,R. Gay enters the game for J. Poeltl,13,16
1,5:33.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,16,16
1,5:20.0,,D. White makes 2-pt layup from 3 ft,16,18
1,4:59.0,Turnover by J. Murray (bad pass; steal by D. DeRozan),,16,18
1,4:49.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by D. White),16,21
1,4:27.0,J. Murray misses 3-pt jump shot from 26 ft,,16,21
1,4:24.0,,Defensive rebound by R. Gay,16,21
1,4:17.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by R. Gay),16,23
1,3:52.0,N. Jokić misses 3-pt jump shot from 27 ft,,16,23
1,3:48.0,,Defensive rebound by B. Forbes,16,23
1,3:42.0,,B. Forbes misses 2-pt jump shot from 20 ft,16,23
1,3:39.0,Defensive rebound by N. Jokić,,16,23
1,3:34.0,W. Barton makes 2-pt layup from 3 ft,,18,23
1,3:12.0,,D. White makes 2-pt layup from 2 ft (assist by B. Forbes),18,25
1,2:59.0,G. Harris misses 3-pt jump shot from 25 ft,,18,25
1,2:59.0,,Defensive rebound by D. White,18,25
1,2:54.0,,San Antonio full timeout,18,25
1,2:54.0,M. Beasley enters the game for W. Barton,,18,25
1,2:54.0,M. Morris enters the game for P. Millsap,,18,25
1,2:54.0,M. Plumlee enters the game for J. Murray,,18,25
1,2:54.0,,M. Belinelli enters the game for D. DeRozan,18,25
1,2:54.0,,D. Bertāns enters the game for B. Forbes,18,25
1,2:54.0,,P. Mills enters the game for D. White,18,25
1,2:46.0,,L. Aldridge misses 2-pt jump shot from 16 ft,18,25
1,2:42.0,,Offensive rebound by R. Gay,18,25
1,2:42.0,,Shooting foul by M. Plumlee (drawn by R. Gay),18,25
1,2:42.0,,R. Gay makes free throw 1 of 2,18,26
1,2:42.0,,R. Gay makes free throw 2 of 2,18,27
1,2:24.0,M. Morris makes 2-pt jump shot from 14 ft (assist by N. Jokić),,20,27
1,2:09.0,,Personal foul by N. Jokić (drawn by L. Aldridge),20,27
1,2:09.0,T. Craig enters the game for G. Harris,,20,27
1,2:09.0,J. Murray enters the game for N. Jokić,,20,27
1,1:55.0,,L. Aldridge misses 3-pt jump shot from 26 ft,20,27
