QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
1,11:38.0,Turnover by T. Ferguson (bad pass; steal by K. Thompson),,0,0
1,11:16.0,,K. Thompson misses 3-pt jump shot from 27 ft,0,0
1,11:14.0,,Offensive rebound by A. Iguodala,0,0
1,11:13.0,,Q. Cook misses 3-pt jump shot from 25 ft,0,0
1,11:11.0,Defensive rebound by J. Grant,,0,0
1,10:59.0,P. George misses 2-pt jump shot from 17 ft,,0,0
1,10:58.0,,Defensive rebound by K. Durant,0,0
1,10:51.0,,D. Jones makes 2-pt dunk from 2 ft (assist by Q. Cook),0,2
1,10:35.0,J. Grant makes 2-pt jump shot from 16 ft (assist by P. George),,2,2
1,10:12.0,,K. Durant misses 3-pt jump shot from 27 ft,2,2
1,10:10.0,Defensive rebound by R. Westbrook,,2,2
1,10:05.0,R. Westbrook misses 2-pt layup from 3 ft,,2,2
1,10:04.0,,Defensive rebound by K. Durant,2,2
1,10:01.0,,Turnover by K. Durant (bad pass),2,2
1,9:44.0,S. Adams misses 2-pt hook shot from 9 ft,,2,2
1,9:43.0,,Defensive rebound by K. Durant,2,2
1,9:38.0,,Personal foul by P. George (drawn by K. Durant),2,2
1,9:29.0,,K. Durant misses 2-pt jump shot from 18 ft,2,2
1,9:28.0,Defensive rebound by J. Grant,,2,2
1,9:23.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,4,2
1,9:07.0,,K. Thompson misses 2-pt jump shot from 19 ft,4,2
1,9:06.0,Defensive rebound by P. George,,4,2
1,9:00.0,P. George misses 3-pt jump shot from 25 ft,,4,2
1,9:00.0,,Defensive rebound by Team,4,2
1,8:41.0,,K. Thompson misses 2-pt jump shot from 19 ft,4,2
1,8:40.0,Defensive rebound by J. Grant,,4,2
1,8:37.0,Personal foul by D. Jones (drawn by S. Adams),,4,2
1,8:32.0,Personal foul by K. Thompson (drawn by R. Westbrook),,4,2
1,8:23.0,R. Westbrook misses 2-pt jump shot from 13 ft,,4,2
1,8:22.0,,Defensive rebound by K. Durant,4,2
1,8:05.0,,Turnover by K. Thompson (bad pass; steal by R. Westbrook),4,2
1,8:00.0,R. Westbrook makes 2-pt layup from 2 ft,,6,2
1,7:45.0,,K. Durant makes 2-pt layup from 2 ft,6,4
1,7:33.0,P. George misses 2-pt jump shot from 7 ft,,6,4
1,7:32.0,Offensive rebound by P. George,,6,4
1,7:32.0,P. George makes 2-pt layup at rim,,8,4
1,7:16.0,,K. Thompson makes 2-pt layup from 1 ft,8,6
1,7:00.0,S. Adams makes 2-pt layup from 2 ft,,10,6
1,6:45.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Jones),10,8
1,6:34.0,S. Adams misses 2-pt hook shot from 6 ft,,10,8
1,6:33.0,,Defensive rebound by Q. Cook,10,8
1,6:24.0,,K. Durant misses 3-pt jump shot from 26 ft,10,8
1,6:22.0,Defensive rebound by S. Adams,,10,8
1,6:19.0,P. George misses 2-pt jump shot from 14 ft,,10,8
1,6:18.0,,Defensive rebound by K. Durant,10,8
