QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
1,11:54.0,,J. McGee misses 2-pt layup from 1 ft,0,0
1,11:50.0,Defensive rebound by D. Jordan,,0,0
1,11:37.0,L. Dončić misses 3-pt jump shot from 26 ft,,0,0
1,11:34.0,,Defensive rebound by L. Ball,0,0
1,11:22.0,,Turnover by L. James (bad pass),0,0
1,11:06.0,L. Dončić misses 3-pt jump shot from 26 ft,,0,0
1,11:03.0,,Defensive rebound by K. Kuzma,0,0
1,10:50.0,,L. James makes 2-pt jump shot from 10 ft,0,2
1,10:38.0,H. Barnes misses 2-pt jump shot from 16 ft,,0,2
1,10:35.0,,Defensive rebound by J. McGee,0,2
1,10:22.0,,B. Ingram makes 2-pt jump shot from 12 ft (assist by L. James),0,4
1,10:00.0,D. Smith misses 2-pt jump shot from 5 ft,,0,4
1,9:58.0,,Defensive rebound by K. Kuzma,0,4
1,9:52.0,,K. Kuzma makes 2-pt layup from 1 ft,0,6
1,9:35.0,D. Smith misses 2-pt jump shot from 5 ft (block by J. McGee),,0,6
1,9:32.0,,Defensive rebound by L. Ball,0,6
1,9:30.0,,K. Kuzma makes 2-pt dunk at rim (assist by L. James),0,8
1,9:30.0,Dallas full timeout,,0,8
1,9:17.0,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),,3,8
1,8:59.0,,J. McGee makes 2-pt layup from 4 ft (assist by L. Ball),3,10
1,8:53.0,W. Matthews makes 2-pt jump shot from 12 ft,,5,10
1,8:37.0,,K. Kuzma makes 2-pt jump shot from 19 ft (assist by L. Ball),5,12
1,8:27.0,Def 3 sec tech foul by Team,,5,12
1,8:27.0,W. Matthews makes technical free throw,,6,12
1,8:13.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by L. Dončić),,9,12
1,8:03.0,,B. Ingram misses 2-pt layup from 4 ft,9,12
1,7:58.0,,Offensive rebound by J. McGee,9,12
1,7:58.0,,J. McGee makes 2-pt layup from 1 ft,9,14
1,7:41.0,L. Dončić misses 3-pt jump shot from 25 ft,,9,14
1,7:40.0,Offensive rebound by Team,,9,14
1,7:40.0,,Loose ball foul by J. McGee (drawn by D. Jordan),9,14
1,7:40.0,D. Finney-Smith enters the game for W. Matthews,,9,14
1,7:32.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,12,14
1,7:13.0,,B. Ingram makes 3-pt jump shot from 24 ft (assist by L. James),12,17
1,6:59.0,H. Barnes misses 2-pt layup from 4 ft (block by J. McGee),,12,17
1,6:55.0,Offensive rebound by L. Dončić,,12,17
1,6:46.0,H. Barnes misses 2-pt jump shot from 20 ft,,12,17
1,6:44.0,,Defensive rebound by K. Kuzma,12,17
1,6:43.0,,Personal foul by D. Smith (drawn by B. Ingram),12,17
1,6:41.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),12,20
1,6:26.0,Offensive foul by D. Jordan (drawn by B. Ingram),,12,20
1,6:26.0,Turnover by D. Jordan (offensive foul),,12,20
1,6:16.0,,Shooting foul by L. Dončić (drawn by K. Kuzma),12,20
1,6:16.0,,K. Kuzma makes free throw 1 of 2,12,21
1,6:16.0,,K. Kuzma makes free throw 2 of 2,12,22
1,6:01.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,12,22
1,5:58.0,,Defensive rebound by B. Ingram,12,22
1,5:52.0,,J. McGee misses 2-pt layup from 2 ft (block by H. Barnes),12,22
1,5:49.0,,Offensive rebound by J. McGee,12,22
1,5:47.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by J. McGee),12,25
1,5:47.0,Dallas full timeout,,12,25
1,5:32.0,Personal foul by L. Ball (drawn by H. Barnes),,12,25
1,5:26.0,D. Smith misses 2-pt layup from 2 ft (block by J. McGee),,12,25
1,5:26.0,,Defensive rebound by K. Kuzma,12,25
1,5:06.0,,L. James makes 2-pt jump shot from 14 ft,12,27
1,4:47.0,L. Dončić misses 2-pt jump shot from 14 ft,,12,27
1,4:43.0,,Defensive rebound by J. McGee,12,27
1,4:32.0,,L. Ball makes 2-pt layup from 2 ft (assist by L. James),12,29
1,4:21.0,Def 3 sec tech foul by Team,,12,29
1,4:21.0,H. Barnes misses technical free throw,,12,29
1,4:21.0,Offensive rebound by Team,,12,29
1,4:21.0,J. Barea enters the game for H. Barnes,,12,29
1,4:21.0,M. Kleber enters the game for L. Dončić,,12,29
1,4:21.0,W. Matthews enters the game for D. Jordan,,12,29
1,4:21.0,D. Powell enters the game for D. Smith,,12,29
1,4:21.0,,J. Williams enters the game for J. McGee,12,29
1,4:12.0,D. Powell misses 2-pt layup from 2 ft (block by K. Kuzma),,12,29
1,4:09.0,Offensive rebound by D. Powell,,12,29
1,4:09.0,D. Powell misses 2-pt dunk from 3 ft,,12,29
1,4:09.0,Offensive rebound by D. Powell,,12,29
1,4:09.0,Turnover by D. Powell (traveling),,12,29
1,3:59.0,,B. Ingram misses 2-pt layup from 2 ft (block by M. Kleber),12,29
1,3:54.0,Defensive rebound by W. Matthews,,12,29
1,3:54.0,Personal foul by B. Ingram (drawn by W. Matthews),,12,29
1,3:54.0,,J. Hart enters the game for L. Ball,12,29
1,3:54.0,,R. Rondo enters the game for L. James,12,29
1,3:44.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Barea),,15,29
1,3:43.0,,LA Lakers full timeout,15,29
1,3:43.0,,L. Stephenson enters the game for B. Ingram,15,29
1,3:43.0,,Violation by Team (delay of game),15,29
1,3:35.0,,Offensive foul by J. Williams (drawn by J. Barea),15,29
1,3:35.0,,Turnover by J. Williams (offensive foul),15,29
1,3:32.0,W. Matthews misses 3-pt jump shot from 23 ft,,15,29
1,3:27.0,,Defensive rebound by J. Williams,15,29
1,3:16.0,,R. Rondo misses 2-pt layup from 1 ft,15,29
1,3:14.0,Defensive rebound by D. Powell,,15,29
1,3:08.0,J. Barea misses 2-pt jump shot from 7 ft,,15,29
1,3:07.0,Offensive rebound by D. Powell,,15,29
1,3:07.0,Personal foul by J. Hart (drawn by D. Powell),,15,29
1,3:07.0,,K. Caldwell-Pope enters the game for K. Kuzma,15,29
1,2:59.0,M. Kleber misses 3-pt jump shot from 24 ft,,15,29
1,2:55.0,,Defensive rebound by J. Williams,15,29
1,2:52.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by J. Hart),15,32
1,2:32.0,Turnover by J. Barea (bad pass; steal by L. Stephenson),,15,32
1,2:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,15,32
1,2:17.0,,Offensive rebound by Team,15,32
