QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
1,11:47.0,,W. Chandler misses 2-pt jump shot from 17 ft,0,0
1,11:43.0,,Offensive rebound by B. Simmons,0,0
1,11:41.0,,B. Simmons misses 2-pt layup from 2 ft (block by L. Aldridge),0,0
1,11:38.0,,Offensive rebound by B. Simmons,0,0
1,11:35.0,,B. Simmons misses 2-pt hook shot from 5 ft,0,0
1,11:30.0,,Offensive rebound by J. Embiid,0,0
1,11:30.0,,J. Embiid makes 2-pt layup at rim,0,2
1,11:20.0,D. DeRozan misses 2-pt jump shot from 15 ft,,0,2
1,11:17.0,,Defensive rebound by J. Embiid,0,2
1,11:12.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),0,5
1,11:00.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by R. Gay),,3,5
1,10:50.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),3,8
1,10:32.0,Turnover by D. DeRozan (lost ball; steal by W. Chandler),,3,8
1,10:27.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),3,10
1,10:08.0,L. Aldridge misses 2-pt jump shot from 17 ft,,3,10
1,10:06.0,,Defensive rebound by J. Embiid,3,10
1,9:57.0,,Personal foul by B. Forbes (drawn by J. Redick),3,10
1,9:42.0,,J. Embiid misses 2-pt layup from 3 ft,3,10
1,9:38.0,Defensive rebound by R. Gay,,3,10
1,9:30.0,B. Forbes misses 2-pt jump shot from 8 ft,,3,10
1,9:28.0,,Defensive rebound by J. Embiid,3,10
1,9:22.0,,J. Embiid misses 2-pt layup from 4 ft,3,10
1,9:20.0,Defensive rebound by D. DeRozan,,3,10
1,9:14.0,R. Gay misses 2-pt jump shot from 9 ft,,3,10
1,9:11.0,,Defensive rebound by B. Simmons,3,10
1,8:58.0,,Shooting foul by R. Gay (drawn by B. Simmons),3,10
1,8:58.0,,B. Simmons misses free throw 1 of 2,3,10
1,8:58.0,,Offensive rebound by Team,3,10
1,8:58.0,,B. Simmons makes free throw 2 of 2,3,11
1,8:34.0,R. Gay misses 3-pt jump shot from 22 ft,,3,11
1,8:30.0,,Defensive rebound by J. Embiid,3,11
1,8:14.0,,J. Embiid misses 2-pt hook shot from 3 ft,3,11
1,8:11.0,Defensive rebound by D. White,,3,11
1,8:08.0,Turnover by R. Gay (lost ball),,3,11
1,8:08.0,,Personal foul by R. Gay (drawn by B. Simmons),3,11
1,8:08.0,D. Cunningham enters the game for R. Gay,,3,11
1,7:54.0,,J. Redick misses 2-pt jump shot from 22 ft,3,11
1,7:53.0,,Offensive rebound by J. Embiid,3,11
1,7:53.0,,J. Embiid misses 2-pt layup from 3 ft (block by D. DeRozan),3,11
1,7:53.0,,Offensive rebound by J. Embiid,3,11
1,7:53.0,,Shooting foul by D. Cunningham (drawn by J. Embiid),3,11
1,7:53.0,,J. Embiid makes free throw 1 of 2,3,12
1,7:53.0,,J. Embiid makes free throw 2 of 2,3,13
1,7:42.0,D. DeRozan makes 2-pt jump shot from 13 ft,,5,13
1,7:30.0,,J. Embiid misses 2-pt jump shot from 6 ft (block by L. Aldridge),5,13
1,7:25.0,Defensive rebound by D. DeRozan,,5,13
1,7:19.0,D. Cunningham misses 3-pt jump shot from 24 ft,,5,13
1,7:15.0,,Defensive rebound by J. Embiid,5,13
1,7:04.0,,B. Simmons misses 2-pt jump shot from 3 ft,5,13
1,7:02.0,Defensive rebound by D. DeRozan,,5,13
1,6:57.0,D. DeRozan makes 2-pt jump shot from 13 ft,,7,13
1,6:42.0,,J. Redick misses 2-pt layup from 2 ft,7,13
1,6:39.0,Defensive rebound by B. Forbes,,7,13
1,6:35.0,D. White makes 2-pt jump shot from 5 ft,,9,13
1,6:34.0,,Philadelphia full timeout,9,13
1,6:34.0,,J. Bolden enters the game for C. Brewer,9,13
1,6:34.0,,T. McConnell enters the game for J. Embiid,9,13
1,6:34.0,,L. Shamet enters the game for J. Redick,9,13
1,6:15.0,,B. Simmons makes 2-pt jump shot from 7 ft (assist by L. Shamet),9,15
1,5:54.0,D. White makes 2-pt jump shot from 18 ft (assist by D. Cunningham),,11,15
1,5:34.0,,L. Shamet makes 2-pt layup from 2 ft (assist by T. McConnell),11,17
1,5:18.0,Personal foul by L. Shamet (drawn by D. White),,11,17
1,5:18.0,P. Mills enters the game for L. Aldridge,,11,17
1,5:18.0,J. Poeltl enters the game for D. White,,11,17
1,5:15.0,Personal foul by L. Shamet (drawn by D. DeRozan),,11,17
1,5:11.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by B. Forbes),,13,17
1,4:58.0,,J. Bolden misses 3-pt jump shot from 27 ft,13,17
1,4:55.0,Defensive rebound by D. Cunningham,,13,17
1,4:43.0,P. Mills makes 3-pt jump shot from 27 ft (assist by D. Cunningham),,16,17
1,4:29.0,,J. Bolden makes 3-pt jump shot from 23 ft (assist by B. Simmons),16,20
1,4:17.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,19,20
1,4:17.0,M. Belinelli enters the game for B. Forbes,,19,20
1,3:53.0,,B. Simmons makes 2-pt layup from 2 ft,19,22
1,3:53.0,San Antonio full timeout,,19,22
1,3:31.0,J. Poeltl makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,21,22
1,3:14.0,,J. Bolden makes 2-pt layup from 1 ft (assist by T. McConnell),21,24
1,3:02.0,D. DeRozan misses 2-pt jump shot from 9 ft,,21,24
1,2:59.0,,Defensive rebound by B. Simmons,21,24
1,2:52.0,,T. McConnell makes 2-pt jump shot from 6 ft (assist by B. Simmons),21,26
1,2:40.0,P. Mills makes 2-pt jump shot from 17 ft,,23,26
1,2:31.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by B. Simmons),23,29
1,2:24.0,P. Mills makes 2-pt jump shot from 3 ft,,25,29
1,2:24.0,Shooting foul by T. McConnell (drawn by P. Mills),,25,29
1,2:24.0,L. Aldridge enters the game for D. DeRozan,,25,29
1,2:24.0,B. Forbes enters the game for J. Poeltl,,25,29
1,2:24.0,,C. Brewer enters the game for J. Bolden,25,29
1,2:24.0,,J. Embiid enters the game for W. Chandler,25,29
1,2:24.0,,M. Muscala enters the game for L. Shamet,25,29
1,2:24.0,,J. Redick enters the game for B. Simmons,25,29
1,2:24.0,P. Mills makes free throw 1 of 1,,26,29
1,2:05.0,,J. Embiid misses 2-pt layup from 3 ft,26,29
1,2:04.0,Defensive rebound by M. Belinelli,,26,29
1,1:51.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,29,29
1,1:35.0,,J. Embiid misses 2-pt jump shot from 17 ft,29,29
1,1:32.0,Defensive rebound by P. Mills,,29,29
1,1:29.0,P. Mills makes 3-pt jump shot from 26 ft,,32,29
1,1:09.0,,T. McConnell makes 2-pt jump shot from 7 ft (assist by J. Redick),32,31
1,0:59.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. Cunningham),,35,31
1,0:50.0,,J. Redick misses 3-pt jump shot from 25 ft,35,31
1,0:47.0,,Offensive rebound by T. McConnell,35,31
1,0:46.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by T. McConnell),35,34
1,0:29.0,M. Belinelli misses 3-pt jump shot from 25 ft,,35,34
1,0:25.0,,Defensive rebound by T. McConnell,35,34
1,0:06.0,,T. McConnell misses 3-pt jump shot from 23 ft,35,34
1,0:03.0,Defensive rebound by L. Aldridge,,35,34
1,0:01.0,M. Belinelli misses 3-pt jump shot from 29 ft,,35,34
1,0:00.0,Offensive rebound by Team,,35,34
2,11:48.0,M. Belinelli makes 2-pt jump shot from 19 ft (assist by L. Aldridge),,37,34
2,11:31.0,,J. Redick misses 3-pt jump shot from 23 ft,37,34
2,11:30.0,,Offensive rebound by M. Muscala,37,34
2,11:30.0,,Personal foul by M. Belinelli (drawn by M. Muscala),37,34
2,11:15.0,,J. Redick makes 3-pt jump shot from 25 ft,37,37
2,11:03.0,Offensive foul by P. Mills (drawn by J. Redick),,37,37
2,11:03.0,Turnover by P. Mills (offensive foul),,37,37
2,11:03.0,D. White enters the game for B. Forbes,,37,37
2,10:50.0,,J. Embiid misses 2-pt jump shot from 14 ft,37,37
2,10:45.0,,Offensive rebound by J. Redick,37,37
2,10:32.0,,T. McConnell makes 2-pt jump shot from 13 ft (assist by W. Chandler),37,39
2,10:13.0,L. Aldridge misses 2-pt jump shot from 15 ft,,37,39
2,10:10.0,,Defensive rebound by M. Muscala,37,39
2,10:06.0,,T. McConnell makes 2-pt jump shot from 9 ft,37,41
2,9:53.0,D. White makes 2-pt layup from 1 ft,,39,41
2,9:35.0,,J. Redick misses 3-pt jump shot from 26 ft,39,41
2,9:32.0,,Offensive rebound by J. Embiid,39,41
2,9:31.0,,J. Embiid makes 2-pt jump shot from 12 ft,39,43
2,9:18.0,Shooting foul by W. Chandler (drawn by R. Gay),,39,43
2,9:18.0,R. Gay makes free throw 1 of 2,,40,43
2,9:18.0,,L. Shamet enters the game for J. Redick,40,43
2,9:18.0,R. Gay makes free throw 2 of 2,,41,43
2,9:07.0,,T. McConnell makes 2-pt jump shot from 15 ft (assist by J. Embiid),41,45
2,9:06.0,San Antonio full timeout,,41,45
2,9:06.0,D. DeRozan enters the game for P. Mills,,41,45
