QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
1,11:46.0,,K. Kuzma misses 2-pt dunk from 2 ft (block by W. Cauley-Stein),0,0
1,11:42.0,Defensive rebound by B. Hield,,0,0
1,11:29.0,W. Cauley-Stein misses 2-pt jump shot from 18 ft,,0,0
1,11:26.0,,Defensive rebound by J. McGee,0,0
1,11:18.0,,R. Rondo misses 2-pt layup from 3 ft (block by D. Fox),0,0
1,11:15.0,Defensive rebound by B. Hield,,0,0
1,11:13.0,B. Hield misses 2-pt layup from 2 ft,,0,0
1,11:13.0,,Defensive rebound by L. James,0,0
1,11:09.0,,Turnover by L. James (lost ball; steal by W. Cauley-Stein),0,0
1,11:07.0,N. Bjelica makes 2-pt layup from 4 ft,,2,0
1,11:07.0,Violation by Team (kicked ball),,2,0
1,10:55.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. James),2,3
1,10:39.0,B. Hield misses 2-pt layup from 2 ft (block by J. McGee),,2,3
1,10:37.0,,Defensive rebound by J. McGee,2,3
1,10:28.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,2,3
1,10:24.0,Defensive rebound by W. Cauley-Stein,,2,3
1,10:13.0,Shooting foul by J. McGee (drawn by W. Cauley-Stein),,2,3
1,10:13.0,W. Cauley-Stein misses free throw 1 of 2,,2,3
1,10:13.0,Offensive rebound by Team,,2,3
1,10:13.0,W. Cauley-Stein misses free throw 2 of 2,,2,3
1,10:11.0,,Defensive rebound by L. James,2,3
1,10:00.0,,L. James makes 2-pt dunk from 1 ft (assist by K. Kuzma),2,5
1,9:52.0,D. Fox makes 3-pt jump shot from 26 ft,,5,5
1,9:43.0,,R. Rondo misses 3-pt jump shot from 26 ft,5,5
1,9:43.0,,Offensive rebound by Team,5,5
1,9:41.0,Loose ball foul by W. Cauley-Stein (drawn by J. McGee),,5,5
1,9:29.0,,K. Kuzma misses 3-pt jump shot from 22 ft,5,5
1,9:27.0,Defensive rebound by D. Fox,,5,5
1,9:19.0,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by B. Hield),,7,5
1,9:08.0,,Turnover by K. Kuzma (lost ball; steal by N. Bjelica),7,5
1,9:03.0,D. Fox misses 3-pt jump shot from 25 ft,,7,5
1,9:00.0,Offensive rebound by W. Cauley-Stein,,7,5
1,8:58.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,10,5
1,8:37.0,,L. James misses 2-pt layup from 2 ft,10,5
1,8:33.0,,J. McGee makes 2-pt layup from 1 ft,10,7
1,8:33.0,,Offensive rebound by J. McGee,10,7
1,8:17.0,N. Bjelica misses 2-pt jump shot from 20 ft,,10,7
1,8:15.0,,Defensive rebound by K. Caldwell-Pope,10,7
1,8:07.0,,L. James makes 2-pt layup from 4 ft (assist by K. Caldwell-Pope),10,9
1,8:07.0,,Shooting foul by N. Bjelica (drawn by L. James),10,9
1,8:07.0,,L. James misses free throw 1 of 1,10,9
1,8:04.0,Defensive rebound by N. Bjelica,,10,9
1,7:47.0,Personal foul by K. Kuzma (drawn by H. Barnes),,10,9
1,7:38.0,B. Hield misses 2-pt jump shot from 9 ft,,10,9
1,7:34.0,,Defensive rebound by L. James,10,9
1,7:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,10,9
1,7:27.0,,Offensive rebound by K. Caldwell-Pope,10,9
1,7:26.0,,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),10,11
1,7:26.0,,Shooting foul by N. Bjelica (drawn by J. McGee),10,11
1,7:26.0,M. Bagley enters the game for N. Bjelica,,10,11
1,7:26.0,,J. McGee misses free throw 1 of 1,10,11
1,7:23.0,Defensive rebound by W. Cauley-Stein,,10,11
1,7:14.0,Personal foul by J. McGee (drawn by M. Bagley),,10,11
1,7:07.0,D. Fox misses 2-pt jump shot from 17 ft,,10,11
1,7:05.0,,Defensive rebound by L. James,10,11
1,6:59.0,,L. James makes 2-pt jump shot from 19 ft,10,13
1,6:44.0,Turnover by D. Fox (bad pass; steal by L. James),,10,13
1,6:41.0,,Turnover by R. Rondo (bad pass; steal by D. Fox),10,13
