QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
1,11:41.0,,D. Gallinari makes 2-pt dunk from 3 ft,0,2
1,11:12.0,D. Smith makes 2-pt layup from 2 ft,,2,2
1,11:01.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Smith),2,2
1,10:57.0,D. Smith makes 2-pt layup from 1 ft (assist by L. Thomas),,4,2
1,10:44.0,,I. Zubac misses 2-pt layup from 3 ft (block by D. Smith),4,2
1,10:41.0,Defensive rebound by D. Dotson,,4,2
1,10:38.0,D. Smith misses 3-pt jump shot from 28 ft,,4,2
1,10:34.0,,Defensive rebound by I. Zubac,4,2
1,10:28.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),4,4
1,10:13.0,L. Thomas misses 2-pt jump shot from 20 ft,,4,4
1,10:09.0,,Defensive rebound by L. Shamet,4,4
1,9:57.0,,Turnover by I. Zubac (lost ball; steal by K. Knox),4,4
1,9:49.0,K. Knox misses 3-pt jump shot from 27 ft,,4,4
1,9:45.0,,Defensive rebound by P. Beverley,4,4
1,9:39.0,,D. Gallinari misses 3-pt jump shot from 25 ft,4,4
1,9:36.0,Defensive rebound by N. Vonleh,,4,4
1,9:30.0,D. Dotson misses 2-pt layup from 4 ft,,4,4
1,9:27.0,D. Dotson misses 2-pt layup at rim,,4,4
1,9:27.0,Offensive rebound by D. Dotson,,4,4
1,9:27.0,,Defensive rebound by D. Gallinari,4,4
1,9:21.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,4,4
1,9:21.0,,Offensive rebound by I. Zubac,4,4
1,9:16.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by I. Zubac),4,7
1,8:57.0,K. Knox misses 2-pt jump shot from 22 ft,,4,7
1,8:53.0,,Defensive rebound by P. Beverley,4,7
1,8:50.0,,Personal foul by D. Dotson (drawn by P. Beverley),4,7
1,8:36.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Gallinari),4,10
1,8:30.0,New York full timeout,,4,10
1,8:20.0,L. Thomas misses 2-pt jump shot from 17 ft,,4,10
1,8:17.0,,Defensive rebound by P. Beverley,4,10
1,7:58.0,,D. Gallinari makes 2-pt jump shot from 18 ft,4,12
1,7:39.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by L. Thomas),,7,12
1,7:12.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),7,15
1,7:03.0,D. Dotson misses 3-pt jump shot from 26 ft,,7,15
1,7:01.0,,Defensive rebound by D. Gallinari,7,15
1,6:51.0,,Personal foul by D. Smith (drawn by D. Gallinari),7,15
1,6:51.0,M. Robinson enters the game for L. Thomas,,7,15
1,6:51.0,A. Trier enters the game for N. Vonleh,,7,15
1,6:37.0,,D. Gallinari misses 3-pt jump shot from 27 ft,7,15
1,6:33.0,,Offensive rebound by I. Zubac,7,15
1,6:33.0,,I. Zubac misses 2-pt layup from 1 ft,7,15
1,6:33.0,Defensive rebound by M. Robinson,,7,15
1,6:24.0,D. Smith misses 2-pt layup from 2 ft,,7,15
1,6:19.0,,Defensive rebound by L. Shamet,7,15
1,6:17.0,,L. Shamet misses 3-pt jump shot from 30 ft,7,15
1,6:17.0,Defensive rebound by D. Dotson,,7,15
1,6:09.0,D. Dotson misses 2-pt jump shot from 20 ft,,7,15
1,6:06.0,,Defensive rebound by P. Beverley,7,15
1,6:01.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft (assist by P. Beverley),7,18
1,5:57.0,New York full timeout,,7,18
1,5:57.0,E. Mudiay enters the game for D. Smith,,7,18
1,5:45.0,Personal foul by S. Gilgeous-Alexander (drawn by E. Mudiay),,7,18
1,5:34.0,A. Trier makes 3-pt jump shot from 27 ft,,10,18
1,5:13.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Gallinari),10,21
1,4:57.0,Turnover by A. Trier (out of bounds lost ball),,10,21
1,4:48.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),10,24
1,4:27.0,K. Knox misses 2-pt jump shot from 13 ft,,10,24
1,4:25.0,,Defensive rebound by P. Beverley,10,24
1,4:09.0,,I. Zubac makes 2-pt layup from 1 ft (assist by D. Gallinari),10,26
1,3:49.0,A. Trier misses 2-pt jump shot from 13 ft,,10,26
1,3:45.0,,Defensive rebound by I. Zubac,10,26
1,3:38.0,,I. Zubac misses 2-pt jump shot from 20 ft (block by M. Robinson),10,26
1,3:34.0,Defensive rebound by D. Dotson,,10,26
1,3:29.0,A. Trier misses 2-pt jump shot from 1 ft,,10,26
1,3:27.0,,Defensive rebound by I. Zubac,10,26
1,3:19.0,,Turnover by I. Zubac (bad pass; steal by E. Mudiay),10,26
1,3:16.0,E. Mudiay makes 2-pt layup from 1 ft,,12,26
1,3:13.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by I. Zubac),12,29
1,3:01.0,E. Mudiay misses 2-pt jump shot from 15 ft,,12,29
1,2:58.0,,Defensive rebound by D. Gallinari,12,29
1,2:48.0,,I. Zubac misses 2-pt hook shot from 3 ft (block by M. Robinson),12,29
1,2:48.0,,Offensive rebound by Team,12,29
1,2:48.0,,LA Clippers full timeout,12,29
1,2:48.0,H. Ellenson enters the game for D. Dotson,,12,29
1,2:48.0,J. Jenkins enters the game for K. Knox,,12,29
1,2:48.0,,M. Harrell enters the game for S. Gilgeous-Alexander,12,29
1,2:48.0,,L. Williams enters the game for I. Zubac,12,29
1,2:40.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),12,32
1,2:29.0,J. Jenkins misses 2-pt jump shot from 19 ft,,12,32
1,2:26.0,,Defensive rebound by D. Gallinari,12,32
1,2:20.0,,L. Williams misses 2-pt jump shot from 20 ft,12,32
1,2:17.0,Defensive rebound by A. Trier,,12,32
1,2:17.0,Personal take foul by P. Beverley (drawn by A. Trier),,12,32
1,2:17.0,,J. Green enters the game for D. Gallinari,12,32
1,2:07.0,Shooting foul by L. Shamet (drawn by A. Trier),,12,32
1,2:07.0,A. Trier makes free throw 1 of 2,,13,32
1,2:07.0,A. Trier makes free throw 2 of 2,,14,32
1,1:57.0,,L. Shamet misses 3-pt jump shot from 25 ft,14,32
1,1:55.0,Defensive rebound by M. Robinson,,14,32
1,1:45.0,E. Mudiay misses 2-pt layup from 3 ft (block by J. Green),,14,32
1,1:45.0,,Defensive rebound by Team,14,32
1,1:45.0,,G. Temple enters the game for P. Beverley,14,32
1,1:45.0,,T. Wallace enters the game for L. Shamet,14,32
1,1:36.0,,L. Williams misses 2-pt layup from 3 ft,14,32
1,1:34.0,Defensive rebound by M. Robinson,,14,32
1,1:21.0,M. Robinson makes 2-pt dunk from 2 ft (assist by A. Trier),,16,32
1,1:03.0,,J. Green makes 2-pt layup from 3 ft (assist by L. Williams),16,34
1,0:47.0,Shooting foul by G. Temple (drawn by H. Ellenson),,16,34
1,0:47.0,H. Ellenson makes free throw 1 of 2,,17,34
1,0:47.0,H. Ellenson makes free throw 2 of 2,,18,34
1,0:40.0,,Personal foul by H. Ellenson (drawn by L. Williams),18,34
1,0:36.0,,J. Green makes 3-pt jump shot from 22 ft (assist by T. Wallace),18,37
1,0:17.0,Turnover by H. Ellenson (bad pass),,18,37
1,0:07.0,,Personal foul by M. Robinson (drawn by L. Williams),18,37
1,0:07.0,,L. Williams misses free throw 1 of 2,18,37
1,0:07.0,,Offensive rebound by Team,18,37
1,0:07.0,,L. Williams makes free throw 2 of 2,18,38
1,0:03.0,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Mudiay),,20,38
2,11:40.0,Personal foul by G. Temple (drawn by A. Trier),,20,38
