QUARTER,TIME_REMAINING,BOSTON_ACTION,DALLAS_ACTION,BOSTON_SCORE,DALLAS_SCORE
1,11:44.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by L. Dončić),0,3
1,11:30.0,J. Brown misses 2-pt dunk from 1 ft,,0,3
1,11:28.0,,Defensive rebound by D. Jordan,0,3
1,11:21.0,,Shooting foul by J. Tatum (drawn by D. Finney-Smith),0,3
1,11:21.0,,D. Finney-Smith makes free throw 1 of 2,0,4
1,11:21.0,,D. Finney-Smith misses free throw 2 of 2,0,4
1,11:18.0,Defensive rebound by M. Morris,,0,4
1,11:10.0,M. Morris makes 2-pt jump shot from 13 ft (assist by K. Irving),,2,4
1,10:57.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),2,7
1,10:35.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Morris),,5,7
1,10:18.0,,Turnover by D. Finney-Smith (bad pass),5,7
1,10:16.0,J. Tatum makes 2-pt jump shot from 21 ft (assist by K. Irving),,7,7
1,9:58.0,,L. Dončić misses 2-pt jump shot from 20 ft,7,7
1,9:55.0,Defensive rebound by J. Tatum,,7,7
1,9:49.0,Turnover by K. Irving (bad pass),,7,7
1,9:33.0,,L. Dončić misses 2-pt jump shot from 3 ft,7,7
1,9:31.0,Defensive rebound by M. Morris,,7,7
1,9:22.0,M. Morris misses 3-pt jump shot from 23 ft,,7,7
1,9:19.0,,Defensive rebound by H. Barnes,7,7
1,9:05.0,,W. Matthews misses 2-pt jump shot from 20 ft,7,7
1,9:01.0,,Offensive rebound by D. Jordan,7,7
1,8:58.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by H. Barnes),7,10
1,8:51.0,Turnover by K. Irving (bad pass; steal by H. Barnes),,7,10
1,8:45.0,,D. Jordan misses 2-pt jump shot from 3 ft (block by J. Brown),7,10
1,8:45.0,,Offensive rebound by Team,7,10
1,8:33.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),7,13
1,8:16.0,K. Irving misses 2-pt jump shot from 20 ft,,7,13
1,8:14.0,Offensive rebound by M. Morris,,7,13
1,8:14.0,Personal foul by H. Barnes (drawn by M. Morris),,7,13
1,8:08.0,A. Horford makes 2-pt jump shot from 21 ft (assist by K. Irving),,9,13
1,7:47.0,,Turnover by L. Dončić (bad pass; steal by M. Morris),9,13
1,7:43.0,J. Tatum makes 3-pt jump shot from 25 ft,,12,13
1,7:42.0,,Dallas full timeout,12,13
1,7:35.0,,D. Finney-Smith makes 2-pt jump shot from 1 ft (assist by W. Matthews),12,15
1,7:35.0,,Shooting foul by A. Horford (drawn by D. Finney-Smith),12,15
1,7:35.0,,D. Finney-Smith misses free throw 1 of 1,12,15
1,7:35.0,Defensive rebound by J. Tatum,,12,15
1,7:18.0,M. Morris misses 2-pt jump shot from 6 ft,,12,15
1,7:16.0,,Defensive rebound by D. Jordan,12,15
1,7:06.0,,Turnover by D. Finney-Smith (lost ball; steal by K. Irving),12,15
1,6:59.0,J. Brown makes 2-pt jump shot from 12 ft,,14,15
1,6:45.0,,W. Matthews makes 2-pt jump shot from 5 ft,14,17
1,6:27.0,J. Tatum misses 2-pt layup from 2 ft,,14,17
1,6:25.0,,Defensive rebound by D. Jordan,14,17
1,6:11.0,,H. Barnes misses 2-pt hook shot from 6 ft,14,17
1,6:09.0,Defensive rebound by A. Horford,,14,17
1,6:07.0,Offensive foul by J. Brown (drawn by L. Dončić),,14,17
1,6:07.0,Turnover by J. Brown (offensive foul),,14,17
1,6:07.0,A. Baynes enters the game for A. Horford,,14,17
1,6:07.0,M. Smart enters the game for J. Tatum,,14,17
1,6:07.0,,D. Harris enters the game for W. Matthews,14,17
1,5:56.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),14,19
1,5:38.0,Turnover by A. Baynes (lost ball; steal by D. Harris),,14,19
1,5:32.0,,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),14,22
1,5:13.0,M. Smart misses 2-pt jump shot from 12 ft,,14,22
1,5:08.0,,Defensive rebound by H. Barnes,14,22
1,4:46.0,,L. Dončić makes 3-pt jump shot from 26 ft,14,25
1,4:44.0,Boston full timeout,,14,25
1,4:29.0,J. Brown makes 2-pt jump shot from 18 ft (assist by A. Baynes),,16,25
1,4:18.0,,Turnover by L. Dončić (bad pass; steal by K. Irving),16,25
1,4:13.0,K. Irving makes 2-pt layup from 1 ft,,18,25
1,3:49.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by L. Dončić),18,28
1,3:27.0,Turnover by K. Irving (bad pass; steal by D. Finney-Smith),,18,28
1,3:21.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Harris),18,30
1,3:05.0,Turnover by M. Smart (bad pass; steal by D. Jordan),,18,30
1,3:02.0,,Turnover by D. Jordan (bad pass; steal by J. Brown),18,30
1,2:59.0,K. Irving misses 3-pt jump shot from 23 ft,,18,30
1,2:58.0,Offensive rebound by A. Baynes,,18,30
1,2:56.0,K. Irving misses 3-pt jump shot from 23 ft,,18,30
1,2:54.0,,Defensive rebound by D. Jordan,18,30
1,2:48.0,,Personal foul by M. Morris (drawn by H. Barnes),18,30
1,2:48.0,S. Ojeleye enters the game for J. Brown,,18,30
1,2:48.0,T. Rozier enters the game for K. Irving,,18,30
1,2:48.0,J. Tatum enters the game for M. Morris,,18,30
1,2:48.0,,J. Barea enters the game for L. Dončić,18,30
1,2:48.0,,S. Mejri enters the game for D. Jordan,18,30
1,2:41.0,,D. Harris misses 3-pt jump shot from 24 ft,18,30
1,2:38.0,Defensive rebound by A. Baynes,,18,30
1,2:24.0,M. Smart makes 3-pt jump shot from 24 ft (assist by S. Ojeleye),,21,30
1,2:06.0,,H. Barnes misses 2-pt jump shot from 15 ft,21,30
1,2:04.0,,Offensive rebound by S. Mejri,21,30
1,1:55.0,,S. Mejri makes 2-pt hook shot from 7 ft (assist by J. Barea),21,32
1,1:34.0,M. Smart makes 3-pt jump shot from 26 ft,,24,32
1,1:15.0,,Turnover by H. Barnes (traveling),24,32
1,1:15.0,,W. Matthews enters the game for D. Finney-Smith,24,32
1,0:52.0,J. Tatum makes 2-pt jump shot from 17 ft,,26,32
1,0:33.0,,D. Harris misses 3-pt jump shot from 23 ft,26,32
1,0:29.0,Defensive rebound by S. Ojeleye,,26,32
1,0:13.0,A. Baynes misses 3-pt jump shot from 26 ft,,26,32
1,0:11.0,,Defensive rebound by D. Harris,26,32
1,0:10.0,,Personal foul by A. Baynes (drawn by S. Mejri),26,32
1,0:02.0,,W. Matthews misses 3-pt jump shot from 28 ft,26,32
1,0:02.0,Defensive rebound by A. Baynes,,26,32
2,11:41.0,M. Smart misses 2-pt jump shot from 6 ft,,26,32
2,11:39.0,,Defensive rebound by D. Harris,26,32
2,11:24.0,,D. Harris misses 3-pt jump shot from 27 ft,26,32
2,11:15.0,,Offensive rebound by D. Finney-Smith,26,32
