QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
1,11:41.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,2,0
1,11:24.0,,K. Middleton misses 3-pt jump shot from 24 ft,2,0
1,11:24.0,Defensive rebound by V. Oladipo,,2,0
1,11:17.0,M. Turner misses 3-pt jump shot from 26 ft,,2,0
1,11:17.0,,Defensive rebound by E. Bledsoe,2,0
1,11:05.0,,M. Brogdon misses 3-pt jump shot from 25 ft,2,0
1,11:02.0,,Offensive rebound by E. Bledsoe,2,0
1,10:59.0,,B. Lopez misses 3-pt jump shot from 26 ft,2,0
1,10:56.0,Defensive rebound by D. Collison,,2,0
1,10:53.0,D. Collison makes 2-pt jump shot from 14 ft,,4,0
1,10:25.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft (block by M. Turner),4,0
1,10:25.0,,Offensive rebound by G. Antetokounmpo,4,0
1,10:25.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,4,0
1,10:22.0,Defensive rebound by V. Oladipo,,4,0
1,10:19.0,V. Oladipo makes 2-pt layup from 1 ft,,6,0
1,10:00.0,,M. Brogdon misses 2-pt jump shot from 4 ft,6,0
1,9:55.0,,Offensive rebound by B. Lopez,6,0
1,9:55.0,,K. Middleton misses 2-pt layup at rim,6,0
1,9:55.0,,Offensive rebound by K. Middleton,6,0
1,9:51.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,6,0
1,9:51.0,Defensive rebound by B. Bogdanović,,6,0
1,9:43.0,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),,8,0
1,9:42.0,,Milwaukee full timeout,8,0
1,9:27.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),8,2
1,9:09.0,D. Collison makes 2-pt jump shot from 20 ft,,10,2
1,8:53.0,,Personal foul by T. Young (drawn by M. Brogdon),10,2
1,8:46.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),10,4
1,8:36.0,Personal foul by K. Middleton (drawn by B. Bogdanović),,10,4
1,8:31.0,Turnover by T. Young (bad pass; steal by K. Middleton),,10,4
1,8:27.0,,K. Middleton makes 2-pt dunk from 2 ft,10,6
1,8:08.0,M. Turner misses 3-pt jump shot from 26 ft,,10,6
1,8:05.0,,Defensive rebound by G. Antetokounmpo,10,6
1,7:57.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),10,9
1,7:36.0,M. Turner misses 2-pt jump shot from 20 ft,,10,9
1,7:33.0,,Defensive rebound by G. Antetokounmpo,10,9
1,7:28.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,10,11
1,7:22.0,Indiana full timeout,,10,11
1,7:22.0,,E. İlyasova enters the game for M. Brogdon,10,11
1,7:12.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,10,11
1,7:09.0,,Defensive rebound by G. Antetokounmpo,10,11
1,7:04.0,,K. Middleton misses 3-pt jump shot from 26 ft,10,11
1,7:01.0,Defensive rebound by D. Collison,,10,11
1,6:59.0,Turnover by D. Collison (bad pass),,10,11
1,6:39.0,,E. Bledsoe makes 2-pt layup from 2 ft,10,13
1,6:20.0,D. Collison makes 2-pt jump shot from 16 ft,,12,13
1,5:52.0,Turnover by B. Bogdanović (lost ball; steal by G. Antetokounmpo),,12,13
1,5:51.0,,G. Antetokounmpo makes 2-pt dunk from 6 ft (assist by B. Lopez),12,15
1,5:46.0,,B. Lopez misses 3-pt jump shot from 28 ft,12,15
1,5:44.0,Defensive rebound by B. Bogdanović,,12,15
1,5:33.0,T. Young makes 2-pt layup from 1 ft,,14,15
1,5:11.0,,E. Bledsoe makes 2-pt layup from 2 ft,14,17
1,5:01.0,Turnover by T. Young (bad pass; steal by E. İlyasova),,14,17
1,4:51.0,,Personal foul by V. Oladipo (drawn by E. Bledsoe),14,17
1,4:51.0,T. Evans enters the game for B. Bogdanović,,14,17
1,4:51.0,,D. DiVincenzo enters the game for G. Antetokounmpo,14,17
1,4:51.0,,J. Henson enters the game for B. Lopez,14,17
1,4:40.0,,K. Middleton makes 3-pt jump shot from 23 ft,14,20
1,4:17.0,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),,16,20
1,4:01.0,,E. İlyasova misses 2-pt layup from 1 ft,16,20
1,4:00.0,Defensive rebound by T. Evans,,16,20
1,4:00.0,D. Sabonis enters the game for T. Young,,16,20
1,4:00.0,,M. Brogdon enters the game for E. Bledsoe,16,20
1,3:49.0,T. Evans misses 3-pt jump shot from 26 ft,,16,20
1,3:45.0,,Defensive rebound by E. İlyasova,16,20
1,3:45.0,,C. Wood enters the game for J. Henson,16,20
1,3:25.0,,Turnover by E. İlyasova (lost ball; steal by T. Evans),16,20
1,3:19.0,Turnover by T. Evans (bad pass; steal by D. DiVincenzo),,16,20
