QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
1,1:15.0,,Offensive rebound by Team,20,16
1,1:15.0,C. Felício enters the game for R. Lopez,,20,16
1,1:15.0,O. Porter enters the game for L. Markkanen,,20,16
1,1:15.0,,T. Dorsey enters the game for A. Bradley,20,16
1,1:02.0,,C. Miles misses 3-pt jump shot from 25 ft,20,16
1,1:02.0,,Offensive rebound by J. Noah,20,16
1,0:59.0,,Shooting foul by S. Harrison (drawn by J. Noah),20,16
1,0:59.0,,J. Noah makes free throw 1 of 2,20,17
1,0:59.0,,J. Noah makes free throw 2 of 2,20,18
1,0:49.0,O. Porter misses 2-pt jump shot from 21 ft,,20,18
1,0:44.0,Offensive rebound by C. Felício,,20,18
1,0:36.0,R. Arcidiacono misses 2-pt layup from 2 ft (block by J. Noah),,20,18
1,0:35.0,,Defensive rebound by Team,20,18
1,0:35.0,,M. Conley enters the game for T. Dorsey,20,18
1,0:25.0,,Turnover by M. Conley (lost ball; steal by C. Felício),20,18
1,0:20.0,Turnover by W. Selden (bad pass; steal by C. Miles),,20,18
1,0:17.0,,J. Noah makes 2-pt dunk from 1 ft (assist by C. Miles),20,20
1,0:02.0,Turnover by W. Selden (lost ball; steal by D. Wright),,20,20
2,11:42.0,C. Felício misses 2-pt dunk from 1 ft,,20,20
2,11:39.0,,Defensive rebound by T. Dorsey,20,20
2,11:24.0,,C. Miles misses 2-pt jump shot from 19 ft,20,20
2,11:22.0,Defensive rebound by C. Felício,,20,20
2,11:17.0,O. Porter makes 3-pt jump shot from 28 ft (assist by K. Dunn),,23,20
2,11:00.0,,Personal foul by C. Felício (drawn by D. Wright),23,20
2,10:52.0,,Turnover by D. Wright (lost ball; steal by W. Selden),23,20
2,10:37.0,S. Harrison misses 2-pt jump shot from 10 ft,,23,20
2,10:37.0,Offensive rebound by C. Felício,,23,20
2,10:37.0,C. Felício misses 2-pt layup from 2 ft,,23,20
2,10:37.0,,Defensive rebound by C. Miles,23,20
2,10:26.0,,C. Parsons makes 3-pt jump shot from 28 ft (assist by D. Wright),23,23
2,10:01.0,C. Felício misses 2-pt layup from 1 ft,,23,23
2,9:59.0,,Defensive rebound by J. Noah,23,23
2,9:53.0,,T. Dorsey makes 2-pt jump shot from 16 ft (assist by J. Noah),23,25
2,9:31.0,W. Selden misses 3-pt jump shot from 25 ft,,23,25
