QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
1,11:39.0,,A. Horford makes 2-pt jump shot from 14 ft (assist by M. Smart),0,2
1,11:13.0,K. Towns misses 2-pt jump shot from 16 ft,,0,2
1,11:12.0,,Defensive rebound by M. Morris,0,2
1,11:05.0,,T. Rozier makes 2-pt layup from 1 ft (assist by M. Smart),0,4
1,10:56.0,Minnesota full timeout,,0,4
1,10:40.0,K. Towns makes 2-pt jump shot from 13 ft,,2,4
1,10:16.0,,Shooting foul by A. Wiggins (drawn by M. Morris),2,4
1,10:16.0,,M. Morris misses free throw 1 of 2,2,4
1,10:16.0,,Offensive rebound by Team,2,4
1,10:16.0,,M. Morris makes free throw 2 of 2,2,5
1,10:01.0,K. Towns misses 3-pt jump shot from 27 ft,,2,5
1,9:56.0,,Defensive rebound by T. Rozier,2,5
1,9:48.0,,Turnover by A. Horford (off goaltending),2,5
1,9:37.0,J. Okogie misses 2-pt layup from 3 ft,,2,5
1,9:34.0,,Defensive rebound by A. Horford,2,5
1,9:28.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),2,7
1,9:04.0,T. Jones makes 2-pt jump shot from 9 ft (assist by K. Towns),,4,7
1,8:51.0,,J. Tatum misses 2-pt jump shot from 13 ft,4,7
1,8:50.0,Defensive rebound by K. Towns,,4,7
1,8:28.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Okogie),,7,7
1,8:10.0,,M. Morris misses 3-pt jump shot from 25 ft,7,7
1,8:07.0,Defensive rebound by J. Okogie,,7,7
1,8:05.0,Personal foul by M. Morris (drawn by J. Okogie),,7,7
1,7:54.0,Turnover by T. Jones (lost ball; steal by T. Rozier),,7,7
1,7:49.0,,J. Tatum makes 2-pt layup from 1 ft (assist by T. Rozier),7,9
1,7:35.0,Turnover by T. Gibson (traveling),,7,9
1,7:28.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by M. Morris),7,12
1,7:05.0,T. Jones misses 3-pt jump shot from 26 ft,,7,12
1,7:03.0,,Defensive rebound by J. Tatum,7,12
1,7:00.0,,T. Rozier makes 2-pt dunk from 1 ft (assist by J. Tatum),7,14
1,6:36.0,A. Wiggins misses 2-pt jump shot from 14 ft (block by J. Tatum),,7,14
1,6:34.0,,Defensive rebound by M. Smart,7,14
1,6:31.0,,Turnover by M. Smart (bad pass; steal by J. Okogie),7,14
1,6:26.0,Shooting foul by M. Smart (drawn by A. Wiggins),,7,14
1,6:26.0,A. Wiggins makes free throw 1 of 2,,8,14
1,6:26.0,,G. Hayward enters the game for A. Horford,8,14
1,6:26.0,,G. Yabusele enters the game for M. Smart,8,14
1,6:26.0,A. Wiggins makes free throw 2 of 2,,9,14
1,6:04.0,,Turnover by T. Rozier (bad pass; steal by T. Jones),9,14
1,5:58.0,T. Gibson misses 3-pt jump shot from 23 ft,,9,14
1,5:56.0,,Defensive rebound by Team,9,14
1,5:56.0,Loose ball foul by K. Towns (drawn by M. Morris),,9,14
1,5:38.0,,T. Rozier makes 2-pt layup from 1 ft,9,16
1,5:13.0,Turnover by T. Gibson (lost ball; steal by M. Morris),,9,16
1,5:08.0,,Turnover by M. Morris (bad pass; steal by T. Jones),9,16
1,5:03.0,Turnover by T. Jones (bad pass; steal by T. Rozier),,9,16
1,5:03.0,D. Šarić enters the game for T. Gibson,,9,16
1,4:51.0,,M. Morris misses 3-pt jump shot from 27 ft,9,16
1,4:50.0,Defensive rebound by K. Towns,,9,16
1,4:30.0,K. Towns misses 2-pt layup from 7 ft (block by M. Morris),,9,16
1,4:29.0,Offensive rebound by Team,,9,16
1,4:29.0,,J. Brown enters the game for J. Tatum,9,16
1,4:29.0,,Violation by Team (delay of game),9,16
1,4:27.0,A. Wiggins makes 2-pt layup from 4 ft (assist by T. Jones),,11,16
1,4:14.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),11,19
1,3:58.0,K. Towns misses 2-pt hook shot from 5 ft,,11,19
1,3:57.0,,Defensive rebound by J. Brown,11,19
1,3:50.0,,M. Morris misses 3-pt jump shot from 25 ft,11,19
1,3:48.0,,Offensive rebound by G. Yabusele,11,19
1,3:40.0,,T. Rozier makes 2-pt layup from 2 ft (assist by G. Hayward),11,21
1,3:27.0,Shooting foul by G. Yabusele (drawn by J. Okogie),,11,21
1,3:27.0,J. Okogie misses free throw 1 of 2,,11,21
1,3:27.0,Offensive rebound by Team,,11,21
1,3:27.0,J. Okogie makes free throw 2 of 2,,12,21
1,3:07.0,,Turnover by G. Yabusele (back court),12,21
1,3:01.0,A. Wiggins misses 3-pt jump shot from 25 ft,,12,21
1,3:00.0,,Defensive rebound by G. Hayward,12,21
1,2:55.0,,Personal foul by J. Okogie (drawn by G. Hayward),12,21
1,2:55.0,,Boston full timeout,12,21
1,2:55.0,A. Tolliver enters the game for J. Okogie,,12,21
1,2:38.0,,G. Yabusele makes 2-pt layup from 3 ft,12,23
1,2:15.0,D. Šarić misses 2-pt jump shot from 16 ft,,12,23
1,2:14.0,,Defensive rebound by T. Rozier,12,23
1,2:00.0,,J. Brown misses 2-pt layup from 4 ft (block by K. Towns),12,23
1,1:59.0,Defensive rebound by D. Šarić,,12,23
1,1:53.0,T. Jones makes 2-pt layup from 3 ft,,14,23
1,1:42.0,,G. Hayward misses 3-pt jump shot from 26 ft,14,23
1,1:41.0,Defensive rebound by D. Šarić,,14,23
1,1:29.0,Shooting foul by G. Yabusele (drawn by A. Wiggins),,14,23
1,1:29.0,A. Wiggins makes free throw 1 of 2,,15,23
1,1:29.0,,S. Ojeleye enters the game for M. Morris,15,23
1,1:29.0,,M. Smart enters the game for T. Rozier,15,23
1,1:29.0,A. Wiggins makes free throw 2 of 2,,16,23
