QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
1,11:41.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),,2,0
1,11:27.0,,Personal foul by R. Jackson (drawn by K. Knox),2,0
1,11:13.0,,N. Vonleh misses 2-pt hook shot from 3 ft,2,0
1,11:11.0,,Offensive rebound by D. Jordan,2,0
1,11:10.0,,D. Jordan makes 2-pt layup from 1 ft,2,2
1,10:56.0,B. Griffin makes 3-pt jump shot from 26 ft,,5,2
1,10:40.0,,K. Knox misses 2-pt jump shot from 20 ft,5,2
1,10:38.0,Defensive rebound by A. Drummond,,5,2
1,10:22.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,7,2
1,10:08.0,,N. Vonleh misses 3-pt jump shot from 25 ft,7,2
1,10:06.0,Defensive rebound by B. Brown,,7,2
1,10:01.0,Shooting foul by N. Vonleh (drawn by B. Griffin),,7,2
1,10:01.0,B. Griffin makes free throw 1 of 2,,8,2
1,10:01.0,B. Griffin makes free throw 2 of 2,,9,2
1,9:46.0,,Turnover by D. Smith (bad pass; steal by R. Jackson),9,2
1,9:32.0,A. Drummond misses 2-pt hook shot from 2 ft,,9,2
1,9:31.0,Offensive rebound by A. Drummond,,9,2
1,9:24.0,R. Jackson misses 3-pt jump shot from 28 ft,,9,2
1,9:22.0,,Defensive rebound by D. Jordan,9,2
1,9:15.0,,W. Matthews misses 2-pt jump shot from 14 ft,9,2
1,9:13.0,,Offensive rebound by D. Jordan,9,2
1,9:13.0,,D. Jordan misses 2-pt layup from 1 ft,9,2
1,9:11.0,,Offensive rebound by D. Jordan,9,2
1,9:09.0,,D. Jordan misses 2-pt layup from 1 ft,9,2
1,9:07.0,Defensive rebound by R. Bullock,,9,2
1,9:00.0,R. Bullock misses 3-pt jump shot from 25 ft,,9,2
1,8:58.0,,Defensive rebound by N. Vonleh,9,2
1,8:39.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by W. Matthews),9,5
1,8:22.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Jackson),,12,5
1,8:09.0,,W. Matthews misses 3-pt jump shot from 27 ft,12,5
1,8:07.0,Defensive rebound by B. Griffin,,12,5
1,7:55.0,B. Griffin makes 2-pt hook shot from 5 ft,,14,5
1,7:48.0,,New York full timeout,14,5
1,7:42.0,,D. Smith makes 2-pt layup from 2 ft,14,7
1,7:28.0,Turnover by R. Bullock (bad pass; steal by D. Jordan),,14,7
1,7:24.0,,D. Smith misses 2-pt layup from 1 ft,14,7
1,7:22.0,Defensive rebound by R. Bullock,,14,7
1,7:14.0,B. Brown makes 2-pt dunk from 1 ft (assist by B. Griffin),,16,7
1,6:58.0,,W. Matthews misses 2-pt jump shot from 22 ft,16,7
1,6:56.0,Defensive rebound by B. Griffin,,16,7
1,6:46.0,Shooting foul by D. Jordan (drawn by B. Griffin),,16,7
1,6:46.0,B. Griffin makes free throw 1 of 2,,17,7
1,6:46.0,B. Griffin makes free throw 2 of 2,,18,7
1,6:29.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by D. Jordan),18,10
1,6:16.0,R. Bullock makes 3-pt jump shot from 26 ft,,21,10
1,5:51.0,,D. Smith makes 2-pt layup from 1 ft,21,12
1,5:35.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,24,12
1,5:08.0,,N. Vonleh makes 3-pt jump shot from 24 ft (assist by W. Matthews),24,15
1,4:59.0,R. Jackson makes 2-pt jump shot from 9 ft,,26,15
1,4:45.0,,D. Jordan makes 2-pt jump shot from 6 ft (assist by D. Smith),26,17
1,4:37.0,Detroit full timeout,,26,17
1,4:37.0,J. Calderón enters the game for R. Jackson,,26,17
1,4:37.0,,D. Dotson enters the game for W. Matthews,26,17
1,4:37.0,,L. Thomas enters the game for N. Vonleh,26,17
1,4:25.0,R. Bullock misses 3-pt jump shot from 26 ft,,26,17
1,4:23.0,,Defensive rebound by D. Jordan,26,17
1,4:10.0,,Shooting foul by B. Griffin (drawn by L. Thomas),26,17
1,4:10.0,,L. Thomas misses free throw 1 of 2,26,17
1,4:10.0,,Offensive rebound by Team,26,17
1,4:10.0,,L. Thomas makes free throw 2 of 2,26,18
1,3:53.0,B. Griffin makes 2-pt layup from 2 ft (assist by R. Bullock),,28,18
1,3:37.0,,D. Dotson misses 2-pt jump shot from 20 ft,28,18
1,3:35.0,,Offensive rebound by D. Smith,28,18
1,3:35.0,,D. Smith makes 2-pt layup from 1 ft,28,20
1,3:22.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),,31,20
1,3:11.0,,Personal foul by B. Brown (drawn by D. Smith),31,20
1,3:11.0,L. Galloway enters the game for B. Brown,,31,20
1,3:05.0,,D. Smith makes 2-pt jump shot from 13 ft,31,22
1,2:37.0,B. Griffin makes 3-pt jump shot from 25 ft,,34,22
1,2:26.0,,Personal foul by L. Galloway (drawn by D. Smith),34,22
1,2:26.0,S. Johnson enters the game for B. Griffin,,34,22
1,2:26.0,,M. Robinson enters the game for D. Jordan,34,22
1,2:26.0,,A. Trier enters the game for K. Knox,34,22
1,2:16.0,,New York full timeout,34,22
1,2:11.0,,D. Dotson misses 2-pt layup at rim (block by A. Drummond),34,22
1,2:09.0,Defensive rebound by S. Johnson,,34,22
1,2:04.0,L. Galloway misses 3-pt jump shot from 24 ft,,34,22
1,2:03.0,,Defensive rebound by D. Dotson,34,22
1,1:55.0,,D. Dotson misses 2-pt layup from 2 ft (block by A. Drummond),34,22
1,1:53.0,Defensive rebound by S. Johnson,,34,22
1,1:50.0,L. Galloway misses 2-pt layup from 1 ft,,34,22
1,1:48.0,,Defensive rebound by A. Trier,34,22
1,1:45.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by D. Dotson),34,24
1,1:28.0,A. Drummond misses 2-pt layup from 1 ft (block by M. Robinson),,34,24
1,1:26.0,,Defensive rebound by M. Robinson,34,24
1,1:21.0,,M. Robinson makes 2-pt layup from 1 ft (assist by D. Smith),34,26
1,0:59.0,A. Drummond makes 2-pt jump shot from 13 ft (assist by R. Bullock),,36,26
1,0:49.0,,L. Thomas makes 2-pt jump shot from 18 ft (assist by D. Smith),36,28
1,0:29.0,L. Galloway misses 3-pt jump shot from 26 ft,,36,28
1,0:28.0,,Defensive rebound by Team,36,28
1,0:28.0,L. Kennard enters the game for R. Bullock,,36,28
1,0:09.0,,D. Smith misses 2-pt jump shot from 18 ft,36,28
1,0:07.0,Defensive rebound by A. Drummond,,36,28
1,0:02.0,A. Drummond misses 3-pt jump shot from 27 ft,,36,28
1,0:02.0,,Defensive rebound by A. Trier,36,28
2,11:50.0,,A. Trier makes 2-pt layup from 1 ft,36,30
2,11:33.0,Personal foul by M. Robinson (drawn by L. Galloway),,36,30
2,11:22.0,J. Calderón makes 2-pt jump shot from 20 ft,,38,30
2,10:58.0,,D. Dotson misses 2-pt jump shot from 18 ft,38,30
2,10:56.0,Defensive rebound by L. Kennard,,38,30
2,10:44.0,L. Kennard misses 2-pt jump shot from 20 ft,,38,30
2,10:42.0,,Defensive rebound by D. Dotson,38,30
2,10:31.0,,A. Trier misses 2-pt jump shot from 16 ft,38,30
2,10:29.0,,Offensive rebound by M. Robinson,38,30
2,10:27.0,,M. Robinson makes 2-pt layup from 2 ft,38,32
2,10:04.0,S. Johnson misses 3-pt jump shot from 26 ft,,38,32
2,10:03.0,,Defensive rebound by M. Robinson,38,32
2,9:54.0,,M. Robinson makes 2-pt dunk at rim (assist by D. Dotson),38,34
2,9:41.0,J. Calderón makes 2-pt layup from 1 ft (assist by Z. Pachulia),,40,34
2,9:30.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Allen),40,36
2,9:13.0,L. Kennard misses 3-pt jump shot from 23 ft,,40,36
2,9:11.0,,Defensive rebound by M. Robinson,40,36
2,9:05.0,,Shooting foul by J. Calderón (drawn by D. Dotson),40,36
2,9:05.0,,D. Dotson misses free throw 1 of 2,40,36
2,9:05.0,,Offensive rebound by Team,40,36
2,9:05.0,,D. Dotson makes free throw 2 of 2,40,37
2,8:55.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Calderón),,43,37
2,8:45.0,,Personal foul by L. Galloway (drawn by A. Trier),43,37
2,8:32.0,,M. Robinson misses 2-pt dunk from 2 ft,43,37
2,8:30.0,,Offensive rebound by M. Robinson,43,37
2,8:26.0,,M. Robinson makes 2-pt layup from 1 ft,43,39
2,8:26.0,,Shooting foul by S. Johnson (drawn by M. Robinson),43,39
2,8:26.0,,M. Robinson makes free throw 1 of 1,43,40
2,8:20.0,Offensive foul by Z. Pachulia (drawn by L. Thomas),,43,40
2,8:20.0,Turnover by Z. Pachulia (offensive foul),,43,40
2,8:07.0,,A. Trier makes 2-pt layup from 2 ft,43,42
2,8:03.0,Detroit full timeout,,43,42
2,8:03.0,B. Griffin enters the game for J. Calderón,,43,42
2,8:03.0,R. Jackson enters the game for L. Galloway,,43,42
2,7:57.0,Personal foul by A. Trier (drawn by B. Griffin),,43,42
2,7:42.0,B. Griffin makes 2-pt jump shot from 14 ft (assist by R. Jackson),,45,42
2,7:26.0,,A. Trier misses 2-pt layup from 1 ft,45,42
2,7:24.0,Defensive rebound by S. Johnson,,45,42
2,7:19.0,B. Griffin misses 2-pt layup from 2 ft,,45,42
2,7:18.0,Offensive rebound by B. Griffin,,45,42
2,7:18.0,Shooting foul by M. Robinson (drawn by B. Griffin),,45,42
2,7:18.0,,D. Smith enters the game for K. Allen,45,42
2,7:18.0,B. Griffin makes free throw 1 of 2,,46,42
2,7:18.0,B. Griffin makes free throw 2 of 2,,47,42
2,7:07.0,,D. Smith misses 2-pt jump shot from 12 ft,47,42
2,7:05.0,Defensive rebound by L. Kennard,,47,42
2,6:59.0,Shooting foul by D. Smith (drawn by R. Jackson),,47,42
2,6:59.0,,K. Knox enters the game for D. Dotson,47,42
2,6:59.0,R. Jackson makes free throw 1 of 2,,48,42
2,6:59.0,R. Jackson makes free throw 2 of 2,,49,42
2,6:43.0,,L. Thomas misses 3-pt jump shot from 23 ft,49,42
2,6:41.0,Defensive rebound by R. Jackson,,49,42
2,6:22.0,L. Kennard misses 3-pt jump shot from 25 ft,,49,42
2,6:20.0,,Defensive rebound by D. Smith,49,42
2,6:15.0,,Personal foul by S. Johnson (drawn by A. Trier),49,42
2,6:15.0,R. Bullock enters the game for L. Kennard,,49,42
2,6:15.0,A. Drummond enters the game for Z. Pachulia,,49,42
2,6:15.0,,N. Vonleh enters the game for L. Thomas,49,42
2,6:11.0,,Shooting foul by R. Jackson (drawn by D. Smith),49,42
2,6:11.0,,D. Jordan enters the game for M. Robinson,49,42
2,6:11.0,,D. Smith misses free throw 1 of 2,49,42
2,6:11.0,,Offensive rebound by Team,49,42
2,6:11.0,,D. Smith makes free throw 2 of 2,49,43
2,5:51.0,R. Bullock makes 2-pt layup from 1 ft (assist by S. Johnson),,51,43
2,5:39.0,,D. Smith makes 3-pt jump shot from 26 ft,51,46
2,5:24.0,B. Griffin misses 3-pt jump shot from 25 ft,,51,46
2,5:22.0,,Defensive rebound by D. Jordan,51,46
2,5:02.0,,D. Smith misses 2-pt jump shot from 22 ft,51,46
2,5:00.0,Defensive rebound by A. Drummond,,51,46
2,4:37.0,R. Bullock makes 2-pt jump shot from 16 ft (assist by S. Johnson),,53,46
2,4:23.0,,Turnover by D. Jordan (bad pass),53,46
2,4:11.0,A. Drummond makes 2-pt dunk from 2 ft (assist by R. Jackson),,55,46
2,4:04.0,,New York full timeout,55,46
2,4:04.0,K. Thomas enters the game for S. Johnson,,55,46
2,4:04.0,,W. Matthews enters the game for A. Trier,55,46
2,3:54.0,,Personal foul by B. Griffin (drawn by N. Vonleh),55,46
2,3:54.0,,N. Vonleh makes free throw 1 of 2,55,47
2,3:54.0,,N. Vonleh makes free throw 2 of 2,55,48
2,3:33.0,R. Jackson misses 3-pt jump shot from 26 ft,,55,48
2,3:31.0,,Defensive rebound by K. Knox,55,48
2,3:22.0,,W. Matthews misses 2-pt jump shot from 12 ft,55,48
2,3:21.0,Defensive rebound by Team,,55,48
2,3:21.0,Personal foul by D. Jordan (drawn by A. Drummond),,55,48
2,3:21.0,A. Drummond makes free throw 1 of 2,,56,48
2,3:21.0,A. Drummond makes free throw 2 of 2,,57,48
2,3:00.0,,W. Matthews misses 2-pt jump shot from 18 ft,57,48
2,2:58.0,Defensive rebound by Team,,57,48
2,2:41.0,Turnover by B. Griffin (bad pass; steal by W. Matthews),,57,48
2,2:40.0,,K. Knox makes 2-pt layup from 2 ft (assist by W. Matthews),57,50
2,2:40.0,,Shooting foul by R. Bullock (drawn by K. Knox),57,50
2,2:40.0,,K. Knox makes free throw 1 of 1,57,51
2,2:24.0,R. Bullock misses 3-pt jump shot from 28 ft,,57,51
2,2:22.0,,Defensive rebound by K. Knox,57,51
2,2:09.0,,N. Vonleh misses 3-pt jump shot from 25 ft,57,51
2,2:07.0,Defensive rebound by A. Drummond,,57,51
2,1:55.0,R. Jackson makes 2-pt layup from 1 ft,,59,51
2,1:42.0,,K. Knox misses 3-pt jump shot from 23 ft,59,51
2,1:40.0,,Offensive rebound by N. Vonleh,59,51
2,1:37.0,,N. Vonleh makes 2-pt layup from 1 ft,59,53
2,1:12.0,R. Bullock misses 2-pt jump shot from 3 ft,,59,53
2,1:11.0,Offensive rebound by A. Drummond,,59,53
2,1:08.0,A. Drummond makes 2-pt dunk at rim (assist by B. Griffin),,61,53
2,0:54.0,,Personal foul by R. Jackson (drawn by W. Matthews),61,53
2,0:54.0,,W. Matthews makes free throw 1 of 2,61,54
2,0:54.0,,W. Matthews misses free throw 2 of 2,61,54
2,0:52.0,Defensive rebound by A. Drummond,,61,54
2,0:33.0,B. Griffin makes 2-pt hook shot from 9 ft,,63,54
2,0:25.0,,Turnover by D. Smith (bad pass; steal by R. Bullock),63,54
2,0:02.0,K. Thomas misses 3-pt jump shot from 24 ft,,63,54
2,0:01.0,Offensive rebound by Team,,63,54
2,0:01.0,Turnover by Team (shot clock),,63,54
2,0:01.0,B. Brown enters the game for R. Jackson,,63,54
2,0:00.0,,D. Smith misses 3-pt jump shot from 46 ft,63,54
2,0:00.0,,Offensive rebound by Team,63,54
3,11:35.0,,D. Smith makes 2-pt layup at rim,63,56
3,11:13.0,B. Griffin misses 3-pt jump shot from 26 ft,,63,56
3,11:11.0,,Defensive rebound by N. Vonleh,63,56
3,11:00.0,,N. Vonleh misses 3-pt jump shot from 26 ft,63,56
3,10:58.0,Defensive rebound by R. Jackson,,63,56
3,10:52.0,B. Griffin misses 2-pt hook shot from 2 ft,,63,56
3,10:50.0,,Defensive rebound by D. Jordan,63,56
3,10:45.0,,W. Matthews misses 2-pt layup from 2 ft (block by B. Brown),63,56
3,10:43.0,,Offensive rebound by W. Matthews,63,56
3,10:39.0,,D. Smith misses 3-pt jump shot from 25 ft,63,56
3,10:37.0,Defensive rebound by Team,,63,56
3,10:16.0,R. Jackson misses 2-pt jump shot from 20 ft,,63,56
3,10:14.0,,Defensive rebound by K. Knox,63,56
3,10:04.0,,K. Knox misses 2-pt jump shot from 21 ft,63,56
3,10:02.0,Defensive rebound by Team,,63,56
3,10:02.0,,Loose ball foul by D. Jordan (drawn by B. Griffin),63,56
3,9:54.0,Personal foul by D. Smith (drawn by R. Jackson),,63,56
3,9:45.0,B. Griffin makes 2-pt hook shot from 2 ft,,65,56
3,9:35.0,,W. Matthews makes 2-pt jump shot from 15 ft,65,58
3,9:19.0,R. Bullock misses 3-pt jump shot from 25 ft,,65,58
3,9:17.0,,Defensive rebound by D. Jordan,65,58
3,9:12.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),65,60
3,9:03.0,Detroit full timeout,,65,60
3,8:46.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,68,60
3,8:23.0,,Turnover by N. Vonleh (lost ball; steal by R. Bullock),68,60
3,8:15.0,A. Drummond misses 2-pt hook shot from 8 ft,,68,60
3,8:13.0,,Defensive rebound by K. Knox,68,60
