QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHILADELPHIA_ACTION,HOUSTON_SCORE,PHILADELPHIA_SCORE
1,11:45.0,,J. Embiid misses 2-pt layup from 3 ft,0,0
1,11:40.0,,Offensive rebound by B. Simmons,0,0
1,11:40.0,,B. Simmons misses 2-pt dunk at rim,0,0
1,11:40.0,Defensive rebound by P. Tucker,,0,0
1,11:37.0,J. Harden misses 3-pt jump shot from 26 ft,,0,0
1,11:28.0,Offensive rebound by P. Tucker,,0,0
1,11:28.0,P. Tucker misses 2-pt layup from 1 ft,,0,0
1,11:28.0,,Defensive rebound by B. Simmons,0,0
1,11:26.0,,C. Brewer makes 2-pt layup from 3 ft (assist by B. Simmons),0,2
1,11:05.0,N. Hilário makes 2-pt jump shot from 21 ft (assist by J. Harden),,2,2
1,10:52.0,,Offensive foul by B. Simmons (drawn by N. Hilário),2,2
1,10:52.0,,Turnover by B. Simmons (offensive foul),2,2
1,10:33.0,Shooting foul by W. Chandler (drawn by J. Harden),,2,2
1,10:33.0,J. Harden makes free throw 1 of 3,,3,2
1,10:33.0,J. Harden misses free throw 2 of 3,,3,2
1,10:33.0,Offensive rebound by Team,,3,2
1,10:33.0,J. Harden makes free throw 3 of 3,,4,2
1,10:22.0,,J. Embiid misses 2-pt layup from 4 ft,4,2
1,10:22.0,,Offensive rebound by J. Embiid,4,2
1,10:22.0,,J. Embiid misses 2-pt layup at rim,4,2
1,10:22.0,,Offensive rebound by Team,4,2
1,10:16.0,,C. Brewer misses 3-pt jump shot from 24 ft,4,2
1,10:15.0,,Offensive rebound by Team,4,2
1,10:10.0,,J. Embiid makes 2-pt jump shot from 10 ft,4,4
1,9:58.0,E. Gordon misses 3-pt jump shot from 27 ft,,4,4
1,9:58.0,,Defensive rebound by Team,4,4
1,9:46.0,,C. Brewer makes 2-pt layup from 3 ft (assist by W. Chandler),4,6
1,9:29.0,Turnover by J. Harden (bad pass; steal by J. Redick),,4,6
1,9:22.0,,C. Brewer misses 2-pt layup from 2 ft,4,6
1,9:18.0,Defensive rebound by J. Harden,,4,6
1,9:05.0,J. Harden misses 3-pt jump shot from 26 ft (block by B. Simmons),,4,6
1,8:56.0,,Defensive rebound by W. Chandler,4,6
1,8:50.0,,J. Redick misses 3-pt jump shot from 26 ft,4,6
1,8:49.0,Defensive rebound by A. Rivers,,4,6
1,8:42.0,A. Rivers misses 3-pt jump shot from 26 ft,,4,6
1,8:40.0,,Defensive rebound by J. Embiid,4,6
1,8:29.0,,B. Simmons misses 2-pt jump shot from 7 ft,4,6
1,8:27.0,Defensive rebound by E. Gordon,,4,6
1,8:23.0,E. Gordon misses 2-pt layup from 3 ft (block by J. Embiid),,4,6
1,8:20.0,,Defensive rebound by W. Chandler,4,6
1,8:19.0,,Shooting foul by J. Harden (drawn by J. Embiid),4,6
1,8:19.0,,J. Embiid makes free throw 1 of 2,4,7
1,8:19.0,,J. Embiid makes free throw 2 of 2,4,8
1,8:06.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),,7,8
1,7:44.0,,Personal foul by N. Hilário (drawn by J. Embiid),7,8
1,7:34.0,,B. Simmons misses 2-pt hook shot from 4 ft,7,8
1,7:32.0,Defensive rebound by N. Hilário,,7,8
1,7:27.0,J. Harden makes 2-pt layup from 2 ft,,9,8
1,7:15.0,,J. Redick makes 2-pt jump shot from 18 ft,9,10
1,6:59.0,A. Rivers misses 3-pt jump shot from 25 ft,,9,10
1,6:53.0,Offensive rebound by P. Tucker,,9,10
1,6:49.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),,12,10
1,6:44.0,,Personal foul by A. Rivers (drawn by J. Redick),12,10
1,6:44.0,,Philadelphia full timeout,12,10
1,6:44.0,K. Faried enters the game for N. Hilário,,12,10
1,6:44.0,,J. Bolden enters the game for C. Brewer,12,10
1,6:44.0,,T. McConnell enters the game for J. Embiid,12,10
1,6:44.0,,L. Shamet enters the game for J. Redick,12,10
1,6:28.0,,L. Shamet misses 2-pt jump shot from 9 ft,12,10
1,6:24.0,Defensive rebound by K. Faried,,12,10
1,6:12.0,K. Faried makes 2-pt dunk from 1 ft (assist by A. Rivers),,14,10
1,6:12.0,Technical foul by K. Faried,,14,10
1,6:12.0,,L. Shamet makes technical free throw,14,11
1,6:12.0,J. Ennis enters the game for E. Gordon,,14,11
1,6:12.0,G. Green enters the game for A. Rivers,,14,11
1,6:02.0,,Turnover by L. Shamet (bad pass; steal by P. Tucker),14,11
1,5:56.0,J. Harden misses 2-pt layup from 3 ft (block by J. Bolden),,14,11
1,5:50.0,Offensive rebound by J. Harden,,14,11
1,5:49.0,J. Harden makes 2-pt layup from 2 ft,,16,11
1,5:42.0,,T. McConnell makes 2-pt layup from 1 ft (assist by B. Simmons),16,13
1,5:28.0,J. Harden misses 2-pt layup from 3 ft (block by J. Bolden),,16,13
1,5:24.0,,Defensive rebound by W. Chandler,16,13
1,5:21.0,,W. Chandler makes 2-pt jump shot from 7 ft,16,15
1,5:04.0,G. Green misses 3-pt jump shot from 26 ft,,16,15
1,5:02.0,,Defensive rebound by J. Bolden,16,15
1,4:57.0,,Turnover by T. McConnell (bad pass; steal by P. Tucker),16,15
1,4:53.0,P. Tucker makes 2-pt layup from 1 ft,,18,15
1,4:25.0,,T. McConnell makes 2-pt jump shot from 12 ft (assist by W. Chandler),18,17
1,4:08.0,Turnover by J. Harden (lost ball; steal by T. McConnell),,18,17
1,4:08.0,,Personal take foul by P. Tucker (drawn by T. McConnell),18,17
1,4:06.0,,L. Shamet misses 3-pt jump shot from 23 ft,18,17
1,4:02.0,Defensive rebound by P. Tucker,,18,17
1,3:53.0,J. Harden makes 3-pt jump shot from 26 ft,,21,17
1,3:32.0,,B. Simmons misses 2-pt hook shot from 6 ft,21,17
1,3:28.0,,Offensive rebound by J. Bolden,21,17
1,3:25.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by J. Bolden),21,20
1,3:17.0,Personal foul by T. McConnell (drawn by J. Harden),,21,20
1,3:17.0,,J. Embiid enters the game for J. Bolden,21,20
1,3:17.0,,F. Korkmaz enters the game for W. Chandler,21,20
1,3:17.0,,M. Muscala enters the game for L. Shamet,21,20
1,3:17.0,,J. Redick enters the game for B. Simmons,21,20
1,3:01.0,J. Harden makes 3-pt jump shot from 25 ft,,24,20
1,2:47.0,,Shooting foul by G. Green (drawn by J. Embiid),24,20
1,2:47.0,Houston full timeout,,24,20
1,2:47.0,E. Gordon enters the game for P. Tucker,,24,20
1,2:47.0,,J. Embiid makes free throw 1 of 2,24,21
1,2:47.0,,J. Embiid makes free throw 2 of 2,24,22
1,2:32.0,Turnover by E. Gordon (bad pass),,24,22
1,2:17.0,,J. Embiid makes 2-pt layup from 2 ft,24,24
1,2:17.0,,Shooting foul by J. Harden (drawn by J. Embiid),24,24
1,2:17.0,,J. Embiid misses free throw 1 of 1,24,24
1,2:14.0,Defensive rebound by G. Green,,24,24
1,2:05.0,E. Gordon misses 3-pt jump shot from 27 ft (block by T. McConnell),,24,24
1,1:59.0,,Defensive rebound by J. Embiid,24,24
1,1:51.0,,T. McConnell misses 2-pt jump shot from 18 ft,24,24
1,1:49.0,Defensive rebound by E. Gordon,,24,24
1,1:38.0,Personal foul by T. McConnell (drawn by J. Harden),,24,24
1,1:38.0,A. Rivers enters the game for J. Harden,,24,24
1,1:28.0,G. Green misses 3-pt jump shot from 26 ft,,24,24
1,1:23.0,,Defensive rebound by J. Embiid,24,24
1,1:14.0,,J. Embiid makes 2-pt layup from 3 ft,24,26
1,1:06.0,E. Gordon misses 3-pt jump shot from 26 ft,,24,26
1,1:02.0,,Defensive rebound by J. Embiid,24,26
1,0:56.0,,J. Embiid makes 2-pt jump shot from 6 ft (assist by T. McConnell),24,28
1,0:37.0,Shooting foul by F. Korkmaz (drawn by E. Gordon),,24,28
1,0:37.0,E. Gordon misses free throw 1 of 3,,24,28
1,0:37.0,Offensive rebound by Team,,24,28
1,0:37.0,E. Gordon makes free throw 2 of 3,,25,28
1,0:37.0,N. Hilário enters the game for K. Faried,,25,28
1,0:37.0,E. Gordon makes free throw 3 of 3,,26,28
